Time,Usage for DM,Usage in MHz for DM,
2022-03-14T12:00:00.000Z,0,6,49
2022-03-14T14:00:00.000Z,0,7,49
2022-03-14T16:00:00.000Z,0,7,50
2022-03-14T18:00:00.000Z,0,7,49
2022-03-14T20:00:00.000Z,0,7,49
2022-03-14T22:00:00.000Z,0,7,49
2022-03-15T00:00:00.000Z,0,6,49
2022-03-15T02:00:00.000Z,0,6,49
2022-03-15T04:00:00.000Z,0,7,49
2022-03-15T06:00:00.000Z,0,7,49
2022-03-15T08:00:00.000Z,0,6,49
2022-03-15T10:00:00.000Z,0,7,49
2022-03-15T12:00:00.000Z,0,6,49
2022-03-15T14:00:00.000Z,0,6,49
2022-03-15T16:00:00.000Z,0,7,50
2022-03-15T18:00:00.000Z,0,6,49
2022-03-15T20:00:00.000Z,0,6,49
2022-03-15T22:00:00.000Z,0,7,49
2022-03-16T00:00:00.000Z,0,6,49
2022-03-16T02:00:00.000Z,0,6,49
2022-03-16T04:00:00.000Z,0,7,50
2022-03-16T06:00:00.000Z,0,7,49
2022-03-16T08:00:00.000Z,0,7,49
2022-03-16T10:00:00.000Z,0,6,49
2022-03-16T12:00:00.000Z,0,6,49
2022-03-16T14:00:00.000Z,0,7,49
2022-03-16T16:00:00.000Z,0,7,49
2022-03-16T18:00:00.000Z,0,7,50
2022-03-16T20:00:00.000Z,0,7,49
2022-03-16T22:00:00.000Z,0,7,49
2022-03-17T00:00:00.000Z,0,7,49
2022-03-17T02:00:00.000Z,0,7,49
2022-03-17T04:00:00.000Z,0,7,49
2022-03-17T06:00:00.000Z,0,7,49
2022-03-17T08:00:00.000Z,0,7,49
2022-03-17T10:00:00.000Z,0,7,49
2022-03-17T12:00:00.000Z,0,6,49
2022-03-17T14:00:00.000Z,0,7,49
2022-03-17T16:00:00.000Z,0,6,49
2022-03-17T18:00:00.000Z,0,7,50
2022-03-17T20:00:00.000Z,0,7,49
2022-03-17T22:00:00.000Z,0,6,49
2022-03-18T00:00:00.000Z,0,7,49
2022-03-18T02:00:00.000Z,0,7,49
2022-03-18T04:00:00.000Z,0,7,49
2022-03-18T06:00:00.000Z,0,6,49
2022-03-18T08:00:00.000Z,0,7,49
2022-03-18T10:00:00.000Z,0,6,49
2022-03-18T12:00:00.000Z,0,7,49
2022-03-18T14:00:00.000Z,0,7,49
2022-03-18T16:00:00.000Z,0,6,49
2022-03-18T18:00:00.000Z,0,7,49
2022-03-18T20:00:00.000Z,0,7,50
2022-03-18T22:00:00.000Z,0,7,49
2022-03-19T00:00:00.000Z,0,7,50
2022-03-19T02:00:00.000Z,0,7,49
2022-03-19T04:00:00.000Z,0,7,49
2022-03-19T06:00:00.000Z,0,7,50
2022-03-19T08:00:00.000Z,0,7,49
2022-03-19T10:00:00.000Z,0,7,49
2022-03-19T12:00:00.000Z,0,7,50
2022-03-19T14:00:00.000Z,0,7,49
2022-03-19T16:00:00.000Z,0,7,49
2022-03-19T18:00:00.000Z,0,6,49
2022-03-19T20:00:00.000Z,0,7,49
2022-03-19T22:00:00.000Z,0,7,49
2022-03-20T00:00:00.000Z,0,7,49
2022-03-20T02:00:00.000Z,0,7,49
2022-03-20T04:00:00.000Z,0,6,48
2022-03-20T06:00:00.000Z,0,6,48
2022-03-20T08:00:00.000Z,0,6,49
2022-03-20T10:00:00.000Z,0,7,49
2022-03-20T12:00:00.000Z,0,7,49
2022-03-20T14:00:00.000Z,0,7,49
2022-03-20T16:00:00.000Z,0,7,49
2022-03-20T18:00:00.000Z,0,7,49
2022-03-20T20:00:00.000Z,0,6,49
2022-03-20T22:00:00.000Z,0,7,49
2022-03-21T00:00:00.000Z,0,7,49
2022-03-21T02:00:00.000Z,0,6,49
2022-03-21T04:00:00.000Z,0,7,49
2022-03-21T06:00:00.000Z,0,7,49
2022-03-21T08:00:00.000Z,0,7,50
2022-03-21T10:00:00.000Z,0,7,50
