Time,Usage for DM,Usage in MHz for DM,
2021-04-14T00:00:00.000Z,5,61,3772
2021-04-15T00:00:00.000Z,5,61,3772
2021-04-16T00:00:00.000Z,6,48,4357
2021-04-17T00:00:00.000Z,3,92,2636
2021-04-18T00:00:00.000Z,3,86,2599
2021-04-19T00:00:00.000Z,4,2,2825
2021-04-20T00:00:00.000Z,4,33,2915
2021-04-21T00:00:00.000Z,4,18,2816
2021-04-22T00:00:00.000Z,4,24,2855
2021-04-23T00:00:00.000Z,3,1,2089
2021-04-24T00:00:00.000Z,2,78,1875
2021-04-25T00:00:00.000Z,2,7,1819
2021-04-26T00:00:00.000Z,3,3,2042
2021-04-27T00:00:00.000Z,3,1,2024
2021-04-28T00:00:00.000Z,3,29,2213
2021-04-29T00:00:00.000Z,3,6,2057
2021-04-30T00:00:00.000Z,3,27,2200
2021-05-01T00:00:00.000Z,2,67,1799
2021-05-02T00:00:00.000Z,2,67,1795
2021-05-03T00:00:00.000Z,2,68,1804
2021-05-04T00:00:00.000Z,3,12,2097
2021-05-05T00:00:00.000Z,3,22,2169
2021-05-06T00:00:00.000Z,3,11,2093
2021-05-07T00:00:00.000Z,3,23,2173
2021-05-08T00:00:00.000Z,2,85,1918
2021-05-09T00:00:00.000Z,2,79,1881
2021-05-10T00:00:00.000Z,3,28,2207
2021-05-11T00:00:00.000Z,3,17,2136
2021-05-12T00:00:00.000Z,3,18,2143
2021-05-13T00:00:00.000Z,3,27,2203
2021-05-14T00:00:00.000Z,3,25,2191
2021-05-15T00:00:00.000Z,2,82,1898
2021-05-16T00:00:00.000Z,2,76,1862
2021-05-17T00:00:00.000Z,3,29,2216
2021-05-18T00:00:00.000Z,3,2,2153
2021-05-19T00:00:00.000Z,3,18,2142
2021-05-20T00:00:00.000Z,3,22,2171
2021-05-21T00:00:00.000Z,3,22,2166
2021-05-22T00:00:00.000Z,2,89,1946
2021-05-23T00:00:00.000Z,2,93,1973
2021-05-24T00:00:00.000Z,3,8,2076
2021-05-25T00:00:00.000Z,2,71,1822
2021-05-26T00:00:00.000Z,2,61,1761
2021-05-27T00:00:00.000Z,2,74,1841
2021-05-28T00:00:00.000Z,4,25,2861
2021-05-29T00:00:00.000Z,3,5,2358
2021-05-30T00:00:00.000Z,3,45,2321
2021-05-31T00:00:00.000Z,3,89,2616
2021-06-01T00:00:00.000Z,2,71,1828
2021-06-02T00:00:00.000Z,2,73,1838
2021-06-03T00:00:00.000Z,2,29,1546
2021-06-04T00:00:00.000Z,2,54,1713
2021-06-05T00:00:00.000Z,2,31,1558
2021-06-06T00:00:00.000Z,2,26,1525
2021-06-07T00:00:00.000Z,2,59,1746
2021-06-08T00:00:00.000Z,2,65,1783
2021-06-09T00:00:00.000Z,2,61,1756
2021-06-10T00:00:00.000Z,2,54,1712
2021-06-11T00:00:00.000Z,2,55,1718
2021-06-12T00:00:00.000Z,2,21,1495
2021-06-13T00:00:00.000Z,2,18,1469
2021-06-14T00:00:00.000Z,2,61,1763
2021-06-15T00:00:00.000Z,3,75,2524
2021-06-16T00:00:00.000Z,3,69,2487
2021-06-17T00:00:00.000Z,3,97,2670
2021-06-18T00:00:00.000Z,2,68,1803
2021-06-19T00:00:00.000Z,2,63,1775
2021-06-20T00:00:00.000Z,2,47,1668
2021-06-21T00:00:00.000Z,2,78,1874
