Time,Ballooned memory for DM,Consumed for DM,Host consumed % for DM,Overhead consumed for DM,
2021-04-14T00:00:00.000Z,0,151360528,12,53,0
2021-04-15T00:00:00.000Z,0,151360080,12,53,0
2021-04-16T00:00:00.000Z,0,151377568,12,53,0
2021-04-17T00:00:00.000Z,0,151353184,12,53,0
2021-04-18T00:00:00.000Z,0,151354240,12,53,0
2021-04-19T00:00:00.000Z,0,151355536,12,53,0
2021-04-20T00:00:00.000Z,0,151356272,12,53,0
2021-04-21T00:00:00.000Z,0,151354624,12,53,0
2021-04-22T00:00:00.000Z,0,151354560,12,53,0
2021-04-23T00:00:00.000Z,0,151353344,12,53,0
2021-04-24T00:00:00.000Z,0,151354208,12,53,0
2021-04-25T00:00:00.000Z,0,151352976,12,53,0
2021-04-26T00:00:00.000Z,0,151354016,12,53,0
2021-04-27T00:00:00.000Z,0,151353520,12,53,0
2021-04-28T00:00:00.000Z,0,151354672,12,53,0
2021-04-29T00:00:00.000Z,0,151354192,12,53,0
2021-04-30T00:00:00.000Z,0,151354528,12,53,0
2021-05-01T00:00:00.000Z,0,151354048,12,53,0
2021-05-02T00:00:00.000Z,0,151353136,12,53,0
2021-05-03T00:00:00.000Z,0,151353120,12,53,0
2021-05-04T00:00:00.000Z,0,151353248,12,53,0
2021-05-05T00:00:00.000Z,0,151354432,12,53,0
2021-05-06T00:00:00.000Z,0,151354128,12,53,0
2021-05-07T00:00:00.000Z,0,151355024,12,53,0
2021-05-08T00:00:00.000Z,0,151352896,12,53,0
2021-05-09T00:00:00.000Z,0,151352880,12,53,0
2021-05-10T00:00:00.000Z,0,151353520,12,53,0
2021-05-11T00:00:00.000Z,0,151354096,12,53,0
2021-05-12T00:00:00.000Z,0,151354848,12,53,0
2021-05-13T00:00:00.000Z,0,151354800,12,53,0
2021-05-14T00:00:00.000Z,0,151354944,12,53,0
2021-05-15T00:00:00.000Z,0,151353264,12,53,0
2021-05-16T00:00:00.000Z,0,151353120,12,53,0
2021-05-17T00:00:00.000Z,0,151354864,12,53,0
2021-05-18T00:00:00.000Z,0,151354720,12,53,0
2021-05-19T00:00:00.000Z,0,151353504,12,53,0
2021-05-20T00:00:00.000Z,0,151354800,12,53,0
2021-05-21T00:00:00.000Z,0,151354112,12,53,0
2021-05-22T00:00:00.000Z,0,151352992,12,53,0
2021-05-23T00:00:00.000Z,0,151351328,12,53,0
2021-05-24T00:00:00.000Z,0,151351872,12,53,0
2021-05-25T00:00:00.000Z,0,151351680,12,53,0
2021-05-26T00:00:00.000Z,0,151351536,12,53,0
2021-05-27T00:00:00.000Z,0,151353152,12,53,0
2021-05-28T00:00:00.000Z,0,151354656,12,53,0
2021-05-29T00:00:00.000Z,0,151354288,12,53,0
2021-05-30T00:00:00.000Z,0,151352800,12,53,0
2021-05-31T00:00:00.000Z,0,151354288,12,53,0
2021-06-01T00:00:00.000Z,0,151353392,12,53,0
2021-06-02T00:00:00.000Z,0,151354112,12,53,0
2021-06-03T00:00:00.000Z,0,151355440,12,53,0
2021-06-04T00:00:00.000Z,0,151355120,12,53,0
2021-06-05T00:00:00.000Z,0,151356128,12,53,0
2021-06-06T00:00:00.000Z,0,151356176,12,53,0
2021-06-07T00:00:00.000Z,0,151355984,12,53,0
2021-06-08T00:00:00.000Z,0,151355984,12,53,0
2021-06-09T00:00:00.000Z,0,151355680,12,53,0
2021-06-10T00:00:00.000Z,0,151355792,12,53,0
2021-06-11T00:00:00.000Z,0,151355744,12,53,0
2021-06-12T00:00:00.000Z,0,151354848,12,53,0
2021-06-13T00:00:00.000Z,0,151354960,12,53,0
2021-06-14T00:00:00.000Z,0,151355712,12,53,0
2021-06-15T00:00:00.000Z,0,151355504,12,53,0
2021-06-16T00:00:00.000Z,0,151355840,12,53,0
2021-06-17T00:00:00.000Z,0,151356080,12,53,0
2021-06-18T00:00:00.000Z,0,151353952,12,53,0
2021-06-19T00:00:00.000Z,0,151352192,12,53,0
2021-06-20T00:00:00.000Z,0,151354944,12,53,0
2021-06-21T00:00:00.000Z,0,151354832,12,53,0
2021-06-22T00:00:00.000Z,0,151356928,12,53,0
2021-06-23T00:00:00.000Z,0,151356400,12,53,0
2021-06-24T00:00:00.000Z,0,151357392,12,53,0
2021-06-25T00:00:00.000Z,0,151357488,12,53,0
2021-06-26T00:00:00.000Z,0,151356192,12,53,0
2021-06-27T00:00:00.000Z,0,151355200,12,53,0
2021-06-28T00:00:00.000Z,0,151356656,12,53,0
2021-06-29T00:00:00.000Z,0,151355888,12,53,0
2021-06-30T00:00:00.000Z,0,151353712,12,53,0
2021-07-01T00:00:00.000Z,0,151355904,12,53,0
2021-07-02T00:00:00.000Z,0,151358576,12,53,0
2021-07-03T00:00:00.000Z,0,151357136,12,53,0
2021-07-04T00:00:00.000Z,0,151357888,12,53,0
2021-07-05T00:00:00.000Z,0,151357632,12,53,0
2021-07-06T00:00:00.000Z,0,151357232,12,53,0
2021-07-07T00:00:00.000Z,0,151357696,12,53,0
2021-07-08T00:00:00.000Z,0,151357056,12,53,0
