Time,Usage in MHz for PM,Usage for PM,
2022-03-14T14:00:00.000Z,7087,5,27
2022-03-14T16:00:00.000Z,6055,4,5
2022-03-14T18:00:00.000Z,5975,4,44
2022-03-14T20:00:00.000Z,6097,4,53
2022-03-14T22:00:00.000Z,6206,4,61
2022-03-15T00:00:00.000Z,7489,5,57
2022-03-15T02:00:00.000Z,7832,5,82
2022-03-15T04:00:00.000Z,7335,5,45
2022-03-15T06:00:00.000Z,8176,6,8
2022-03-15T08:00:00.000Z,10122,7,53
2022-03-15T10:00:00.000Z,7215,5,36
2022-03-15T12:00:00.000Z,7323,5,44
2022-03-15T14:00:00.000Z,7408,5,51
2022-03-15T16:00:00.000Z,5968,4,44
2022-03-15T18:00:00.000Z,5812,4,32
2022-03-15T20:00:00.000Z,6152,4,57
2022-03-15T22:00:00.000Z,7560,5,62
2022-03-16T00:00:00.000Z,7453,5,54
2022-03-16T02:00:00.000Z,7758,5,77
2022-03-16T04:00:00.000Z,7217,5,36
2022-03-16T06:00:00.000Z,6786,5,4
2022-03-16T08:00:00.000Z,9636,7,16
2022-03-16T10:00:00.000Z,7884,5,86
2022-03-16T12:00:00.000Z,7717,5,74
2022-03-16T14:00:00.000Z,7351,5,46
2022-03-16T16:00:00.000Z,6140,4,56
2022-03-16T18:00:00.000Z,6418,4,77
2022-03-16T20:00:00.000Z,6477,4,81
2022-03-16T22:00:00.000Z,6128,4,55
2022-03-17T00:00:00.000Z,7426,5,52
2022-03-17T02:00:00.000Z,7806,5,8
2022-03-17T04:00:00.000Z,7347,5,46
2022-03-17T06:00:00.000Z,7494,5,57
2022-03-17T08:00:00.000Z,8855,6,58
2022-03-17T10:00:00.000Z,9091,6,76
2022-03-17T12:00:00.000Z,7929,5,89
2022-03-17T14:00:00.000Z,6381,4,74
2022-03-17T16:00:00.000Z,5743,4,27
2022-03-17T18:00:00.000Z,5696,4,23
2022-03-17T20:00:00.000Z,6138,4,56
2022-03-17T22:00:00.000Z,7406,5,51
2022-03-18T00:00:00.000Z,7392,5,5
2022-03-18T02:00:00.000Z,7732,5,75
2022-03-18T04:00:00.000Z,7165,5,33
2022-03-18T06:00:00.000Z,6447,4,79
2022-03-18T08:00:00.000Z,8313,6,18
2022-03-18T10:00:00.000Z,7875,5,85
2022-03-18T12:00:00.000Z,8231,6,12
2022-03-18T14:00:00.000Z,7205,5,36
2022-03-18T16:00:00.000Z,5781,4,3
2022-03-18T18:00:00.000Z,5711,4,24
2022-03-18T20:00:00.000Z,6081,4,52
2022-03-18T22:00:00.000Z,5913,4,39
2022-03-19T00:00:00.000Z,7405,5,5
2022-03-19T02:00:00.000Z,7804,5,8
2022-03-19T04:00:00.000Z,7302,5,43
2022-03-19T06:00:00.000Z,5664,4,21
2022-03-19T08:00:00.000Z,5585,4,15
2022-03-19T10:00:00.000Z,5643,4,19
2022-03-19T12:00:00.000Z,5632,4,19
2022-03-19T14:00:00.000Z,5653,4,2
2022-03-19T16:00:00.000Z,5740,4,27
2022-03-19T18:00:00.000Z,5639,4,19
2022-03-19T20:00:00.000Z,6108,4,54
2022-03-19T22:00:00.000Z,7330,5,45
2022-03-20T00:00:00.000Z,7323,5,44
2022-03-20T02:00:00.000Z,7737,5,75
2022-03-20T04:00:00.000Z,7130,5,3
2022-03-20T06:00:00.000Z,5482,4,7
2022-03-20T08:00:00.000Z,5440,4,4
2022-03-20T10:00:00.000Z,5535,4,11
2022-03-20T12:00:00.000Z,5483,4,7
2022-03-20T14:00:00.000Z,5493,4,8
2022-03-20T16:00:00.000Z,5578,4,15
2022-03-20T18:00:00.000Z,5634,4,19
2022-03-20T20:00:00.000Z,6072,4,51
2022-03-20T22:00:00.000Z,5868,4,36
2022-03-21T00:00:00.000Z,7292,5,42
2022-03-21T02:00:00.000Z,9696,7,21
2022-03-21T04:00:00.000Z,8998,6,69
2022-03-21T06:00:00.000Z,6841,5,9
2022-03-21T08:00:00.000Z,8428,6,27
2022-03-21T10:00:00.000Z,9365,6,96
2022-03-21T12:00:00.000Z,8162,6,7
2022-03-21T14:00:00.000Z,6881,5,11
2022-03-21T16:00:00.000Z,6009,4,47
2022-03-21T18:00:00.000Z,5824,4,33
2022-03-21T20:00:00.000Z,6255,4,65
2022-03-21T22:00:00.000Z,7499,5,57
2022-03-22T00:00:00.000Z,7453,5,54
2022-03-22T02:00:00.000Z,7888,5,86
2022-03-22T04:00:00.000Z,7310,5,43
2022-03-22T06:00:00.000Z,7357,5,47
2022-03-22T08:00:00.000Z,12900,9,59
2022-03-22T10:00:00.000Z,8010,5,95
2022-03-22T12:00:00.000Z,7488,5,57
2022-03-22T14:00:00.000Z,6952,5,17
2022-03-22T16:00:00.000Z,5875,4,37
2022-03-22T18:00:00.000Z,5725,4,25
2022-03-22T20:00:00.000Z,6080,4,52
2022-03-22T22:00:00.000Z,6007,4,46
2022-03-23T00:00:00.000Z,7511,5,58
2022-03-23T02:00:00.000Z,7913,5,88
2022-03-23T04:00:00.000Z,7408,5,51
2022-03-23T06:00:00.000Z,8306,6,18
2022-03-23T08:00:00.000Z,8106,6,3
2022-03-23T10:00:00.000Z,7134,5,3
2022-03-23T12:00:00.000Z,10792,8,2
2022-03-23T14:00:00.000Z,8738,6,5
2022-03-23T16:00:00.000Z,6489,4,82
