Time,Usage in MHz for PM,Usage for PM,
2021-04-14T00:00:00.000Z,3977,2,95
2021-04-15T00:00:00.000Z,4040,3,
2021-04-16T00:00:00.000Z,3987,2,96
2021-04-17T00:00:00.000Z,3679,2,73
2021-04-18T00:00:00.000Z,3662,2,72
2021-04-19T00:00:00.000Z,4515,3,35
2021-04-20T00:00:00.000Z,4222,3,14
2021-04-21T00:00:00.000Z,4066,3,2
2021-04-22T00:00:00.000Z,4186,3,11
2021-04-23T00:00:00.000Z,4204,3,12
2021-04-24T00:00:00.000Z,3503,2,6
2021-04-25T00:00:00.000Z,3505,2,6
2021-04-26T00:00:00.000Z,4270,3,17
2021-04-27T00:00:00.000Z,3725,2,77
2021-04-28T00:00:00.000Z,3963,2,94
2021-04-29T00:00:00.000Z,4177,3,1
2021-04-30T00:00:00.000Z,4284,3,18
2021-05-01T00:00:00.000Z,3712,2,76
2021-05-02T00:00:00.000Z,3707,2,75
2021-05-03T00:00:00.000Z,4108,3,5
2021-05-04T00:00:00.000Z,4431,3,29
2021-05-05T00:00:00.000Z,4210,3,13
2021-05-06T00:00:00.000Z,4144,3,8
2021-05-07T00:00:00.000Z,4110,3,5
2021-05-08T00:00:00.000Z,3721,2,76
2021-05-09T00:00:00.000Z,3728,2,77
2021-05-10T00:00:00.000Z,4659,3,46
2021-05-11T00:00:00.000Z,4285,3,18
2021-05-12T00:00:00.000Z,4161,3,9
2021-05-13T00:00:00.000Z,4127,3,7
2021-05-14T00:00:00.000Z,4091,3,4
2021-05-15T00:00:00.000Z,3799,2,82
2021-05-16T00:00:00.000Z,3776,2,8
2021-05-17T00:00:00.000Z,4855,3,61
2021-05-18T00:00:00.000Z,4386,3,26
2021-05-19T00:00:00.000Z,4243,3,15
2021-05-20T00:00:00.000Z,4198,3,12
2021-05-21T00:00:00.000Z,4278,3,18
2021-05-22T00:00:00.000Z,3862,2,87
2021-05-23T00:00:00.000Z,3858,2,87
2021-05-24T00:00:00.000Z,4745,3,53
2021-05-25T00:00:00.000Z,4390,3,26
2021-05-26T00:00:00.000Z,4378,3,25
2021-05-27T00:00:00.000Z,4373,3,25
2021-05-28T00:00:00.000Z,4227,3,14
2021-05-29T00:00:00.000Z,3918,2,91
2021-05-30T00:00:00.000Z,3918,2,91
2021-05-31T00:00:00.000Z,4819,3,58
2021-06-01T00:00:00.000Z,4683,3,48
2021-06-02T00:00:00.000Z,4298,3,19
2021-06-03T00:00:00.000Z,3931,2,92
2021-06-04T00:00:00.000Z,4142,3,8
2021-06-05T00:00:00.000Z,3946,2,93
2021-06-06T00:00:00.000Z,3938,2,93
2021-06-07T00:00:00.000Z,4932,3,66
2021-06-08T00:00:00.000Z,4373,3,25
2021-06-09T00:00:00.000Z,4463,3,32
2021-06-10T00:00:00.000Z,4449,3,31
2021-06-11T00:00:00.000Z,4454,3,31
2021-06-12T00:00:00.000Z,3995,2,97
2021-06-13T00:00:00.000Z,4039,3,
2021-06-14T00:00:00.000Z,5096,3,79
2021-06-15T00:00:00.000Z,4627,3,44
2021-06-16T00:00:00.000Z,4898,3,64
2021-06-17T00:00:00.000Z,4392,3,26
2021-06-18T00:00:00.000Z,4659,3,46
2021-06-19T00:00:00.000Z,4020,2,99
2021-06-20T00:00:00.000Z,4043,3,
2021-06-21T00:00:00.000Z,5037,3,74
2021-06-22T00:00:00.000Z,4642,3,45
2021-06-23T00:00:00.000Z,4562,3,39
2021-06-24T00:00:00.000Z,4552,3,38
2021-06-25T00:00:00.000Z,4687,3,48
2021-06-26T00:00:00.000Z,4343,3,23
2021-06-27T00:00:00.000Z,4205,3,12
2021-06-28T00:00:00.000Z,5222,3,88
2021-06-29T00:00:00.000Z,4571,3,4
2021-06-30T00:00:00.000Z,4616,3,43
2021-07-01T00:00:00.000Z,4788,3,56
2021-07-02T00:00:00.000Z,4467,3,32
2021-07-03T00:00:00.000Z,4010,2,98
2021-07-04T00:00:00.000Z,4022,2,99
2021-07-05T00:00:00.000Z,4902,3,64
2021-07-06T00:00:00.000Z,4432,3,29
2021-07-07T00:00:00.000Z,4571,3,4
2021-07-08T00:00:00.000Z,4362,3,24
2021-07-09T00:00:00.000Z,4458,3,31
2021-07-10T00:00:00.000Z,4044,3,
2021-07-11T00:00:00.000Z,4066,3,2
2021-07-12T00:00:00.000Z,5082,3,78
2021-07-13T00:00:00.000Z,4739,3,52
2021-07-14T00:00:00.000Z,4728,3,51
2021-07-15T00:00:00.000Z,4493,3,34
2021-07-16T00:00:00.000Z,4385,3,26
2021-07-17T00:00:00.000Z,4079,3,3
2021-07-18T00:00:00.000Z,4111,3,5
2021-07-19T00:00:00.000Z,4694,3,49
2021-07-20T00:00:00.000Z,4458,3,31
2021-07-21T00:00:00.000Z,4432,3,29
2021-07-22T00:00:00.000Z,4818,3,58
2021-07-23T00:00:00.000Z,4693,3,49
2021-07-24T00:00:00.000Z,4292,3,19
2021-07-25T00:00:00.000Z,4326,3,21
2021-07-26T00:00:00.000Z,5273,3,92
2021-07-27T00:00:00.000Z,4703,3,49
2021-07-28T00:00:00.000Z,4457,3,31
