Time,Ballooned memory for PM,Consumed for PM,Overhead consumed for PM,Host consumed % for PM,
2021-04-14T00:00:00.000Z,0,554509120,1775199,23,2
2021-04-15T00:00:00.000Z,0,554515520,1775249,23,2
2021-04-16T00:00:00.000Z,0,554510850,1775250,23,2
2021-04-17T00:00:00.000Z,0,554509500,1775295,23,2
2021-04-18T00:00:00.000Z,0,554505340,1775090,23,2
2021-04-19T00:00:00.000Z,0,554506240,1775091,23,2
2021-04-20T00:00:00.000Z,0,554511100,1775135,23,2
2021-04-21T00:00:00.000Z,0,554517760,1775168,23,2
2021-04-22T00:00:00.000Z,0,554516670,1775278,23,2
2021-04-23T00:00:00.000Z,0,554515840,1775257,23,2
2021-04-24T00:00:00.000Z,0,554515010,1775257,23,2
2021-04-25T00:00:00.000Z,0,554510780,1775213,23,2
2021-04-26T00:00:00.000Z,0,554517310,1775233,23,2
2021-04-27T00:00:00.000Z,0,554518340,1775360,23,2
2021-04-28T00:00:00.000Z,0,554515580,1775238,23,2
2021-04-29T00:00:00.000Z,0,554516030,1775306,23,2
2021-04-30T00:00:00.000Z,0,554516800,1775370,23,2
2021-05-01T00:00:00.000Z,0,554525380,1775432,23,2
2021-05-02T00:00:00.000Z,0,554523200,1775471,23,2
2021-05-03T00:00:00.000Z,0,554524350,1775513,23,2
2021-05-04T00:00:00.000Z,0,554525500,1775548,23,2
2021-05-05T00:00:00.000Z,0,554522110,1775551,23,2
2021-05-06T00:00:00.000Z,0,554521920,1775528,23,2
2021-05-07T00:00:00.000Z,0,554517310,1775479,23,2
2021-05-08T00:00:00.000Z,0,554519490,1775526,23,2
2021-05-09T00:00:00.000Z,0,554516030,1775535,23,2
2021-05-10T00:00:00.000Z,0,554516800,1775550,23,2
2021-05-11T00:00:00.000Z,0,554519550,1775617,23,2
2021-05-12T00:00:00.000Z,0,554514820,1775604,23,2
2021-05-13T00:00:00.000Z,0,554515140,1775582,23,2
2021-05-14T00:00:00.000Z,0,554516160,1775651,23,2
2021-05-15T00:00:00.000Z,0,554515840,1775640,23,2
2021-05-16T00:00:00.000Z,0,554510980,1775640,23,2
2021-05-17T00:00:00.000Z,0,554510720,1775579,23,2
2021-05-18T00:00:00.000Z,0,554525120,1775570,23,2
2021-05-19T00:00:00.000Z,0,554525700,1775643,23,2
2021-05-20T00:00:00.000Z,0,554515070,1775655,23,2
2021-05-21T00:00:00.000Z,0,554520000,1775678,23,2
2021-05-22T00:00:00.000Z,0,554523260,1775679,23,2
2021-05-23T00:00:00.000Z,0,554518460,1775678,23,2
2021-05-24T00:00:00.000Z,0,554519940,1775669,23,2
2021-05-25T00:00:00.000Z,0,554522560,1775669,23,2
2021-05-26T00:00:00.000Z,0,554519490,1775661,23,2
2021-05-27T00:00:00.000Z,0,554521790,1775711,23,2
2021-05-28T00:00:00.000Z,0,554520000,1775723,23,2
2021-05-29T00:00:00.000Z,0,554524990,1775740,23,2
2021-05-30T00:00:00.000Z,0,554524540,1775791,23,2
2021-05-31T00:00:00.000Z,0,554519680,1775764,23,2
2021-06-01T00:00:00.000Z,0,554523330,1775750,23,2
2021-06-02T00:00:00.000Z,0,554516930,1775748,23,2
2021-06-03T00:00:00.000Z,0,554520380,1775764,23,2
2021-06-04T00:00:00.000Z,0,554516990,1775784,23,2
2021-06-05T00:00:00.000Z,0,554518020,1775778,23,2
2021-06-06T00:00:00.000Z,0,554520190,1775763,23,2
2021-06-07T00:00:00.000Z,0,554526080,1775785,23,2
2021-06-08T00:00:00.000Z,0,554527490,1775759,23,2
2021-06-09T00:00:00.000Z,0,554523900,1775770,23,2
2021-06-10T00:00:00.000Z,0,554528830,1775753,23,2
2021-06-11T00:00:00.000Z,0,554525950,1775821,23,2
2021-06-12T00:00:00.000Z,0,554527230,1775797,23,2
2021-06-13T00:00:00.000Z,0,554522500,1775831,23,2
2021-06-14T00:00:00.000Z,0,554525120,1775811,23,2
2021-06-15T00:00:00.000Z,0,554525700,1775846,23,2
2021-06-16T00:00:00.000Z,0,554526140,1775789,23,2
2021-06-17T00:00:00.000Z,0,554527230,1775786,23,2
2021-06-18T00:00:00.000Z,0,554525820,1775795,23,2
2021-06-19T00:00:00.000Z,0,554527740,1775841,23,2
2021-06-20T00:00:00.000Z,0,554531390,1775809,23,2
2021-06-21T00:00:00.000Z,0,554529790,1775798,23,2
2021-06-22T00:00:00.000Z,0,554525700,1775821,23,2
2021-06-23T00:00:00.000Z,0,554523460,1775826,23,2
2021-06-24T00:00:00.000Z,0,554527680,1775839,23,2
2021-06-25T00:00:00.000Z,0,554525120,1775830,23,2
2021-06-26T00:00:00.000Z,0,554529860,1775819,23,2
2021-06-27T00:00:00.000Z,0,554525250,1775850,23,2
2021-06-28T00:00:00.000Z,0,554523780,1775847,23,2
2021-06-29T00:00:00.000Z,0,554530370,1775841,23,2
2021-06-30T00:00:00.000Z,0,554522050,1775800,23,2
2021-07-01T00:00:00.000Z,0,554528640,1775799,23,2
2021-07-02T00:00:00.000Z,0,554533760,1775795,23,2
2021-07-03T00:00:00.000Z,0,554531390,1775864,23,2
2021-07-04T00:00:00.000Z,0,554534020,1775819,23,2
2021-07-05T00:00:00.000Z,0,554530560,1775767,23,2
2021-07-06T00:00:00.000Z,0,554535420,1775784,23,2
2021-07-07T00:00:00.000Z,0,554532030,1775802,23,2
2021-07-08T00:00:00.000Z,0,554534140,1775816,23,2
2021-07-09T00:00:00.000Z,0,554537920,1775817,23,2
2021-07-10T00:00:00.000Z,0,554539900,1775820,23,2
2021-07-11T00:00:00.000Z,0,554540990,1775888,23,2
2021-07-12T00:00:00.000Z,0,554543420,1775850,23,2
2021-07-13T00:00:00.000Z,0,554538300,1775888,23,2
2021-07-14T00:00:00.000Z,0,554539970,1775937,23,2
2021-07-15T00:00:00.000Z,0,554539580,1775900,23,2
2021-07-16T00:00:00.000Z,0,554539520,1775900,23,2
2021-07-17T00:00:00.000Z,0,554540930,1775918,23,2
2021-07-18T00:00:00.000Z,0,554543230,1775913,23,2
2021-07-19T00:00:00.000Z,0,554543230,1775852,23,2
2021-07-20T00:00:00.000Z,0,554541060,1775885,23,2
2021-07-21T00:00:00.000Z,0,554540990,1775909,23,2
2021-07-22T00:00:00.000Z,0,554541760,1775915,23,2
2021-07-23T00:00:00.000Z,0,554539970,1775911,23,2
2021-07-24T00:00:00.000Z,0,554539650,1775895,23,2
2021-07-25T00:00:00.000Z,0,554540350,1775943,23,2
2021-07-26T00:00:00.000Z,0,554538240,1775892,23,2
2021-07-27T00:00:00.000Z,0,554544260,1775588,23,2
2021-07-28T00:00:00.000Z,0,554489090,1775395,23,2
2021-07-29T00:00:00.000Z,0,554536770,1775454,23,2
2021-07-30T00:00:00.000Z,0,554533120,1775513,23,2
2021-07-31T00:00:00.000Z,0,554536320,1775610,23,2
2021-08-01T00:00:00.000Z,0,554536320,1775640,23,2
2021-08-02T00:00:00.000Z,0,554542460,1775621,23,2
2021-08-03T00:00:00.000Z,0,555278590,1810154,23,6
2021-08-04T00:00:00.000Z,0,558014780,1810295,23,17
2021-08-05T00:00:00.000Z,0,564225980,1822818,23,43
2021-08-06T00:00:00.000Z,0,564245380,1825178,23,43
2021-08-07T00:00:00.000Z,0,563926530,1834389,23,41
2021-08-08T00:00:00.000Z,0,564372670,1858881,23,43
2021-08-09T00:00:00.000Z,0,564392260,1863424,23,44
2021-08-10T00:00:00.000Z,0,564408000,1866562,23,44
2021-08-11T00:00:00.000Z,0,564406270,1869560,23,44
2021-08-12T00:00:00.000Z,0,564397570,1871221,23,44
2021-08-13T00:00:00.000Z,0,564373120,1871329,23,44
2021-08-14T00:00:00.000Z,0,564370050,1871411,23,44
2021-08-15T00:00:00.000Z,0,564386940,1871483,23,44
2021-08-16T00:00:00.000Z,0,564387260,1871487,23,44
2021-08-17T00:00:00.000Z,0,564388670,1871509,23,44
2021-08-18T00:00:00.000Z,0,564386300,1871569,23,44
2021-08-19T00:00:00.000Z,0,564378110,1871567,23,44
2021-08-20T00:00:00.000Z,0,564383810,1871571,23,44
2021-08-21T00:00:00.000Z,0,564371140,1871644,23,44
2021-08-22T00:00:00.000Z,0,564383680,1871660,23,44
2021-08-23T00:00:00.000Z,0,564392450,1871579,23,44
2021-08-24T00:00:00.000Z,0,564382460,1871606,23,44
2021-08-25T00:00:00.000Z,0,564387650,1871250,23,44
2021-08-26T00:00:00.000Z,0,564381950,1871336,23,44
2021-08-27T00:00:00.000Z,0,564373630,1871191,23,44
2021-08-28T00:00:00.000Z,0,564391230,1871345,23,44
2021-08-29T00:00:00.000Z,0,564383870,1871370,23,44
2021-08-30T00:00:00.000Z,0,564395200,1871328,23,44
2021-08-31T00:00:00.000Z,0,564371070,1871401,23,44
2021-09-01T00:00:00.000Z,0,564373570,1871246,23,44
2021-09-02T00:00:00.000Z,0,564379010,1871375,23,44
2021-09-03T00:00:00.000Z,0,619287620,2100555,25,72
2021-09-04T00:00:00.000Z,0,634336060,2130260,26,34
2021-09-05T00:00:00.000Z,0,637764860,2137039,26,48
2021-09-06T00:00:00.000Z,0,639778180,2141219,26,57
2021-09-07T00:00:00.000Z,0,639808380,2141684,26,57
2021-09-08T00:00:00.000Z,0,639793790,2141826,26,57
2021-09-09T00:00:00.000Z,0,639806590,2141967,26,57
2021-09-10T00:00:00.000Z,0,639820990,2141911,26,57
2021-09-11T00:00:00.000Z,0,639854140,2141990,26,57
2021-09-12T00:00:00.000Z,0,639894980,2142060,26,57
2021-09-13T00:00:00.000Z,0,639900610,2142142,26,57
2021-09-14T00:00:00.000Z,0,639964350,2142283,26,58
2021-09-15T00:00:00.000Z,0,639955900,2142270,26,58
2021-09-16T00:00:00.000Z,0,639956540,2142257,26,58
2021-09-17T00:00:00.000Z,0,639958720,2142294,26,58
2021-09-18T00:00:00.000Z,0,639967040,2142318,26,58
2021-09-19T00:00:00.000Z,0,639969090,2142276,26,58
2021-09-20T00:00:00.000Z,0,639967810,2142254,26,58
2021-09-21T00:00:00.000Z,0,639960380,2142263,26,58
2021-09-22T00:00:00.000Z,0,639961470,2142266,26,58
2021-09-23T00:00:00.000Z,0,639973440,2142266,26,58
2021-09-24T00:00:00.000Z,0,639966660,2142284,26,58
2021-09-25T00:00:00.000Z,0,639975170,2142387,26,58
2021-09-26T00:00:00.000Z,0,639976000,2142279,26,58
2021-09-27T00:00:00.000Z,0,639964990,2142289,26,58
2021-09-28T00:00:00.000Z,0,639964030,2142268,26,58
2021-09-29T00:00:00.000Z,0,639966720,2142306,26,58
2021-09-30T00:00:00.000Z,0,639964420,2142202,26,58
2021-10-01T00:00:00.000Z,0,639986560,2139468,26,58
2021-10-02T00:00:00.000Z,0,639982660,2139668,26,58
2021-10-03T00:00:00.000Z,0,639990980,2139844,26,58
2021-10-04T00:00:00.000Z,0,639993540,2139977,26,58
2021-10-05T00:00:00.000Z,0,639978300,2140168,26,58
2021-10-06T00:00:00.000Z,0,639992450,2140031,26,58
2021-10-07T00:00:00.000Z,0,639985540,2140045,26,58
2021-10-08T00:00:00.000Z,0,639970620,2140152,26,58
2021-10-09T00:00:00.000Z,0,639984130,2140125,26,58
2021-10-10T00:00:00.000Z,0,639988420,2140455,26,58
2021-10-11T00:00:00.000Z,0,639987010,2141690,26,58
2021-10-12T00:00:00.000Z,0,639975740,2141679,26,58
2021-10-13T00:00:00.000Z,0,639984450,2141696,26,58
2021-10-14T00:00:00.000Z,0,639983230,2141704,26,58
2021-10-15T00:00:00.000Z,0,639986430,2141667,26,58
2021-10-16T00:00:00.000Z,0,640005250,2141725,26,58
2021-10-17T00:00:00.000Z,0,640008130,2141757,26,58
2021-10-18T00:00:00.000Z,0,640006210,2141617,26,58
2021-10-19T00:00:00.000Z,0,639993020,2141639,26,58
2021-10-20T00:00:00.000Z,0,639994240,2141658,26,58
2021-10-21T00:00:00.000Z,0,639991170,2141609,26,58
2021-10-22T00:00:00.000Z,0,642656900,2276044,26,7
2021-10-23T00:00:00.000Z,0,664128130,2281260,27,58
2021-10-24T00:00:00.000Z,0,666067460,2285340,27,66
2021-10-25T00:00:00.000Z,0,668251140,2288224,27,75
2021-10-26T00:00:00.000Z,0,670427260,2294051,27,84
2021-10-27T00:00:00.000Z,0,672135100,2297216,27,91
2021-10-28T00:00:00.000Z,0,674001790,2300406,27,99
2021-10-29T00:00:00.000Z,0,675761540,2304292,28,6
2021-10-30T00:00:00.000Z,0,677263360,2307426,28,13
2021-10-31T00:00:00.000Z,0,678793980,2310323,28,19
2021-11-01T00:00:00.000Z,0,680203330,2313394,28,25
2021-11-02T00:00:00.000Z,0,681788420,2316569,28,31
2021-11-03T00:00:00.000Z,0,683336700,2319587,28,38
2021-11-04T00:00:00.000Z,0,684980350,2322926,28,45
2021-11-05T00:00:00.000Z,0,686570370,2326254,28,51
2021-11-06T00:00:00.000Z,0,687593340,2328302,28,56
2021-11-07T00:00:00.000Z,0,688796420,2330895,28,61
2021-11-08T00:00:00.000Z,0,690261120,2333513,28,67
2021-11-09T00:00:00.000Z,0,690414270,2333690,28,67
2021-11-10T00:00:00.000Z,0,690412290,2333610,28,67
2021-11-11T00:00:00.000Z,0,690395840,2333708,28,67
2021-11-12T00:00:00.000Z,0,690408060,2333735,28,67
2021-11-13T00:00:00.000Z,0,690406530,2333760,28,67
2021-11-14T00:00:00.000Z,0,690386110,2333840,28,67
2021-11-15T00:00:00.000Z,0,690378820,2333807,28,67
2021-11-16T00:00:00.000Z,,,,,
2021-11-17T00:00:00.000Z,0,690405820,2333980,28,67
2021-11-18T00:00:00.000Z,0,690409340,2334039,28,67
2021-11-19T00:00:00.000Z,0,690411710,2334020,28,67
2021-11-20T00:00:00.000Z,0,690414980,2334178,28,67
2021-11-21T00:00:00.000Z,0,690421180,2334121,28,67
2021-11-22T00:00:00.000Z,0,690417540,2334087,28,67
2021-11-23T00:00:00.000Z,0,690403520,2334179,28,67
2021-11-24T00:00:00.000Z,0,690401920,2334140,28,67
2021-11-25T00:00:00.000Z,0,690411970,2334171,28,67
2021-11-26T00:00:00.000Z,0,690409090,2333992,28,67
2021-11-27T00:00:00.000Z,0,690422340,2334205,28,67
2021-11-28T00:00:00.000Z,0,690424260,2334321,28,67
2021-11-29T00:00:00.000Z,0,690419840,2334084,28,67
2021-11-30T00:00:00.000Z,0,690423100,2334107,28,67
2021-12-01T00:00:00.000Z,0,690419010,2334174,28,67
2021-12-02T00:00:00.000Z,0,690420480,2334247,28,67
2021-12-03T00:00:00.000Z,0,690419710,2334108,28,67
2021-12-04T00:00:00.000Z,0,690426820,2333485,28,67
2021-12-05T00:00:00.000Z,0,690423680,2333621,28,67
2021-12-06T00:00:00.000Z,0,690421060,2333721,28,67
2021-12-07T00:00:00.000Z,0,690419780,2333996,28,67
2021-12-08T00:00:00.000Z,0,690404100,2334148,28,67
2021-12-09T00:00:00.000Z,0,690412350,2334121,28,67
2021-12-10T00:00:00.000Z,0,690408830,2334456,28,67
2021-12-11T00:00:00.000Z,0,690410750,2334239,28,67
2021-12-12T00:00:00.000Z,0,690415490,2334180,28,67
2021-12-13T00:00:00.000Z,0,690416260,2334234,28,67
2021-12-14T00:00:00.000Z,0,690414850,2334303,28,67
2021-12-15T00:00:00.000Z,0,690408700,2334257,28,67
2021-12-16T00:00:00.000Z,0,690412540,2334230,28,67
2021-12-17T00:00:00.000Z,0,690414400,2334238,28,67
2021-12-18T00:00:00.000Z,0,690416580,2334392,28,67
2021-12-19T00:00:00.000Z,0,690418880,2334270,28,67
2021-12-20T00:00:00.000Z,0,690424770,2334367,28,67
2021-12-21T00:00:00.000Z,0,690417340,2334328,28,67
2021-12-22T00:00:00.000Z,0,690418560,2334370,28,67
2021-12-23T00:00:00.000Z,0,690402050,2334439,28,67
2021-12-24T00:00:00.000Z,0,690406340,2334463,28,67
2021-12-25T00:00:00.000Z,0,690409860,2334441,28,67
2021-12-26T00:00:00.000Z,0,690423360,2334524,28,67
2021-12-27T00:00:00.000Z,0,690425660,2334385,28,67
2021-12-28T00:00:00.000Z,0,690422530,2334343,28,67
2021-12-29T00:00:00.000Z,0,690439490,2334409,28,67
2021-12-30T00:00:00.000Z,0,690436030,2334320,28,67
2021-12-31T00:00:00.000Z,0,690440000,2334272,28,67
2022-01-01T00:00:00.000Z,0,690446590,2334353,28,67
2022-01-02T00:00:00.000Z,0,690436290,2334316,28,67
2022-01-03T00:00:00.000Z,0,690435970,2334318,28,67
2022-01-04T00:00:00.000Z,0,690420670,2334325,28,67
2022-01-05T00:00:00.000Z,0,690422400,2334380,28,67
2022-01-06T00:00:00.000Z,0,690418620,2334387,28,67
2022-01-07T00:00:00.000Z,0,690443900,2334324,28,67
2022-01-08T00:00:00.000Z,0,690450050,2334324,28,67
2022-01-09T00:00:00.000Z,0,690448060,2334442,28,67
2022-01-10T00:00:00.000Z,0,690458820,2334403,28,67
2022-01-11T00:00:00.000Z,0,690450560,2334392,28,67
2022-01-12T00:00:00.000Z,0,690456900,2334416,28,67
2022-01-13T00:00:00.000Z,0,690467580,2334377,28,67
2022-01-14T00:00:00.000Z,0,690456450,2334291,28,67
2022-01-15T00:00:00.000Z,0,690456640,2333641,28,67
2022-01-16T00:00:00.000Z,0,690458560,2333652,28,67
2022-01-17T00:00:00.000Z,0,690457410,2333944,28,67
2022-01-18T00:00:00.000Z,0,690456960,2333982,28,67
2022-01-19T00:00:00.000Z,0,690450750,2334316,28,67
2022-01-20T00:00:00.000Z,0,690468220,2334301,28,67
2022-01-21T00:00:00.000Z,0,690462980,2334400,28,67
2022-01-22T00:00:00.000Z,0,690463040,2334292,28,67
2022-01-23T00:00:00.000Z,0,690490500,2334377,28,68
2022-01-24T00:00:00.000Z,0,690490880,2334262,28,68
2022-01-25T00:00:00.000Z,0,690481150,2334259,28,67
2022-01-26T00:00:00.000Z,0,690477820,2334244,28,67
2022-01-27T00:00:00.000Z,0,690476800,2334260,28,67
2022-01-28T00:00:00.000Z,0,690488060,2334208,28,68
2022-01-29T00:00:00.000Z,0,690493120,2334336,28,68
2022-01-30T00:00:00.000Z,0,690487230,2334467,28,68
2022-01-31T00:00:00.000Z,0,690495740,2334347,28,68
2022-02-01T00:00:00.000Z,0,690485120,2334373,28,68
2022-02-02T00:00:00.000Z,0,690473340,2334285,28,67
2022-02-03T00:00:00.000Z,0,690470590,2334237,28,67
2022-02-04T00:00:00.000Z,0,690481410,2334346,28,67
2022-02-05T00:00:00.000Z,0,690469440,2334390,28,67
2022-02-06T00:00:00.000Z,0,690476100,2334438,28,67
2022-02-07T00:00:00.000Z,0,690471420,2334494,28,67
2022-02-08T00:00:00.000Z,0,690468540,2333653,28,67
2022-02-09T00:00:00.000Z,0,690458370,2333901,28,67
2022-02-10T00:00:00.000Z,0,690463100,2334155,28,67
2022-02-11T00:00:00.000Z,0,690466180,2334319,28,67
2022-02-12T00:00:00.000Z,0,690465540,2334304,28,67
2022-02-13T00:00:00.000Z,0,690462780,2334403,28,67
2022-02-14T00:00:00.000Z,0,690453500,2334444,28,67
2022-02-15T00:00:00.000Z,0,690471170,2334255,28,67
2022-02-16T00:00:00.000Z,0,690467460,2334363,28,67
2022-02-17T00:00:00.000Z,0,690468100,2334366,28,67
2022-02-18T00:00:00.000Z,0,690465410,2334311,28,67
2022-02-19T00:00:00.000Z,0,690468220,2334298,28,67
2022-02-20T00:00:00.000Z,0,690475900,2334406,28,67
2022-02-21T00:00:00.000Z,0,690476860,2334403,28,67
2022-02-22T00:00:00.000Z,0,690474820,2334257,28,67
2022-02-23T00:00:00.000Z,0,690470780,2334299,28,67
2022-02-24T00:00:00.000Z,0,690466940,2334369,28,67
2022-02-25T00:00:00.000Z,0,690469180,2334411,28,67
2022-02-26T00:00:00.000Z,0,690469500,2334276,28,67
2022-02-27T00:00:00.000Z,0,690470140,2334305,28,67
2022-02-28T00:00:00.000Z,0,690463870,2334418,28,67
2022-03-01T00:00:00.000Z,0,690458940,2334356,28,67
2022-03-02T00:00:00.000Z,0,690470590,2334432,28,67
2022-03-03T00:00:00.000Z,0,690471870,2334418,28,67
2022-03-04T00:00:00.000Z,0,690465660,2334312,28,67
2022-03-05T00:00:00.000Z,0,690453380,2334328,28,67
2022-03-06T00:00:00.000Z,0,690468670,2334170,28,67
2022-03-07T00:00:00.000Z,0,690485380,2334341,28,68
2022-03-08T00:00:00.000Z,0,690469250,2334349,28,67
2022-03-09T00:00:00.000Z,0,690454590,2334460,28,67
2022-03-10T00:00:00.000Z,0,690456190,2334692,28,67
2022-03-11T00:00:00.000Z,0,690483390,2335044,28,67
2022-03-12T00:00:00.000Z,0,690465020,2335140,28,67
2022-03-13T00:00:00.000Z,0,690464000,2335135,28,67
2022-03-14T00:00:00.000Z,0,690468220,2335290,28,67
2022-03-15T00:00:00.000Z,0,690465540,2335227,28,67
2022-03-16T00:00:00.000Z,0,690457090,2335318,28,67
2022-03-17T00:00:00.000Z,0,690457540,2335467,28,67
2022-03-18T00:00:00.000Z,0,690471360,2335555,28,67
2022-03-19T00:00:00.000Z,0,690477890,2335535,28,67
2022-03-20T00:00:00.000Z,0,690484860,2335582,28,68
2022-03-21T00:00:00.000Z,0,690478590,2335539,28,67
2022-03-22T00:00:00.000Z,0,690475840,2335627,28,67
2022-03-23T00:00:00.000Z,0,690477060,2335813,28,67
2022-03-24T00:00:00.000Z,0,690481410,2335672,28,67
2022-03-25T00:00:00.000Z,0,690479550,2335968,28,67
