Time,Usage for PM_n1
2021-04-14T00:00:00.000Z,61
2021-04-15T00:00:00.000Z,60
2021-04-16T00:00:00.000Z,60
2021-04-17T00:00:00.000Z,61
2021-04-18T00:00:00.000Z,59
2021-04-19T00:00:00.000Z,59
2021-04-20T00:00:00.000Z,55
2021-04-21T00:00:00.000Z,55
2021-04-22T00:00:00.000Z,55
2021-04-23T00:00:00.000Z,57
2021-04-24T00:00:00.000Z,58
2021-04-25T00:00:00.000Z,57
2021-04-26T00:00:00.000Z,56
2021-04-27T00:00:00.000Z,57
2021-04-28T00:00:00.000Z,57
2021-04-29T00:00:00.000Z,59
2021-04-30T00:00:00.000Z,59
2021-05-01T00:00:00.000Z,60
2021-05-02T00:00:00.000Z,60
2021-05-03T00:00:00.000Z,64
2021-05-04T00:00:00.000Z,60
2021-05-05T00:00:00.000Z,60
2021-05-06T00:00:00.000Z,61
2021-05-07T00:00:00.000Z,60
2021-05-08T00:00:00.000Z,61
2021-05-09T00:00:00.000Z,59
2021-05-10T00:00:00.000Z,62
2021-05-11T00:00:00.000Z,61
2021-05-12T00:00:00.000Z,61
2021-05-13T00:00:00.000Z,60
2021-05-14T00:00:00.000Z,61
2021-05-15T00:00:00.000Z,61
2021-05-16T00:00:00.000Z,59
2021-05-17T00:00:00.000Z,59
2021-05-18T00:00:00.000Z,61
2021-05-19T00:00:00.000Z,61
2021-05-20T00:00:00.000Z,62
2021-05-21T00:00:00.000Z,61
2021-05-22T00:00:00.000Z,63
2021-05-23T00:00:00.000Z,62
2021-05-24T00:00:00.000Z,61
2021-05-25T00:00:00.000Z,64
2021-05-26T00:00:00.000Z,61
2021-05-27T00:00:00.000Z,60
2021-05-28T00:00:00.000Z,61
2021-05-29T00:00:00.000Z,60
2021-05-30T00:00:00.000Z,62
2021-05-31T00:00:00.000Z,62
2021-06-01T00:00:00.000Z,62
2021-06-02T00:00:00.000Z,61
2021-06-03T00:00:00.000Z,61
2021-06-04T00:00:00.000Z,61
2021-06-05T00:00:00.000Z,62
2021-06-06T00:00:00.000Z,61
2021-06-07T00:00:00.000Z,61
2021-06-08T00:00:00.000Z,60
2021-06-09T00:00:00.000Z,61
2021-06-10T00:00:00.000Z,60
2021-06-11T00:00:00.000Z,60
2021-06-12T00:00:00.000Z,60
2021-06-13T00:00:00.000Z,61
2021-06-14T00:00:00.000Z,64
2021-06-15T00:00:00.000Z,62
2021-06-16T00:00:00.000Z,63
2021-06-17T00:00:00.000Z,63
2021-06-18T00:00:00.000Z,61
2021-06-19T00:00:00.000Z,62
2021-06-20T00:00:00.000Z,62
2021-06-21T00:00:00.000Z,59
2021-06-22T00:00:00.000Z,59
2021-06-23T00:00:00.000Z,59
2021-06-24T00:00:00.000Z,59
2021-06-25T00:00:00.000Z,62
2021-06-26T00:00:00.000Z,60
2021-06-27T00:00:00.000Z,60
2021-06-28T00:00:00.000Z,60
2021-06-29T00:00:00.000Z,60
2021-06-30T00:00:00.000Z,59
2021-07-01T00:00:00.000Z,61
2021-07-02T00:00:00.000Z,95
2021-07-03T00:00:00.000Z,64
2021-07-04T00:00:00.000Z,64
2021-07-05T00:00:00.000Z,64
2021-07-06T00:00:00.000Z,64
2021-07-07T00:00:00.000Z,64
2021-07-08T00:00:00.000Z,68
2021-07-09T00:00:00.000Z,69
2021-07-10T00:00:00.000Z,64
2021-07-11T00:00:00.000Z,64
2021-07-12T00:00:00.000Z,65
2021-07-13T00:00:00.000Z,64
2021-07-14T00:00:00.000Z,65
2021-07-15T00:00:00.000Z,64
2021-07-16T00:00:00.000Z,64
2021-07-17T00:00:00.000Z,65
2021-07-18T00:00:00.000Z,64
2021-07-19T00:00:00.000Z,65
2021-07-20T00:00:00.000Z,64
2021-07-21T00:00:00.000Z,64
2021-07-22T00:00:00.000Z,64
2021-07-23T00:00:00.000Z,64
2021-07-24T00:00:00.000Z,64
2021-07-25T00:00:00.000Z,64
2021-07-26T00:00:00.000Z,64
2021-07-27T00:00:00.000Z,66
2021-07-28T00:00:00.000Z,73
2021-07-29T00:00:00.000Z,58
2021-07-30T00:00:00.000Z,57
2021-07-31T00:00:00.000Z,59
2021-08-01T00:00:00.000Z,57
2021-08-02T00:00:00.000Z,58
2021-08-03T00:00:00.000Z,323
2021-08-04T00:00:00.000Z,77
2021-08-05T00:00:00.000Z,82
2021-08-06T00:00:00.000Z,8463
2021-08-07T00:00:00.000Z,4541
2021-08-08T00:00:00.000Z,161
2021-08-09T00:00:00.000Z,253
2021-08-10T00:00:00.000Z,161
2021-08-11T00:00:00.000Z,165
2021-08-12T00:00:00.000Z,162
2021-08-13T00:00:00.000Z,164
2021-08-14T00:00:00.000Z,180
2021-08-15T00:00:00.000Z,167
2021-08-16T00:00:00.000Z,174
2021-08-17T00:00:00.000Z,166
2021-08-18T00:00:00.000Z,166
2021-08-19T00:00:00.000Z,165
2021-08-20T00:00:00.000Z,179
2021-08-21T00:00:00.000Z,178
2021-08-22T00:00:00.000Z,173
2021-08-23T00:00:00.000Z,179
2021-08-24T00:00:00.000Z,169
2021-08-25T00:00:00.000Z,177
2021-08-26T00:00:00.000Z,166
2021-08-27T00:00:00.000Z,164
2021-08-28T00:00:00.000Z,164
2021-08-29T00:00:00.000Z,166
2021-08-30T00:00:00.000Z,166
2021-08-31T00:00:00.000Z,166
2021-09-01T00:00:00.000Z,163
2021-09-02T00:00:00.000Z,161
2021-09-03T00:00:00.000Z,1536
2021-09-04T00:00:00.000Z,954
2021-09-05T00:00:00.000Z,956
2021-09-06T00:00:00.000Z,1395
2021-09-07T00:00:00.000Z,1334
2021-09-08T00:00:00.000Z,1326
2021-09-09T00:00:00.000Z,1263
2021-09-10T00:00:00.000Z,1431
2021-09-11T00:00:00.000Z,1046
2021-09-12T00:00:00.000Z,978
2021-09-13T00:00:00.000Z,1367
2021-09-14T00:00:00.000Z,1644
2021-09-15T00:00:00.000Z,1565
2021-09-16T00:00:00.000Z,1624
2021-09-17T00:00:00.000Z,1521
2021-09-18T00:00:00.000Z,1105
2021-09-19T00:00:00.000Z,986
2021-09-20T00:00:00.000Z,1639
2021-09-21T00:00:00.000Z,1512
2021-09-22T00:00:00.000Z,1678
2021-09-23T00:00:00.000Z,1467
2021-09-24T00:00:00.000Z,1382
2021-09-25T00:00:00.000Z,989
2021-09-26T00:00:00.000Z,1013
2021-09-27T00:00:00.000Z,1404
2021-09-28T00:00:00.000Z,1554
2021-09-29T00:00:00.000Z,1786
2021-09-30T00:00:00.000Z,2566
2021-10-01T00:00:00.000Z,1450
2021-10-02T00:00:00.000Z,850
2021-10-03T00:00:00.000Z,483
2021-10-04T00:00:00.000Z,1406
2021-10-05T00:00:00.000Z,1132
2021-10-06T00:00:00.000Z,19129
2021-10-07T00:00:00.000Z,1341
2021-10-08T00:00:00.000Z,1346
2021-10-09T00:00:00.000Z,1101
2021-10-10T00:00:00.000Z,842
2021-10-11T00:00:00.000Z,1342
2021-10-12T00:00:00.000Z,1572
2021-10-13T00:00:00.000Z,1769
2021-10-14T00:00:00.000Z,2084
2021-10-15T00:00:00.000Z,1670
2021-10-16T00:00:00.000Z,1083
2021-10-17T00:00:00.000Z,1141
2021-10-18T00:00:00.000Z,1406
2021-10-19T00:00:00.000Z,1522
2021-10-20T00:00:00.000Z,1680
2021-10-21T00:00:00.000Z,1567
2021-10-22T00:00:00.000Z,1695
2021-10-23T00:00:00.000Z,1028
2021-10-24T00:00:00.000Z,933
2021-10-25T00:00:00.000Z,1651
2021-10-26T00:00:00.000Z,5340
2021-10-27T00:00:00.000Z,1953
2021-10-28T00:00:00.000Z,2120
2021-10-29T00:00:00.000Z,1729
2021-10-30T00:00:00.000Z,1128
2021-10-31T00:00:00.000Z,1039
2021-11-01T00:00:00.000Z,1108
2021-11-02T00:00:00.000Z,1470
2021-11-03T00:00:00.000Z,1570
2021-11-04T00:00:00.000Z,1572
2021-11-05T00:00:00.000Z,1752
2021-11-06T00:00:00.000Z,1085
2021-11-07T00:00:00.000Z,1100
2021-11-08T00:00:00.000Z,2263
2021-11-09T00:00:00.000Z,1795
2021-11-10T00:00:00.000Z,1936
2021-11-11T00:00:00.000Z,959
2021-11-12T00:00:00.000Z,1378
2021-11-13T00:00:00.000Z,1113
2021-11-14T00:00:00.000Z,1021
2021-11-15T00:00:00.000Z,1835
2021-11-16T00:00:00.000Z,
2021-11-17T00:00:00.000Z,2199
2021-11-18T00:00:00.000Z,2306
2021-11-19T00:00:00.000Z,2144
2021-11-20T00:00:00.000Z,1645
2021-11-21T00:00:00.000Z,1393
2021-11-22T00:00:00.000Z,1792
2021-11-23T00:00:00.000Z,2302
2021-11-24T00:00:00.000Z,2398
2021-11-25T00:00:00.000Z,1746
2021-11-26T00:00:00.000Z,1672
2021-11-27T00:00:00.000Z,1392
2021-11-28T00:00:00.000Z,1288
2021-11-29T00:00:00.000Z,1691
2021-11-30T00:00:00.000Z,1720
2021-12-01T00:00:00.000Z,1656
2021-12-02T00:00:00.000Z,3145
2021-12-03T00:00:00.000Z,4321
2021-12-04T00:00:00.000Z,1559
2021-12-05T00:00:00.000Z,1136
2021-12-06T00:00:00.000Z,1484
2021-12-07T00:00:00.000Z,1608
2021-12-08T00:00:00.000Z,1657
2021-12-09T00:00:00.000Z,1612
2021-12-10T00:00:00.000Z,1665
2021-12-11T00:00:00.000Z,1527
2021-12-12T00:00:00.000Z,1200
2021-12-13T00:00:00.000Z,1630
2021-12-14T00:00:00.000Z,1937
2021-12-15T00:00:00.000Z,1733
2021-12-16T00:00:00.000Z,2033
2021-12-17T00:00:00.000Z,1673
2021-12-18T00:00:00.000Z,1461
2021-12-19T00:00:00.000Z,1342
2021-12-20T00:00:00.000Z,1745
2021-12-21T00:00:00.000Z,1599
2021-12-22T00:00:00.000Z,1785
2021-12-23T00:00:00.000Z,2033
2021-12-24T00:00:00.000Z,1505
2021-12-25T00:00:00.000Z,1390
2021-12-26T00:00:00.000Z,1252
2021-12-27T00:00:00.000Z,1730
2021-12-28T00:00:00.000Z,3591
2021-12-29T00:00:00.000Z,2531
2021-12-30T00:00:00.000Z,2192
2021-12-31T00:00:00.000Z,1948
2022-01-01T00:00:00.000Z,1600
2022-01-02T00:00:00.000Z,1276
2022-01-03T00:00:00.000Z,1680
2022-01-04T00:00:00.000Z,1783
2022-01-05T00:00:00.000Z,1608
2022-01-06T00:00:00.000Z,1413
2022-01-07T00:00:00.000Z,1520
2022-01-08T00:00:00.000Z,1436
2022-01-09T00:00:00.000Z,796
2022-01-10T00:00:00.000Z,1144
2022-01-11T00:00:00.000Z,1836
2022-01-12T00:00:00.000Z,1619
2022-01-13T00:00:00.000Z,1856
2022-01-14T00:00:00.000Z,1713
2022-01-15T00:00:00.000Z,1412
2022-01-16T00:00:00.000Z,1141
2022-01-17T00:00:00.000Z,1462
2022-01-18T00:00:00.000Z,1666
2022-01-19T00:00:00.000Z,1792
2022-01-20T00:00:00.000Z,1678
2022-01-21T00:00:00.000Z,1698
2022-01-22T00:00:00.000Z,1527
2022-01-23T00:00:00.000Z,1363
2022-01-24T00:00:00.000Z,1810
2022-01-25T00:00:00.000Z,1870
2022-01-26T00:00:00.000Z,1840
2022-01-27T00:00:00.000Z,2048
2022-01-28T00:00:00.000Z,2118
2022-01-29T00:00:00.000Z,1555
2022-01-30T00:00:00.000Z,1318
2022-01-31T00:00:00.000Z,1651
2022-02-01T00:00:00.000Z,1834
2022-02-02T00:00:00.000Z,1783
2022-02-03T00:00:00.000Z,1749
2022-02-04T00:00:00.000Z,1808
2022-02-05T00:00:00.000Z,1548
2022-02-06T00:00:00.000Z,1557
2022-02-07T00:00:00.000Z,3698
2022-02-08T00:00:00.000Z,3158
2022-02-09T00:00:00.000Z,1866
2022-02-10T00:00:00.000Z,2156
2022-02-11T00:00:00.000Z,3556
2022-02-12T00:00:00.000Z,1571
2022-02-13T00:00:00.000Z,1545
2022-02-14T00:00:00.000Z,1947
2022-02-15T00:00:00.000Z,2130
2022-02-16T00:00:00.000Z,1975
2022-02-17T00:00:00.000Z,1888
2022-02-18T00:00:00.000Z,1684
2022-02-19T00:00:00.000Z,1615
2022-02-20T00:00:00.000Z,1605
2022-02-21T00:00:00.000Z,1916
2022-02-22T00:00:00.000Z,2133
2022-02-23T00:00:00.000Z,1914
2022-02-24T00:00:00.000Z,1857
2022-02-25T00:00:00.000Z,1707
2022-02-26T00:00:00.000Z,1622
2022-02-27T00:00:00.000Z,1451
2022-02-28T00:00:00.000Z,1675
2022-03-01T00:00:00.000Z,2079
2022-03-02T00:00:00.000Z,1963
2022-03-03T00:00:00.000Z,2108
2022-03-04T00:00:00.000Z,2108
2022-03-05T00:00:00.000Z,1703
2022-03-06T00:00:00.000Z,2507
2022-03-07T00:00:00.000Z,3242
2022-03-08T00:00:00.000Z,3021
2022-03-09T00:00:00.000Z,3082
2022-03-10T00:00:00.000Z,3045
2022-03-11T00:00:00.000Z,2777
2022-03-12T00:00:00.000Z,2187
2022-03-13T00:00:00.000Z,2233
2022-03-14T00:00:00.000Z,2398
2022-03-15T00:00:00.000Z,2732
2022-03-16T00:00:00.000Z,2074
2022-03-17T00:00:00.000Z,2683
2022-03-18T00:00:00.000Z,2140
2022-03-19T00:00:00.000Z,2001
2022-03-20T00:00:00.000Z,1275
2022-03-21T00:00:00.000Z,1684
2022-03-22T00:00:00.000Z,1939
2022-03-23T00:00:00.000Z,2336
2022-03-24T00:00:00.000Z,2150
2022-03-25T00:00:00.000Z,7618
2022-03-26T00:00:00.000Z,6525
2022-03-27T00:00:00.000Z,3354
2022-03-28T00:00:00.000Z,2939
2022-03-29T00:00:00.000Z,2532
2022-03-30T00:00:00.000Z,1410
2022-03-31T00:00:00.000Z,2486
2022-04-01T00:00:00.000Z,2520
