Time,Usage for R02_n1
2021-04-13T00:00:00.000Z,3929
2021-04-14T00:00:00.000Z,3630
2021-04-15T00:00:00.000Z,4452
2021-04-16T00:00:00.000Z,3764
2021-04-17T00:00:00.000Z,3392
2021-04-18T00:00:00.000Z,4950
2021-04-19T00:00:00.000Z,3920
2021-04-20T00:00:00.000Z,3924
2021-04-21T00:00:00.000Z,3790
2021-04-22T00:00:00.000Z,4565
2021-04-23T00:00:00.000Z,4283
2021-04-24T00:00:00.000Z,5567
2021-04-25T00:00:00.000Z,12121
2021-04-26T00:00:00.000Z,5272
2021-04-27T00:00:00.000Z,3218
2021-04-28T00:00:00.000Z,2895
2021-04-29T00:00:00.000Z,3989
2021-04-30T00:00:00.000Z,3834
2021-05-01T00:00:00.000Z,4044
2021-05-02T00:00:00.000Z,3881
2021-05-03T00:00:00.000Z,4031
2021-05-04T00:00:00.000Z,3822
2021-05-05T00:00:00.000Z,3932
2021-05-06T00:00:00.000Z,5234
2021-05-07T00:00:00.000Z,4035
2021-05-08T00:00:00.000Z,3685
2021-05-09T00:00:00.000Z,3764
2021-05-10T00:00:00.000Z,21419
2021-05-11T00:00:00.000Z,4161
2021-05-12T00:00:00.000Z,3993
2021-05-13T00:00:00.000Z,4250
2021-05-14T00:00:00.000Z,4683
2021-05-15T00:00:00.000Z,3870
2021-05-16T00:00:00.000Z,4947
2021-05-17T00:00:00.000Z,4146
2021-05-18T00:00:00.000Z,110299
2021-05-19T00:00:00.000Z,113263
2021-05-20T00:00:00.000Z,3128
2021-05-21T00:00:00.000Z,3280
2021-05-22T00:00:00.000Z,2950
2021-05-23T00:00:00.000Z,3291
2021-05-24T00:00:00.000Z,3160
2021-05-25T00:00:00.000Z,3683
2021-05-26T00:00:00.000Z,4247
2021-05-27T00:00:00.000Z,3380
2021-05-28T00:00:00.000Z,3160
2021-05-29T00:00:00.000Z,3674
2021-05-30T00:00:00.000Z,3931
2021-05-31T00:00:00.000Z,4141
2021-06-01T00:00:00.000Z,4183
2021-06-02T00:00:00.000Z,5158
2021-06-03T00:00:00.000Z,4079
2021-06-04T00:00:00.000Z,4205
2021-06-05T00:00:00.000Z,5404
2021-06-06T00:00:00.000Z,12440
2021-06-07T00:00:00.000Z,4053
2021-06-08T00:00:00.000Z,4712
2021-06-09T00:00:00.000Z,4527
2021-06-10T00:00:00.000Z,4642
2021-06-11T00:00:00.000Z,4486
2021-06-12T00:00:00.000Z,4790
2021-06-13T00:00:00.000Z,11581
2021-06-14T00:00:00.000Z,4824
2021-06-15T00:00:00.000Z,5009
2021-06-16T00:00:00.000Z,5040
2021-06-17T00:00:00.000Z,4669
2021-06-18T00:00:00.000Z,4610
2021-06-19T00:00:00.000Z,13453
2021-06-20T00:00:00.000Z,10370
2021-06-21T00:00:00.000Z,4531
2021-06-22T00:00:00.000Z,4996
2021-06-23T00:00:00.000Z,5888
2021-06-24T00:00:00.000Z,10530
2021-06-25T00:00:00.000Z,10133
2021-06-26T00:00:00.000Z,7445
2021-06-27T00:00:00.000Z,6658
2021-06-28T00:00:00.000Z,10049
2021-06-29T00:00:00.000Z,10186
2021-06-30T00:00:00.000Z,10298
2021-07-01T00:00:00.000Z,10409
2021-07-02T00:00:00.000Z,10808
2021-07-03T00:00:00.000Z,5715
2021-07-04T00:00:00.000Z,7996
2021-07-05T00:00:00.000Z,16420
2021-07-06T00:00:00.000Z,10375
2021-07-07T00:00:00.000Z,10752
2021-07-08T00:00:00.000Z,11713
2021-07-09T00:00:00.000Z,10153
2021-07-10T00:00:00.000Z,7680
2021-07-11T00:00:00.000Z,9828
2021-07-12T00:00:00.000Z,10415
2021-07-13T00:00:00.000Z,10272
2021-07-14T00:00:00.000Z,10754
2021-07-15T00:00:00.000Z,10728
2021-07-16T00:00:00.000Z,10768
2021-07-17T00:00:00.000Z,8311
2021-07-18T00:00:00.000Z,20642
2021-07-19T00:00:00.000Z,11078
2021-07-20T00:00:00.000Z,11192
2021-07-21T00:00:00.000Z,11605
2021-07-22T00:00:00.000Z,10962
2021-07-23T00:00:00.000Z,10965
2021-07-24T00:00:00.000Z,10386
2021-07-25T00:00:00.000Z,18710
2021-07-26T00:00:00.000Z,13488
2021-07-27T00:00:00.000Z,14411
2021-07-28T00:00:00.000Z,11369
2021-07-29T00:00:00.000Z,11267
2021-07-30T00:00:00.000Z,10986
2021-07-31T00:00:00.000Z,8609
2021-08-01T00:00:00.000Z,10169
2021-08-02T00:00:00.000Z,11303
2021-08-03T00:00:00.000Z,11215
2021-08-04T00:00:00.000Z,11103
2021-08-05T00:00:00.000Z,12284
2021-08-06T00:00:00.000Z,11934
2021-08-07T00:00:00.000Z,6946
2021-08-08T00:00:00.000Z,7731
2021-08-09T00:00:00.000Z,11313
2021-08-10T00:00:00.000Z,14454
2021-08-11T00:00:00.000Z,13062
2021-08-12T00:00:00.000Z,22673
2021-08-13T00:00:00.000Z,10912
2021-08-14T00:00:00.000Z,61512
2021-08-15T00:00:00.000Z,70591
2021-08-16T00:00:00.000Z,63839
2021-08-17T00:00:00.000Z,66550
2021-08-18T00:00:00.000Z,65555
2021-08-19T00:00:00.000Z,24311
2021-08-20T00:00:00.000Z,25132
2021-08-21T00:00:00.000Z,17090
2021-08-22T00:00:00.000Z,18372
2021-08-23T00:00:00.000Z,15973
2021-08-24T00:00:00.000Z,18695
2021-08-25T00:00:00.000Z,19022
2021-08-26T00:00:00.000Z,58838
2021-08-27T00:00:00.000Z,33364
2021-08-28T00:00:00.000Z,20677
2021-08-29T00:00:00.000Z,22915
2021-08-30T00:00:00.000Z,21135
2021-08-31T00:00:00.000Z,21180
2021-09-01T00:00:00.000Z,23311
2021-09-02T00:00:00.000Z,21862
2021-09-03T00:00:00.000Z,23565
2021-09-04T00:00:00.000Z,20484
2021-09-05T00:00:00.000Z,30083
2021-09-06T00:00:00.000Z,21703
2021-09-07T00:00:00.000Z,21098
2021-09-08T00:00:00.000Z,23745
2021-09-09T00:00:00.000Z,23696
2021-09-10T00:00:00.000Z,24330
2021-09-11T00:00:00.000Z,22084
2021-09-12T00:00:00.000Z,26533
2021-09-13T00:00:00.000Z,26813
2021-09-14T00:00:00.000Z,30070
2021-09-15T00:00:00.000Z,33495
2021-09-16T00:00:00.000Z,35625
2021-09-17T00:00:00.000Z,56804
2021-09-18T00:00:00.000Z,35984
2021-09-19T00:00:00.000Z,35560
2021-09-20T00:00:00.000Z,37448
2021-09-21T00:00:00.000Z,26624
2021-09-22T00:00:00.000Z,27582
2021-09-23T00:00:00.000Z,35116
2021-09-24T00:00:00.000Z,87931
2021-09-25T00:00:00.000Z,79573
2021-09-26T00:00:00.000Z,92125
2021-09-27T00:00:00.000Z,93322
2021-09-28T00:00:00.000Z,99990
2021-09-29T00:00:00.000Z,75935
2021-09-30T00:00:00.000Z,77942
2021-10-01T00:00:00.000Z,78709
2021-10-02T00:00:00.000Z,53473
2021-10-03T00:00:00.000Z,66475
2021-10-04T00:00:00.000Z,65443
2021-10-05T00:00:00.000Z,76140
2021-10-06T00:00:00.000Z,79622
2021-10-07T00:00:00.000Z,72559
2021-10-08T00:00:00.000Z,82600
2021-10-09T00:00:00.000Z,64005
2021-10-10T00:00:00.000Z,85618
2021-10-11T00:00:00.000Z,82108
2021-10-12T00:00:00.000Z,78931
2021-10-13T00:00:00.000Z,103036
2021-10-14T00:00:00.000Z,87205
2021-10-15T00:00:00.000Z,84293
2021-10-16T00:00:00.000Z,65571
2021-10-17T00:00:00.000Z,83549
2021-10-18T00:00:00.000Z,81355
2021-10-19T00:00:00.000Z,80717
2021-10-20T00:00:00.000Z,80763
2021-10-21T00:00:00.000Z,78935
2021-10-22T00:00:00.000Z,83460
2021-10-23T00:00:00.000Z,66678
2021-10-24T00:00:00.000Z,85611
2021-10-25T00:00:00.000Z,79974
2021-10-26T00:00:00.000Z,79992
2021-10-27T00:00:00.000Z,90301
2021-10-28T00:00:00.000Z,100896
2021-10-29T00:00:00.000Z,96745
2021-10-30T00:00:00.000Z,132356
2021-10-31T00:00:00.000Z,62817
2021-11-01T00:00:00.000Z,75999
2021-11-02T00:00:00.000Z,87129
2021-11-03T00:00:00.000Z,89344
2021-11-04T00:00:00.000Z,185412
2021-11-05T00:00:00.000Z,89486
2021-11-06T00:00:00.000Z,71269
2021-11-07T00:00:00.000Z,53670
2021-11-08T00:00:00.000Z,92722
2021-11-09T00:00:00.000Z,86979
2021-11-10T00:00:00.000Z,86911
2021-11-11T00:00:00.000Z,90389
2021-11-12T00:00:00.000Z,88265
2021-11-13T00:00:00.000Z,91239
2021-11-14T00:00:00.000Z,73535
2021-11-15T00:00:00.000Z,88743
2021-11-16T00:00:00.000Z,89961
2021-11-17T00:00:00.000Z,93553
2021-11-18T00:00:00.000Z,69148
2021-11-19T00:00:00.000Z,85590
2021-11-20T00:00:00.000Z,114671
2021-11-21T00:00:00.000Z,144123
2021-11-22T00:00:00.000Z,88313
2021-11-23T00:00:00.000Z,104314
2021-11-24T00:00:00.000Z,121568
2021-11-25T00:00:00.000Z,94888
2021-11-26T00:00:00.000Z,84700
2021-11-27T00:00:00.000Z,66954
2021-11-28T00:00:00.000Z,103366
2021-11-29T00:00:00.000Z,77494
2021-11-30T00:00:00.000Z,81425
2021-12-01T00:00:00.000Z,82846
2021-12-02T00:00:00.000Z,86651
2021-12-03T00:00:00.000Z,84210
2021-12-04T00:00:00.000Z,71006
2021-12-05T00:00:00.000Z,158875
2021-12-06T00:00:00.000Z,70067
2021-12-07T00:00:00.000Z,80484
2021-12-08T00:00:00.000Z,15329
2021-12-09T00:00:00.000Z,85741
2021-12-10T00:00:00.000Z,82987
2021-12-11T00:00:00.000Z,64990
2021-12-12T00:00:00.000Z,72974
2021-12-13T00:00:00.000Z,87622
2021-12-14T00:00:00.000Z,25757
2021-12-15T00:00:00.000Z,17020
2021-12-16T00:00:00.000Z,45546
2021-12-17T00:00:00.000Z,32805
2021-12-18T00:00:00.000Z,14738
2021-12-19T00:00:00.000Z,58944
2021-12-20T00:00:00.000Z,16913
2021-12-21T00:00:00.000Z,13949
2021-12-22T00:00:00.000Z,15005
2021-12-23T00:00:00.000Z,15453
2021-12-24T00:00:00.000Z,12899
2021-12-25T00:00:00.000Z,12877
2021-12-26T00:00:00.000Z,66728
2021-12-27T00:00:00.000Z,17474
2021-12-28T00:00:00.000Z,16703
2021-12-29T00:00:00.000Z,17121
2021-12-30T00:00:00.000Z,15831
2021-12-31T00:00:00.000Z,17104
2022-01-01T00:00:00.000Z,14846
2022-01-02T00:00:00.000Z,53923
2022-01-03T00:00:00.000Z,14768
2022-01-04T00:00:00.000Z,29369
2022-01-05T00:00:00.000Z,33413
2022-01-06T00:00:00.000Z,36147
2022-01-07T00:00:00.000Z,30874
2022-01-08T00:00:00.000Z,29853
2022-01-09T00:00:00.000Z,93004
2022-01-10T00:00:00.000Z,30691
2022-01-11T00:00:00.000Z,34443
2022-01-12T00:00:00.000Z,28170
2022-01-13T00:00:00.000Z,28652
2022-01-14T00:00:00.000Z,28619
2022-01-15T00:00:00.000Z,32349
2022-01-16T00:00:00.000Z,74212
2022-01-17T00:00:00.000Z,32508
2022-01-18T00:00:00.000Z,37489
2022-01-19T00:00:00.000Z,32934
2022-01-20T00:00:00.000Z,35727
2022-01-21T00:00:00.000Z,31107
2022-01-22T00:00:00.000Z,34993
2022-01-23T00:00:00.000Z,82127
2022-01-24T00:00:00.000Z,34578
2022-01-25T00:00:00.000Z,42921
2022-01-26T00:00:00.000Z,31798
2022-01-27T00:00:00.000Z,32556
2022-01-28T00:00:00.000Z,30029
2022-01-29T00:00:00.000Z,34479
2022-01-30T00:00:00.000Z,84843
2022-01-31T00:00:00.000Z,37157
2022-02-01T00:00:00.000Z,45218
2022-02-02T00:00:00.000Z,30111
2022-02-03T00:00:00.000Z,33069
2022-02-04T00:00:00.000Z,30888
2022-02-05T00:00:00.000Z,35475
2022-02-06T00:00:00.000Z,328515
2022-02-07T00:00:00.000Z,247144
2022-02-08T00:00:00.000Z,33756
2022-02-09T00:00:00.000Z,34508
2022-02-10T00:00:00.000Z,249107
2022-02-11T00:00:00.000Z,253203
2022-02-12T00:00:00.000Z,125565
2022-02-13T00:00:00.000Z,98467
2022-02-14T00:00:00.000Z,247703
2022-02-15T00:00:00.000Z,50996
2022-02-16T00:00:00.000Z,271952
2022-02-17T00:00:00.000Z,278723
2022-02-18T00:00:00.000Z,58912
2022-02-19T00:00:00.000Z,112892
2022-02-20T00:00:00.000Z,126933
2022-02-21T00:00:00.000Z,62997
2022-02-22T00:00:00.000Z,82851
2022-02-23T00:00:00.000Z,49763
2022-02-24T00:00:00.000Z,55965
2022-02-25T00:00:00.000Z,79820
2022-02-26T00:00:00.000Z,68954
2022-02-27T00:00:00.000Z,61513
2022-02-28T00:00:00.000Z,48313
2022-03-01T00:00:00.000Z,71192
2022-03-02T00:00:00.000Z,58772
2022-03-03T00:00:00.000Z,56088
2022-03-04T00:00:00.000Z,54475
2022-03-05T00:00:00.000Z,49562
2022-03-06T00:00:00.000Z,57377
2022-03-07T00:00:00.000Z,53664
2022-03-08T00:00:00.000Z,49497
2022-03-09T00:00:00.000Z,58192
2022-03-10T00:00:00.000Z,55300
2022-03-11T00:00:00.000Z,51325
2022-03-12T00:00:00.000Z,49843
2022-03-13T00:00:00.000Z,77475
2022-03-14T00:00:00.000Z,49898
2022-03-15T00:00:00.000Z,55473
2022-03-16T00:00:00.000Z,56581
2022-03-17T00:00:00.000Z,54021
2022-03-18T00:00:00.000Z,1469
2022-03-19T00:00:00.000Z,1151
2022-03-20T00:00:00.000Z,1024
2022-03-21T00:00:00.000Z,1303
2022-03-22T00:00:00.000Z,1262
2022-03-23T00:00:00.000Z,1362
2022-03-24T00:00:00.000Z,1561
2022-03-25T00:00:00.000Z,1044
2022-03-26T00:00:00.000Z,1134
2022-03-27T00:00:00.000Z,1048
2022-03-28T00:00:00.000Z,1051
2022-03-29T00:00:00.000Z,1483
2022-03-30T00:00:00.000Z,1292
2022-03-31T00:00:00.000Z,882
2022-04-01T00:00:00.000Z,929
2022-04-02T00:00:00.000Z,1154
2022-04-03T00:00:00.000Z,959
2022-04-04T00:00:00.000Z,1074
2022-04-05T00:00:00.000Z,1143
2022-04-06T00:00:00.000Z,1724
2022-04-07T00:00:00.000Z,1215
2022-04-08T00:00:00.000Z,1202
2022-04-09T00:00:00.000Z,1263
2022-04-10T00:00:00.000Z,921
2022-04-11T00:00:00.000Z,1391
2022-04-12T00:00:00.000Z,
