Time,Usage for R02_n1
2021-04-13T00:00:00.000Z,8121
2021-04-14T00:00:00.000Z,8288
2021-04-15T00:00:00.000Z,7430
2021-04-16T00:00:00.000Z,4550
2021-04-17T00:00:00.000Z,7750
2021-04-18T00:00:00.000Z,10022
2021-04-19T00:00:00.000Z,9030
2021-04-20T00:00:00.000Z,7565
2021-04-21T00:00:00.000Z,7653
2021-04-22T00:00:00.000Z,12751
2021-04-23T00:00:00.000Z,7682
2021-04-24T00:00:00.000Z,7655
2021-04-25T00:00:00.000Z,13163
2021-04-26T00:00:00.000Z,7896
2021-04-27T00:00:00.000Z,8357
2021-04-28T00:00:00.000Z,7270
2021-04-29T00:00:00.000Z,7114
2021-04-30T00:00:00.000Z,7789
2021-05-01T00:00:00.000Z,9767
2021-05-02T00:00:00.000Z,9859
2021-05-03T00:00:00.000Z,10064
2021-05-04T00:00:00.000Z,10500
2021-05-05T00:00:00.000Z,7674
2021-05-06T00:00:00.000Z,8393
2021-05-07T00:00:00.000Z,7346
2021-05-08T00:00:00.000Z,7722
2021-05-09T00:00:00.000Z,9473
2021-05-10T00:00:00.000Z,43661
2021-05-11T00:00:00.000Z,7598
2021-05-12T00:00:00.000Z,5415
2021-05-13T00:00:00.000Z,6695
2021-05-14T00:00:00.000Z,7801
2021-05-15T00:00:00.000Z,7758
2021-05-16T00:00:00.000Z,8402
2021-05-17T00:00:00.000Z,10356
2021-05-18T00:00:00.000Z,234887
2021-05-19T00:00:00.000Z,238353
2021-05-20T00:00:00.000Z,7474
2021-05-21T00:00:00.000Z,9443
2021-05-22T00:00:00.000Z,7313
2021-05-23T00:00:00.000Z,7843
2021-05-24T00:00:00.000Z,9718
2021-05-25T00:00:00.000Z,7925
2021-05-26T00:00:00.000Z,7664
2021-05-27T00:00:00.000Z,8182
2021-05-28T00:00:00.000Z,7505
2021-05-29T00:00:00.000Z,8801
2021-05-30T00:00:00.000Z,8703
2021-05-31T00:00:00.000Z,8630
2021-06-01T00:00:00.000Z,8040
2021-06-02T00:00:00.000Z,7611
2021-06-03T00:00:00.000Z,5924
2021-06-04T00:00:00.000Z,7150
2021-06-05T00:00:00.000Z,7783
2021-06-06T00:00:00.000Z,13467
2021-06-07T00:00:00.000Z,8672
2021-06-08T00:00:00.000Z,10097
2021-06-09T00:00:00.000Z,7445
2021-06-10T00:00:00.000Z,8075
2021-06-11T00:00:00.000Z,10518
2021-06-12T00:00:00.000Z,9199
2021-06-13T00:00:00.000Z,15174
2021-06-14T00:00:00.000Z,8463
2021-06-15T00:00:00.000Z,9268
2021-06-16T00:00:00.000Z,10433
2021-06-17T00:00:00.000Z,11398
2021-06-18T00:00:00.000Z,11156
2021-06-19T00:00:00.000Z,18615
2021-06-20T00:00:00.000Z,15105
2021-06-21T00:00:00.000Z,9190
2021-06-22T00:00:00.000Z,9602
2021-06-23T00:00:00.000Z,8904
2021-06-24T00:00:00.000Z,14437
2021-06-25T00:00:00.000Z,12627
2021-06-26T00:00:00.000Z,9819
2021-06-27T00:00:00.000Z,10020
2021-06-28T00:00:00.000Z,13587
2021-06-29T00:00:00.000Z,13007
2021-06-30T00:00:00.000Z,12202
2021-07-01T00:00:00.000Z,17123
2021-07-02T00:00:00.000Z,11329
2021-07-03T00:00:00.000Z,8743
2021-07-04T00:00:00.000Z,11002
2021-07-05T00:00:00.000Z,19095
2021-07-06T00:00:00.000Z,12317
2021-07-07T00:00:00.000Z,12792
2021-07-08T00:00:00.000Z,12921
2021-07-09T00:00:00.000Z,12432
2021-07-10T00:00:00.000Z,9820
2021-07-11T00:00:00.000Z,10912
2021-07-12T00:00:00.000Z,12224
2021-07-13T00:00:00.000Z,16306
2021-07-14T00:00:00.000Z,11886
2021-07-15T00:00:00.000Z,11528
2021-07-16T00:00:00.000Z,11460
2021-07-17T00:00:00.000Z,10046
2021-07-18T00:00:00.000Z,22859
2021-07-19T00:00:00.000Z,12810
2021-07-20T00:00:00.000Z,12969
2021-07-21T00:00:00.000Z,14144
2021-07-22T00:00:00.000Z,12880
2021-07-23T00:00:00.000Z,12334
2021-07-24T00:00:00.000Z,13970
2021-07-25T00:00:00.000Z,23984
2021-07-26T00:00:00.000Z,18689
2021-07-27T00:00:00.000Z,18917
2021-07-28T00:00:00.000Z,16412
2021-07-29T00:00:00.000Z,15720
2021-07-30T00:00:00.000Z,16965
2021-07-31T00:00:00.000Z,10711
2021-08-01T00:00:00.000Z,16399
2021-08-02T00:00:00.000Z,14388
2021-08-03T00:00:00.000Z,11521
2021-08-04T00:00:00.000Z,14581
2021-08-05T00:00:00.000Z,14857
2021-08-06T00:00:00.000Z,12520
2021-08-07T00:00:00.000Z,10659
2021-08-08T00:00:00.000Z,11263
2021-08-09T00:00:00.000Z,13231
2021-08-10T00:00:00.000Z,18631
2021-08-11T00:00:00.000Z,18119
2021-08-12T00:00:00.000Z,15089
2021-08-13T00:00:00.000Z,13679
2021-08-14T00:00:00.000Z,11040
2021-08-15T00:00:00.000Z,18150
2021-08-16T00:00:00.000Z,16056
2021-08-17T00:00:00.000Z,16392
2021-08-18T00:00:00.000Z,16898
2021-08-19T00:00:00.000Z,16683
2021-08-20T00:00:00.000Z,16921
2021-08-21T00:00:00.000Z,16499
2021-08-22T00:00:00.000Z,16319
2021-08-23T00:00:00.000Z,13949
2021-08-24T00:00:00.000Z,17544
2021-08-25T00:00:00.000Z,17185
2021-08-26T00:00:00.000Z,52948
2021-08-27T00:00:00.000Z,32095
2021-08-28T00:00:00.000Z,16320
2021-08-29T00:00:00.000Z,18642
2021-08-30T00:00:00.000Z,19193
2021-08-31T00:00:00.000Z,37448
2021-09-01T00:00:00.000Z,24684
2021-09-02T00:00:00.000Z,26126
2021-09-03T00:00:00.000Z,28639
2021-09-04T00:00:00.000Z,16729
2021-09-05T00:00:00.000Z,23363
2021-09-06T00:00:00.000Z,19426
