Time,Usage in MHz for R03,Usage for R03,
2022-03-13T14:00:00.000Z,23328,12,96
2022-03-13T16:00:00.000Z,26699,14,83
2022-03-13T18:00:00.000Z,24804,13,78
2022-03-13T20:00:00.000Z,27643,15,35
2022-03-13T22:00:00.000Z,30995,17,21
2022-03-14T00:00:00.000Z,32761,18,2
2022-03-14T02:00:00.000Z,28242,15,69
2022-03-14T04:00:00.000Z,29380,16,32
2022-03-14T06:00:00.000Z,37007,20,55
2022-03-14T08:00:00.000Z,39724,22,6
2022-03-14T10:00:00.000Z,40192,22,32
2022-03-14T12:00:00.000Z,36028,20,1
2022-03-14T14:00:00.000Z,28627,15,9
2022-03-14T16:00:00.000Z,27575,15,31
2022-03-14T18:00:00.000Z,24832,13,79
2022-03-14T20:00:00.000Z,27943,15,52
2022-03-14T22:00:00.000Z,32103,17,83
2022-03-15T00:00:00.000Z,33353,18,52
2022-03-15T02:00:00.000Z,28957,16,8
2022-03-15T04:00:00.000Z,29667,16,48
2022-03-15T06:00:00.000Z,34634,19,24
2022-03-15T08:00:00.000Z,37063,20,59
2022-03-15T10:00:00.000Z,39901,22,16
2022-03-15T12:00:00.000Z,36359,20,19
2022-03-15T14:00:00.000Z,30926,17,18
2022-03-15T16:00:00.000Z,28690,15,93
2022-03-15T18:00:00.000Z,26983,14,99
2022-03-15T20:00:00.000Z,28827,16,1
2022-03-15T22:00:00.000Z,29977,16,65
2022-03-16T00:00:00.000Z,30811,17,11
2022-03-16T02:00:00.000Z,27193,15,1
2022-03-16T04:00:00.000Z,29093,16,16
2022-03-16T06:00:00.000Z,33231,18,46
2022-03-16T08:00:00.000Z,38291,21,27
2022-03-16T10:00:00.000Z,41151,22,86
2022-03-16T12:00:00.000Z,42071,23,37
2022-03-16T14:00:00.000Z,33441,18,57
2022-03-16T16:00:00.000Z,30737,17,7
2022-03-16T18:00:00.000Z,30753,17,8
2022-03-16T20:00:00.000Z,31610,17,56
2022-03-16T22:00:00.000Z,34492,19,16
2022-03-17T00:00:00.000Z,33730,18,73
2022-03-17T02:00:00.000Z,30652,17,2
2022-03-17T04:00:00.000Z,31816,17,67
2022-03-17T06:00:00.000Z,35424,19,68
2022-03-17T08:00:00.000Z,34859,19,36
2022-03-17T10:00:00.000Z,36424,20,23
2022-03-17T12:00:00.000Z,33675,18,7
2022-03-17T14:00:00.000Z,31220,17,34
2022-03-17T16:00:00.000Z,27286,15,15
2022-03-17T18:00:00.000Z,24708,13,72
2022-03-17T20:00:00.000Z,28861,16,3
2022-03-17T22:00:00.000Z,31835,17,68
2022-03-18T00:00:00.000Z,33902,18,83
2022-03-18T02:00:00.000Z,27900,15,5
2022-03-18T04:00:00.000Z,29685,16,49
2022-03-18T06:00:00.000Z,35417,19,67
2022-03-18T08:00:00.000Z,37954,21,8
2022-03-18T10:00:00.000Z,38952,21,64
2022-03-18T12:00:00.000Z,35748,19,86
2022-03-18T14:00:00.000Z,29276,16,26
2022-03-18T16:00:00.000Z,24794,13,77
2022-03-18T18:00:00.000Z,23772,13,2
2022-03-18T20:00:00.000Z,26832,14,9
2022-03-18T22:00:00.000Z,28377,15,76
2022-03-19T00:00:00.000Z,29524,16,4
2022-03-19T02:00:00.000Z,26438,14,68
2022-03-19T04:00:00.000Z,26984,14,99
2022-03-19T06:00:00.000Z,26264,14,59
2022-03-19T08:00:00.000Z,25411,14,11
2022-03-19T10:00:00.000Z,25565,14,2
2022-03-19T12:00:00.000Z,23626,13,12
2022-03-19T14:00:00.000Z,24118,13,39
2022-03-19T16:00:00.000Z,23851,13,25
2022-03-19T18:00:00.000Z,23625,13,12
2022-03-19T20:00:00.000Z,25979,14,43
2022-03-19T22:00:00.000Z,28360,15,75
2022-03-20T00:00:00.000Z,29684,16,49
2022-03-20T02:00:00.000Z,26924,14,95
2022-03-20T04:00:00.000Z,27619,15,34
2022-03-20T06:00:00.000Z,27093,15,5
2022-03-20T08:00:00.000Z,24953,13,86
2022-03-20T10:00:00.000Z,26072,14,48
2022-03-20T12:00:00.000Z,23591,13,1
2022-03-20T14:00:00.000Z,23605,13,11
2022-03-20T16:00:00.000Z,28570,15,87
2022-03-20T18:00:00.000Z,26330,14,62
2022-03-20T20:00:00.000Z,28857,16,3
2022-03-20T22:00:00.000Z,30014,16,67
2022-03-21T00:00:00.000Z,30956,17,19
2022-03-21T02:00:00.000Z,27521,15,28
2022-03-21T04:00:00.000Z,30073,16,7
2022-03-21T06:00:00.000Z,37862,21,3
2022-03-21T08:00:00.000Z,37356,20,75
2022-03-21T10:00:00.000Z,41500,23,5
2022-03-21T12:00:00.000Z,36361,20,2
2022-03-21T14:00:00.000Z,29440,16,35
2022-03-21T16:00:00.000Z,27227,15,12
2022-03-21T18:00:00.000Z,24306,13,5
2022-03-21T20:00:00.000Z,26134,14,51
2022-03-21T22:00:00.000Z,29296,16,27
2022-03-22T00:00:00.000Z,29336,16,29
2022-03-22T02:00:00.000Z,25859,14,36
2022-03-22T04:00:00.000Z,28930,16,7
2022-03-22T06:00:00.000Z,36268,20,14
2022-03-22T08:00:00.000Z,38284,21,26
2022-03-22T10:00:00.000Z,41012,22,78
2022-03-22T12:00:00.000Z,38008,21,11
2022-03-22T14:00:00.000Z,29747,16,52
2022-03-22T16:00:00.000Z,25706,14,28
2022-03-22T18:00:00.000Z,25327,14,7
2022-03-22T20:00:00.000Z,28143,15,63
2022-03-22T22:00:00.000Z,29419,16,34
2022-03-23T00:00:00.000Z,29402,16,33
2022-03-23T02:00:00.000Z,26854,14,91
2022-03-23T04:00:00.000Z,29199,16,22
2022-03-23T06:00:00.000Z,35731,19,85
2022-03-23T08:00:00.000Z,40753,22,64
2022-03-23T10:00:00.000Z,40039,22,24
2022-03-23T12:00:00.000Z,34413,19,11
2022-03-23T14:00:00.000Z,31338,17,41
2022-03-23T16:00:00.000Z,25178,13,98
2022-03-23T18:00:00.000Z,24177,13,43
2022-03-23T20:00:00.000Z,27701,15,38
2022-03-23T22:00:00.000Z,28625,15,9
2022-03-24T00:00:00.000Z,30958,17,19
2022-03-24T02:00:00.000Z,26985,14,99
2022-03-24T04:00:00.000Z,28706,15,94
2022-03-24T06:00:00.000Z,35237,19,57
2022-03-24T08:00:00.000Z,39592,21,99
2022-03-24T10:00:00.000Z,38311,21,28
2022-03-24T12:00:00.000Z,34794,19,33
2022-03-24T14:00:00.000Z,26238,14,57
2022-03-24T16:00:00.000Z,24444,13,58
2022-03-24T18:00:00.000Z,23297,12,94
2022-03-24T20:00:00.000Z,26274,14,59
2022-03-24T22:00:00.000Z,27187,15,1
2022-03-25T00:00:00.000Z,28394,15,77
2022-03-25T02:00:00.000Z,24250,13,47
2022-03-25T04:00:00.000Z,27479,15,26
2022-03-25T06:00:00.000Z,32642,18,13
2022-03-25T08:00:00.000Z,34729,19,29
2022-03-25T10:00:00.000Z,35834,19,9
2022-03-25T12:00:00.000Z,32176,17,87
2022-03-25T14:00:00.000Z,24572,13,65
2022-03-25T16:00:00.000Z,22907,12,72
2022-03-25T18:00:00.000Z,21158,11,75
2022-03-25T20:00:00.000Z,23941,13,3
2022-03-25T22:00:00.000Z,26276,14,59
2022-03-26T00:00:00.000Z,24679,13,71
2022-03-26T02:00:00.000Z,21922,12,17
2022-03-26T04:00:00.000Z,23692,13,16
2022-03-26T06:00:00.000Z,23100,12,83
2022-03-26T08:00:00.000Z,21593,11,99
2022-03-26T10:00:00.000Z,22999,12,77
2022-03-26T12:00:00.000Z,20676,11,48
2022-03-26T14:00:00.000Z,20452,11,36
2022-03-26T16:00:00.000Z,21277,11,82
2022-03-26T18:00:00.000Z,20818,11,56
2022-03-26T20:00:00.000Z,23194,12,88
2022-03-26T22:00:00.000Z,24999,13,88
2022-03-27T00:00:00.000Z,24823,13,79
2022-03-27T02:00:00.000Z,25466,14,14
2022-03-27T04:00:00.000Z,23114,12,84
2022-03-27T06:00:00.000Z,22596,12,55
2022-03-27T08:00:00.000Z,20799,11,55
2022-03-27T10:00:00.000Z,22777,12,65
2022-03-27T12:00:00.000Z,20453,11,36
2022-03-27T14:00:00.000Z,22866,12,7
2022-03-27T16:00:00.000Z,27755,15,41
2022-03-27T18:00:00.000Z,29824,16,56
2022-03-27T20:00:00.000Z,29434,16,35
2022-03-27T22:00:00.000Z,32753,18,19
2022-03-28T00:00:00.000Z,26067,14,48
2022-03-28T02:00:00.000Z,23949,13,3
2022-03-28T04:00:00.000Z,27327,15,18
2022-03-28T06:00:00.000Z,34315,19,6
2022-03-28T08:00:00.000Z,33992,18,88
2022-03-28T10:00:00.000Z,35451,19,69
2022-03-28T12:00:00.000Z,29183,16,21
2022-03-28T14:00:00.000Z,23286,12,93
2022-03-28T16:00:00.000Z,20931,11,62
2022-03-28T18:00:00.000Z,22874,12,7
2022-03-28T20:00:00.000Z,23405,13,
2022-03-28T22:00:00.000Z,27247,15,13
2022-03-29T00:00:00.000Z,24712,13,72
2022-03-29T02:00:00.000Z,25922,14,4
2022-03-29T04:00:00.000Z,28344,15,74
2022-03-29T06:00:00.000Z,34444,19,13
2022-03-29T08:00:00.000Z,33379,18,54
2022-03-29T10:00:00.000Z,35191,19,55
2022-03-29T12:00:00.000Z,35162,19,53
2022-03-29T14:00:00.000Z,26579,14,76
2022-03-29T16:00:00.000Z,24817,13,78
2022-03-29T18:00:00.000Z,29566,16,42
2022-03-29T20:00:00.000Z,31176,17,32
2022-03-29T22:00:00.000Z,36453,20,25
2022-03-30T00:00:00.000Z,33766,18,75
2022-03-30T02:00:00.000Z,32490,18,5
2022-03-30T04:00:00.000Z,34792,19,32
2022-03-30T06:00:00.000Z,45072,25,4
2022-03-30T08:00:00.000Z,45266,25,14
2022-03-30T10:00:00.000Z,49133,27,29
2022-03-30T12:00:00.000Z,38728,21,51
2022-03-30T14:00:00.000Z,33441,18,57
2022-03-30T16:00:00.000Z,25784,14,32
2022-03-30T18:00:00.000Z,26985,14,99
2022-03-30T20:00:00.000Z,29118,16,17
2022-03-30T22:00:00.000Z,33080,18,37
2022-03-31T00:00:00.000Z,28804,16,
2022-03-31T02:00:00.000Z,29134,16,18
2022-03-31T04:00:00.000Z,32751,18,19
2022-03-31T06:00:00.000Z,40787,22,65
2022-03-31T08:00:00.000Z,39413,21,89
2022-03-31T10:00:00.000Z,38896,21,6
2022-03-31T12:00:00.000Z,35139,19,52
2022-03-31T14:00:00.000Z,30358,16,86
2022-03-31T16:00:00.000Z,26059,14,47
2022-03-31T18:00:00.000Z,27562,15,31
2022-03-31T20:00:00.000Z,28186,15,65
2022-03-31T22:00:00.000Z,31088,17,27
2022-04-01T00:00:00.000Z,30099,16,72
2022-04-01T02:00:00.000Z,30814,17,11
2022-04-01T04:00:00.000Z,35908,19,94
2022-04-01T06:00:00.000Z,41885,23,26
2022-04-01T08:00:00.000Z,46958,26,8
2022-04-01T10:00:00.000Z,43726,24,29
2022-04-01T12:00:00.000Z,34510,19,17
2022-04-01T14:00:00.000Z,30544,16,96
2022-04-01T16:00:00.000Z,26043,14,46
2022-04-01T18:00:00.000Z,27224,15,12
2022-04-01T20:00:00.000Z,28987,16,1
2022-04-01T22:00:00.000Z,32618,18,12
2022-04-02T00:00:00.000Z,28473,15,81
2022-04-02T02:00:00.000Z,29168,16,2
2022-04-02T04:00:00.000Z,27651,15,36
2022-04-02T06:00:00.000Z,26965,14,98
2022-04-02T08:00:00.000Z,25308,14,6
2022-04-02T10:00:00.000Z,26896,14,94
2022-04-02T12:00:00.000Z,24773,13,76
2022-04-02T14:00:00.000Z,26839,14,91
2022-04-02T16:00:00.000Z,25405,14,11
2022-04-02T18:00:00.000Z,25232,14,1
2022-04-02T20:00:00.000Z,26844,14,91
2022-04-02T22:00:00.000Z,30116,16,73
2022-04-03T00:00:00.000Z,29063,16,14
2022-04-03T02:00:00.000Z,30127,16,73
2022-04-03T04:00:00.000Z,27275,15,15
