Time,Ballooned memory for R03,Consumed for R03,Overhead consumed for R03,Host consumed % for R03,
2022-03-13T14:00:00.000Z,19812,1163944960,5999300,36,32
2022-03-13T16:00:00.000Z,19853,1163974780,5998281,36,32
2022-03-13T18:00:00.000Z,19858,1163986690,6000215,36,32
2022-03-13T20:00:00.000Z,19860,1163990140,6000164,36,32
2022-03-13T22:00:00.000Z,19828,1164094720,6000278,36,32
2022-03-14T00:00:00.000Z,19570,1164360700,6000190,36,33
2022-03-14T02:00:00.000Z,19643,1164572420,6000646,36,34
2022-03-14T04:00:00.000Z,19451,1164613630,5999390,36,34
2022-03-14T06:00:00.000Z,19902,1164615420,5998311,36,34
2022-03-14T08:00:00.000Z,19584,1164627580,6001211,36,34
2022-03-14T10:00:00.000Z,20250,1164640770,6008466,36,34
2022-03-14T12:00:00.000Z,19753,1164639740,6008351,36,34
2022-03-14T14:00:00.000Z,19963,1164644100,6006914,36,34
2022-03-14T16:00:00.000Z,19830,1164637950,6000879,36,34
2022-03-14T18:00:00.000Z,19773,1164633470,5999131,36,34
2022-03-14T20:00:00.000Z,19878,1164640260,5999407,36,34
2022-03-14T22:00:00.000Z,19929,1164674300,5999996,36,34
2022-03-15T00:00:00.000Z,19728,1164658820,5999629,36,34
2022-03-15T02:00:00.000Z,19455,1164659200,6000344,36,34
2022-03-15T04:00:00.000Z,19738,1164661500,6000668,36,34
2022-03-15T06:00:00.000Z,19956,1164662530,6002199,36,34
2022-03-15T08:00:00.000Z,20001,1164656510,5998331,36,34
2022-03-15T10:00:00.000Z,19950,1164666880,6005164,36,34
2022-03-15T12:00:00.000Z,19509,1164945660,6004320,36,35
2022-03-15T14:00:00.000Z,19877,1165309950,6005151,36,36
2022-03-15T16:00:00.000Z,19600,1165323260,5999609,36,36
2022-03-15T18:00:00.000Z,20107,1165331580,5998156,36,36
2022-03-15T20:00:00.000Z,19639,1165337730,5998846,36,36
2022-03-15T22:00:00.000Z,19688,1165343360,5996786,36,36
2022-03-16T00:00:00.000Z,19897,1165348480,5995385,36,36
2022-03-16T02:00:00.000Z,19730,1165341060,5994087,36,36
2022-03-16T04:00:00.000Z,19806,1165338110,5995151,36,36
2022-03-16T06:00:00.000Z,19460,1165335170,5996569,36,36
2022-03-16T08:00:00.000Z,19754,1165338240,5998405,36,36
2022-03-16T10:00:00.000Z,19887,1165349760,5999465,36,36
2022-03-16T12:00:00.000Z,19855,1165371900,6005756,36,36
2022-03-16T14:00:00.000Z,20184,1165372290,6006651,36,36
2022-03-16T16:00:00.000Z,20063,1165377790,6001470,36,36
2022-03-16T18:00:00.000Z,20022,1165375490,5999553,36,36
