Time,Ballooned memory for R03,Consumed for R03,Overhead consumed for R03,Host consumed % for R03,
2021-04-13T00:00:00.000Z,98304,798102340,4109211,24,9
2021-04-14T00:00:00.000Z,98304,801305860,4125735,25,
2021-04-15T00:00:00.000Z,98304,801452800,4126837,25,1
2021-04-16T00:00:00.000Z,98304,802888320,4128912,25,5
2021-04-17T00:00:00.000Z,98304,803458690,4128137,25,7
2021-04-18T00:00:00.000Z,98304,803763260,4127797,25,8
2021-04-19T00:00:00.000Z,98304,804552450,4128775,25,1
2021-04-20T00:00:00.000Z,98304,810336580,4131827,25,28
2021-04-21T00:00:00.000Z,98304,813859200,4132775,25,39
2021-04-22T00:00:00.000Z,98304,817680260,4134237,25,51
2021-04-23T00:00:00.000Z,98304,818155840,4135693,25,53
2021-04-24T00:00:00.000Z,98304,823478720,4135347,25,69
2021-04-25T00:00:00.000Z,98304,823536700,4135886,25,69
2021-04-26T00:00:00.000Z,98304,825015740,4138636,25,74
2021-04-27T00:00:00.000Z,98304,843749820,4177024,26,32
2021-04-28T00:00:00.000Z,98304,844541380,4213812,26,35
2021-04-29T00:00:00.000Z,98304,846398720,4222454,26,4
2021-04-30T00:00:00.000Z,98304,846912130,4226631,26,42
2021-05-01T00:00:00.000Z,98304,862096900,4255331,26,89
2021-05-02T00:00:00.000Z,98304,862169540,4255170,26,9
2021-05-03T00:00:00.000Z,98304,862304770,4255911,26,9
2021-05-04T00:00:00.000Z,98304,862343420,4257354,26,9
2021-05-05T00:00:00.000Z,98304,862501120,4254218,26,91
2021-05-06T00:00:00.000Z,98304,862775810,4257080,26,91
2021-05-07T00:00:00.000Z,98304,869216320,4303136,27,12
2021-05-08T00:00:00.000Z,98304,868820350,4305406,27,1
2021-05-09T00:00:00.000Z,98304,869217090,4306631,27,12
2021-05-10T00:00:00.000Z,98304,869877120,4308699,27,14
2021-05-11T00:00:00.000Z,98304,874099970,4287090,27,27
2021-05-12T00:00:00.000Z,98304,874254080,4289519,27,27
