Time,Usage for R03_n1
2022-03-13T14:00:00.000Z,1569
2022-03-13T16:00:00.000Z,7221
2022-03-13T18:00:00.000Z,4823
2022-03-13T20:00:00.000Z,3747
2022-03-13T22:00:00.000Z,2990
2022-03-14T00:00:00.000Z,2424
2022-03-14T02:00:00.000Z,1961
2022-03-14T04:00:00.000Z,1699
2022-03-14T06:00:00.000Z,2642
2022-03-14T08:00:00.000Z,3179
2022-03-14T10:00:00.000Z,3984
2022-03-14T12:00:00.000Z,2699
2022-03-14T14:00:00.000Z,1950
2022-03-14T16:00:00.000Z,1625
2022-03-14T18:00:00.000Z,1751
2022-03-14T20:00:00.000Z,1591
2022-03-14T22:00:00.000Z,2153
2022-03-15T00:00:00.000Z,1839
2022-03-15T02:00:00.000Z,2084
2022-03-15T04:00:00.000Z,1928
2022-03-15T06:00:00.000Z,2934
2022-03-15T08:00:00.000Z,2227
2022-03-15T10:00:00.000Z,2714
2022-03-15T12:00:00.000Z,3728
2022-03-15T14:00:00.000Z,2205
2022-03-15T16:00:00.000Z,1666
2022-03-15T18:00:00.000Z,1791
2022-03-15T20:00:00.000Z,1840
2022-03-15T22:00:00.000Z,3070
2022-03-16T00:00:00.000Z,2236
2022-03-16T02:00:00.000Z,2162
2022-03-16T04:00:00.000Z,2034
2022-03-16T06:00:00.000Z,2028
2022-03-16T08:00:00.000Z,2572
2022-03-16T10:00:00.000Z,4585
2022-03-16T12:00:00.000Z,2891
2022-03-16T14:00:00.000Z,1848
2022-03-16T16:00:00.000Z,1720
2022-03-16T18:00:00.000Z,1760
2022-03-16T20:00:00.000Z,1719
2022-03-16T22:00:00.000Z,5518
2022-03-17T00:00:00.000Z,2193
2022-03-17T02:00:00.000Z,3039
2022-03-17T04:00:00.000Z,1772
2022-03-17T06:00:00.000Z,2449
2022-03-17T08:00:00.000Z,2732
2022-03-17T10:00:00.000Z,2193
2022-03-17T12:00:00.000Z,2612
2022-03-17T14:00:00.000Z,1785
2022-03-17T16:00:00.000Z,1652
2022-03-17T18:00:00.000Z,1691
2022-03-17T20:00:00.000Z,1899
2022-03-17T22:00:00.000Z,1817
2022-03-18T00:00:00.000Z,2573
2022-03-18T02:00:00.000Z,2273
2022-03-18T04:00:00.000Z,1792
2022-03-18T06:00:00.000Z,1881
2022-03-18T08:00:00.000Z,2813
2022-03-18T10:00:00.000Z,3507
2022-03-18T12:00:00.000Z,2987
2022-03-18T14:00:00.000Z,2965
2022-03-18T16:00:00.000Z,1840
2022-03-18T18:00:00.000Z,1622
2022-03-18T20:00:00.000Z,1635
2022-03-18T22:00:00.000Z,1976
2022-03-19T00:00:00.000Z,2402
2022-03-19T02:00:00.000Z,16845
2022-03-19T04:00:00.000Z,1721
2022-03-19T06:00:00.000Z,1674
2022-03-19T08:00:00.000Z,1651
2022-03-19T10:00:00.000Z,1683
2022-03-19T12:00:00.000Z,1876
2022-03-19T14:00:00.000Z,1654
2022-03-19T16:00:00.000Z,1625
2022-03-19T18:00:00.000Z,1656
2022-03-19T20:00:00.000Z,1648
2022-03-19T22:00:00.000Z,1782
2022-03-20T00:00:00.000Z,2021
2022-03-20T02:00:00.000Z,2225
2022-03-20T04:00:00.000Z,1638
2022-03-20T06:00:00.000Z,1662
2022-03-20T08:00:00.000Z,1654
2022-03-20T10:00:00.000Z,1697
2022-03-20T12:00:00.000Z,1650
2022-03-20T14:00:00.000Z,1655
2022-03-20T16:00:00.000Z,1741
2022-03-20T18:00:00.000Z,1889
2022-03-20T20:00:00.000Z,4559
2022-03-20T22:00:00.000Z,3769
2022-03-21T00:00:00.000Z,2117
2022-03-21T02:00:00.000Z,1971
2022-03-21T04:00:00.000Z,1665
2022-03-21T06:00:00.000Z,2200
2022-03-21T08:00:00.000Z,2358
2022-03-21T10:00:00.000Z,2522
2022-03-21T12:00:00.000Z,2422
2022-03-21T14:00:00.000Z,2307
2022-03-21T16:00:00.000Z,2232
2022-03-21T18:00:00.000Z,1662
2022-03-21T20:00:00.000Z,1758
2022-03-21T22:00:00.000Z,2104
2022-03-22T00:00:00.000Z,1743
2022-03-22T02:00:00.000Z,2140
2022-03-22T04:00:00.000Z,1742
2022-03-22T06:00:00.000Z,2073
2022-03-22T08:00:00.000Z,3021
2022-03-22T10:00:00.000Z,4751
2022-03-22T12:00:00.000Z,2947
2022-03-22T14:00:00.000Z,5015
2022-03-22T16:00:00.000Z,1924
2022-03-22T18:00:00.000Z,1933
2022-03-22T20:00:00.000Z,2131
2022-03-22T22:00:00.000Z,2205
2022-03-23T00:00:00.000Z,2330
2022-03-23T02:00:00.000Z,2243
2022-03-23T04:00:00.000Z,1925
2022-03-23T06:00:00.000Z,2438
2022-03-23T08:00:00.000Z,4707
2022-03-23T10:00:00.000Z,2998
2022-03-23T12:00:00.000Z,2394
2022-03-23T14:00:00.000Z,2094
2022-03-23T16:00:00.000Z,1835
2022-03-23T18:00:00.000Z,1899
2022-03-23T20:00:00.000Z,1794
2022-03-23T22:00:00.000Z,2135
2022-03-24T00:00:00.000Z,2139
2022-03-24T02:00:00.000Z,2893
2022-03-24T04:00:00.000Z,1952
2022-03-24T06:00:00.000Z,4852
2022-03-24T08:00:00.000Z,3031
2022-03-24T10:00:00.000Z,3683
2022-03-24T12:00:00.000Z,3561
2022-03-24T14:00:00.000Z,1922
2022-03-24T16:00:00.000Z,1873
2022-03-24T18:00:00.000Z,2105
2022-03-24T20:00:00.000Z,1857
2022-03-24T22:00:00.000Z,2184
2022-03-25T00:00:00.000Z,2432
2022-03-25T02:00:00.000Z,2634
2022-03-25T04:00:00.000Z,1988
2022-03-25T06:00:00.000Z,1963
2022-03-25T08:00:00.000Z,2693
2022-03-25T10:00:00.000Z,2405
2022-03-25T12:00:00.000Z,7151
2022-03-25T14:00:00.000Z,2315
2022-03-25T16:00:00.000Z,1835
2022-03-25T18:00:00.000Z,2157
2022-03-25T20:00:00.000Z,1969
2022-03-25T22:00:00.000Z,2225
2022-03-26T00:00:00.000Z,2440
2022-03-26T02:00:00.000Z,9461
2022-03-26T04:00:00.000Z,1893
2022-03-26T06:00:00.000Z,1858
2022-03-26T08:00:00.000Z,1869
2022-03-26T10:00:00.000Z,1943
2022-03-26T12:00:00.000Z,1927
2022-03-26T14:00:00.000Z,2040
2022-03-26T16:00:00.000Z,1861
2022-03-26T18:00:00.000Z,1888
2022-03-26T20:00:00.000Z,1851
2022-03-26T22:00:00.000Z,2421
2022-03-27T00:00:00.000Z,2137
2022-03-27T02:00:00.000Z,2298
2022-03-27T04:00:00.000Z,1810
2022-03-27T06:00:00.000Z,1781
2022-03-27T08:00:00.000Z,1838
2022-03-27T10:00:00.000Z,1900
2022-03-27T12:00:00.000Z,1778
2022-03-27T14:00:00.000Z,2815
2022-03-27T16:00:00.000Z,3516
2022-03-27T18:00:00.000Z,2148
2022-03-27T20:00:00.000Z,1924
2022-03-27T22:00:00.000Z,3946
2022-03-28T00:00:00.000Z,2496
2022-03-28T02:00:00.000Z,2308
2022-03-28T04:00:00.000Z,2218
2022-03-28T06:00:00.000Z,5436
2022-03-28T08:00:00.000Z,3122
2022-03-28T10:00:00.000Z,2830
2022-03-28T12:00:00.000Z,2506
2022-03-28T14:00:00.000Z,2338
2022-03-28T16:00:00.000Z,1902
2022-03-28T18:00:00.000Z,1913
2022-03-28T20:00:00.000Z,2008
2022-03-28T22:00:00.000Z,2435
2022-03-29T00:00:00.000Z,2051
2022-03-29T02:00:00.000Z,2152
