Time,Usage for R03_n1
2022-03-13T14:00:00.000Z,5873
2022-03-13T16:00:00.000Z,6012
2022-03-13T18:00:00.000Z,4877
2022-03-13T20:00:00.000Z,5402
2022-03-13T22:00:00.000Z,12841
2022-03-14T00:00:00.000Z,12496
2022-03-14T02:00:00.000Z,12105
2022-03-14T04:00:00.000Z,12233
2022-03-14T06:00:00.000Z,11715
2022-03-14T08:00:00.000Z,13736
2022-03-14T10:00:00.000Z,17592
2022-03-14T12:00:00.000Z,9329
2022-03-14T14:00:00.000Z,8694
2022-03-14T16:00:00.000Z,10249
2022-03-14T18:00:00.000Z,10438
2022-03-14T20:00:00.000Z,7362
2022-03-14T22:00:00.000Z,51934
2022-03-15T00:00:00.000Z,12105
2022-03-15T02:00:00.000Z,11949
2022-03-15T04:00:00.000Z,13197
2022-03-15T06:00:00.000Z,14076
2022-03-15T08:00:00.000Z,10408
2022-03-15T10:00:00.000Z,10069
2022-03-15T12:00:00.000Z,9957
2022-03-15T14:00:00.000Z,10862
2022-03-15T16:00:00.000Z,12060
2022-03-15T18:00:00.000Z,12215
2022-03-15T20:00:00.000Z,9529
2022-03-15T22:00:00.000Z,7993
2022-03-16T00:00:00.000Z,6318
2022-03-16T02:00:00.000Z,5765
2022-03-16T04:00:00.000Z,6835
2022-03-16T06:00:00.000Z,6113
2022-03-16T08:00:00.000Z,7415
2022-03-16T10:00:00.000Z,8358
2022-03-16T12:00:00.000Z,7145
2022-03-16T14:00:00.000Z,4383
2022-03-16T16:00:00.000Z,72678
2022-03-16T18:00:00.000Z,90242
2022-03-16T20:00:00.000Z,87016
2022-03-16T22:00:00.000Z,90606
2022-03-17T00:00:00.000Z,87305
2022-03-17T02:00:00.000Z,89398
2022-03-17T04:00:00.000Z,89873
2022-03-17T06:00:00.000Z,88176
2022-03-17T08:00:00.000Z,83426
2022-03-17T10:00:00.000Z,88479
2022-03-17T12:00:00.000Z,33799
2022-03-17T14:00:00.000Z,12522
2022-03-17T16:00:00.000Z,11142
2022-03-17T18:00:00.000Z,11415
2022-03-17T20:00:00.000Z,9632
2022-03-17T22:00:00.000Z,14719
2022-03-18T00:00:00.000Z,11021
2022-03-18T02:00:00.000Z,9737
2022-03-18T04:00:00.000Z,10485
2022-03-18T06:00:00.000Z,8553
2022-03-18T08:00:00.000Z,10799
2022-03-18T10:00:00.000Z,8550
2022-03-18T12:00:00.000Z,8795
2022-03-18T14:00:00.000Z,7096
2022-03-18T16:00:00.000Z,8114
2022-03-18T18:00:00.000Z,9887
2022-03-18T20:00:00.000Z,9167
2022-03-18T22:00:00.000Z,11961
2022-03-19T00:00:00.000Z,9703
2022-03-19T02:00:00.000Z,8757
2022-03-19T04:00:00.000Z,11350
