Time,Usage in MHz for R04,Usage for R04,
2021-04-13T00:00:00.000Z,14596,14,48
2021-04-14T00:00:00.000Z,14345,14,23
2021-04-15T00:00:00.000Z,18236,18,9
2021-04-16T00:00:00.000Z,16703,16,57
2021-04-17T00:00:00.000Z,7004,6,95
2021-04-18T00:00:00.000Z,7255,7,19
2021-04-19T00:00:00.000Z,14222,14,11
2021-04-20T00:00:00.000Z,15087,14,97
2021-04-21T00:00:00.000Z,14640,14,52
2021-04-22T00:00:00.000Z,17182,17,5
2021-04-23T00:00:00.000Z,15519,15,4
2021-04-24T00:00:00.000Z,8890,8,82
2021-04-25T00:00:00.000Z,9412,9,34
2021-04-26T00:00:00.000Z,18099,17,96
2021-04-27T00:00:00.000Z,23015,22,83
2021-04-28T00:00:00.000Z,18754,18,61
2021-04-29T00:00:00.000Z,17099,16,96
2021-04-30T00:00:00.000Z,17545,17,41
2021-05-01T00:00:00.000Z,8967,8,89
2021-05-02T00:00:00.000Z,12847,12,74
2021-05-03T00:00:00.000Z,14864,14,75
2021-05-04T00:00:00.000Z,18220,18,8
2021-05-05T00:00:00.000Z,22474,22,3
2021-05-06T00:00:00.000Z,25852,25,65
2021-05-07T00:00:00.000Z,16809,16,68
2021-05-08T00:00:00.000Z,6471,6,42
2021-05-09T00:00:00.000Z,7824,7,76
2021-05-10T00:00:00.000Z,20807,20,64
2021-05-11T00:00:00.000Z,18682,18,53
2021-05-12T00:00:00.000Z,14629,14,51
2021-05-13T00:00:00.000Z,19094,18,94
2021-05-14T00:00:00.000Z,14976,14,86
2021-05-15T00:00:00.000Z,6490,6,44
2021-05-16T00:00:00.000Z,7337,7,28
2021-05-17T00:00:00.000Z,18815,18,67
2021-05-18T00:00:00.000Z,15118,15,
2021-05-19T00:00:00.000Z,14208,14,9
2021-05-20T00:00:00.000Z,17948,17,81
2021-05-21T00:00:00.000Z,13784,13,67
2021-05-22T00:00:00.000Z,7807,7,74
2021-05-23T00:00:00.000Z,7166,7,11
2021-05-24T00:00:00.000Z,15383,15,26
2021-05-25T00:00:00.000Z,15010,14,89
2021-05-26T00:00:00.000Z,17756,17,62
2021-05-27T00:00:00.000Z,15125,15,
2021-05-28T00:00:00.000Z,15840,15,71
2021-05-29T00:00:00.000Z,7268,7,21
2021-05-30T00:00:00.000Z,7964,7,9
2021-05-31T00:00:00.000Z,21151,20,98
2021-06-01T00:00:00.000Z,18004,17,86
2021-06-02T00:00:00.000Z,16519,16,39
2021-06-03T00:00:00.000Z,7239,7,18
2021-06-04T00:00:00.000Z,10308,10,22
2021-06-05T00:00:00.000Z,6883,6,83
2021-06-06T00:00:00.000Z,8411,8,34
2021-06-07T00:00:00.000Z,24696,24,5
2021-06-08T00:00:00.000Z,21507,21,34
2021-06-09T00:00:00.000Z,17877,17,74
2021-06-10T00:00:00.000Z,16547,16,42
2021-06-11T00:00:00.000Z,16160,16,3
2021-06-12T00:00:00.000Z,8055,7,99
2021-06-13T00:00:00.000Z,7735,7,67
2021-06-14T00:00:00.000Z,17616,17,48
2021-06-15T00:00:00.000Z,16881,16,75
2021-06-16T00:00:00.000Z,20701,20,54
2021-06-17T00:00:00.000Z,16406,16,28
2021-06-18T00:00:00.000Z,12726,12,62
2021-06-19T00:00:00.000Z,7276,7,22
2021-06-20T00:00:00.000Z,9014,8,94
2021-06-21T00:00:00.000Z,14837,14,72
