Time,Active for R04,Ballooned memory for R04,Consumed for R04,Granted for R04,Shared for R04,Compressed for R04
2021-04-13T00:00:00.000Z,40868676,0,664531140,645687680,6663270,0
2021-04-14T00:00:00.000Z,39093032,0,665048130,646204740,6664106,0
2021-04-15T00:00:00.000Z,43652192,0,665457090,646598530,6663977,0
2021-04-16T00:00:00.000Z,44664664,0,664672320,647063040,7926892,0
2021-04-17T00:00:00.000Z,30087906,0,662331710,647289540,10481100,0
2021-04-18T00:00:00.000Z,29928730,0,662449980,647294270,10428404,0
2021-04-19T00:00:00.000Z,40112188,0,662566020,647454590,10416986,0
2021-04-20T00:00:00.000Z,42528428,0,663265790,647870910,10128540,0
2021-04-21T00:00:00.000Z,42825016,0,663684220,648261700,10105103,0
2021-04-22T00:00:00.000Z,47363324,0,664031490,648608320,10100138,0
2021-04-23T00:00:00.000Z,46078728,0,664361660,648933820,10091639,0
2021-04-24T00:00:00.000Z,35466448,0,664499580,649073150,10083556,0
2021-04-25T00:00:00.000Z,36675000,0,664577980,649074300,10083028,0
2021-04-26T00:00:00.000Z,46579836,0,664693570,649253250,10081979,0
2021-04-27T00:00:00.000Z,49276876,0,665294780,649751490,9988491,0
2021-04-28T00:00:00.000Z,49256328,0,665833410,650286020,9976549,0
2021-04-29T00:00:00.000Z,47737208,0,541958210,523733696,5354662,0
2021-04-30T00:00:00.000Z,48700836,0,613815680,592767420,3803170,0
2021-05-01T00:00:00.000Z,39489924,0,628341760,607168770,3793548,0
2021-05-02T00:00:00.000Z,40787312,0,601113410,611429760,35614956,0
2021-05-03T00:00:00.000Z,38077456,0,585355200,614945860,54961796,0
2021-05-04T00:00:00.000Z,48829636,0,587565440,616411900,54250908,0
2021-05-05T00:00:00.000Z,52717180,0,592370620,620359100,53498600,0
2021-05-06T00:00:00.000Z,57587160,0,593385660,621296060,53443644,0
2021-05-07T00:00:00.000Z,49397272,0,594871170,622424060,53110696,0
2021-05-08T00:00:00.000Z,35623192,0,595196350,622739330,53076312,0
2021-05-09T00:00:00.000Z,36133240,0,595620100,623065540,53075184,0
2021-05-10T00:00:00.000Z,47750328,0,595790140,623318780,53074560,0
2021-05-11T00:00:00.000Z,49819236,0,596258430,623793280,53073784,0
2021-05-12T00:00:00.000Z,46682040,0,596715330,624164480,52998948,0
2021-05-13T00:00:00.000Z,46445244,0,597201220,624593660,52949552,0
2021-05-14T00:00:00.000Z,46283432,0,597751810,625152060,52944812,0
2021-05-15T00:00:00.000Z,34976444,0,597940740,625344000,52946044,0
2021-05-16T00:00:00.000Z,37028812,0,597976000,625345220,52946112,0
2021-05-17T00:00:00.000Z,47849480,0,598102590,625485630,52944948,0
2021-05-18T00:00:00.000Z,46267032,0,598837890,626219840,52941752,0
2021-05-19T00:00:00.000Z,46393736,0,599686910,626524610,52377708,0
