Time,Read rate for R04_n1,Usage for R04_n1,Write rate for R04_n1
2021-04-14T00:00:00.000Z,2351,4874,2522
2021-04-15T00:00:00.000Z,2242,4949,2707
2021-04-16T00:00:00.000Z,3331,7212,3881
2021-04-17T00:00:00.000Z,1775,3740,1964
2021-04-18T00:00:00.000Z,6391,16677,10285
2021-04-19T00:00:00.000Z,2858,5970,3111
2021-04-20T00:00:00.000Z,2294,4619,2325
2021-04-21T00:00:00.000Z,2117,4163,2045
2021-04-22T00:00:00.000Z,2817,6059,3241
2021-04-23T00:00:00.000Z,2065,4342,2277
2021-04-24T00:00:00.000Z,2175,4669,2493
2021-04-25T00:00:00.000Z,8065,23675,15610
2021-04-26T00:00:00.000Z,2051,4518,2467
2021-04-27T00:00:00.000Z,2301,4519,2217
2021-04-28T00:00:00.000Z,2820,5743,2922
2021-04-29T00:00:00.000Z,39402,42576,3173
2021-04-30T00:00:00.000Z,8976,13170,4193
2021-05-01T00:00:00.000Z,8151,11207,3055
2021-05-02T00:00:00.000Z,8681,14309,5627
2021-05-03T00:00:00.000Z,2371,5092,2720
2021-05-04T00:00:00.000Z,3523,8147,4624
2021-05-05T00:00:00.000Z,2637,5738,3101
2021-05-06T00:00:00.000Z,2842,5934,3092
2021-05-07T00:00:00.000Z,2944,6366,3422
2021-05-08T00:00:00.000Z,1838,3869,2031
2021-05-09T00:00:00.000Z,8059,23125,15065
2021-05-10T00:00:00.000Z,2793,6364,3571
2021-05-11T00:00:00.000Z,2819,6376,3557
2021-05-12T00:00:00.000Z,3754,8973,5218
2021-05-13T00:00:00.000Z,2394,5802,3408
2021-05-14T00:00:00.000Z,2736,6335,3598
2021-05-15T00:00:00.000Z,2197,5039,2842
2021-05-16T00:00:00.000Z,2546,6083,3536
2021-05-17T00:00:00.000Z,3108,7616,4507
2021-05-18T00:00:00.000Z,2335,4652,2317
2021-05-19T00:00:00.000Z,2542,5850,3308
2021-05-20T00:00:00.000Z,2858,6283,3425
2021-05-21T00:00:00.000Z,3007,6585,3577
2021-05-22T00:00:00.000Z,1966,4354,2387
2021-05-23T00:00:00.000Z,2976,6186,3209
2021-05-24T00:00:00.000Z,3860,9243,5383
2021-05-25T00:00:00.000Z,2728,5577,2848
2021-05-26T00:00:00.000Z,2315,4848,2532
2021-05-27T00:00:00.000Z,2738,5896,3157
2021-05-28T00:00:00.000Z,2972,6653,3680
2021-05-29T00:00:00.000Z,2048,4280,2232
2021-05-30T00:00:00.000Z,4766,12672,7905
2021-05-31T00:00:00.000Z,3378,25803,22424
2021-06-01T00:00:00.000Z,3876,8324,4448
2021-06-02T00:00:00.000Z,3077,6557,3479
2021-06-03T00:00:00.000Z,1697,3510,1812
2021-06-04T00:00:00.000Z,2434,5247,2812
2021-06-05T00:00:00.000Z,2764,6550,3785
2021-06-06T00:00:00.000Z,4477,12531,8053
2021-06-07T00:00:00.000Z,4291,29941,25650
2021-06-08T00:00:00.000Z,3788,8170,4381
2021-06-09T00:00:00.000Z,2640,5533,2893
2021-06-10T00:00:00.000Z,3188,6933,3744
2021-06-11T00:00:00.000Z,2249,4596,2346
2021-06-12T00:00:00.000Z,2003,4436,2432
2021-06-13T00:00:00.000Z,1813,3866,2052
2021-06-14T00:00:00.000Z,2975,6168,3192
2021-06-15T00:00:00.000Z,2622,5269,2646
2021-06-16T00:00:00.000Z,2744,6397,3652
2021-06-17T00:00:00.000Z,2731,5797,3065
2021-06-18T00:00:00.000Z,2567,5324,2757
2021-06-19T00:00:00.000Z,1645,3250,1605
2021-06-20T00:00:00.000Z,1416,2785,1368
2021-06-21T00:00:00.000Z,3088,6664,3576
2021-06-22T00:00:00.000Z,1837,3351,1513
2021-06-23T00:00:00.000Z,1728,3672,1943
2021-06-24T00:00:00.000Z,1567,2858,1290
2021-06-25T00:00:00.000Z,1759,3336,1577
2021-06-26T00:00:00.000Z,1780,3930,2149
2021-06-27T00:00:00.000Z,6417,17745,11327
2021-06-28T00:00:00.000Z,2755,5950,3194
