Time,Data receive rate for R04_n1,Data receive rate for R04_n1 v0,Data receive rate for R04_n1 v1,Data receive rate for R04_n1 v2,Data receive rate for R04_n1 v3,Data receive rate for R04_n1 v4,Data receive rate for R04_n1 v5,Data transmit rate for R04_n1,Data transmit rate for R04_n1 v0,Data transmit rate for R04_n1 v1,Data transmit rate for R04_n1 v2,Data transmit rate for R04_n1 v3,Data transmit rate for R04_n1 v4,Data transmit rate for R04_n1 v5,Usage for R04_n1,Usage for R04_n1 v0,Usage for R04_n1 v1,Usage for R04_n1 v2,Usage for R04_n1 v3,Usage for R04_n1 v4,Usage for R04_n1 v5
2021-04-14T00:00:00.000Z,3417,1277,872,1263,0,0,2,456,13,433,0,0,0,9,3874,1291,1306,1263,0,0,12
2021-04-15T00:00:00.000Z,3916,1382,1162,1368,0,0,2,449,13,426,0,0,0,9,4366,1395,1588,1368,0,0,12
2021-04-16T00:00:00.000Z,3611,1094,1435,1078,0,0,2,1504,11,1482,0,0,0,9,5116,1106,2918,1078,0,0,12
2021-04-17T00:00:00.000Z,1161,233,693,230,0,0,2,366,3,354,0,0,0,9,1528,237,1047,230,0,0,11
2021-04-18T00:00:00.000Z,5127,252,4621,249,0,0,2,386,3,373,0,0,0,9,5514,256,4995,249,0,0,12
2021-04-19T00:00:00.000Z,3714,1314,1095,1300,0,0,2,477,13,454,0,0,0,9,4192,1328,1549,1300,0,0,12
2021-04-20T00:00:00.000Z,3538,1395,757,1381,0,0,2,476,12,453,0,0,0,9,4014,1408,1211,1381,0,0,12
2021-04-21T00:00:00.000Z,3230,1283,631,1270,0,0,43,457,12,435,0,0,0,9,3688,1296,1066,1270,0,0,53
2021-04-22T00:00:00.000Z,4834,1788,1267,1775,0,0,2,460,12,438,0,0,0,9,5295,1800,1705,1775,0,0,12
2021-04-23T00:00:00.000Z,8254,3740,759,3728,0,0,25,432,11,411,0,0,0,8,8687,3752,1170,3728,0,0,34
2021-04-24T00:00:00.000Z,1327,239,847,235,0,0,2,362,3,350,0,0,0,9,1690,243,1197,235,0,0,12
2021-04-25T00:00:00.000Z,8912,275,8362,271,0,0,2,416,3,403,0,0,0,9,9329,278,8766,271,0,0,12
2021-04-26T00:00:00.000Z,3891,1378,1129,1363,0,0,19,506,14,482,0,0,0,9,4398,1392,1611,1363,0,0,28
2021-04-27T00:00:00.000Z,3528,1424,690,1408,0,0,3,466,15,441,0,0,0,9,3994,1440,1131,1408,0,0,12
2021-04-28T00:00:00.000Z,3770,1382,1017,1366,0,0,2,472,15,447,0,0,0,9,4242,1398,1465,1366,0,0,12
2021-04-29T00:00:00.000Z,4174,1532,1196,1420,0,23,0,13716,316,13377,0,0,20,2,17891,1848,14574,1420,0,44,2
2021-04-30T00:00:00.000Z,3970,1444,1209,1289,0,25,0,1558,285,1249,0,0,21,1,5529,1730,2459,1289,0,47,1
