Time,Data receive rate for R04_n2,Data receive rate for R04_n2 v0,Data receive rate for R04_n2 v1,Data receive rate for R04_n2 v2,Data receive rate for R04_n2 v3,Data receive rate for R04_n2 v4,Data receive rate for R04_n2 v5,Data transmit rate for R04_n2,Data transmit rate for R04_n2 v0,Data transmit rate for R04_n2 v1,Data transmit rate for R04_n2 v2,Data transmit rate for R04_n2 v3,Data transmit rate for R04_n2 v4,Data transmit rate for R04_n2 v5,Usage for R04_n2,Usage for vmnic0 R04_n2 v0,Usage for R04_n2 v1,Usage for R04_n2 v2,Usage for R04_n2 v3,Usage for R04_n2 v4,Usage for R04_n2 v5
2022-03-14T10:00:00.000Z,5832,254,5573,0,0,0,2,30766,161,30594,0,0,0,9,36599,416,36168,0,0,0,12
2022-03-14T12:00:00.000Z,4907,240,4662,0,0,0,2,31026,155,30859,0,0,0,10,35934,397,35521,0,0,0,13
2022-03-14T14:00:00.000Z,10969,212,10750,1,0,1,2,35183,156,35016,0,0,0,9,46153,369,45767,1,0,1,12
2022-03-14T16:00:00.000Z,2975,179,2790,1,0,0,2,26344,128,26205,0,0,0,8,29319,308,28997,1,0,0,11
2022-03-14T18:00:00.000Z,2531,189,2337,1,0,0,2,1825,147,1669,0,0,0,8,4357,337,4006,1,0,0,11
2022-03-14T20:00:00.000Z,2719,187,2348,6,0,0,174,1279,141,1127,0,0,0,10,3999,329,3476,6,0,0,184
2022-03-14T22:00:00.000Z,4976,183,4561,0,0,10,220,36562,146,36399,0,0,3,13,41540,330,40960,0,0,13,233
2022-03-15T00:00:00.000Z,3123,163,2955,0,0,0,2,24799,142,24645,0,0,0,10,27922,307,27600,0,0,1,13
2022-03-15T02:00:00.000Z,2657,148,2505,0,0,0,2,2395,394,1991,0,0,0,9,5052,542,4496,0,0,0,12
2022-03-15T04:00:00.000Z,1907,133,1767,2,0,0,2,12391,118,12262,0,0,0,9,14298,252,14030,2,0,0,12
2022-03-15T06:00:00.000Z,3631,305,3321,0,0,0,2,6622,230,6381,0,0,0,9,10253,536,9703,0,0,0,12
2022-03-15T08:00:00.000Z,5769,613,5152,0,0,0,2,4843,530,4302,0,0,0,9,10613,1143,9455,0,0,0,12
2022-03-15T10:00:00.000Z,4796,689,4102,1,0,0,2,3954,540,3404,0,0,0,10,8751,1230,7506,1,0,0,12
2022-03-15T12:00:00.000Z,5604,447,5152,0,0,0,2,10007,488,9508,0,0,0,9,15611,935,14661,0,0,0,12
2022-03-15T14:00:00.000Z,4294,715,3571,0,0,3,2,11504,627,10866,0,0,0,9,15798,1343,14438,0,0,3,12
2022-03-15T16:00:00.000Z,3147,501,2641,0,0,0,2,2656,373,2273,0,0,0,9,5803,874,4915,0,0,0,12
2022-03-15T18:00:00.000Z,2483,185,2292,1,0,0,2,2025,149,1866,0,0,0,9,4508,335,4159,1,0,0,12
2022-03-15T20:00:00.000Z,2617,174,2368,0,0,0,72,2199,137,2052,0,0,0,8,4817,312,4421,0,0,0,82
2022-03-15T22:00:00.000Z,4518,181,4110,7,0,10,207,32101,141,31942,0,0,3,12,36620,323,36053,7,0,14,220
2022-03-16T00:00:00.000Z,3655,165,3260,0,0,1,227,57019,145,56862,0,0,1,9,60675,310,60122,0,0,3,237
2022-03-16T02:00:00.000Z,2936,149,2780,3,0,0,2,36140,405,35723,0,0,0,9,39077,555,38504,3,0,1,12
2022-03-16T04:00:00.000Z,1941,123,1813,0,0,0,2,36361,111,36239,0,0,0,10,38302,235,38052,0,0,0,13
2022-03-16T06:00:00.000Z,3977,190,3776,6,0,0,2,31157,134,31012,0,0,0,9,35134,324,34789,6,0,0,12
2022-03-16T08:00:00.000Z,4302,246,4051,0,0,0,2,30250,229,30010,0,0,0,10,34553,476,34062,0,0,0,13
2022-03-16T10:00:00.000Z,5796,841,4950,0,0,0,2,43957,762,43183,0,0,0,10,49754,1604,48135,0,0,0,13
2022-03-16T12:00:00.000Z,4966,624,4337,0,0,0,2,85849,479,85361,0,0,0,6,90815,1104,89699,0,0,0,9
2022-03-16T14:00:00.000Z,5029,945,4078,0,0,1,2,45844,796,45037,0,0,0,9,50874,1742,49117,0,0,1,12
2022-03-16T16:00:00.000Z,3053,613,2428,7,0,0,2,4433,343,4080,0,0,0,9,7487,957,6509,7,0,0,12
2022-03-16T18:00:00.000Z,2574,178,2390,0,0,0,2,2484,139,2336,0,0,0,8,5059,318,4727,0,0,0,11
2022-03-16T20:00:00.000Z,2477,179,2258,0,0,0,36,2849,149,2690,0,0,0,9,5326,330,4948,0,0,0,46
2022-03-16T22:00:00.000Z,4443,170,4063,0,0,11,197,37347,140,37188,0,0,4,13,41790,310,41252,0,0,15,210
2022-03-17T00:00:00.000Z,3453,153,3063,0,0,0,235,7261,136,7114,0,0,0,9,10715,290,10178,0,0,1,244
2022-03-17T02:00:00.000Z,2522,147,2370,0,0,0,2,2301,365,1926,0,0,0,9,4823,513,4296,0,0,0,12
2022-03-17T04:00:00.000Z,1780,132,1643,0,0,0,2,10815,146,10658,0,0,0,10,12595,279,12301,0,0,0,13
2022-03-17T06:00:00.000Z,3564,204,3355,0,0,0,2,5548,202,5335,0,0,0,9,9113,407,8691,0,0,0,12
2022-03-17T08:00:00.000Z,4573,255,4314,0,0,0,2,5170,183,4976,0,0,0,9,9744,439,9291,0,0,0,12
2022-03-17T10:00:00.000Z,5606,355,5246,1,0,0,2,5098,406,4682,0,0,0,9,10705,762,9928,1,0,0,12
2022-03-17T12:00:00.000Z,5010,379,4614,1,0,12,2,4937,755,4171,0,0,0,9,9948,1135,8786,1,0,12,12
2022-03-17T14:00:00.000Z,4216,305,3906,1,0,1,2,3823,270,3543,0,0,0,9,8039,575,7449,1,0,1,12
2022-03-17T16:00:00.000Z,2705,174,2525,1,0,0,2,2285,138,2138,0,0,0,9,4991,313,4664,1,0,0,12
2022-03-17T18:00:00.000Z,2485,189,2292,0,0,0,2,2397,153,2233,0,0,0,9,4883,343,4525,0,0,0,11
2022-03-17T20:00:00.000Z,2627,200,2315,11,0,0,98,1923,146,1766,0,0,0,10,4551,347,4082,11,0,0,108
