Time,Data receive rate for R04_n3,Data receive rate for R04_n3 v0,Data receive rate for R04_n3 v1,Data receive rate for R04_n3 v2,Data receive rate for R04_n3 v3,Data receive rate for R04_n3 v4,Data receive rate for R04_n3 v5,Data transmit rate for R04_n3,Data transmit rate for R04_n3 v0,Data transmit rate for R04_n3 v1,Data transmit rate for R04_n3 v2,Data transmit rate for R04_n3 v3,Data transmit rate for R04_n3 v4,Data transmit rate for R04_n3 v5,Usage for R04_n3,Usage for R04_n3 v0,Usage for R04_n3 v1,Usage for R04_n3 v2,Usage for R04_n3 v3,Usage for R04_n3 v4,Usage for R04_n3 v5
2022-03-14T10:00:00.000Z,6367,2958,1596,1809,0,2,0,2668,2420,237,0,0,10,0,9036,5379,1834,1809,0,13,0
2022-03-14T12:00:00.000Z,6172,2611,2038,1518,0,2,0,2520,2245,266,0,0,9,0,8693,4856,2304,1518,0,12,0
2022-03-14T14:00:00.000Z,8956,1349,6851,752,0,2,0,1646,1235,400,0,0,10,0,10603,2584,7251,752,0,13,0
2022-03-14T16:00:00.000Z,1851,827,499,520,0,2,0,793,647,136,0,0,10,0,2645,1475,635,520,0,12,0
2022-03-14T18:00:00.000Z,1599,691,470,433,0,2,0,698,560,129,0,0,9,0,2298,1252,599,433,0,11,0
2022-03-14T20:00:00.000Z,1328,569,255,328,0,2,171,598,484,104,0,0,9,0,1927,1054,359,328,0,12,171
2022-03-14T22:00:00.000Z,1681,280,1083,95,0,2,217,813,275,526,0,0,11,0,2495,556,1610,95,0,13,217
2022-03-15T00:00:00.000Z,1337,191,1096,45,0,2,0,295,186,98,0,0,9,0,1633,378,1195,45,0,12,0
2022-03-15T02:00:00.000Z,865,516,302,42,0,2,0,500,409,80,0,0,9,0,1366,926,382,42,0,12,0
2022-03-15T04:00:00.000Z,829,248,492,85,0,2,0,354,227,117,0,0,10,0,1184,475,609,85,0,12,0
2022-03-15T06:00:00.000Z,3331,1743,537,1047,0,2,0,1481,1302,168,0,0,10,0,4813,3046,705,1047,0,12,0
2022-03-15T08:00:00.000Z,6109,2759,1804,1542,0,2,0,2640,2392,236,0,0,9,0,8749,5151,2040,1542,0,12,0
2022-03-15T10:00:00.000Z,6991,3216,1775,1995,0,2,0,2752,2435,307,0,0,9,0,9744,5652,2082,1995,0,12,0
2022-03-15T12:00:00.000Z,7777,3182,3090,1500,0,2,0,2736,2238,487,0,0,9,0,10514,5421,3578,1500,0,12,0
2022-03-15T14:00:00.000Z,3521,1287,1604,625,0,2,0,1795,1274,510,0,0,10,0,5316,2561,2115,625,0,13,0
2022-03-15T16:00:00.000Z,1389,611,502,272,0,2,0,793,675,106,0,0,10,0,2183,1287,609,272,0,13,0
2022-03-15T18:00:00.000Z,1771,712,591,462,0,2,0,674,538,126,0,0,9,0,2446,1251,718,462,0,12,0
2022-03-15T20:00:00.000Z,994,387,360,171,0,2,70,706,445,251,0,0,9,0,1701,833,612,171,0,12,70
2022-03-15T22:00:00.000Z,1521,259,961,92,0,2,205,847,257,578,0,0,11,0,2369,517,1539,92,0,14,205
2022-03-16T00:00:00.000Z,1589,175,1142,43,0,2,224,606,172,424,0,0,9,0,2195,347,1566,43,0,12,224
2022-03-16T02:00:00.000Z,1726,574,1108,41,0,2,0,537,433,93,0,0,9,0,2264,1008,1201,41,0,12,0
2022-03-16T04:00:00.000Z,545,229,229,82,0,2,0,324,207,107,0,0,9,0,870,437,337,82,0,12,0
2022-03-16T06:00:00.000Z,3088,1414,868,801,0,2,0,1386,1190,185,0,0,9,0,4474,2605,1054,801,0,12,0
2022-03-16T08:00:00.000Z,5379,2521,1436,1419,0,2,0,2553,2244,299,0,0,9,0,7933,4765,1734,1419,0,12,0
2022-03-16T10:00:00.000Z,4968,2874,537,1551,0,2,0,2798,2470,318,0,0,9,0,7766,5345,856,1551,0,12,0
2022-03-16T12:00:00.000Z,4571,2695,488,1383,0,2,0,2605,2241,352,0,0,10,0,7176,4937,841,1383,0,13,0
2022-03-16T14:00:00.000Z,3349,1421,1298,625,0,2,0,1635,1316,309,0,0,9,0,4985,2737,1607,625,0,12,0
2022-03-16T16:00:00.000Z,1791,589,927,270,0,2,0,765,638,117,0,0,9,0,2557,1228,1045,270,0,12,0
2022-03-16T18:00:00.000Z,1647,454,960,228,0,2,0,609,494,104,0,0,10,0,2256,949,1064,228,0,12,0
2022-03-16T20:00:00.000Z,1129,399,519,171,0,2,34,516,407,99,0,0,10,0,1646,807,619,171,0,12,34
2022-03-16T22:00:00.000Z,1554,236,1035,84,0,2,194,502,246,244,0,0,11,0,2057,483,1279,84,0,14,194
2022-03-17T00:00:00.000Z,1673,171,1215,50,0,2,232,347,156,181,0,0,8,0,2021,328,1397,50,0,11,232
2022-03-17T02:00:00.000Z,1226,467,717,37,0,2,0,449,368,70,0,0,10,0,1676,836,787,37,0,12,0
2022-03-17T04:00:00.000Z,864,280,489,91,0,2,0,317,236,71,0,0,9,0,1182,516,560,91,0,12,0
2022-03-17T06:00:00.000Z,3153,1418,995,736,0,2,0,1416,1235,171,0,0,9,0,4570,2653,1166,736,0,12,0
2022-03-17T08:00:00.000Z,4911,2530,911,1465,0,2,0,2392,2146,235,0,0,10,0,7304,4677,1147,1465,0,13,0
2022-03-17T10:00:00.000Z,6847,2672,2717,1454,0,2,0,2593,2252,330,0,0,10,0,9441,4924,3048,1454,0,13,0
2022-03-17T12:00:00.000Z,4980,2866,734,1376,0,2,0,2912,2591,310,0,0,10,0,7892,5457,1044,1376,0,13,0
2022-03-17T14:00:00.000Z,2458,1418,425,610,0,2,0,1432,1170,251,0,0,10,0,3891,2589,677,610,0,13,0
2022-03-17T16:00:00.000Z,1965,483,1233,245,0,2,0,646,506,130,0,0,9,0,2613,990,1363,245,0,12,0
2022-03-17T18:00:00.000Z,1882,430,1246,201,0,2,0,546,460,76,0,0,10,0,2430,890,1323,201,0,13,0
2022-03-17T20:00:00.000Z,1373,363,750,160,0,2,96,529,416,102,0,0,9,0,1903,780,853,160,0,12,96
2022-03-17T22:00:00.000Z,2309,234,1655,87,0,2,328,552,227,313,0,0,11,0,2862,462,1968,87,0,14,328
2022-03-18T00:00:00.000Z,3051,162,2840,44,0,2,0,373,153,210,0,0,8,0,3425,316,3050,44,0,12,0
2022-03-18T02:00:00.000Z,890,510,337,38,0,2,0,469,377,81,0,0,10,0,1360,889,418,38,0,12,0
2022-03-18T04:00:00.000Z,1503,227,1189,83,0,2,0,298,206,81,0,0,10,0,1803,434,1271,83,0,13,0
2022-03-18T06:00:00.000Z,3693,1329,1623,736,0,2,0,1282,1109,163,0,0,9,0,4976,2438,1786,736,0,12,0
2022-03-18T08:00:00.000Z,16160,2486,12175,1494,0,2,0,2409,2010,390,0,0,9,0,18570,4497,12565,1494,0,12,0
2022-03-18T10:00:00.000Z,12979,2894,8272,1808,0,2,0,2419,2059,350,0,0,8,0,15399,4954,8622,1808,0,11,0
2022-03-18T12:00:00.000Z,17795,2188,14318,1284,0,2,0,2126,1789,326,0,0,9,0,19922,3978,14645,1284,0,12,0
2022-03-18T14:00:00.000Z,5829,1121,4227,476,0,2,0,1373,874,488,0,0,9,0,7203,1996,4716,476,0,12,0
2022-03-18T16:00:00.000Z,1986,614,964,404,0,2,0,540,408,122,0,0,10,0,2528,1023,1086,404,0,13,0
2022-03-18T18:00:00.000Z,1406,319,948,135,0,2,0,459,347,101,0,0,9,0,1865,667,1049,135,0,12,0
