Time,Usage in MHz for S,Usage for S,
2022-03-14T12:00:00.000Z,58567,24,4
2022-03-14T14:00:00.000Z,41881,17,45
2022-03-14T16:00:00.000Z,31048,12,93
2022-03-14T18:00:00.000Z,34468,14,36
2022-03-14T20:00:00.000Z,31933,13,3
2022-03-14T22:00:00.000Z,28339,11,8
2022-03-15T00:00:00.000Z,30834,12,84
2022-03-15T02:00:00.000Z,26279,10,94
2022-03-15T04:00:00.000Z,28463,11,85
2022-03-15T06:00:00.000Z,43665,18,19
2022-03-15T08:00:00.000Z,56380,23,49
2022-03-15T10:00:00.000Z,59046,24,6
2022-03-15T12:00:00.000Z,59571,24,82
2022-03-15T14:00:00.000Z,45939,19,14
2022-03-15T16:00:00.000Z,35780,14,9
2022-03-15T18:00:00.000Z,35612,14,83
2022-03-15T20:00:00.000Z,30710,12,79
2022-03-15T22:00:00.000Z,34374,14,32
2022-03-16T00:00:00.000Z,38307,15,96
2022-03-16T02:00:00.000Z,27107,11,29
2022-03-16T04:00:00.000Z,31568,13,15
2022-03-16T06:00:00.000Z,40297,16,79
2022-03-16T08:00:00.000Z,54843,22,85
2022-03-16T10:00:00.000Z,55820,23,25
2022-03-16T12:00:00.000Z,55909,23,29
2022-03-16T14:00:00.000Z,43366,18,6
2022-03-16T16:00:00.000Z,33240,13,85
2022-03-16T18:00:00.000Z,35841,14,93
2022-03-16T20:00:00.000Z,32663,13,6
2022-03-16T22:00:00.000Z,30636,12,76
2022-03-17T00:00:00.000Z,34172,14,23
2022-03-17T02:00:00.000Z,29313,12,21
2022-03-17T04:00:00.000Z,31074,12,94
2022-03-17T06:00:00.000Z,44885,18,7
2022-03-17T08:00:00.000Z,62745,26,14
2022-03-17T10:00:00.000Z,60946,25,39
2022-03-17T12:00:00.000Z,58986,24,57
2022-03-17T14:00:00.000Z,44863,18,69
2022-03-17T16:00:00.000Z,35969,14,98
2022-03-17T18:00:00.000Z,37345,15,56
2022-03-17T20:00:00.000Z,32539,13,55
2022-03-17T22:00:00.000Z,30324,12,63
2022-03-18T00:00:00.000Z,33985,14,16
2022-03-18T02:00:00.000Z,30899,12,87
2022-03-18T04:00:00.000Z,32673,13,61
2022-03-18T06:00:00.000Z,45377,18,9
2022-03-18T08:00:00.000Z,58106,24,21
2022-03-18T10:00:00.000Z,56537,23,55
2022-03-18T12:00:00.000Z,54476,22,69
2022-03-18T14:00:00.000Z,41037,17,9
2022-03-18T16:00:00.000Z,33834,14,9
2022-03-18T18:00:00.000Z,36030,15,1
2022-03-18T20:00:00.000Z,32566,13,56
2022-03-18T22:00:00.000Z,33197,13,83
2022-03-19T00:00:00.000Z,39392,16,41
2022-03-19T02:00:00.000Z,32337,13,47
2022-03-19T04:00:00.000Z,33170,13,82
2022-03-19T06:00:00.000Z,30793,12,83
2022-03-19T08:00:00.000Z,29278,12,19
2022-03-19T10:00:00.000Z,30156,12,56
2022-03-19T12:00:00.000Z,30233,12,59
