Time,Usage in MHz for S,Usage for S,
2021-04-14T00:00:00.000Z,35460,14,77
2021-04-15T00:00:00.000Z,37675,15,69
2021-04-16T00:00:00.000Z,32866,13,69
2021-04-17T00:00:00.000Z,36990,15,41
2021-04-18T00:00:00.000Z,38435,16,1
2021-04-19T00:00:00.000Z,36803,15,33
2021-04-20T00:00:00.000Z,34822,14,5
2021-04-21T00:00:00.000Z,35132,14,63
2021-04-22T00:00:00.000Z,36124,15,5
2021-04-23T00:00:00.000Z,36344,15,14
2021-04-24T00:00:00.000Z,39236,16,34
2021-04-25T00:00:00.000Z,35055,14,6
2021-04-26T00:00:00.000Z,36964,15,4
2021-04-27T00:00:00.000Z,34120,14,21
2021-04-28T00:00:00.000Z,33841,14,1
2021-04-29T00:00:00.000Z,35243,14,68
2021-04-30T00:00:00.000Z,34539,14,39
2021-05-01T00:00:00.000Z,39000,16,25
2021-05-02T00:00:00.000Z,37776,15,74
2021-05-03T00:00:00.000Z,37484,15,61
2021-05-04T00:00:00.000Z,38526,16,5
2021-05-05T00:00:00.000Z,35301,14,7
2021-05-06T00:00:00.000Z,36519,15,21
2021-05-07T00:00:00.000Z,32147,13,39
2021-05-08T00:00:00.000Z,35469,14,77
2021-05-09T00:00:00.000Z,36410,15,17
2021-05-10T00:00:00.000Z,34935,14,55
2021-05-11T00:00:00.000Z,36337,15,14
2021-05-12T00:00:00.000Z,35704,14,87
2021-05-13T00:00:00.000Z,38394,15,99
2021-05-14T00:00:00.000Z,35646,14,85
2021-05-15T00:00:00.000Z,40561,16,9
2021-05-16T00:00:00.000Z,38512,16,4
2021-05-17T00:00:00.000Z,35344,14,72
2021-05-18T00:00:00.000Z,38339,15,97
2021-05-19T00:00:00.000Z,34356,14,31
2021-05-20T00:00:00.000Z,33604,14,
2021-05-21T00:00:00.000Z,36816,15,34
2021-05-22T00:00:00.000Z,35053,14,6
2021-05-23T00:00:00.000Z,35302,14,7
2021-05-24T00:00:00.000Z,36355,15,14
2021-05-25T00:00:00.000Z,37071,15,44
2021-05-26T00:00:00.000Z,36202,15,8
2021-05-27T00:00:00.000Z,34564,14,4
2021-05-28T00:00:00.000Z,35159,14,64
2021-05-29T00:00:00.000Z,35197,14,66
2021-05-30T00:00:00.000Z,33809,14,8
2021-05-31T00:00:00.000Z,33571,13,98
2021-06-01T00:00:00.000Z,35734,14,88
2021-06-02T00:00:00.000Z,35005,14,58
2021-06-03T00:00:00.000Z,32814,13,67
2021-06-04T00:00:00.000Z,33522,13,96
