Time,Active for S,Ballooned memory for S,Consumed for S,Granted for S,Shared for S,Compressed for S
2022-03-14T12:00:00.000Z,237844016,0,1936008060,1974187780,76341080,0
2022-03-14T14:00:00.000Z,207525728,0,1942289920,1980412030,76357880,0
2022-03-14T16:00:00.000Z,193391552,0,1946009980,1984174460,76354976,0
2022-03-14T18:00:00.000Z,181506208,0,1949091200,1987166080,76350008,0
2022-03-14T20:00:00.000Z,152235904,0,1949085180,1987255420,76417760,0
2022-03-14T22:00:00.000Z,135170944,0,1950437890,1988528380,76443136,0
2022-03-15T00:00:00.000Z,107298392,0,1951412610,1989607550,76483552,0
2022-03-15T02:00:00.000Z,101811728,0,1951376380,1989594370,76409672,0
2022-03-15T04:00:00.000Z,116058992,0,1951394820,1989593980,76387528,0
2022-03-15T06:00:00.000Z,151226144,0,1951421440,1989599100,76366328,0
2022-03-15T08:00:00.000Z,207892384,0,1951858560,1989656320,75981008,0
2022-03-15T10:00:00.000Z,226679344,0,1952004100,1989813250,75984696,0
2022-03-15T12:00:00.000Z,227765776,0,1952232580,1990039300,75981552,0
2022-03-15T14:00:00.000Z,202905696,0,1952311420,1990049410,75957248,0
2022-03-15T16:00:00.000Z,187760016,0,1952267900,1990049280,75989144,0
2022-03-15T18:00:00.000Z,197030528,0,1952264960,1990049540,75984056,0
2022-03-15T20:00:00.000Z,178432032,0,1953058820,1990851580,75980344,0
2022-03-15T22:00:00.000Z,156662384,0,1953284350,1990977150,75979688,0
2022-03-16T00:00:00.000Z,117552608,0,1953351940,1990977660,75947840,0
2022-03-16T02:00:00.000Z,103386720,0,1953329150,1990977540,75904360,0
2022-03-16T04:00:00.000Z,121697496,0,1953331970,1990977660,75907448,0
2022-03-16T06:00:00.000Z,205597920,0,1953300350,1990977540,75901808,0
2022-03-16T08:00:00.000Z,228441504,0,1953340540,1990978430,75827592,0
2022-03-16T10:00:00.000Z,235367488,0,1953372930,1991025410,75842680,0
2022-03-16T12:00:00.000Z,235688320,0,1968003580,2005571070,75850064,0
2022-03-16T14:00:00.000Z,209688912,0,1981954180,2019551230,75853232,0
2022-03-16T16:00:00.000Z,191433536,0,1982004100,2019550980,75855584,0
2022-03-16T18:00:00.000Z,184093152,0,1981971460,2019551100,75850744,0
2022-03-16T20:00:00.000Z,153256592,0,1981966210,2019550460,75853344,0
2022-03-16T22:00:00.000Z,142263264,0,1982006910,2019551360,75840184,0
2022-03-17T00:00:00.000Z,114010632,0,1981980290,2019550460,75826288,0
2022-03-17T02:00:00.000Z,105694104,0,1981988100,2019552510,75847576,0
2022-03-17T04:00:00.000Z,118659576,0,1981978110,2019551360,75839424,0
2022-03-17T06:00:00.000Z,155245424,0,1981945220,2019550590,75848704,0
2022-03-17T08:00:00.000Z,213568880,0,1982021500,2019551740,75772616,0
2022-03-17T10:00:00.000Z,231832704,0,1982019200,2019571330,75809328,0
2022-03-17T12:00:00.000Z,230484992,0,1982121860,2019554430,75663064,0
2022-03-17T14:00:00.000Z,210370976,0,1982411260,2019571580,75440240,0
2022-03-17T16:00:00.000Z,190837760,0,1982404480,2019552000,75440392,0
2022-03-17T18:00:00.000Z,182126384,0,1982390530,2019548030,75436840,0
2022-03-17T20:00:00.000Z,133903168,0,1982370180,2019547140,75438840,0
2022-03-17T22:00:00.000Z,134285280,0,1982383740,2019547140,75435824,0
2022-03-18T00:00:00.000Z,113910696,0,1982418180,2019549310,75443136,0
2022-03-18T02:00:00.000Z,105757272,0,1982546050,2019557250,75346744,0
2022-03-18T04:00:00.000Z,116281600,0,1982444160,2019561600,75442016,0
2022-03-18T06:00:00.000Z,148660560,0,1982419840,2019560190,75395040,0
2022-03-18T08:00:00.000Z,207438576,0,1982928640,2019602300,74929712,0
2022-03-18T10:00:00.000Z,220392832,0,1982829180,2019560960,74989688,0
2022-03-18T12:00:00.000Z,219871040,0,1982828540,2019561860,74992488,0
2022-03-18T14:00:00.000Z,196757552,0,1982837250,2019563260,75008952,0
2022-03-18T16:00:00.000Z,180399200,0,1982868860,2019858050,75269704,0
2022-03-18T18:00:00.000Z,166974752,0,1982453250,2019563520,75368368,0
2022-03-18T20:00:00.000Z,146257872,0,1982369150,2019564800,75449256,0
2022-03-18T22:00:00.000Z,137459888,0,1982697730,2019605120,75279624,0
2022-03-19T00:00:00.000Z,115844176,0,1982819070,2019566080,75049520,0
2022-03-19T02:00:00.000Z,106904024,0,1982811520,2019588100,75072392,0
2022-03-19T04:00:00.000Z,112050928,0,1982824190,2019567100,75021560,0
2022-03-19T06:00:00.000Z,116844152,0,1982798080,2019565440,75019616,0
2022-03-19T08:00:00.000Z,121251728,0,1982840960,2019565310,74978928,0
2022-03-19T10:00:00.000Z,126815072,0,1982844420,2019565310,74969024,0
2022-03-19T12:00:00.000Z,122529032,0,1982838910,2019565310,74977800,0
2022-03-19T14:00:00.000Z,121144696,0,1982855170,2019565570,74976424,0
2022-03-19T16:00:00.000Z,121323736,0,1982834690,2019565440,74971232,0
2022-03-19T18:00:00.000Z,116539200,0,1982859260,2019565570,74975432,0
2022-03-19T20:00:00.000Z,115767536,0,1982864640,2019565180,74954592,0
2022-03-19T22:00:00.000Z,122801752,0,1982898300,2019570690,74958416,0
2022-03-20T00:00:00.000Z,125106352,0,1983020800,2019574910,74921200,0
2022-03-20T02:00:00.000Z,117499696,0,1982911620,2019573760,74914168,0
2022-03-20T04:00:00.000Z,108287368,0,1982900220,2019573500,74925568,0
2022-03-20T06:00:00.000Z,110782744,0,1982910080,2019573500,74927656,0
2022-03-20T08:00:00.000Z,119163568,0,1982952700,2019573630,74875488,0
2022-03-20T10:00:00.000Z,124087968,0,1982941180,2019573630,74872504,0
2022-03-20T12:00:00.000Z,123463712,0,1982932220,2019573380,74878024,0
2022-03-20T14:00:00.000Z,125752392,0,1982975870,2019577470,74881296,0
2022-03-20T16:00:00.000Z,126823128,0,1982941440,2019577470,74871248,0
2022-03-20T18:00:00.000Z,126761584,0,1982975620,2019578110,74848032,0
2022-03-20T20:00:00.000Z,125515120,0,1982937220,2019578880,74867872,0
2022-03-20T22:00:00.000Z,123124656,0,1982950660,2019578110,74874608,0
2022-03-21T00:00:00.000Z,111809800,0,1982976770,2019578110,74870688,0
2022-03-21T02:00:00.000Z,111287056,0,1982928640,2019580540,74888848,0
2022-03-21T04:00:00.000Z,115425408,0,1982927230,2019579010,74883568,0
2022-03-21T06:00:00.000Z,156341712,0,1983062530,2019670400,74863712,0
2022-03-21T08:00:00.000Z,213967808,0,1983125380,2019654530,74760984,0
2022-03-21T10:00:00.000Z,220766752,0,1983441540,2019874180,74664536,0
2022-03-21T12:00:00.000Z,222427904,0,1983668740,2019985540,74572480,0
2022-03-21T14:00:00.000Z,199227584,0,1983601920,2019943420,74660312,0
2022-03-21T16:00:00.000Z,179505728,0,1983462780,2019938300,74723984,0
2022-03-21T18:00:00.000Z,190353168,0,1983542910,2019944830,74723056,0
