Time,Active for S,Ballooned memory for S,Consumed for S,Granted for S,Shared for S,Compressed for S
2021-04-14T00:00:00.000Z,54459352,0,769227970,752348290,1001239,0
2021-04-15T00:00:00.000Z,56909652,0,769288060,752368260,978425,0
2021-04-16T00:00:00.000Z,55350852,0,769302980,752372740,971592,0
2021-04-17T00:00:00.000Z,52588536,0,769282500,752380030,999960,0
2021-04-18T00:00:00.000Z,52944140,0,769344830,752387460,950771,0
2021-04-19T00:00:00.000Z,56635344,0,769333500,752394500,970519,0
2021-04-20T00:00:00.000Z,60564320,0,769309440,752401340,996505,0
2021-04-21T00:00:00.000Z,58002560,0,769365380,752411580,957479,0
2021-04-22T00:00:00.000Z,57601968,0,770279490,753316800,949265,0
2021-04-23T00:00:00.000Z,53407688,0,775268480,758343100,998149,0
2021-04-24T00:00:00.000Z,51979048,0,775778500,758811010,963964,0
2021-04-25T00:00:00.000Z,51341576,0,775826750,758858690,965469,0
2021-04-26T00:00:00.000Z,52708252,0,775822720,758868540,976148,0
2021-04-27T00:00:00.000Z,53790428,0,775860610,758878590,957261,0
2021-04-28T00:00:00.000Z,55425660,0,775875780,758892100,960923,0
2021-04-29T00:00:00.000Z,53750008,0,775856510,758900800,980045,0
2021-04-30T00:00:00.000Z,54635552,0,775895620,758909950,954558,0
2021-05-01T00:00:00.000Z,53051092,0,775896510,758910020,957029,0
2021-05-02T00:00:00.000Z,52619096,0,775874880,758914560,976802,0
2021-05-03T00:00:00.000Z,53388012,0,775912190,758925060,955533,0
2021-05-04T00:00:00.000Z,55647836,0,775926720,758934530,959668,0
2021-05-05T00:00:00.000Z,54137700,0,775896450,758938750,977967,0
2021-05-06T00:00:00.000Z,53655704,0,775936000,758945090,952491,0
2021-05-07T00:00:00.000Z,53249796,0,775931580,758944580,957704,0
2021-05-08T00:00:00.000Z,53226716,0,775898370,758945660,983132,0
2021-05-09T00:00:00.000Z,53574128,0,775936450,758945600,952636,0
2021-05-10T00:00:00.000Z,55590280,0,775941630,758947710,954959,0
2021-05-11T00:00:00.000Z,55222040,0,775926910,758950020,970427,0
2021-05-12T00:00:00.000Z,55674936,0,775964350,758963970,955542,0
2021-05-13T00:00:00.000Z,54679060,0,775965500,758967940,953175,0
2021-05-14T00:00:00.000Z,52958448,0,775935360,758967940,976848,0
2021-05-15T00:00:00.000Z,56026128,0,775972800,758967940,945838,0
2021-05-16T00:00:00.000Z,52726608,0,775956220,758967940,953813,0
2021-05-17T00:00:00.000Z,56007808,0,775931200,758968130,975327,0
2021-05-18T00:00:00.000Z,59595284,0,775966340,758968000,953195,0
2021-05-19T00:00:00.000Z,58287516,0,775959550,758968320,960686,0
2021-05-20T00:00:00.000Z,55393456,0,775844670,758968700,1068870,0
2021-05-21T00:00:00.000Z,53760404,0,775914430,758968900,1007232,0
2021-05-22T00:00:00.000Z,51113648,0,775909700,758968830,1009605,0
2021-05-23T00:00:00.000Z,50050000,0,775884740,758968830,1028753,0
2021-05-24T00:00:00.000Z,51888248,0,775933630,758985220,1003413,0
2021-05-25T00:00:00.000Z,57495520,0,775939070,758985280,996996,0
2021-05-26T00:00:00.000Z,55370728,0,775942720,758985340,1001010,0
2021-05-27T00:00:00.000Z,54731500,0,775948420,758985540,997699,0
2021-05-28T00:00:00.000Z,57118620,0,775952830,758985600,997921,0
2021-05-29T00:00:00.000Z,50304688,0,775957060,758985540,980616,0
2021-05-30T00:00:00.000Z,50094144,0,775916350,758986940,1027388,0
2021-05-31T00:00:00.000Z,52341192,0,775952000,758987650,999231,0
2021-06-01T00:00:00.000Z,62822156,0,775964350,758988540,991506,0
2021-06-02T00:00:00.000Z,61948808,0,775944380,758987010,1004972,0
2021-06-03T00:00:00.000Z,57489748,0,775951170,758986940,999564,0
2021-06-04T00:00:00.000Z,54536936,0,776041220,759070080,996411,0
2021-06-05T00:00:00.000Z,50545288,0,776035840,759103810,1025549,0
2021-06-06T00:00:00.000Z,50715904,0,776074110,759103940,994742,0
2021-06-07T00:00:00.000Z,58284100,0,776069950,759103810,995454,0
2021-06-08T00:00:00.000Z,58564736,0,776046850,759103810,1018863,0
2021-06-09T00:00:00.000Z,61586528,0,776086080,759104000,993285,0
2021-06-10T00:00:00.000Z,62306204,0,776077180,759103810,994384,0
2021-06-11T00:00:00.000Z,55986692,0,776051070,759104960,1017824,0
2021-06-12T00:00:00.000Z,50449856,0,776076740,759103940,991951,0
2021-06-13T00:00:00.000Z,50392468,0,776068990,759104000,994987,0
2021-06-14T00:00:00.000Z,52394292,0,776039170,759104000,1021998,0
2021-06-15T00:00:00.000Z,57865000,0,776076930,759104060,991541,0
2021-06-16T00:00:00.000Z,60348932,0,777598340,760264830,965830,0
2021-06-17T00:00:00.000Z,50747320,0,781976830,763491650,920431,0
2021-06-18T00:00:00.000Z,51446504,0,781980220,763517060,895003,0
2021-06-19T00:00:00.000Z,50092260,0,782051260,763532350,901356,0
2021-06-20T00:00:00.000Z,49668296,0,781961730,763567100,929677,0
2021-06-21T00:00:00.000Z,42770624,0,782004930,763573630,898465,0
2021-06-22T00:00:00.000Z,43111100,0,782899650,764464260,887951,0
2021-06-23T00:00:00.000Z,44409556,0,783048960,764642500,920131,0
2021-06-24T00:00:00.000Z,44800284,0,783163260,764710080,883214,0
2021-06-25T00:00:00.000Z,49213560,0,742953920,724588290,883858,0
2021-06-26T00:00:00.000Z,47386496,0,696283390,677935740,882906,0
2021-06-27T00:00:00.000Z,48837592,0,700021120,681729280,881369,0
2021-06-28T00:00:00.000Z,55015944,0,701047230,682781250,898469,0
2021-06-29T00:00:00.000Z,65056400,0,701341060,683041920,880259,0
2021-06-30T00:00:00.000Z,60616608,0,703579840,685263040,878595,0
2021-07-01T00:00:00.000Z,53678216,0,705053310,686696640,897565,0
2021-07-02T00:00:00.000Z,51329408,0,705859580,687535740,872271,0
2021-07-03T00:00:00.000Z,49961072,0,706138370,687805440,869257,0
2021-07-04T00:00:00.000Z,49593764,0,706367420,688064320,892367,0
2021-07-05T00:00:00.000Z,51440112,0,706473790,688143550,868390,0
2021-07-06T00:00:00.000Z,54311500,0,706473280,688145660,863248,0
2021-07-07T00:00:00.000Z,53177756,0,707010300,688715070,891618,0
