Time,Data receive rate for S_n1,Data transmit rate for S_n1,Usage for S_n1
2022-03-14T12:00:00.000Z,12444,14122,26566
2022-03-14T14:00:00.000Z,7747,50953,58701
2022-03-14T16:00:00.000Z,2497,11241,13739
2022-03-14T18:00:00.000Z,19454,43067,62521
2022-03-14T20:00:00.000Z,14385,17001,31387
2022-03-14T22:00:00.000Z,3344,59564,62909
2022-03-15T00:00:00.000Z,24558,52100,76658
2022-03-15T02:00:00.000Z,5800,6260,12060
2022-03-15T04:00:00.000Z,495,427,922
2022-03-15T06:00:00.000Z,5484,5089,10574
2022-03-15T08:00:00.000Z,11844,22910,34754
2022-03-15T10:00:00.000Z,13710,24862,38573
2022-03-15T12:00:00.000Z,12169,21436,33606
2022-03-15T14:00:00.000Z,6574,46642,53216
2022-03-15T16:00:00.000Z,2113,35880,37993
2022-03-15T18:00:00.000Z,8141,12109,20250
2022-03-15T20:00:00.000Z,3153,2578,5731
2022-03-15T22:00:00.000Z,3472,37868,41341
2022-03-16T00:00:00.000Z,2919,51540,54460
2022-03-16T02:00:00.000Z,14668,17187,31856
2022-03-16T04:00:00.000Z,18164,18289,36453
2022-03-16T06:00:00.000Z,17455,20604,38059
2022-03-16T08:00:00.000Z,14218,19939,34157
2022-03-16T10:00:00.000Z,12883,15196,28080
2022-03-16T12:00:00.000Z,12293,12560,24854
2022-03-16T14:00:00.000Z,6794,12074,18869
2022-03-16T16:00:00.000Z,2349,40985,43336
2022-03-16T18:00:00.000Z,8508,14191,22700
2022-03-16T20:00:00.000Z,2963,4614,7578
2022-03-16T22:00:00.000Z,18428,30695,49124
2022-03-17T00:00:00.000Z,3620,8601,12222
2022-03-17T02:00:00.000Z,27147,30374,57521
2022-03-17T04:00:00.000Z,17243,20352,37596
2022-03-17T06:00:00.000Z,5201,10372,15573
2022-03-17T08:00:00.000Z,13973,19698,33673
2022-03-17T10:00:00.000Z,15388,16110,31498
2022-03-17T12:00:00.000Z,12356,13208,25564
2022-03-17T14:00:00.000Z,5744,25659,31404
2022-03-17T16:00:00.000Z,1686,23065,24751
2022-03-17T18:00:00.000Z,8008,12756,20764
2022-03-17T20:00:00.000Z,2536,2008,4545
2022-03-17T22:00:00.000Z,2135,16055,18191
2022-03-18T00:00:00.000Z,27694,51487,79183
2022-03-18T02:00:00.000Z,16951,21909,38862
2022-03-18T04:00:00.000Z,27246,27492,54739
2022-03-18T06:00:00.000Z,4873,5661,10534
