Time,Data receive rate for S_n1,Data transmit rate for S_n1,Usage for S_n1
2021-04-14T00:00:00.000Z,4383,1972,6356
2021-04-15T00:00:00.000Z,8875,3012,11888
2021-04-16T00:00:00.000Z,4968,5758,10727
2021-04-17T00:00:00.000Z,4808,2023,6832
2021-04-18T00:00:00.000Z,5066,6634,11701
2021-04-19T00:00:00.000Z,6193,17608,23802
2021-04-20T00:00:00.000Z,7648,10029,17678
2021-04-21T00:00:00.000Z,5190,2684,7875
2021-04-22T00:00:00.000Z,5482,761,6244
2021-04-23T00:00:00.000Z,4212,1568,5780
2021-04-24T00:00:00.000Z,4182,21241,25424
2021-04-25T00:00:00.000Z,4750,11617,16368
2021-04-26T00:00:00.000Z,5906,616,6523
2021-04-27T00:00:00.000Z,4239,268,4507
2021-04-28T00:00:00.000Z,4572,11861,16433
2021-04-29T00:00:00.000Z,5291,1584,6876
2021-04-30T00:00:00.000Z,4027,354,4382
2021-05-01T00:00:00.000Z,5467,2306,7774
2021-05-02T00:00:00.000Z,5787,16591,22379
2021-05-03T00:00:00.000Z,5773,485,6259
2021-05-04T00:00:00.000Z,7208,4704,11913
2021-05-05T00:00:00.000Z,4223,11357,15580
2021-05-06T00:00:00.000Z,4686,1544,6230
2021-05-07T00:00:00.000Z,3565,283,3849
2021-05-08T00:00:00.000Z,4590,2153,6744
2021-05-09T00:00:00.000Z,5490,1846,7337
2021-05-10T00:00:00.000Z,5180,11511,16692
2021-05-11T00:00:00.000Z,3978,24937,28916
2021-05-12T00:00:00.000Z,3695,13814,17509
2021-05-13T00:00:00.000Z,4347,3607,7954
2021-05-14T00:00:00.000Z,3856,2771,6628
2021-05-15T00:00:00.000Z,14252,18481,32734
2021-05-16T00:00:00.000Z,8203,9309,17513
2021-05-17T00:00:00.000Z,7461,17373,24835
2021-05-18T00:00:00.000Z,8472,23656,32128
2021-05-19T00:00:00.000Z,10403,26372,36776
2021-05-20T00:00:00.000Z,7802,10104,17906
2021-05-21T00:00:00.000Z,6050,8234,14284
2021-05-22T00:00:00.000Z,4110,16517,20628
2021-05-23T00:00:00.000Z,4734,300,5035
2021-05-24T00:00:00.000Z,4920,2839,7759
2021-05-25T00:00:00.000Z,4805,17441,22247
2021-05-26T00:00:00.000Z,9639,12293,21932
2021-05-27T00:00:00.000Z,5439,17856,23296
2021-05-28T00:00:00.000Z,6858,13779,20638
2021-05-29T00:00:00.000Z,4471,428,4899
2021-05-30T00:00:00.000Z,4617,92,4710
2021-05-31T00:00:00.000Z,4225,257,4483
2021-06-01T00:00:00.000Z,20642,9418,30061
2021-06-02T00:00:00.000Z,19322,16993,36316
2021-06-03T00:00:00.000Z,20911,3928,24839
2021-06-04T00:00:00.000Z,5915,14693,20609
2021-06-05T00:00:00.000Z,4652,82,4734
2021-06-06T00:00:00.000Z,4886,23717,28604
2021-06-07T00:00:00.000Z,5686,10138,15824
2021-06-08T00:00:00.000Z,8260,622,8883
2021-06-09T00:00:00.000Z,16811,26772,43584
2021-06-10T00:00:00.000Z,22147,16529,38676
2021-06-11T00:00:00.000Z,6369,10442,16812
2021-06-12T00:00:00.000Z,4352,2303,6656
2021-06-13T00:00:00.000Z,4530,194,4725
2021-06-14T00:00:00.000Z,5674,1018,6693
2021-06-15T00:00:00.000Z,18480,2362,20843
2021-06-16T00:00:00.000Z,12717,9371,22089
2021-06-17T00:00:00.000Z,112636,3853,116489
2021-06-18T00:00:00.000Z,29757,3370,33128
2021-06-19T00:00:00.000Z,194505,24655,219161
2021-06-20T00:00:00.000Z,9598,240,9839
2021-06-21T00:00:00.000Z,9275,462,9738
2021-06-22T00:00:00.000Z,10962,1025,11988
2021-06-23T00:00:00.000Z,27707,4262,31970
2021-06-24T00:00:00.000Z,19813,1385,21199
2021-06-25T00:00:00.000Z,15081,6116,21198
2021-06-26T00:00:00.000Z,104266,706,104972
2021-06-27T00:00:00.000Z,11757,2813,14571
2021-06-28T00:00:00.000Z,8673,32358,41031
2021-06-29T00:00:00.000Z,8966,80770,89738
2021-06-30T00:00:00.000Z,9969,56999,66968
2021-07-01T00:00:00.000Z,119000,3973,122974
2021-07-02T00:00:00.000Z,19084,1289,20373
2021-07-03T00:00:00.000Z,13748,292,14040
2021-07-04T00:00:00.000Z,13920,446,14367
2021-07-05T00:00:00.000Z,9380,270,9651
2021-07-06T00:00:00.000Z,12075,469,12545
2021-07-07T00:00:00.000Z,12945,1889,14835
2021-07-08T00:00:00.000Z,16107,4474,20582
2021-07-09T00:00:00.000Z,103463,2700,106165
2021-07-10T00:00:00.000Z,12881,430,13312
2021-07-11T00:00:00.000Z,10245,183,10428
2021-07-12T00:00:00.000Z,9481,1212,10694
2021-07-13T00:00:00.000Z,30110,2591,32702
2021-07-14T00:00:00.000Z,32245,3095,35341
2021-07-15T00:00:00.000Z,93391,3617,97009
2021-07-16T00:00:00.000Z,13061,6418,19480
2021-07-17T00:00:00.000Z,21406,246,21653
2021-07-18T00:00:00.000Z,11003,182,11186
2021-07-19T00:00:00.000Z,10096,899,10995
2021-07-20T00:00:00.000Z,32536,4054,36590
2021-07-21T00:00:00.000Z,35763,5168,40932
2021-07-22T00:00:00.000Z,104769,6112,110882
2021-07-23T00:00:00.000Z,20855,572,21428
2021-07-24T00:00:00.000Z,188755,23212,211968
2021-07-25T00:00:00.000Z,12854,245,13100
2021-07-26T00:00:00.000Z,10020,531,10552
2021-07-27T00:00:00.000Z,84941,13624,98565
2021-07-28T00:00:00.000Z,167583,28864,196447
2021-07-29T00:00:00.000Z,90142,2992,93134
2021-07-30T00:00:00.000Z,23435,2917,26352
2021-07-31T00:00:00.000Z,25530,1667,27198
2021-08-01T00:00:00.000Z,11777,189,11968
2021-08-02T00:00:00.000Z,10855,6486,17340
2021-08-03T00:00:00.000Z,38084,4606,42691
2021-08-04T00:00:00.000Z,198595,27639,226234
2021-08-05T00:00:00.000Z,101186,3775,104961
2021-08-06T00:00:00.000Z,34326,20010,54338
2021-08-07T00:00:00.000Z,15677,10135,25812
2021-08-08T00:00:00.000Z,10092,182,10275
2021-08-09T00:00:00.000Z,12694,5245,17939
2021-08-10T00:00:00.000Z,13167,2540,15708
2021-08-11T00:00:00.000Z,19392,4909,24301
2021-08-12T00:00:00.000Z,116162,18805,134968
2021-08-13T00:00:00.000Z,38013,15368,53382
2021-08-14T00:00:00.000Z,31165,2461,33626
2021-08-15T00:00:00.000Z,12471,278,12750
2021-08-16T00:00:00.000Z,10742,926,11669
2021-08-17T00:00:00.000Z,30332,14951,45284
2021-08-18T00:00:00.000Z,66371,18016,84388
2021-08-19T00:00:00.000Z,197266,56550,253817
2021-08-20T00:00:00.000Z,106751,7140,113892
2021-08-21T00:00:00.000Z,25643,2484,28128
2021-08-22T00:00:00.000Z,10524,274,10798
2021-08-23T00:00:00.000Z,15565,11818,27383
2021-08-24T00:00:00.000Z,28729,18492,47222
2021-08-25T00:00:00.000Z,40432,21979,62411
2021-08-26T00:00:00.000Z,95952,27618,123571
2021-08-27T00:00:00.000Z,7694,4566,12260
2021-08-28T00:00:00.000Z,148094,18952,167047
2021-08-29T00:00:00.000Z,24759,848,25608
2021-08-30T00:00:00.000Z,11242,3473,14715
2021-08-31T00:00:00.000Z,138,6294,6432
2021-09-01T00:00:00.000Z,1333,6246,7580
2021-09-02T00:00:00.000Z,1852,19066,20919
2021-09-03T00:00:00.000Z,302,3295,3598
2021-09-04T00:00:00.000Z,104,5628,5733
2021-09-05T00:00:00.000Z,175,4891,5066
2021-09-06T00:00:00.000Z,4577,3243,7821
2021-09-07T00:00:00.000Z,1656,3536,5192
2021-09-08T00:00:00.000Z,140,3502,3643
2021-09-09T00:00:00.000Z,360,14570,14931
2021-09-10T00:00:00.000Z,2061,5500,7561
2021-09-11T00:00:00.000Z,137,6120,6258
2021-09-12T00:00:00.000Z,137,3007,3145
2021-09-13T00:00:00.000Z,2695,3092,5788
2021-09-14T00:00:00.000Z,347,4486,4833
2021-09-15T00:00:00.000Z,2057,4677,6734
2021-09-16T00:00:00.000Z,4807,22017,26825
2021-09-17T00:00:00.000Z,7873,34389,42262
2021-09-18T00:00:00.000Z,257,5967,6224
2021-09-19T00:00:00.000Z,247,2990,3238
2021-09-20T00:00:00.000Z,6401,8086,14488
2021-09-21T00:00:00.000Z,6662,12853,19515
2021-09-22T00:00:00.000Z,5728,29143,34872
2021-09-23T00:00:00.000Z,8444,31469,39913
2021-09-24T00:00:00.000Z,3929,13948,17878
2021-09-25T00:00:00.000Z,198,5765,5963
2021-09-26T00:00:00.000Z,1237,5323,6560
2021-09-27T00:00:00.000Z,3754,20113,23868
2021-09-28T00:00:00.000Z,4534,12942,17477
2021-09-29T00:00:00.000Z,2398,10300,12698
2021-09-30T00:00:00.000Z,5295,9868,15164
2021-10-01T00:00:00.000Z,3380,22273,25653
2021-10-02T00:00:00.000Z,195,3451,3648
2021-10-03T00:00:00.000Z,203,532,736
2021-10-04T00:00:00.000Z,9676,5768,15444
2021-10-05T00:00:00.000Z,10355,15405,25761
2021-10-06T00:00:00.000Z,9873,14608,24482
2021-10-07T00:00:00.000Z,12351,15247,27599
2021-10-08T00:00:00.000Z,9048,17836,26884
2021-10-09T00:00:00.000Z,21466,44997,66463
2021-10-10T00:00:00.000Z,17817,32291,50109
2021-10-11T00:00:00.000Z,42599,7432,50032
2021-10-12T00:00:00.000Z,8065,5294,13359
2021-10-13T00:00:00.000Z,20537,15004,35541
2021-10-14T00:00:00.000Z,8048,3448,11497
2021-10-15T00:00:00.000Z,7931,13576,21507
2021-10-16T00:00:00.000Z,718,20461,21180
2021-10-17T00:00:00.000Z,565,3028,3593
2021-10-18T00:00:00.000Z,8119,3144,11264
2021-10-19T00:00:00.000Z,8740,20684,29425
2021-10-20T00:00:00.000Z,8514,7105,15619
2021-10-21T00:00:00.000Z,6999,6360,13360
2021-10-22T00:00:00.000Z,8577,27190,35768
2021-10-23T00:00:00.000Z,453,14745,15199
2021-10-24T00:00:00.000Z,444,1523,1968
2021-10-25T00:00:00.000Z,10930,3835,14765
2021-10-26T00:00:00.000Z,6817,5059,11877
2021-10-27T00:00:00.000Z,8725,9627,18353
2021-10-28T00:00:00.000Z,6262,6476,12739
2021-10-29T00:00:00.000Z,6329,11694,18023
2021-10-30T00:00:00.000Z,380,1412,1792
2021-10-31T00:00:00.000Z,354,230,584
2021-11-01T00:00:00.000Z,7283,352,7635
2021-11-02T00:00:00.000Z,10020,4077,14098
2021-11-03T00:00:00.000Z,10021,15777,25799
2021-11-04T00:00:00.000Z,3567,13748,17315
2021-11-05T00:00:00.000Z,10382,30915,41298
2021-11-06T00:00:00.000Z,513,4159,4672
2021-11-07T00:00:00.000Z,730,754,1485
2021-11-08T00:00:00.000Z,10087,12079,22167
2021-11-09T00:00:00.000Z,11520,8315,19835
2021-11-10T00:00:00.000Z,7895,22428,30323
2021-11-11T00:00:00.000Z,9151,9445,18597
2021-11-12T00:00:00.000Z,8820,14151,22972
2021-11-13T00:00:00.000Z,710,3546,4256
2021-11-14T00:00:00.000Z,5643,12121,17765
2021-11-15T00:00:00.000Z,11359,36048,47408
2021-11-16T00:00:00.000Z,15923,25928,41852
2021-11-17T00:00:00.000Z,12736,24080,36816
2021-11-18T00:00:00.000Z,10506,23536,34042
2021-11-19T00:00:00.000Z,3553,22403,25956
2021-11-20T00:00:00.000Z,361,20995,21356
2021-11-21T00:00:00.000Z,759,7091,7851
2021-11-22T00:00:00.000Z,4062,23505,27568
2021-11-23T00:00:00.000Z,4200,53271,57471
2021-11-24T00:00:00.000Z,5995,98342,104338
2021-11-25T00:00:00.000Z,22162,45160,67323
2021-11-26T00:00:00.000Z,7093,1050,8143
2021-11-27T00:00:00.000Z,156,558,715
2021-11-28T00:00:00.000Z,186,139,326
2021-11-29T00:00:00.000Z,1578,1275,2853
2021-11-30T00:00:00.000Z,16257,8826,25084
2021-12-01T00:00:00.000Z,16695,80777,97472
2021-12-02T00:00:00.000Z,892,72380,73273
2021-12-03T00:00:00.000Z,362,19991,20354
2021-12-04T00:00:00.000Z,2762,21066,23829
2021-12-05T00:00:00.000Z,3826,4432,8259
2021-12-06T00:00:00.000Z,884,1168,2052
2021-12-07T00:00:00.000Z,4507,47331,51839
2021-12-08T00:00:00.000Z,51934,45963,97897
2021-12-09T00:00:00.000Z,12831,41485,54316
2021-12-10T00:00:00.000Z,19822,73060,92883
2021-12-11T00:00:00.000Z,390,82641,83032
2021-12-12T00:00:00.000Z,3792,7630,11422
2021-12-13T00:00:00.000Z,1136,1299,2435
2021-12-14T00:00:00.000Z,6527,40827,47355
2021-12-15T00:00:00.000Z,47732,55571,103303
2021-12-16T00:00:00.000Z,9461,15604,25065
2021-12-17T00:00:00.000Z,4138,19940,24078
2021-12-18T00:00:00.000Z,3939,25555,29495
2021-12-19T00:00:00.000Z,430,5219,5650
2021-12-20T00:00:00.000Z,898,8219,9117
2021-12-21T00:00:00.000Z,47723,61851,109575
2021-12-22T00:00:00.000Z,57682,61337,119020
2021-12-23T00:00:00.000Z,4190,15746,19937
2021-12-24T00:00:00.000Z,12464,17194,29660
2021-12-25T00:00:00.000Z,9008,25090,34099
2021-12-26T00:00:00.000Z,4822,14248,19070
2021-12-27T00:00:00.000Z,8099,17779,25879
2021-12-28T00:00:00.000Z,36574,44653,81228
2021-12-29T00:00:00.000Z,53739,80122,133862
2021-12-30T00:00:00.000Z,22342,21072,43415
2021-12-31T00:00:00.000Z,12440,16784,29225
2022-01-01T00:00:00.000Z,3994,34492,38487
2022-01-02T00:00:00.000Z,10694,20241,30936
2022-01-03T00:00:00.000Z,1324,16360,17685
2022-01-04T00:00:00.000Z,35224,50913,86137
2022-01-05T00:00:00.000Z,39949,44580,84530
2022-01-06T00:00:00.000Z,57318,50568,107887
2022-01-07T00:00:00.000Z,12917,9837,22755
2022-01-08T00:00:00.000Z,4092,34077,38170
2022-01-09T00:00:00.000Z,450,7842,8294
2022-01-10T00:00:00.000Z,9330,10949,20279
2022-01-11T00:00:00.000Z,29526,39903,69429
2022-01-12T00:00:00.000Z,14094,18741,32835
2022-01-13T00:00:00.000Z,18887,15800,34687
2022-01-14T00:00:00.000Z,20648,7733,28381
2022-01-15T00:00:00.000Z,4056,21043,25099
2022-01-16T00:00:00.000Z,482,14217,14700
2022-01-17T00:00:00.000Z,17356,11714,29070
2022-01-18T00:00:00.000Z,10539,16014,26553
2022-01-19T00:00:00.000Z,7745,15591,23337
2022-01-20T00:00:00.000Z,8323,9501,17825
2022-01-21T00:00:00.000Z,5870,10221,16092
2022-01-22T00:00:00.000Z,3983,27535,31518
2022-01-23T00:00:00.000Z,441,8002,8443
2022-01-24T00:00:00.000Z,3887,6430,10318
2022-01-25T00:00:00.000Z,5202,11049,16251
2022-01-26T00:00:00.000Z,6568,16783,23351
2022-01-27T00:00:00.000Z,20416,28123,48539
2022-01-28T00:00:00.000Z,34092,29265,63358
2022-01-29T00:00:00.000Z,18376,47797,66174
2022-01-30T00:00:00.000Z,472,3666,4139
2022-01-31T00:00:00.000Z,4135,6716,10852
2022-02-01T00:00:00.000Z,6502,16335,22838
2022-02-02T00:00:00.000Z,5972,18540,24513
2022-02-03T00:00:00.000Z,23825,16921,40747
2022-02-04T00:00:00.000Z,5277,13819,19097
2022-02-05T00:00:00.000Z,4552,32764,37317
2022-02-06T00:00:00.000Z,343,5581,5925
2022-02-07T00:00:00.000Z,4695,11444,16140
2022-02-08T00:00:00.000Z,13752,18235,31988
2022-02-09T00:00:00.000Z,4813,14172,18986
2022-02-10T00:00:00.000Z,11575,24022,35597
2022-02-11T00:00:00.000Z,6787,12414,19202
2022-02-12T00:00:00.000Z,4496,34568,39064
2022-02-13T00:00:00.000Z,1380,4331,5712
2022-02-14T00:00:00.000Z,7718,12880,20598
2022-02-15T00:00:00.000Z,5235,16949,22185
2022-02-16T00:00:00.000Z,13497,21026,34523
2022-02-17T00:00:00.000Z,4613,6446,11060
2022-02-18T00:00:00.000Z,9362,14078,23441
2022-02-19T00:00:00.000Z,4302,30220,34523
2022-02-20T00:00:00.000Z,550,3595,4145
2022-02-21T00:00:00.000Z,3280,14423,17704
2022-02-22T00:00:00.000Z,5344,15739,21084
2022-02-23T00:00:00.000Z,4276,6664,10941
2022-02-24T00:00:00.000Z,4119,10324,14444
