Time,Read rate for S_n2,Write rate for S_n2,Usage for S_n2
2021-04-14T00:00:00.000Z,2394,18539,20934
2021-04-15T00:00:00.000Z,3473,18666,22139
2021-04-16T00:00:00.000Z,2745,12757,15503
2021-04-17T00:00:00.000Z,1868,22015,23884
2021-04-18T00:00:00.000Z,3004,23600,26605
2021-04-19T00:00:00.000Z,2580,21643,24224
2021-04-20T00:00:00.000Z,2783,20201,22984
2021-04-21T00:00:00.000Z,3299,22945,26244
2021-04-22T00:00:00.000Z,2586,21324,23911
2021-04-23T00:00:00.000Z,2400,16085,18485
2021-04-24T00:00:00.000Z,2594,16385,18979
2021-04-25T00:00:00.000Z,2895,17682,20578
2021-04-26T00:00:00.000Z,2379,20571,22951
2021-04-27T00:00:00.000Z,2741,16647,19388
2021-04-28T00:00:00.000Z,2542,15452,17994
2021-04-29T00:00:00.000Z,2311,18170,20482
2021-04-30T00:00:00.000Z,2703,15860,18563
2021-05-01T00:00:00.000Z,2521,20485,23007
2021-05-02T00:00:00.000Z,2506,21389,23896
2021-05-03T00:00:00.000Z,2726,20926,23653
2021-05-04T00:00:00.000Z,2621,20639,23261
2021-05-05T00:00:00.000Z,2111,16599,18711
2021-05-06T00:00:00.000Z,2759,18315,21075
2021-05-07T00:00:00.000Z,2648,14622,17270
2021-05-08T00:00:00.000Z,2034,17671,19706
2021-05-09T00:00:00.000Z,3021,20739,23760
2021-05-10T00:00:00.000Z,2728,18389,21118
2021-05-11T00:00:00.000Z,2232,15133,17366
2021-05-12T00:00:00.000Z,3298,12335,15633
2021-05-13T00:00:00.000Z,2849,15965,18814
2021-05-14T00:00:00.000Z,2240,15510,17751
2021-05-15T00:00:00.000Z,3140,18421,21561
2021-05-16T00:00:00.000Z,3044,18918,21962
2021-05-17T00:00:00.000Z,2459,18900,21360
2021-05-18T00:00:00.000Z,3233,17355,20589
2021-05-19T00:00:00.000Z,3043,15146,18190
2021-05-20T00:00:00.000Z,2249,15899,18149
2021-05-21T00:00:00.000Z,2865,18489,21355
2021-05-22T00:00:00.000Z,2975,16620,19595
2021-05-23T00:00:00.000Z,2888,18317,21206
2021-05-24T00:00:00.000Z,2603,18627,21230
2021-05-25T00:00:00.000Z,2927,15994,18921
2021-05-26T00:00:00.000Z,2499,15677,18178
2021-05-27T00:00:00.000Z,2745,17958,20704
2021-05-28T00:00:00.000Z,11172,27264,38437
2021-05-29T00:00:00.000Z,2511,17207,19718
2021-05-30T00:00:00.000Z,2257,17463,19720
2021-05-31T00:00:00.000Z,2820,16661,19481
2021-06-01T00:00:00.000Z,3152,15933,19086
2021-06-02T00:00:00.000Z,4224,16428,20652
2021-06-03T00:00:00.000Z,3960,14013,17974
2021-06-04T00:00:00.000Z,3639,16885,20524
2021-06-05T00:00:00.000Z,1977,17862,19840
2021-06-06T00:00:00.000Z,3028,18444,21473
2021-06-07T00:00:00.000Z,3505,21247,24752
2021-06-08T00:00:00.000Z,2105,20910,23016
2021-06-09T00:00:00.000Z,4171,24322,28494
2021-06-10T00:00:00.000Z,3720,20336,24056
2021-06-11T00:00:00.000Z,4034,21760,25794
2021-06-12T00:00:00.000Z,3007,17358,20366
2021-06-13T00:00:00.000Z,3202,17197,20399
2021-06-14T00:00:00.000Z,2321,17496,19817
2021-06-15T00:00:00.000Z,3147,19955,23102
2021-06-16T00:00:00.000Z,4429,24861,29291
2021-06-17T00:00:00.000Z,2385,21963,24349
2021-06-18T00:00:00.000Z,3049,22442,25491
2021-06-19T00:00:00.000Z,2530,19332,21863
2021-06-20T00:00:00.000Z,3012,18589,21602
2021-06-21T00:00:00.000Z,2929,19330,22260
2021-06-22T00:00:00.000Z,2502,19251,21754
2021-06-23T00:00:00.000Z,14999,19537,34537
2021-06-24T00:00:00.000Z,4253,19815,24068
2021-06-25T00:00:00.000Z,1518,17431,18950
2021-06-26T00:00:00.000Z,2877,17004,19882
2021-06-27T00:00:00.000Z,3259,20790,24050
2021-06-28T00:00:00.000Z,2449,18417,20867
2021-06-29T00:00:00.000Z,3307,17558,20865
2021-06-30T00:00:00.000Z,3423,14722,18146
2021-07-01T00:00:00.000Z,2706,20261,22968
2021-07-02T00:00:00.000Z,2887,16244,19132
2021-07-03T00:00:00.000Z,3017,23092,26110
2021-07-04T00:00:00.000Z,2779,17655,20435
2021-07-05T00:00:00.000Z,2805,17481,20287
2021-07-06T00:00:00.000Z,3564,17760,21325
2021-07-07T00:00:00.000Z,3391,18584,21975
2021-07-08T00:00:00.000Z,2689,16643,19333
2021-07-09T00:00:00.000Z,3013,17154,20168
2021-07-10T00:00:00.000Z,3021,16369,19391
2021-07-11T00:00:00.000Z,2703,16090,18794
2021-07-12T00:00:00.000Z,3003,19131,22134
2021-07-13T00:00:00.000Z,3523,20423,23946
2021-07-14T00:00:00.000Z,2519,16820,19339
2021-07-15T00:00:00.000Z,3471,16185,19656
2021-07-16T00:00:00.000Z,3247,14125,17372
2021-07-17T00:00:00.000Z,4237,17838,22076
2021-07-18T00:00:00.000Z,4560,17358,21918
2021-07-19T00:00:00.000Z,3474,17767,21242
2021-07-20T00:00:00.000Z,2749,15297,18047
2021-07-21T00:00:00.000Z,3021,16948,19970
2021-07-22T00:00:00.000Z,2943,15124,18069
2021-07-23T00:00:00.000Z,3060,17081,20141
2021-07-24T00:00:00.000Z,3078,18490,21569
2021-07-25T00:00:00.000Z,3450,18527,21978
2021-07-26T00:00:00.000Z,3031,17890,20922
2021-07-27T00:00:00.000Z,2999,20019,23019
2021-07-28T00:00:00.000Z,2509,22036,24546
2021-07-29T00:00:00.000Z,3477,23276,26753
2021-07-30T00:00:00.000Z,2869,22043,24913
2021-07-31T00:00:00.000Z,2459,18072,20532
2021-08-01T00:00:00.000Z,3050,22685,25736
2021-08-02T00:00:00.000Z,3196,17314,20510
2021-08-03T00:00:00.000Z,2710,13508,16218
2021-08-04T00:00:00.000Z,6170,22495,28666
2021-08-05T00:00:00.000Z,5443,18689,24133
2021-08-06T00:00:00.000Z,10045,17986,28032
2021-08-07T00:00:00.000Z,10234,22172,32407
2021-08-08T00:00:00.000Z,9871,19748,29620
2021-08-09T00:00:00.000Z,9753,17725,27479
2021-08-10T00:00:00.000Z,10067,22870,32938
2021-08-11T00:00:00.000Z,4907,19054,23962
2021-08-12T00:00:00.000Z,9073,19722,28796
2021-08-13T00:00:00.000Z,14584,23312,37897
2021-08-14T00:00:00.000Z,12664,20891,33556
2021-08-15T00:00:00.000Z,11600,22579,34180
2021-08-16T00:00:00.000Z,13589,24353,37942
2021-08-17T00:00:00.000Z,14088,27842,41931
2021-08-18T00:00:00.000Z,16641,23488,40130
2021-08-19T00:00:00.000Z,8821,20513,29334
2021-08-20T00:00:00.000Z,7867,23033,30901
2021-08-21T00:00:00.000Z,9474,20560,30035
2021-08-22T00:00:00.000Z,11346,20546,31893
2021-08-23T00:00:00.000Z,11328,21898,33226
2021-08-24T00:00:00.000Z,4865,18835,23700
2021-08-25T00:00:00.000Z,9178,21943,31121
2021-08-26T00:00:00.000Z,12368,27675,40043
2021-08-27T00:00:00.000Z,10470,15650,26120
2021-08-28T00:00:00.000Z,10208,15479,25687
2021-08-29T00:00:00.000Z,9241,14938,24180
2021-08-30T00:00:00.000Z,6902,15047,21949
2021-08-31T00:00:00.000Z,10113,15894,26007
2021-09-01T00:00:00.000Z,10263,15453,25717
2021-09-02T00:00:00.000Z,9726,14869,24596
2021-09-03T00:00:00.000Z,4384,13956,18341
2021-09-04T00:00:00.000Z,10130,15190,25321
2021-09-05T00:00:00.000Z,10192,15852,26044
2021-09-06T00:00:00.000Z,10294,19252,29546
2021-09-07T00:00:00.000Z,4697,13911,18608
2021-09-08T00:00:00.000Z,9978,15665,25644
2021-09-09T00:00:00.000Z,10709,19652,30362
2021-09-10T00:00:00.000Z,10851,17691,28543
2021-09-11T00:00:00.000Z,10001,14407,24409
2021-09-12T00:00:00.000Z,4555,13505,18061
2021-09-13T00:00:00.000Z,10725,15565,26290
2021-09-14T00:00:00.000Z,6704,14628,21332
2021-09-15T00:00:00.000Z,6432,14689,21121
2021-09-16T00:00:00.000Z,6970,20968,27939
2021-09-17T00:00:00.000Z,7234,21398,28633
2021-09-18T00:00:00.000Z,11162,22885,34048
2021-09-19T00:00:00.000Z,7227,19663,26891
2021-09-20T00:00:00.000Z,6588,20816,27405
2021-09-21T00:00:00.000Z,4227,17339,21567
2021-09-22T00:00:00.000Z,3324,17758,21083
2021-09-23T00:00:00.000Z,4618,17925,22543
2021-09-24T00:00:00.000Z,11110,20845,31956
2021-09-25T00:00:00.000Z,10930,17712,28643
2021-09-26T00:00:00.000Z,10981,18040,29023
2021-09-27T00:00:00.000Z,9571,20796,30368
2021-09-28T00:00:00.000Z,6324,16287,22613
2021-09-29T00:00:00.000Z,9638,13055,22694
2021-09-30T00:00:00.000Z,3937,5486,9424
2021-10-01T00:00:00.000Z,3005,4329,7335
2021-10-02T00:00:00.000Z,2153,2872,5025
2021-10-03T00:00:00.000Z,2326,2868,5194
2021-10-04T00:00:00.000Z,2455,2972,5428
2021-10-05T00:00:00.000Z,2535,2363,4900
2021-10-06T00:00:00.000Z,2626,2800,5427
2021-10-07T00:00:00.000Z,2630,2726,5357
2021-10-08T00:00:00.000Z,2006,2631,4638
2021-10-09T00:00:00.000Z,2740,2370,5111
2021-10-10T00:00:00.000Z,3380,2203,5583
2021-10-11T00:00:00.000Z,1844,2399,4244
2021-10-12T00:00:00.000Z,2342,2391,4734
2021-10-13T00:00:00.000Z,2557,2708,5266
2021-10-14T00:00:00.000Z,1993,2739,4734
2021-10-15T00:00:00.000Z,2234,2774,5009
2021-10-16T00:00:00.000Z,2676,2810,5487
2021-10-17T00:00:00.000Z,2276,2450,4726
2021-10-18T00:00:00.000Z,2510,2985,5496
2021-10-19T00:00:00.000Z,2478,2990,5469
2021-10-20T00:00:00.000Z,2175,2388,4564
2021-10-21T00:00:00.000Z,2259,2654,4914
2021-10-22T00:00:00.000Z,2428,2352,4780
2021-10-23T00:00:00.000Z,1965,2030,3995
2021-10-24T00:00:00.000Z,2744,2463,5208
2021-10-25T00:00:00.000Z,2691,5219,7910
2021-10-26T00:00:00.000Z,1962,2690,4653
2021-10-27T00:00:00.000Z,2397,3379,5776
2021-10-28T00:00:00.000Z,2346,2817,5164
2021-10-29T00:00:00.000Z,1998,2689,4688
2021-10-30T00:00:00.000Z,2243,2563,4807
2021-10-31T00:00:00.000Z,2852,2747,5600
2021-11-01T00:00:00.000Z,3184,3460,6644
2021-11-02T00:00:00.000Z,3249,3061,6310
2021-11-03T00:00:00.000Z,1691,2857,4548
2021-11-04T00:00:00.000Z,3509,3774,7284
2021-11-05T00:00:00.000Z,3619,3086,6706
2021-11-06T00:00:00.000Z,1937,2025,3963
2021-11-07T00:00:00.000Z,3204,2648,5853
2021-11-08T00:00:00.000Z,3900,3554,7455
2021-11-09T00:00:00.000Z,1525,2307,3832
2021-11-10T00:00:00.000Z,3592,3559,7152
2021-11-11T00:00:00.000Z,3466,3583,7049
2021-11-12T00:00:00.000Z,1736,2964,4701
2021-11-13T00:00:00.000Z,3536,3373,6909
2021-11-14T00:00:00.000Z,3855,3491,7347
2021-11-15T00:00:00.000Z,1704,3024,4729
2021-11-16T00:00:00.000Z,3531,4037,7569
2021-11-17T00:00:00.000Z,12847,6067,18915
2021-11-18T00:00:00.000Z,2638,3466,6104
2021-11-19T00:00:00.000Z,3834,3947,7782
2021-11-20T00:00:00.000Z,4140,4160,8300
2021-11-21T00:00:00.000Z,3431,3513,6945
2021-11-22T00:00:00.000Z,3786,3905,7691
2021-11-23T00:00:00.000Z,3855,6737,10592
2021-11-24T00:00:00.000Z,7138,6169,13307
2021-11-25T00:00:00.000Z,10146,39150,49297
2021-11-26T00:00:00.000Z,79351,14756,94108
2021-11-27T00:00:00.000Z,41870,638,42508
2021-11-28T00:00:00.000Z,23759,1478,25238
2021-11-29T00:00:00.000Z,5477,2128,7606
2021-11-30T00:00:00.000Z,5696,4065,9762
2021-12-01T00:00:00.000Z,13327,3245,16572
2021-12-02T00:00:00.000Z,7214,2208,9423
2021-12-03T00:00:00.000Z,10051,4780,14831
2021-12-04T00:00:00.000Z,32866,27411,60277
2021-12-05T00:00:00.000Z,8712,1960,10672
2021-12-06T00:00:00.000Z,5223,1598,6822
2021-12-07T00:00:00.000Z,26329,6937,33264
2021-12-08T00:00:00.000Z,5862,24658,30520
2021-12-09T00:00:00.000Z,4026,3399,7426
2021-12-10T00:00:00.000Z,7470,25508,32978
2021-12-11T00:00:00.000Z,4651,2741,7393
2021-12-12T00:00:00.000Z,8687,2079,10767
2021-12-13T00:00:00.000Z,14557,3160,17717
2021-12-14T00:00:00.000Z,8548,52771,61319
2021-12-15T00:00:00.000Z,46802,2225,49028
2021-12-16T00:00:00.000Z,5348,4971,10320
2021-12-17T00:00:00.000Z,5418,3242,8660
2021-12-18T00:00:00.000Z,2988,2332,5321
2021-12-19T00:00:00.000Z,5358,3002,8361
2021-12-20T00:00:00.000Z,5481,3655,9137
2021-12-21T00:00:00.000Z,15981,25086,41068
2021-12-22T00:00:00.000Z,31222,3744,34967
2021-12-23T00:00:00.000Z,5065,2537,7603
2021-12-24T00:00:00.000Z,6019,1380,7399
2021-12-25T00:00:00.000Z,9698,1830,11529
2021-12-26T00:00:00.000Z,44613,2323,46937
2021-12-27T00:00:00.000Z,10032,1993,12025
2021-12-28T00:00:00.000Z,82210,104371,186582
2021-12-29T00:00:00.000Z,53887,2366,56253
