Time,Read rate for S_n4,Write rate for S_n4,Usage for S_n4
2022-03-14T12:00:00.000Z,1668,3639,5308
2022-03-14T14:00:00.000Z,1421,2072,3494
2022-03-14T16:00:00.000Z,1234,2125,3359
2022-03-14T18:00:00.000Z,8671,4263,12935
2022-03-14T20:00:00.000Z,4856,4103,8960
2022-03-14T22:00:00.000Z,3716,3083,6801
2022-03-15T00:00:00.000Z,3512,1910,5423
2022-03-15T02:00:00.000Z,1293,1823,3117
2022-03-15T04:00:00.000Z,1923,2831,4754
2022-03-15T06:00:00.000Z,1452,2407,3860
2022-03-15T08:00:00.000Z,2527,3040,5568
2022-03-15T10:00:00.000Z,2029,2227,4257
2022-03-15T12:00:00.000Z,1266,2270,3538
2022-03-15T14:00:00.000Z,1340,2550,3891
2022-03-15T16:00:00.000Z,1594,3117,4711
2022-03-15T18:00:00.000Z,7086,2506,9593
2022-03-15T20:00:00.000Z,3377,3307,6685
2022-03-15T22:00:00.000Z,3776,11046,14822
2022-03-16T00:00:00.000Z,2679,3221,5901
2022-03-16T02:00:00.000Z,2000,3157,5157
2022-03-16T04:00:00.000Z,6824,3268,10093
2022-03-16T06:00:00.000Z,3843,9412,13255
2022-03-16T08:00:00.000Z,1397,2855,4253
2022-03-16T10:00:00.000Z,2296,4183,6480
2022-03-16T12:00:00.000Z,1460,2394,3856
2022-03-16T14:00:00.000Z,1629,2257,3888
2022-03-16T16:00:00.000Z,1173,1865,3039
2022-03-16T18:00:00.000Z,7178,2130,9309
2022-03-16T20:00:00.000Z,2485,1723,4209
2022-03-16T22:00:00.000Z,4970,2373,7344
2022-03-17T00:00:00.000Z,1802,1855,3658
2022-03-17T02:00:00.000Z,5328,3416,8744
2022-03-17T04:00:00.000Z,8387,2891,11278
2022-03-17T06:00:00.000Z,1352,2024,3377
2022-03-17T08:00:00.000Z,1753,2149,3904
2022-03-17T10:00:00.000Z,2266,2541,4808
2022-03-17T12:00:00.000Z,1487,2107,3595
2022-03-17T14:00:00.000Z,1565,2605,4171
2022-03-17T16:00:00.000Z,968,2032,3001
2022-03-17T18:00:00.000Z,7554,2483,10038
2022-03-17T20:00:00.000Z,2654,2297,4951
2022-03-17T22:00:00.000Z,3549,2775,6324
