Time,Usage in MHz for V02,Usage for V02,
2022-03-14T10:00:00.000Z,50549,28,8
2022-03-14T12:00:00.000Z,49843,27,69
2022-03-14T14:00:00.000Z,44727,24,84
2022-03-14T16:00:00.000Z,44258,24,58
2022-03-14T18:00:00.000Z,43164,23,98
2022-03-14T20:00:00.000Z,46156,25,64
2022-03-14T22:00:00.000Z,46839,26,2
2022-03-15T00:00:00.000Z,47962,26,64
2022-03-15T02:00:00.000Z,47538,26,41
2022-03-15T04:00:00.000Z,46049,25,58
2022-03-15T06:00:00.000Z,51588,28,66
2022-03-15T08:00:00.000Z,54191,30,1
2022-03-15T10:00:00.000Z,49489,27,49
2022-03-15T12:00:00.000Z,46240,25,68
2022-03-15T14:00:00.000Z,44588,24,77
2022-03-15T16:00:00.000Z,44829,24,9
2022-03-15T18:00:00.000Z,44728,24,84
2022-03-15T20:00:00.000Z,45539,25,29
2022-03-15T22:00:00.000Z,49498,27,49
2022-03-16T00:00:00.000Z,49689,27,6
2022-03-16T02:00:00.000Z,48150,26,75
2022-03-16T04:00:00.000Z,47037,26,13
2022-03-16T06:00:00.000Z,53638,29,79
2022-03-16T08:00:00.000Z,49697,27,6
2022-03-16T10:00:00.000Z,49799,27,66
2022-03-16T12:00:00.000Z,49233,27,35
2022-03-16T14:00:00.000Z,45271,25,15
2022-03-16T16:00:00.000Z,45075,25,4
2022-03-16T18:00:00.000Z,46622,25,9
2022-03-16T20:00:00.000Z,45741,25,41
2022-03-16T22:00:00.000Z,47523,26,4
2022-03-17T00:00:00.000Z,46937,26,7
2022-03-17T02:00:00.000Z,46569,25,87
2022-03-17T04:00:00.000Z,44824,24,9
2022-03-17T06:00:00.000Z,51334,28,51
2022-03-17T08:00:00.000Z,51117,28,39
2022-03-17T10:00:00.000Z,47443,26,35
2022-03-17T12:00:00.000Z,47281,26,26
2022-03-17T14:00:00.000Z,44380,24,65
2022-03-17T16:00:00.000Z,43795,24,33
2022-03-17T18:00:00.000Z,44658,24,81
2022-03-17T20:00:00.000Z,45562,25,31
2022-03-17T22:00:00.000Z,49150,27,3
2022-03-18T00:00:00.000Z,49961,27,75
2022-03-18T02:00:00.000Z,49601,27,55
2022-03-18T04:00:00.000Z,47235,26,24
2022-03-18T06:00:00.000Z,54448,30,24
2022-03-18T08:00:00.000Z,51626,28,68
2022-03-18T10:00:00.000Z,49394,27,44
2022-03-18T12:00:00.000Z,46513,25,84
2022-03-18T14:00:00.000Z,45982,25,54
2022-03-18T16:00:00.000Z,51053,28,36
2022-03-18T18:00:00.000Z,54118,30,6
2022-03-18T20:00:00.000Z,54187,30,1
2022-03-18T22:00:00.000Z,58468,32,48
2022-03-19T00:00:00.000Z,57000,31,66
2022-03-19T02:00:00.000Z,55285,30,71
2022-03-19T04:00:00.000Z,50693,28,16
2022-03-19T06:00:00.000Z,49096,27,27
2022-03-19T08:00:00.000Z,48371,26,87
2022-03-19T10:00:00.000Z,44622,24,79
2022-03-19T12:00:00.000Z,44070,24,48
2022-03-19T14:00:00.000Z,41822,23,23
2022-03-19T16:00:00.000Z,48562,26,97
2022-03-19T18:00:00.000Z,50541,28,7
2022-03-19T20:00:00.000Z,45800,25,44
2022-03-19T22:00:00.000Z,51231,28,46
2022-03-20T00:00:00.000Z,47957,26,64
2022-03-20T02:00:00.000Z,44054,24,47
2022-03-20T04:00:00.000Z,44407,24,67
2022-03-20T06:00:00.000Z,42895,23,83
2022-03-20T08:00:00.000Z,41782,23,21
2022-03-20T10:00:00.000Z,40600,22,55
2022-03-20T12:00:00.000Z,40026,22,23
2022-03-20T14:00:00.000Z,39857,22,14
2022-03-20T16:00:00.000Z,45261,25,14
2022-03-20T18:00:00.000Z,45868,25,48
2022-03-20T20:00:00.000Z,44241,24,57
2022-03-20T22:00:00.000Z,49434,27,46
2022-03-21T00:00:00.000Z,52147,28,97
2022-03-21T02:00:00.000Z,50236,27,9
2022-03-21T04:00:00.000Z,51309,28,5
2022-03-21T06:00:00.000Z,54295,30,16
2022-03-21T08:00:00.000Z,52021,28,9
2022-03-21T10:00:00.000Z,47257,26,25
2022-03-21T12:00:00.000Z,46867,26,3
2022-03-21T14:00:00.000Z,43387,24,1
2022-03-21T16:00:00.000Z,44902,24,94
2022-03-21T18:00:00.000Z,44673,24,81
2022-03-21T20:00:00.000Z,46688,25,93
2022-03-21T22:00:00.000Z,50089,27,82
2022-03-22T00:00:00.000Z,52499,29,16
2022-03-22T02:00:00.000Z,48753,27,8
2022-03-22T04:00:00.000Z,46406,25,78
2022-03-22T06:00:00.000Z,54956,30,53
2022-03-22T08:00:00.000Z,50752,28,19
2022-03-22T10:00:00.000Z,49695,27,6
2022-03-22T12:00:00.000Z,47912,26,61
2022-03-22T14:00:00.000Z,46454,25,8
2022-03-22T16:00:00.000Z,44599,24,77
2022-03-22T18:00:00.000Z,42423,23,56
2022-03-22T20:00:00.000Z,44015,24,45
2022-03-22T22:00:00.000Z,49039,27,24
2022-03-23T00:00:00.000Z,51322,28,51
2022-03-23T02:00:00.000Z,47490,26,38
2022-03-23T04:00:00.000Z,46612,25,89
2022-03-23T06:00:00.000Z,52545,29,19
2022-03-23T08:00:00.000Z,52814,29,34
2022-03-23T10:00:00.000Z,48318,26,84
2022-03-23T12:00:00.000Z,47266,26,25
2022-03-23T14:00:00.000Z,42335,23,51
2022-03-23T16:00:00.000Z,44867,24,92
2022-03-23T18:00:00.000Z,46255,25,69
2022-03-23T20:00:00.000Z,43003,23,89
