Time,Ballooned memory for V02,Consumed for V02,Overhead consumed for V02,Host consumed % for V02,
2021-04-14T00:00:00.000Z,0,1656837760,7099071,34,68
2021-04-15T00:00:00.000Z,0,1657903360,7102127,34,7
2021-04-16T00:00:00.000Z,0,1661916670,7178171,34,78
2021-04-17T00:00:00.000Z,0,1664555650,7186498,34,84
2021-04-18T00:00:00.000Z,0,1665717380,7188561,34,86
2021-04-19T00:00:00.000Z,0,1666402300,7189742,34,88
2021-04-20T00:00:00.000Z,0,1666423300,7189935,34,88
2021-04-21T00:00:00.000Z,0,1667010940,7190945,34,89
2021-04-22T00:00:00.000Z,0,1667457790,7191895,34,9
2021-04-23T00:00:00.000Z,0,1667977090,7192238,34,91
2021-04-24T00:00:00.000Z,0,1668545150,7195264,34,92
2021-04-25T00:00:00.000Z,0,1668776830,7196201,34,93
2021-04-26T00:00:00.000Z,0,1674031360,7203125,35,4
2021-04-27T00:00:00.000Z,0,1678114430,7207803,35,12
2021-04-28T00:00:00.000Z,0,1679147650,7209798,35,14
2021-04-29T00:00:00.000Z,0,1679164540,7210640,35,14
2021-04-30T00:00:00.000Z,0,1679180930,7210731,35,14
2021-05-01T00:00:00.000Z,0,1679374720,7212220,35,15
2021-05-02T00:00:00.000Z,0,1677814660,7202009,35,11
2021-05-03T00:00:00.000Z,0,1676040580,7185668,35,8
2021-05-04T00:00:00.000Z,0,1679137790,7191613,35,14
2021-05-05T00:00:00.000Z,0,1669692290,7158669,34,94
2021-05-06T00:00:00.000Z,0,1655439100,7102666,34,65
2021-05-07T00:00:00.000Z,0,1674784640,7141985,35,5
2021-05-08T00:00:00.000Z,0,1686627200,7167359,35,3
2021-05-09T00:00:00.000Z,0,1687000450,7168762,35,31
2021-05-10T00:00:00.000Z,0,1512797700,6802221,31,67
2021-05-11T00:00:00.000Z,0,1523284990,6821352,31,89
2021-05-12T00:00:00.000Z,0,1532715010,6840722,32,8
2021-05-13T00:00:00.000Z,0,1541704960,6857595,32,27
2021-05-14T00:00:00.000Z,0,1548291460,6870141,32,41
2021-05-15T00:00:00.000Z,,,,,
2021-05-16T00:00:00.000Z,,,,,
2021-05-17T00:00:00.000Z,0,1549468540,6884367,32,43
2021-05-18T00:00:00.000Z,0,1539848060,6855382,32,23
2021-05-19T00:00:00.000Z,0,1536695810,6845446,32,17
2021-05-20T00:00:00.000Z,0,1544124030,6861442,32,32
2021-05-21T00:00:00.000Z,0,1550002560,6873793,32,44
2021-05-22T00:00:00.000Z,0,1539812740,6854909,32,23
2021-05-23T00:00:00.000Z,0,1538932740,6851716,32,21
2021-05-24T00:00:00.000Z,0,1555632900,6884244,32,56
2021-05-25T00:00:00.000Z,0,1561315710,6897985,32,68
2021-05-26T00:00:00.000Z,0,1562599810,6898309,32,71
2021-05-27T00:00:00.000Z,0,1564562300,6902744,32,75
2021-05-28T00:00:00.000Z,0,1568816380,6911907,32,84
2021-05-29T00:00:00.000Z,0,1565911810,6907201,32,78
2021-05-30T00:00:00.000Z,0,1567267330,6910667,32,8
2021-05-31T00:00:00.000Z,0,1568669570,6912028,32,83
2021-06-01T00:00:00.000Z,0,1570899070,6918080,32,88
2021-06-02T00:00:00.000Z,0,1572089090,6919905,32,91
2021-06-03T00:00:00.000Z,0,1573287420,6923436,32,93
2021-06-04T00:00:00.000Z,0,1573940350,6924110,32,94
2021-06-05T00:00:00.000Z,0,1574988930,6925581,32,97
2021-06-06T00:00:00.000Z,0,1575863550,6927637,32,98
2021-06-07T00:00:00.000Z,0,1576760450,6928476,33,
2021-06-08T00:00:00.000Z,0,1580399740,6936427,33,8
2021-06-09T00:00:00.000Z,0,1584802300,6944989,33,17
2021-06-10T00:00:00.000Z,0,1586651140,6948420,33,21
2021-06-11T00:00:00.000Z,0,1588901890,6952883,33,26
2021-06-12T00:00:00.000Z,0,1449023360,6672693,30,33
2021-06-13T00:00:00.000Z,0,1421204350,6617080,29,75
2021-06-14T00:00:00.000Z,0,1475577980,6724199,30,89
2021-06-15T00:00:00.000Z,0,1505466370,6784173,31,51
2021-06-16T00:00:00.000Z,0,1472456960,6723127,30,82
2021-06-17T00:00:00.000Z,0,1459803780,6698862,30,56
2021-06-18T00:00:00.000Z,0,1472221950,6724145,30,82
2021-06-19T00:00:00.000Z,0,1479673340,6740295,30,98
2021-06-20T00:00:00.000Z,0,1481470720,6745015,31,1
2021-06-21T00:00:00.000Z,0,1483795970,6749138,31,6
2021-06-22T00:00:00.000Z,0,1489503740,6761123,31,18
2021-06-23T00:00:00.000Z,0,1500579330,6782643,31,41
2021-06-24T00:00:00.000Z,0,1510283650,6802080,31,61
2021-06-25T00:00:00.000Z,0,1517779330,6817346,31,77
2021-06-26T00:00:00.000Z,0,1519779710,6821874,31,81
2021-06-27T00:00:00.000Z,0,1520670590,6824262,31,83
2021-06-28T00:00:00.000Z,0,1523775740,6828400,31,9
2021-06-29T00:00:00.000Z,0,1527470590,6835820,31,97
2021-06-30T00:00:00.000Z,0,1529207940,6840292,32,1
2021-07-01T00:00:00.000Z,0,1534970370,6851588,32,13
2021-07-02T00:00:00.000Z,0,1542384130,6866376,32,29
2021-07-03T00:00:00.000Z,0,1545519230,6873519,32,35
2021-07-04T00:00:00.000Z,0,1545810690,6874503,32,36
2021-07-05T00:00:00.000Z,0,1548470270,6879624,32,41
2021-07-06T00:00:00.000Z,0,1552832130,6888804,32,5
2021-07-07T00:00:00.000Z,0,1556921860,6896929,32,59
2021-07-08T00:00:00.000Z,0,1559793280,6902526,32,65
2021-07-09T00:00:00.000Z,0,1573409790,7024421,32,94
2021-07-10T00:00:00.000Z,0,1580636420,7033760,33,9
2021-07-11T00:00:00.000Z,0,1581215360,7035243,33,1
2021-07-12T00:00:00.000Z,0,1585465980,7043160,33,19
2021-07-13T00:00:00.000Z,0,1589819390,7053329,33,28
2021-07-14T00:00:00.000Z,0,1591457020,7056653,33,31
2021-07-15T00:00:00.000Z,0,1596130690,7065773,33,41
2021-07-16T00:00:00.000Z,0,1598792830,7071628,33,46
2021-07-17T00:00:00.000Z,0,1608796670,7093344,33,67
2021-07-18T00:00:00.000Z,0,1616146690,7109570,33,83
2021-07-19T00:00:00.000Z,0,1616661250,7109209,33,84
2021-07-20T00:00:00.000Z,0,1616845570,7109932,33,84
2021-07-21T00:00:00.000Z,0,1617236610,7110651,33,85
2021-07-22T00:00:00.000Z,0,1626356220,7129219,34,4
2021-07-23T00:00:00.000Z,0,1630419970,7137831,34,13
2021-07-24T00:00:00.000Z,0,1638901380,7154742,34,3
2021-07-25T00:00:00.000Z,0,1641038460,7161513,34,35
2021-07-26T00:00:00.000Z,0,1643448830,7166043,34,4
2021-07-27T00:00:00.000Z,0,1650803070,7180408,34,55
2021-07-28T00:00:00.000Z,0,1658406530,7196917,34,71
2021-07-29T00:00:00.000Z,0,1665343490,7210021,34,86
2021-07-30T00:00:00.000Z,0,1670686080,7220406,34,97
2021-07-31T00:00:00.000Z,0,1671027330,7221206,34,97
2021-08-01T00:00:00.000Z,0,1671742850,7223297,34,99
2021-08-02T00:00:00.000Z,0,1672183170,7223661,35,
2021-08-03T00:00:00.000Z,0,1673558400,7227115,35,3
2021-08-04T00:00:00.000Z,0,1670190980,7232294,34,96
2021-08-05T00:00:00.000Z,0,1672942080,7242704,35,1
2021-08-06T00:00:00.000Z,0,1674516220,7244332,35,5
2021-08-07T00:00:00.000Z,0,1641301500,7178356,34,35
2021-08-08T00:00:00.000Z,0,1621475330,7138955,33,94
2021-08-09T00:00:00.000Z,0,1635700990,7166246,34,24
2021-08-10T00:00:00.000Z,0,1644716670,7184463,34,42
2021-08-11T00:00:00.000Z,0,1646750210,7188035,34,47
2021-08-12T00:00:00.000Z,0,1648328960,7190256,34,5
2021-08-13T00:00:00.000Z,0,1648940540,7190199,34,51
2021-08-14T00:00:00.000Z,0,1649264260,7190484,34,52
2021-08-15T00:00:00.000Z,0,1649591940,7191346,34,53
2021-08-16T00:00:00.000Z,0,1653287940,7359561,34,61
2021-08-17T00:00:00.000Z,0,1655393020,7201328,34,65
2021-08-18T00:00:00.000Z,0,1655635460,7202578,34,65
2021-08-19T00:00:00.000Z,0,1658060290,7206449,34,7
2021-08-20T00:00:00.000Z,0,1661320060,7213633,34,77
2021-08-21T00:00:00.000Z,0,1662607740,7217252,34,8
2021-08-22T00:00:00.000Z,0,1662633340,7217449,34,8
2021-08-23T00:00:00.000Z,0,1673888770,7238197,35,3
2021-08-24T00:00:00.000Z,0,1679115650,7249114,35,14
2021-08-25T00:00:00.000Z,0,1687776000,7425428,35,33
2021-08-26T00:00:00.000Z,0,1693227390,7428028,35,44
2021-08-27T00:00:00.000Z,0,1693342720,7428205,35,44
2021-08-28T00:00:00.000Z,0,1693358080,7429754,35,44
2021-08-29T00:00:00.000Z,0,1693395330,7430198,35,44
2021-08-30T00:00:00.000Z,0,1693562500,7428491,35,45
2021-08-31T00:00:00.000Z,0,1694005890,7429104,35,46
2021-09-01T00:00:00.000Z,0,1694495620,7430000,35,47
2021-09-02T00:00:00.000Z,0,1695003140,7431258,35,48
2021-09-03T00:00:00.000Z,0,1695722880,7431910,35,49
2021-09-04T00:00:00.000Z,0,1695754370,7434033,35,49
2021-09-05T00:00:00.000Z,0,1695760130,7434456,35,49
2021-09-06T00:00:00.000Z,0,1695782780,7432543,35,49
2021-09-07T00:00:00.000Z,0,1699327230,7439760,35,57
2021-09-08T00:00:00.000Z,0,1703381890,7448371,35,65
2021-09-09T00:00:00.000Z,0,1704043010,7450574,35,67
2021-09-10T00:00:00.000Z,0,1704355330,7450674,35,67
2021-09-11T00:00:00.000Z,0,1704581120,7452184,35,68
2021-09-12T00:00:00.000Z,0,1704653820,7452424,35,68
2021-09-13T00:00:00.000Z,0,1704667140,7451376,35,68
2021-09-14T00:00:00.000Z,0,1704673540,7450891,35,68
2021-09-15T00:00:00.000Z,0,1706951170,7455159,35,73
2021-09-16T00:00:00.000Z,0,1708584960,7459241,35,76
2021-09-17T00:00:00.000Z,0,1709245440,7460805,35,78
2021-09-18T00:00:00.000Z,0,1709340930,7461489,35,78
2021-09-19T00:00:00.000Z,0,1709364220,7462971,35,78
2021-09-20T00:00:00.000Z,0,1709377280,7461298,35,78
2021-09-21T00:00:00.000Z,0,1709577090,7461966,35,78
2021-09-22T00:00:00.000Z,0,1709899520,7463256,35,79
2021-09-23T00:00:00.000Z,0,1709911810,7464131,35,79
2021-09-24T00:00:00.000Z,0,1664446210,7373362,34,84
2021-09-25T00:00:00.000Z,0,1657719420,7356440,34,7
2021-09-26T00:00:00.000Z,0,1658726400,7358850,34,72
2021-09-27T00:00:00.000Z,0,1674209790,7387720,35,4
2021-09-28T00:00:00.000Z,0,1699376640,7426511,35,69
2021-09-29T00:00:00.000Z,0,1681671420,7412866,37,88
