Time,Usage for V02_n1
2021-04-14T00:00:00.000Z,113469
2021-04-15T00:00:00.000Z,113129
2021-04-16T00:00:00.000Z,88121
2021-04-17T00:00:00.000Z,124814
2021-04-18T00:00:00.000Z,132379
2021-04-19T00:00:00.000Z,142374
2021-04-20T00:00:00.000Z,137984
2021-04-21T00:00:00.000Z,104937
2021-04-22T00:00:00.000Z,164968
2021-04-23T00:00:00.000Z,90578
2021-04-24T00:00:00.000Z,85149
2021-04-25T00:00:00.000Z,57695
2021-04-26T00:00:00.000Z,95478
2021-04-27T00:00:00.000Z,90692
2021-04-28T00:00:00.000Z,121850
2021-04-29T00:00:00.000Z,103123
2021-04-30T00:00:00.000Z,85356
2021-05-01T00:00:00.000Z,74640
2021-05-02T00:00:00.000Z,78345
2021-05-03T00:00:00.000Z,82000
2021-05-04T00:00:00.000Z,89814
2021-05-05T00:00:00.000Z,96687
2021-05-06T00:00:00.000Z,115028
2021-05-07T00:00:00.000Z,81137
2021-05-08T00:00:00.000Z,80741
2021-05-09T00:00:00.000Z,59780
2021-05-10T00:00:00.000Z,109054
2021-05-11T00:00:00.000Z,123729
2021-05-12T00:00:00.000Z,156293
2021-05-13T00:00:00.000Z,120225
2021-05-14T00:00:00.000Z,108325
2021-05-15T00:00:00.000Z,
2021-05-16T00:00:00.000Z,
2021-05-17T00:00:00.000Z,185406
2021-05-18T00:00:00.000Z,229239
2021-05-19T00:00:00.000Z,210447
2021-05-20T00:00:00.000Z,144334
2021-05-21T00:00:00.000Z,137010
2021-05-22T00:00:00.000Z,120681
2021-05-23T00:00:00.000Z,109346
2021-05-24T00:00:00.000Z,149920
2021-05-25T00:00:00.000Z,147404
2021-05-26T00:00:00.000Z,157201
2021-05-27T00:00:00.000Z,156681
2021-05-28T00:00:00.000Z,266497
2021-05-29T00:00:00.000Z,113057
2021-05-30T00:00:00.000Z,93938
2021-05-31T00:00:00.000Z,81456
2021-06-01T00:00:00.000Z,89145
2021-06-02T00:00:00.000Z,129757
2021-06-03T00:00:00.000Z,99876
2021-06-04T00:00:00.000Z,104577
2021-06-05T00:00:00.000Z,98375
2021-06-06T00:00:00.000Z,88289
2021-06-07T00:00:00.000Z,112038
2021-06-08T00:00:00.000Z,115684
2021-06-09T00:00:00.000Z,114041
2021-06-10T00:00:00.000Z,92523
2021-06-11T00:00:00.000Z,144026
2021-06-12T00:00:00.000Z,117475
2021-06-13T00:00:00.000Z,105777
2021-06-14T00:00:00.000Z,94479
2021-06-15T00:00:00.000Z,120279
2021-06-16T00:00:00.000Z,119631
2021-06-17T00:00:00.000Z,144988
2021-06-18T00:00:00.000Z,145513
2021-06-19T00:00:00.000Z,107440
2021-06-20T00:00:00.000Z,85461
2021-06-21T00:00:00.000Z,90554
2021-06-22T00:00:00.000Z,88436
2021-06-23T00:00:00.000Z,95110
2021-06-24T00:00:00.000Z,97696
2021-06-25T00:00:00.000Z,100353
2021-06-26T00:00:00.000Z,91438
2021-06-27T00:00:00.000Z,72117
2021-06-28T00:00:00.000Z,84710
2021-06-29T00:00:00.000Z,81944
2021-06-30T00:00:00.000Z,80613
2021-07-01T00:00:00.000Z,78047
2021-07-02T00:00:00.000Z,87582
2021-07-03T00:00:00.000Z,76013
2021-07-04T00:00:00.000Z,68618
2021-07-05T00:00:00.000Z,85541
2021-07-06T00:00:00.000Z,76830
2021-07-07T00:00:00.000Z,85832
2021-07-08T00:00:00.000Z,85824
2021-07-09T00:00:00.000Z,86973
2021-07-10T00:00:00.000Z,58030
2021-07-11T00:00:00.000Z,98205
2021-07-12T00:00:00.000Z,86948
2021-07-13T00:00:00.000Z,88164
2021-07-14T00:00:00.000Z,91754
2021-07-15T00:00:00.000Z,87106
2021-07-16T00:00:00.000Z,95014
2021-07-17T00:00:00.000Z,103927
2021-07-18T00:00:00.000Z,122936
2021-07-19T00:00:00.000Z,133607
2021-07-20T00:00:00.000Z,140440
2021-07-21T00:00:00.000Z,152019
2021-07-22T00:00:00.000Z,150827
2021-07-23T00:00:00.000Z,120454
2021-07-24T00:00:00.000Z,79828
2021-07-25T00:00:00.000Z,98656
2021-07-26T00:00:00.000Z,128972
2021-07-27T00:00:00.000Z,121268
2021-07-28T00:00:00.000Z,143167
2021-07-29T00:00:00.000Z,132975
2021-07-30T00:00:00.000Z,137854
2021-07-31T00:00:00.000Z,118955
2021-08-01T00:00:00.000Z,105433
2021-08-02T00:00:00.000Z,139692
2021-08-03T00:00:00.000Z,122865
2021-08-04T00:00:00.000Z,147430
2021-08-05T00:00:00.000Z,123250
2021-08-06T00:00:00.000Z,142648
2021-08-07T00:00:00.000Z,131013
2021-08-08T00:00:00.000Z,125075
2021-08-09T00:00:00.000Z,144082
2021-08-10T00:00:00.000Z,128414
2021-08-11T00:00:00.000Z,141754
2021-08-12T00:00:00.000Z,127223
2021-08-13T00:00:00.000Z,144321
2021-08-14T00:00:00.000Z,126979
2021-08-15T00:00:00.000Z,129177
2021-08-16T00:00:00.000Z,101003
2021-08-17T00:00:00.000Z,126606
2021-08-18T00:00:00.000Z,116264
2021-08-19T00:00:00.000Z,100010
2021-08-20T00:00:00.000Z,123597
2021-08-21T00:00:00.000Z,102825
2021-08-22T00:00:00.000Z,92201
2021-08-23T00:00:00.000Z,116314
2021-08-24T00:00:00.000Z,118441
2021-08-25T00:00:00.000Z,123327
2021-08-26T00:00:00.000Z,114277
2021-08-27T00:00:00.000Z,139422
2021-08-28T00:00:00.000Z,105800
2021-08-29T00:00:00.000Z,88568
2021-08-30T00:00:00.000Z,107441
2021-08-31T00:00:00.000Z,101005
2021-09-01T00:00:00.000Z,105747
2021-09-02T00:00:00.000Z,106187
2021-09-03T00:00:00.000Z,108860
2021-09-04T00:00:00.000Z,94363
2021-09-05T00:00:00.000Z,86353
2021-09-06T00:00:00.000Z,101902
2021-09-07T00:00:00.000Z,97236
2021-09-08T00:00:00.000Z,105990
2021-09-09T00:00:00.000Z,109689
2021-09-10T00:00:00.000Z,87415
2021-09-11T00:00:00.000Z,110935
2021-09-12T00:00:00.000Z,98307
2021-09-13T00:00:00.000Z,93554
2021-09-14T00:00:00.000Z,116408
2021-09-15T00:00:00.000Z,101524
2021-09-16T00:00:00.000Z,108600
2021-09-17T00:00:00.000Z,109728
2021-09-18T00:00:00.000Z,97170
2021-09-19T00:00:00.000Z,85772
2021-09-20T00:00:00.000Z,99382
2021-09-21T00:00:00.000Z,100527
2021-09-22T00:00:00.000Z,101248
2021-09-23T00:00:00.000Z,92422
2021-09-24T00:00:00.000Z,106473
2021-09-25T00:00:00.000Z,88383
2021-09-26T00:00:00.000Z,94289
2021-09-27T00:00:00.000Z,100345
2021-09-28T00:00:00.000Z,94897
2021-09-29T00:00:00.000Z,55487
2021-09-30T00:00:00.000Z,1339
2021-10-01T00:00:00.000Z,679
2021-10-02T00:00:00.000Z,377
2021-10-03T00:00:00.000Z,689
2021-10-04T00:00:00.000Z,857
2021-10-05T00:00:00.000Z,1108
2021-10-06T00:00:00.000Z,1182
2021-10-07T00:00:00.000Z,771
2021-10-08T00:00:00.000Z,746
2021-10-09T00:00:00.000Z,517
2021-10-10T00:00:00.000Z,445
2021-10-11T00:00:00.000Z,713
2021-10-12T00:00:00.000Z,719
2021-10-13T00:00:00.000Z,904
