Time,Usage for V02_n2
2022-03-14T12:00:00.000Z,4186
2022-03-14T14:00:00.000Z,5057
2022-03-14T16:00:00.000Z,30716
2022-03-14T18:00:00.000Z,47794
2022-03-14T20:00:00.000Z,30522
2022-03-14T22:00:00.000Z,28841
2022-03-15T00:00:00.000Z,12510
2022-03-15T02:00:00.000Z,3154
2022-03-15T04:00:00.000Z,3647
2022-03-15T06:00:00.000Z,3291
2022-03-15T08:00:00.000Z,3818
2022-03-15T10:00:00.000Z,4028
2022-03-15T12:00:00.000Z,3535
2022-03-15T14:00:00.000Z,3749
2022-03-15T16:00:00.000Z,30061
2022-03-15T18:00:00.000Z,47897
2022-03-15T20:00:00.000Z,33916
2022-03-15T22:00:00.000Z,54549
2022-03-16T00:00:00.000Z,5139
2022-03-16T02:00:00.000Z,3032
2022-03-16T04:00:00.000Z,3589
2022-03-16T06:00:00.000Z,3315
2022-03-16T08:00:00.000Z,3581
2022-03-16T10:00:00.000Z,4440
2022-03-16T12:00:00.000Z,4048
2022-03-16T14:00:00.000Z,5249
2022-03-16T16:00:00.000Z,30153
2022-03-16T18:00:00.000Z,47753
2022-03-16T20:00:00.000Z,30244
2022-03-16T22:00:00.000Z,46335
2022-03-17T00:00:00.000Z,17890
2022-03-17T02:00:00.000Z,4102
2022-03-17T04:00:00.000Z,3610
2022-03-17T06:00:00.000Z,3458
2022-03-17T08:00:00.000Z,4436
2022-03-17T10:00:00.000Z,4188
2022-03-17T12:00:00.000Z,3860
2022-03-17T14:00:00.000Z,37178
2022-03-17T16:00:00.000Z,46003
2022-03-17T18:00:00.000Z,62311
2022-03-17T20:00:00.000Z,42977
2022-03-17T22:00:00.000Z,65070
2022-03-18T00:00:00.000Z,12657
2022-03-18T02:00:00.000Z,10986
2022-03-18T04:00:00.000Z,9976
2022-03-18T06:00:00.000Z,52089
2022-03-18T08:00:00.000Z,4507
2022-03-18T10:00:00.000Z,73124
2022-03-18T12:00:00.000Z,57247
2022-03-18T14:00:00.000Z,3840
2022-03-18T16:00:00.000Z,29393
2022-03-18T18:00:00.000Z,47926
2022-03-18T20:00:00.000Z,32346
2022-03-18T22:00:00.000Z,151772
2022-03-19T00:00:00.000Z,33426
2022-03-19T02:00:00.000Z,30397
2022-03-19T04:00:00.000Z,30131
2022-03-19T06:00:00.000Z,29615
2022-03-19T08:00:00.000Z,31935
2022-03-19T10:00:00.000Z,7022
2022-03-19T12:00:00.000Z,3100
2022-03-19T14:00:00.000Z,3126
2022-03-19T16:00:00.000Z,28946
2022-03-19T18:00:00.000Z,47823
2022-03-19T20:00:00.000Z,27110
2022-03-19T22:00:00.000Z,55519
2022-03-20T00:00:00.000Z,10801
2022-03-20T02:00:00.000Z,3082
2022-03-20T04:00:00.000Z,3373
2022-03-20T06:00:00.000Z,3042
2022-03-20T08:00:00.000Z,3001
2022-03-20T10:00:00.000Z,3722
2022-03-20T12:00:00.000Z,3651
2022-03-20T14:00:00.000Z,3333
2022-03-20T16:00:00.000Z,29842
2022-03-20T18:00:00.000Z,48601
2022-03-20T20:00:00.000Z,27584
2022-03-20T22:00:00.000Z,59289
2022-03-21T00:00:00.000Z,6282
2022-03-21T02:00:00.000Z,3632
2022-03-21T04:00:00.000Z,3653
2022-03-21T06:00:00.000Z,3580
2022-03-21T08:00:00.000Z,3723
2022-03-21T10:00:00.000Z,4170
2022-03-21T12:00:00.000Z,3487
2022-03-21T14:00:00.000Z,4547
2022-03-21T16:00:00.000Z,29897
2022-03-21T18:00:00.000Z,46945
2022-03-21T20:00:00.000Z,26588
2022-03-21T22:00:00.000Z,60755
2022-03-22T00:00:00.000Z,5442
2022-03-22T02:00:00.000Z,3900
2022-03-22T04:00:00.000Z,3855
2022-03-22T06:00:00.000Z,3634
2022-03-22T08:00:00.000Z,3746
2022-03-22T10:00:00.000Z,4347
2022-03-22T12:00:00.000Z,3746
2022-03-22T14:00:00.000Z,4047
2022-03-22T16:00:00.000Z,30146
2022-03-22T18:00:00.000Z,46439
2022-03-22T20:00:00.000Z,26885
2022-03-22T22:00:00.000Z,37222
2022-03-23T00:00:00.000Z,4904
2022-03-23T02:00:00.000Z,3277
2022-03-23T04:00:00.000Z,4305
2022-03-23T06:00:00.000Z,3306
2022-03-23T08:00:00.000Z,3762
2022-03-23T10:00:00.000Z,4353
2022-03-23T12:00:00.000Z,3907
2022-03-23T14:00:00.000Z,5563
2022-03-23T16:00:00.000Z,28760
2022-03-23T18:00:00.000Z,48361
2022-03-23T20:00:00.000Z,31225
2022-03-23T22:00:00.000Z,29427
2022-03-24T00:00:00.000Z,4858
2022-03-24T02:00:00.000Z,3220
2022-03-24T04:00:00.000Z,3573
2022-03-24T06:00:00.000Z,3447
2022-03-24T08:00:00.000Z,5340
