Time,Usage for V02_n2
2021-04-14T00:00:00.000Z,16199
2021-04-15T00:00:00.000Z,16346
2021-04-16T00:00:00.000Z,16553
2021-04-17T00:00:00.000Z,16040
2021-04-18T00:00:00.000Z,16322
2021-04-19T00:00:00.000Z,16819
2021-04-20T00:00:00.000Z,24466
2021-04-21T00:00:00.000Z,16335
2021-04-22T00:00:00.000Z,21112
2021-04-23T00:00:00.000Z,18238
2021-04-24T00:00:00.000Z,16077
2021-04-25T00:00:00.000Z,17648
2021-04-26T00:00:00.000Z,14751
2021-04-27T00:00:00.000Z,22446
2021-04-28T00:00:00.000Z,18954
2021-04-29T00:00:00.000Z,18121
2021-04-30T00:00:00.000Z,18964
2021-05-01T00:00:00.000Z,16751
2021-05-02T00:00:00.000Z,19334
2021-05-03T00:00:00.000Z,17802
2021-05-04T00:00:00.000Z,18080
2021-05-05T00:00:00.000Z,23156
2021-05-06T00:00:00.000Z,19360
2021-05-07T00:00:00.000Z,17363
2021-05-08T00:00:00.000Z,16886
2021-05-09T00:00:00.000Z,17096
2021-05-10T00:00:00.000Z,24593
2021-05-11T00:00:00.000Z,20627
2021-05-12T00:00:00.000Z,17141
2021-05-13T00:00:00.000Z,17691
2021-05-14T00:00:00.000Z,3789
2021-05-15T00:00:00.000Z,
2021-05-16T00:00:00.000Z,
2021-05-17T00:00:00.000Z,78884
2021-05-18T00:00:00.000Z,128087
2021-05-19T00:00:00.000Z,85229
2021-05-20T00:00:00.000Z,17375
2021-05-21T00:00:00.000Z,17731
2021-05-22T00:00:00.000Z,23425
2021-05-23T00:00:00.000Z,20608
2021-05-24T00:00:00.000Z,21139
2021-05-25T00:00:00.000Z,24214
2021-05-26T00:00:00.000Z,31635
2021-05-27T00:00:00.000Z,43076
2021-05-28T00:00:00.000Z,27215
2021-05-29T00:00:00.000Z,19764
2021-05-30T00:00:00.000Z,18175
2021-05-31T00:00:00.000Z,18802
2021-06-01T00:00:00.000Z,16881
2021-06-02T00:00:00.000Z,20311
2021-06-03T00:00:00.000Z,17874
2021-06-04T00:00:00.000Z,17844
2021-06-05T00:00:00.000Z,17902
2021-06-06T00:00:00.000Z,25059
2021-06-07T00:00:00.000Z,18966
2021-06-08T00:00:00.000Z,17922
2021-06-09T00:00:00.000Z,16824
2021-06-10T00:00:00.000Z,16322
2021-06-11T00:00:00.000Z,21414
2021-06-12T00:00:00.000Z,25608
2021-06-13T00:00:00.000Z,14010
2021-06-14T00:00:00.000Z,14000
2021-06-15T00:00:00.000Z,14100
2021-06-16T00:00:00.000Z,18167
2021-06-17T00:00:00.000Z,13704
2021-06-18T00:00:00.000Z,13779
2021-06-19T00:00:00.000Z,13466
2021-06-20T00:00:00.000Z,13363
2021-06-21T00:00:00.000Z,14534
2021-06-22T00:00:00.000Z,13313
2021-06-23T00:00:00.000Z,13576
2021-06-24T00:00:00.000Z,13162
2021-06-25T00:00:00.000Z,13250
2021-06-26T00:00:00.000Z,12990
2021-06-27T00:00:00.000Z,13462
2021-06-28T00:00:00.000Z,13384
2021-06-29T00:00:00.000Z,13460
2021-06-30T00:00:00.000Z,15133
2021-07-01T00:00:00.000Z,11733
2021-07-02T00:00:00.000Z,15019
2021-07-03T00:00:00.000Z,13253
2021-07-04T00:00:00.000Z,13270
2021-07-05T00:00:00.000Z,13553
2021-07-06T00:00:00.000Z,24667
2021-07-07T00:00:00.000Z,13876
2021-07-08T00:00:00.000Z,20718
2021-07-09T00:00:00.000Z,13907
2021-07-10T00:00:00.000Z,10408
2021-07-11T00:00:00.000Z,16296
2021-07-12T00:00:00.000Z,14321
2021-07-13T00:00:00.000Z,13447
2021-07-14T00:00:00.000Z,13725
2021-07-15T00:00:00.000Z,14806
2021-07-16T00:00:00.000Z,14527
2021-07-17T00:00:00.000Z,13965
2021-07-18T00:00:00.000Z,15242
2021-07-19T00:00:00.000Z,16563
2021-07-20T00:00:00.000Z,13776
2021-07-21T00:00:00.000Z,13647
2021-07-22T00:00:00.000Z,19432
2021-07-23T00:00:00.000Z,14271
2021-07-24T00:00:00.000Z,17752
2021-07-25T00:00:00.000Z,19887
2021-07-26T00:00:00.000Z,19319
2021-07-27T00:00:00.000Z,19052
2021-07-28T00:00:00.000Z,17696
