Time,Usage for V02_n3
2022-03-14T12:00:00.000Z,20871
2022-03-14T14:00:00.000Z,23696
2022-03-14T16:00:00.000Z,26561
2022-03-14T18:00:00.000Z,39691
2022-03-14T20:00:00.000Z,168693
2022-03-14T22:00:00.000Z,281741
2022-03-15T00:00:00.000Z,85189
2022-03-15T02:00:00.000Z,118826
2022-03-15T04:00:00.000Z,174911
2022-03-15T06:00:00.000Z,105550
2022-03-15T08:00:00.000Z,33820
2022-03-15T10:00:00.000Z,27285
2022-03-15T12:00:00.000Z,24483
2022-03-15T14:00:00.000Z,24355
2022-03-15T16:00:00.000Z,24777
2022-03-15T18:00:00.000Z,39566
2022-03-15T20:00:00.000Z,194742
2022-03-15T22:00:00.000Z,288822
2022-03-16T00:00:00.000Z,69771
2022-03-16T02:00:00.000Z,108248
2022-03-16T04:00:00.000Z,181286
2022-03-16T06:00:00.000Z,104828
2022-03-16T08:00:00.000Z,22582
2022-03-16T10:00:00.000Z,25500
2022-03-16T12:00:00.000Z,26738
2022-03-16T14:00:00.000Z,25568
2022-03-16T16:00:00.000Z,32358
2022-03-16T18:00:00.000Z,55078
2022-03-16T20:00:00.000Z,218456
2022-03-16T22:00:00.000Z,273079
2022-03-17T00:00:00.000Z,103562
2022-03-17T02:00:00.000Z,88164
2022-03-17T04:00:00.000Z,173217
2022-03-17T06:00:00.000Z,119911
2022-03-17T08:00:00.000Z,28006
2022-03-17T10:00:00.000Z,25266
2022-03-17T12:00:00.000Z,28825
2022-03-17T14:00:00.000Z,27952
2022-03-17T16:00:00.000Z,26387
2022-03-17T18:00:00.000Z,42841
2022-03-17T20:00:00.000Z,265545
2022-03-17T22:00:00.000Z,219270
2022-03-18T00:00:00.000Z,85011
2022-03-18T02:00:00.000Z,112486
2022-03-18T04:00:00.000Z,163880
2022-03-18T06:00:00.000Z,117967
2022-03-18T08:00:00.000Z,29402
2022-03-18T10:00:00.000Z,27390
2022-03-18T12:00:00.000Z,24535
2022-03-18T14:00:00.000Z,23950
