Time,Active for V03,Ballooned memory for V03,Consumed for V03,Granted for V03,Shared for V03,Compressed for V03
2022-03-14T10:00:00.000Z,151452976,0,1229404420,1203369600,1195829,0
2022-03-14T12:00:00.000Z,151006176,0,1229397760,1203369600,1194769,0
2022-03-14T14:00:00.000Z,133396128,0,1229389570,1203369090,1196797,0
2022-03-14T16:00:00.000Z,111389984,0,1229385730,1203369090,1196564,0
2022-03-14T18:00:00.000Z,105671640,0,1229380350,1203368960,1195503,0
2022-03-14T20:00:00.000Z,102409544,0,1229369340,1203369090,1194808,0
2022-03-14T22:00:00.000Z,99386080,0,1229436030,1203367550,1195796,0
2022-03-15T00:00:00.000Z,87784400,0,1229381380,1203366910,1195943,0
2022-03-15T02:00:00.000Z,87653360,0,1229368320,1203367300,1197422,0
2022-03-15T04:00:00.000Z,90303800,0,1229422590,1203367810,1197382,0
2022-03-15T06:00:00.000Z,143526016,0,1229397500,1203367550,1197134,0
2022-03-15T08:00:00.000Z,149375088,0,1229503870,1203490180,1195444,0
2022-03-15T10:00:00.000Z,148809056,0,1230009600,1203996030,1196140,0
2022-03-15T12:00:00.000Z,149450512,0,1230033020,1203995900,1195779,0
2022-03-15T14:00:00.000Z,132047456,0,1230045060,1203995900,1196610,0
2022-03-15T16:00:00.000Z,103460928,0,1230015100,1203995780,1195524,0
2022-03-15T18:00:00.000Z,102949392,0,1230004100,1203995650,1195548,0
2022-03-15T20:00:00.000Z,103932640,0,1229993090,1203995900,1196724,0
2022-03-15T22:00:00.000Z,101689240,0,1230060930,1203995900,1195176,0
2022-03-16T00:00:00.000Z,95224752,0,1230013440,1203995780,1197572,0
2022-03-16T02:00:00.000Z,91634224,0,1230017920,1203995780,1197848,0
2022-03-16T04:00:00.000Z,91142232,0,1230070020,1203996290,1197250,0
2022-03-16T06:00:00.000Z,139872656,0,1230056700,1203996290,1196598,0
2022-03-16T08:00:00.000Z,146773424,0,1230022400,1203996290,1196466,0
2022-03-16T10:00:00.000Z,153043776,0,1230146300,1203996030,1196399,0
2022-03-16T12:00:00.000Z,158393168,0,1230387460,1203996160,1194446,0
2022-03-16T14:00:00.000Z,127949784,0,1230181760,1203996030,1195356,0
2022-03-16T16:00:00.000Z,108763520,0,1230042620,1203996030,1196797,0
2022-03-16T18:00:00.000Z,108455464,0,1230018690,1203995780,1196599,0
2022-03-16T20:00:00.000Z,107579200,0,1230008830,1203995780,1195485,0
2022-03-16T22:00:00.000Z,97824480,0,1230051580,1203996030,1197584,0
2022-03-17T00:00:00.000Z,93312512,0,1230016770,1203996160,1197883,0
2022-03-17T02:00:00.000Z,92312424,0,1230012290,1203995780,1197137,0
2022-03-17T04:00:00.000Z,96808688,0,1230064510,1203996030,1197123,0
2022-03-17T06:00:00.000Z,137938288,0,1230045060,1204002560,1197426,0
2022-03-17T08:00:00.000Z,149722368,0,1230032130,1204010240,1196154,0
2022-03-17T10:00:00.000Z,146331984,0,1230028420,1204010240,1195350,0
2022-03-17T12:00:00.000Z,149165344,0,1230095490,1204071550,1195833,0
2022-03-17T14:00:00.000Z,129725248,0,1230111230,1204077950,1196452,0
2022-03-17T16:00:00.000Z,108879184,0,1230097790,1204077820,1196078,0
2022-03-17T18:00:00.000Z,103958456,0,1230094210,1204078080,1196372,0
2022-03-17T20:00:00.000Z,104647488,0,1230086140,1204077820,1194793,0
2022-03-17T22:00:00.000Z,103682360,0,1230131840,1204078210,1194894,0
2022-03-18T00:00:00.000Z,97696408,0,1230091010,1204078210,1197541,0
2022-03-18T02:00:00.000Z,101309072,0,1230086400,1204078080,1198943,0
2022-03-18T04:00:00.000Z,105497568,0,1230133890,1204078080,1197416,0
2022-03-18T06:00:00.000Z,143888992,0,1230111870,1204077950,1195693,0
2022-03-18T08:00:00.000Z,164188128,0,1230085250,1204077700,1197646,0
2022-03-18T10:00:00.000Z,168047472,0,1230098820,1204077820,1197256,0
2022-03-18T12:00:00.000Z,152254528,0,1230111360,1204077700,1197402,0
2022-03-18T14:00:00.000Z,142670080,0,1230112900,1204090620,1196683,0
2022-03-18T16:00:00.000Z,104503712,0,1230109570,1204094210,1197365,0
2022-03-18T18:00:00.000Z,104674112,0,1230108930,1204094340,1197316,0
2022-03-18T20:00:00.000Z,103787352,0,1230105600,1204094210,1197380,0
2022-03-18T22:00:00.000Z,100972256,0,1230124160,1204098690,1197967,0
2022-03-19T00:00:00.000Z,95592776,0,1230102780,1204099330,1195995,0
2022-03-19T02:00:00.000Z,106425400,0,1230110460,1204099330,1194670,0
2022-03-19T04:00:00.000Z,111814640,0,1230141310,1204099580,1196031,0
2022-03-19T06:00:00.000Z,119722728,0,1230174980,1204099330,1196678,0
2022-03-19T08:00:00.000Z,100902984,0,1230110460,1204099330,1195542,0
2022-03-19T10:00:00.000Z,95906496,0,1230107260,1204099330,1196011,0
2022-03-19T12:00:00.000Z,98652088,0,1230238340,1204230400,1196851,0
