Time,Data receive rate for V03_n2,Data receive rate for V03_n2 v0,Data receive rate for V03_n2 v1,Data receive rate for V03_n2 v2,Data receive rate for V03_n2 v3,Data receive rate for V03_n2 v4,Data receive rate for V03_n2 v5,Data transmit rate for V03_n2,Data transmit rate for V03_n2 v0,Data transmit rate for V03_n2 v1,Data transmit rate for V03_n2 v2,Data transmit rate for V03_n2 v3,Data transmit rate for V03_n2 v4,Data transmit rate for V03_n2 v5,Usage for V03_n2,Usage for V03_n2 v0,Usage for V03_n2 v1,Usage for V03_n2 v2,Usage for V03_n2 v3,Usage for V03_n2 v4,Usage for V03_n2 v5
2022-03-14T10:00:00.000Z,6069,2092,2127,1805,0,42,0,3435,2314,1040,0,0,78,1,9505,4408,3167,1805,0,121,1
2022-03-14T12:00:00.000Z,4764,1805,1399,1515,0,42,0,3220,2094,1044,0,0,79,1,7985,3900,2444,1515,0,122,1
2022-03-14T14:00:00.000Z,2573,930,848,751,0,42,0,2276,1119,1077,0,0,78,1,4850,2050,1925,751,0,121,1
2022-03-14T16:00:00.000Z,1924,603,757,520,0,42,0,1546,506,960,0,0,78,1,3471,1109,1716,520,0,121,1
2022-03-14T18:00:00.000Z,1795,526,794,429,0,42,0,1451,447,923,0,0,78,1,3246,974,1717,429,0,122,1
2022-03-14T20:00:00.000Z,1764,401,989,328,0,43,0,1255,329,846,0,0,78,1,3020,730,1836,328,0,122,1
2022-03-14T22:00:00.000Z,1339,183,998,95,0,48,12,3762,152,957,0,0,86,2565,5103,335,1956,95,0,136,2578
2022-03-15T00:00:00.000Z,748,128,528,45,0,44,0,1397,64,973,0,0,359,1,2146,193,1502,45,0,403,1
2022-03-15T02:00:00.000Z,595,96,413,42,0,41,0,1536,58,1397,0,0,78,1,2132,156,1811,42,0,120,1
2022-03-15T04:00:00.000Z,488,155,204,85,0,42,0,1020,122,818,0,0,78,1,1510,277,1023,85,0,121,1
2022-03-15T06:00:00.000Z,4128,1228,1809,1046,0,42,0,2051,1123,847,0,0,78,1,6179,2352,2657,1046,0,121,1
2022-03-15T08:00:00.000Z,4041,1825,631,1541,0,42,0,3483,2131,1271,0,0,79,1,7524,3956,1903,1541,0,121,1
2022-03-15T10:00:00.000Z,5029,2291,700,1993,0,42,0,3460,2236,1143,0,0,78,1,8490,4528,1843,1993,0,121,1
2022-03-15T12:00:00.000Z,4138,1773,822,1499,0,42,0,3270,2053,1136,0,0,79,1,7409,3826,1959,1499,0,121,1
2022-03-15T14:00:00.000Z,1623,773,181,625,0,42,0,2077,972,1025,0,0,78,1,3701,1746,1206,625,0,121,1
2022-03-15T16:00:00.000Z,1523,365,841,272,0,42,0,1505,481,944,0,0,78,1,3029,847,1786,272,0,121,1
2022-03-15T18:00:00.000Z,1658,549,602,462,0,43,0,1523,444,998,0,0,78,1,3182,994,1601,462,0,122,1
2022-03-15T20:00:00.000Z,1296,252,826,171,0,43,0,1211,317,813,0,0,79,1,2507,570,1640,171,0,122,1
2022-03-15T22:00:00.000Z,672,161,356,91,0,49,13,3898,145,937,0,0,86,2730,4571,306,1293,91,0,136,2742
2022-03-16T00:00:00.000Z,902,128,684,43,0,44,0,1349,64,923,0,0,359,1,2252,192,1608,43,0,404,1
2022-03-16T02:00:00.000Z,889,109,695,41,0,42,0,1611,51,1479,0,0,78,1,2501,161,2174,41,0,121,1
2022-03-16T04:00:00.000Z,8179,148,7906,82,0,41,0,1068,119,869,0,0,78,1,9248,267,8774,82,0,120,1
2022-03-16T06:00:00.000Z,2741,985,910,800,0,43,0,2033,1109,843,0,0,78,1,4774,2095,1754,800,0,122,1
2022-03-16T08:00:00.000Z,3569,1680,427,1418,0,42,0,3067,2017,970,0,0,79,1,6637,3697,1397,1418,0,122,1
2022-03-16T10:00:00.000Z,9103,1812,5697,1549,0,42,0,3290,2136,1073,0,0,78,1,12394,3949,6771,1549,0,121,1
2022-03-16T12:00:00.000Z,20529,1616,17486,1382,0,42,0,3216,1916,1219,0,0,78,1,23746,3534,18705,1382,0,121,1
2022-03-16T14:00:00.000Z,3014,772,1572,625,0,42,0,2031,966,984,0,0,79,1,5045,1739,2556,625,0,121,1
2022-03-16T16:00:00.000Z,1855,372,1168,270,0,42,0,1548,449,1019,0,0,78,1,3403,821,2187,270,0,121,1
2022-03-16T18:00:00.000Z,756,312,171,228,0,42,0,1508,404,1024,0,0,78,1,2266,716,1196,228,0,121,1
2022-03-16T20:00:00.000Z,783,261,305,171,0,43,0,1261,316,864,0,0,79,1,2044,578,1169,171,0,122,1
2022-03-16T22:00:00.000Z,726,179,406,84,0,49,5,2441,138,1118,0,0,87,1097,3168,317,1525,84,0,137,1102
2022-03-17T00:00:00.000Z,672,131,445,49,0,44,0,1269,70,837,0,0,359,1,1942,202,1283,49,0,403,1
2022-03-17T02:00:00.000Z,496,111,305,37,0,41,0,1611,60,1471,0,0,79,1,2108,171,1776,37,0,120,1
2022-03-17T04:00:00.000Z,7527,151,7240,92,0,42,0,1062,124,857,0,0,79,1,8590,275,8098,92,0,121,1
2022-03-17T06:00:00.000Z,5297,926,3592,735,0,41,0,2026,1037,909,0,0,78,1,7324,1963,4501,735,0,121,1
2022-03-17T08:00:00.000Z,4095,1737,851,1463,0,42,0,3246,2034,1132,0,0,78,1,7342,3772,1983,1463,0,121,1
2022-03-17T10:00:00.000Z,4002,1732,773,1453,0,41,0,3283,2058,1144,0,0,78,1,7286,3791,1919,1453,0,120,1
2022-03-17T12:00:00.000Z,3863,1637,806,1375,0,42,0,3098,1934,1083,0,0,78,1,6962,3572,1890,1375,0,121,1
2022-03-17T14:00:00.000Z,1737,751,332,610,0,42,0,2101,920,1100,0,0,79,1,3838,1672,1432,610,0,121,1
2022-03-17T16:00:00.000Z,758,342,125,245,0,43,0,1361,419,860,0,0,79,1,2119,762,986,245,0,122,1
2022-03-17T18:00:00.000Z,617,284,87,201,0,42,0,1433,359,994,0,0,78,1,2051,644,1082,201,0,121,1
2022-03-17T20:00:00.000Z,1028,243,579,160,0,43,0,1275,291,903,0,0,78,1,2303,535,1483,160,0,122,1
2022-03-17T22:00:00.000Z,1270,191,935,87,0,48,6,2568,142,1120,0,0,86,1218,3839,334,2056,87,0,136,1224
2022-03-18T00:00:00.000Z,679,124,464,44,0,44,0,1344,61,921,0,0,359,1,2023,186,1386,44,0,404,1
2022-03-18T02:00:00.000Z,292,114,96,38,0,42,0,1656,53,1522,0,0,78,1,1948,167,1618,38,0,122,1
2022-03-18T04:00:00.000Z,612,151,332,83,0,43,0,1044,120,844,0,0,78,1,1657,271,1177,83,0,122,1
2022-03-18T06:00:00.000Z,2174,931,461,736,0,42,0,2001,1007,913,0,0,79,1,4176,1939,1375,736,0,122,1
2022-03-18T08:00:00.000Z,3877,1766,573,1492,0,42,0,2957,1894,982,0,0,79,1,6834,3661,1556,1492,0,121,1
2022-03-18T10:00:00.000Z,5152,2085,1217,1805,0,42,0,3166,1942,1144,0,0,79,1,8319,4027,2361,1805,0,121,1
2022-03-18T12:00:00.000Z,3672,1541,803,1283,0,42,0,3063,1701,1281,0,0,79,1,6736,3243,2085,1283,0,122,1
2022-03-18T14:00:00.000Z,1750,594,635,476,0,43,0,1836,711,1044,0,0,79,1,3587,1305,1680,476,0,122,1
2022-03-18T16:00:00.000Z,1371,488,434,404,0,42,0,1426,305,1040,0,0,78,1,2797,794,1474,404,0,121,1
2022-03-18T18:00:00.000Z,830,218,432,134,0,42,0,1173,241,852,0,0,78,1,2004,460,1284,134,0,122,1
2022-03-18T20:00:00.000Z,550,168,236,100,0,43,0,1243,173,989,0,0,79,1,1793,342,1225,100,0,123,1
2022-03-18T22:00:00.000Z,893,153,634,61,0,43,0,1220,97,1039,0,0,82,1,2114,250,1673,61,0,126,1
2022-03-19T00:00:00.000Z,586,121,378,40,0,44,0,1281,65,853,0,0,359,1,1867,187,1232,40,0,404,1
2022-03-19T02:00:00.000Z,1368,125,1148,50,0,42,0,1657,52,1524,0,0,79,1,3026,177,2673,50,0,121,1
2022-03-19T04:00:00.000Z,1380,133,1144,57,0,42,0,961,68,812,0,0,79,1,2342,201,1957,57,0,122,1
2022-03-19T06:00:00.000Z,2478,145,2212,76,0,42,0,1181,124,976,0,0,79,1,3660,270,3189,76,0,122,1
2022-03-19T08:00:00.000Z,826,218,434,129,0,42,0,1182,232,869,0,0,79,1,2010,452,1304,129,0,121,1
2022-03-19T10:00:00.000Z,607,205,225,132,0,42,0,1301,226,994,0,0,78,1,1909,432,1220,132,0,121,1
2022-03-19T12:00:00.000Z,743,193,383,123,0,42,0,1177,208,888,0,0,78,1,1921,402,1271,123,0,121,1
2022-03-19T14:00:00.000Z,864,181,537,103,0,41,0,1127,172,874,0,0,79,1,1992,354,1411,103,0,121,1
