Time,Read rate for V03_n3,Usage for V03_n3,Write rate for V03_n3
2022-03-14T10:00:00.000Z,1388,2497,1108
2022-03-14T12:00:00.000Z,1472,2855,1382
2022-03-14T14:00:00.000Z,1407,2987,1579
2022-03-14T16:00:00.000Z,1071,1930,858
2022-03-14T18:00:00.000Z,914,1700,786
2022-03-14T20:00:00.000Z,977,1658,680
2022-03-14T22:00:00.000Z,9078,10678,1599
2022-03-15T00:00:00.000Z,1110,1849,738
2022-03-15T02:00:00.000Z,1711,3440,1729
2022-03-15T04:00:00.000Z,7780,21457,13676
2022-03-15T06:00:00.000Z,2749,6908,4158
2022-03-15T08:00:00.000Z,1492,2907,1414
2022-03-15T10:00:00.000Z,1879,4007,2127
2022-03-15T12:00:00.000Z,2161,4704,2542
2022-03-15T14:00:00.000Z,1516,2964,1447
2022-03-15T16:00:00.000Z,1798,3501,1702
2022-03-15T18:00:00.000Z,935,1472,537
2022-03-15T20:00:00.000Z,1151,1872,720
2022-03-15T22:00:00.000Z,8748,10751,2003
2022-03-16T00:00:00.000Z,1387,2008,620
2022-03-16T02:00:00.000Z,1579,2955,1375
2022-03-16T04:00:00.000Z,1974,3581,1606
2022-03-16T06:00:00.000Z,4773,10961,6188
2022-03-16T08:00:00.000Z,2675,5277,2601
2022-03-16T10:00:00.000Z,2359,5216,2856
2022-03-16T12:00:00.000Z,1463,2878,1414
2022-03-16T14:00:00.000Z,1387,74753,73366
2022-03-16T16:00:00.000Z,1217,25244,24026
2022-03-16T18:00:00.000Z,1175,1799,623
2022-03-16T20:00:00.000Z,1361,2348,987
2022-03-16T22:00:00.000Z,10927,12693,1766
2022-03-17T00:00:00.000Z,1528,2547,1019
2022-03-17T02:00:00.000Z,1327,2785,1457
2022-03-17T04:00:00.000Z,1479,4008,2528
2022-03-17T06:00:00.000Z,1576,2898,1321
2022-03-17T08:00:00.000Z,1300,2414,1113
2022-03-17T10:00:00.000Z,1405,2612,1206
2022-03-17T12:00:00.000Z,2225,4235,2009
2022-03-17T14:00:00.000Z,2416,5045,2629
2022-03-17T16:00:00.000Z,1071,1689,618
2022-03-17T18:00:00.000Z,994,1689,693
2022-03-17T20:00:00.000Z,990,1785,794
2022-03-17T22:00:00.000Z,12196,13488,1292
2022-03-18T00:00:00.000Z,866,1445,578
2022-03-18T02:00:00.000Z,2007,4350,2342
2022-03-18T04:00:00.000Z,951,1878,926
2022-03-18T06:00:00.000Z,2734,6130,3395
2022-03-18T08:00:00.000Z,2466,5144,2676
2022-03-18T10:00:00.000Z,3434,6877,3443
2022-03-18T12:00:00.000Z,2913,5744,2830
2022-03-18T14:00:00.000Z,1768,3828,2059
2022-03-18T16:00:00.000Z,1402,2410,1008
2022-03-18T18:00:00.000Z,1648,3033,1384
2022-03-18T20:00:00.000Z,1290,2584,1294
2022-03-18T22:00:00.000Z,1229,2053,823
2022-03-19T00:00:00.000Z,1158,2087,928
2022-03-19T02:00:00.000Z,1380,2305,924
2022-03-19T04:00:00.000Z,799,1263,464
2022-03-19T06:00:00.000Z,943,1590,646
2022-03-19T08:00:00.000Z,1145,2144,998
2022-03-19T10:00:00.000Z,1502,2940,1437
2022-03-19T12:00:00.000Z,1503,2626,1122
2022-03-19T14:00:00.000Z,1029,1780,750
2022-03-19T16:00:00.000Z,1018,2065,1047
2022-03-19T18:00:00.000Z,973,1861,888
2022-03-19T20:00:00.000Z,873,1751,877
2022-03-19T22:00:00.000Z,18641,20488,1847
2022-03-20T00:00:00.000Z,3074,6578,3503
2022-03-20T02:00:00.000Z,1967,3833,1865
2022-03-20T04:00:00.000Z,2276,5127,2850
2022-03-20T06:00:00.000Z,1624,3257,1632
2022-03-20T08:00:00.000Z,1096,2068,972
2022-03-20T10:00:00.000Z,1121,2054,933
2022-03-20T12:00:00.000Z,754,1171,415
2022-03-20T14:00:00.000Z,1006,1737,730
2022-03-20T16:00:00.000Z,1581,2948,1366
2022-03-20T18:00:00.000Z,1516,3056,1539
2022-03-20T20:00:00.000Z,1332,2319,986
2022-03-20T22:00:00.000Z,10387,12253,1866
2022-03-21T00:00:00.000Z,1031,1547,515
2022-03-21T02:00:00.000Z,1253,1943,690
2022-03-21T04:00:00.000Z,1231,2474,1242
2022-03-21T06:00:00.000Z,1994,4077,2083
2022-03-21T08:00:00.000Z,1205,2323,1118
2022-03-21T10:00:00.000Z,2052,3814,1762
2022-03-21T12:00:00.000Z,2162,4255,2092
2022-03-21T14:00:00.000Z,1221,2178,957
2022-03-21T16:00:00.000Z,1144,1936,792
2022-03-21T18:00:00.000Z,1231,2459,1227
2022-03-21T20:00:00.000Z,1473,3278,1804
2022-03-21T22:00:00.000Z,12026,14007,1980
2022-03-22T00:00:00.000Z,1182,1696,513
2022-03-22T02:00:00.000Z,1310,2606,1296
2022-03-22T04:00:00.000Z,850,1303,452
2022-03-22T06:00:00.000Z,1302,2320,1017
2022-03-22T08:00:00.000Z,1362,2577,1214
2022-03-22T10:00:00.000Z,1200,2189,988
2022-03-22T12:00:00.000Z,945,1675,730
2022-03-22T14:00:00.000Z,1834,3600,1766
2022-03-22T16:00:00.000Z,1481,2783,1301
2022-03-22T18:00:00.000Z,1905,3667,1761
