Time,Read rate for V03_n3,Usage for V03_n3,Write rate for V03_n3
2021-04-14T00:00:00.000Z,1167,2357,1189
2021-04-15T00:00:00.000Z,1698,3752,2053
2021-04-16T00:00:00.000Z,1847,3796,1948
2021-04-17T00:00:00.000Z,2070,4638,2567
2021-04-18T00:00:00.000Z,1224,2419,1194
2021-04-19T00:00:00.000Z,1301,2433,1132
2021-04-20T00:00:00.000Z,1233,2579,1344
2021-04-21T00:00:00.000Z,867,1836,968
2021-04-22T00:00:00.000Z,2000,4642,2641
2021-04-23T00:00:00.000Z,1574,3489,1915
2021-04-24T00:00:00.000Z,978,1783,805
2021-04-25T00:00:00.000Z,1074,1877,802
2021-04-26T00:00:00.000Z,1431,2957,1525
2021-04-27T00:00:00.000Z,1917,4280,2363
2021-04-28T00:00:00.000Z,1151,2281,1130
2021-04-29T00:00:00.000Z,2070,6107,4037
2021-04-30T00:00:00.000Z,1922,4309,2386
2021-05-01T00:00:00.000Z,1004,2621,1616
2021-05-02T00:00:00.000Z,1085,1739,653
2021-05-03T00:00:00.000Z,1085,2143,1057
2021-05-04T00:00:00.000Z,1577,3440,1863
2021-05-05T00:00:00.000Z,1422,3149,1727
2021-05-06T00:00:00.000Z,1375,2788,1412
2021-05-07T00:00:00.000Z,1731,3777,2046
2021-05-08T00:00:00.000Z,1886,4289,2403
2021-05-09T00:00:00.000Z,1103,2231,1126
2021-05-10T00:00:00.000Z,1526,2933,1407
2021-05-11T00:00:00.000Z,1306,2898,1591
2021-05-12T00:00:00.000Z,2093,4812,2718
2021-05-13T00:00:00.000Z,2451,5666,3214
2021-05-14T00:00:00.000Z,1869,4350,2481
2021-05-15T00:00:00.000Z,1402,2915,1513
2021-05-16T00:00:00.000Z,973,1942,969
2021-05-17T00:00:00.000Z,2103,4778,2675
2021-05-18T00:00:00.000Z,1091,2154,1063
2021-05-19T00:00:00.000Z,1799,3971,2172
2021-05-20T00:00:00.000Z,2046,4369,2322
2021-05-21T00:00:00.000Z,2078,5135,3056
2021-05-22T00:00:00.000Z,2322,5686,3363
2021-05-23T00:00:00.000Z,1188,2358,1170
2021-05-24T00:00:00.000Z,1873,4020,2147
2021-05-25T00:00:00.000Z,1561,3116,1555
2021-05-26T00:00:00.000Z,1808,4403,2594
2021-05-27T00:00:00.000Z,1351,2768,1417
2021-05-28T00:00:00.000Z,1257,2504,1246
2021-05-29T00:00:00.000Z,1959,4482,2522
2021-05-30T00:00:00.000Z,1015,1724,709
