Time,Data receive rate for V03_n3,Data receive rate for V03_n3 v0,Data receive rate for V03_n3 v1,Data receive rate for V03_n3 v2,Data receive rate for V03_n3 v3,Data receive rate for V03_n3 v4,Data receive rate for V03_n3 v5,Data transmit rate for V03_n3,Data transmit rate for V03_n3 v0,Data transmit rate for V03_n3 v1,Data transmit rate for V03_n3 v2,Data transmit rate for V03_n3 v3,Data transmit rate for V03_n3 v4,Data transmit rate for V03_n3 v5,Usage for V03_n3,Usage for V03_n3 v0,Usage for V03_n3 v1,Usage for V03_n3 v2,Usage for V03_n3 v3,Usage for V03_n3 v4,Usage for V03_n3 v5
2021-04-14T00:00:00.000Z,1956,868,426,658,0,0,2,897,694,192,0,0,0,11,2854,1562,618,658,0,0,14
2021-04-15T00:00:00.000Z,2368,849,876,639,0,0,2,1019,700,308,0,0,0,10,3388,1550,1184,639,0,0,13
2021-04-16T00:00:00.000Z,1980,840,504,632,0,0,2,957,684,261,0,0,0,11,2938,1525,765,632,0,0,13
2021-04-17T00:00:00.000Z,1505,133,1260,107,0,0,2,350,103,234,0,0,0,11,1855,237,1495,107,0,0,14
2021-04-18T00:00:00.000Z,607,100,423,80,0,0,2,295,70,214,0,0,0,11,903,170,637,80,0,0,13
2021-04-19T00:00:00.000Z,1790,878,247,661,0,0,2,1029,733,285,0,0,0,11,2820,1611,532,661,0,0,14
2021-04-20T00:00:00.000Z,2422,1051,537,830,0,0,2,917,742,163,0,0,0,11,3339,1794,700,830,0,0,13
2021-04-21T00:00:00.000Z,1946,867,424,650,0,0,2,898,721,166,0,0,0,11,2845,1589,590,650,0,0,14
2021-04-22T00:00:00.000Z,2747,846,1270,626,0,0,2,1006,714,281,0,0,0,11,3754,1560,1552,626,0,0,14
2021-04-23T00:00:00.000Z,8161,3754,884,3517,0,0,2,1060,771,277,0,0,0,11,9221,4526,1162,3517,0,0,14
2021-04-24T00:00:00.000Z,523,140,264,115,0,0,2,323,101,210,0,0,0,11,847,242,475,115,0,0,13
