Time,Usage for R03_n3
2022-03-13T14:00:00.000Z,9963
2022-03-13T16:00:00.000Z,11856
2022-03-13T18:00:00.000Z,11808
2022-03-13T20:00:00.000Z,12023
2022-03-13T22:00:00.000Z,10754
2022-03-14T00:00:00.000Z,19215
2022-03-14T02:00:00.000Z,89392
2022-03-14T04:00:00.000Z,157003
2022-03-14T06:00:00.000Z,193166
2022-03-14T08:00:00.000Z,117795
2022-03-14T10:00:00.000Z,11520
2022-03-14T12:00:00.000Z,49326
2022-03-14T14:00:00.000Z,46776
2022-03-14T16:00:00.000Z,61471
2022-03-14T18:00:00.000Z,11144
2022-03-14T20:00:00.000Z,13082
2022-03-14T22:00:00.000Z,17314
2022-03-15T00:00:00.000Z,13498
2022-03-15T02:00:00.000Z,56720
2022-03-15T04:00:00.000Z,141144
2022-03-15T06:00:00.000Z,68561
2022-03-15T08:00:00.000Z,14014
2022-03-15T10:00:00.000Z,15116
2022-03-15T12:00:00.000Z,16798
2022-03-15T14:00:00.000Z,10077
2022-03-15T16:00:00.000Z,8305
2022-03-15T18:00:00.000Z,10631
2022-03-15T20:00:00.000Z,8210
2022-03-15T22:00:00.000Z,9310
2022-03-16T00:00:00.000Z,9607
2022-03-16T02:00:00.000Z,83664
2022-03-16T04:00:00.000Z,110860
2022-03-16T06:00:00.000Z,144324
2022-03-16T08:00:00.000Z,133064
2022-03-16T10:00:00.000Z,19266
2022-03-16T12:00:00.000Z,14438
2022-03-16T14:00:00.000Z,9497
2022-03-16T16:00:00.000Z,9426
2022-03-16T18:00:00.000Z,10397
2022-03-16T20:00:00.000Z,8330
2022-03-16T22:00:00.000Z,7615
2022-03-17T00:00:00.000Z,12200
2022-03-17T02:00:00.000Z,57126
2022-03-17T04:00:00.000Z,156096
2022-03-17T06:00:00.000Z,66554
2022-03-17T08:00:00.000Z,11248
2022-03-17T10:00:00.000Z,19215
2022-03-17T12:00:00.000Z,68661
2022-03-17T14:00:00.000Z,91632
2022-03-17T16:00:00.000Z,95430
2022-03-17T18:00:00.000Z,87994
2022-03-17T20:00:00.000Z,86735
2022-03-17T22:00:00.000Z,86878
2022-03-18T00:00:00.000Z,89085
2022-03-18T02:00:00.000Z,148577
2022-03-18T04:00:00.000Z,209398
2022-03-18T06:00:00.000Z,234781
2022-03-18T08:00:00.000Z,188861
2022-03-18T10:00:00.000Z,54534
2022-03-18T12:00:00.000Z,51563
2022-03-18T14:00:00.000Z,42780
2022-03-18T16:00:00.000Z,9670
2022-03-18T18:00:00.000Z,9650
2022-03-18T20:00:00.000Z,9595
2022-03-18T22:00:00.000Z,10606
2022-03-19T00:00:00.000Z,12540
2022-03-19T02:00:00.000Z,52649
2022-03-19T04:00:00.000Z,128494
2022-03-19T06:00:00.000Z,26624
2022-03-19T08:00:00.000Z,8730
2022-03-19T10:00:00.000Z,8275
2022-03-19T12:00:00.000Z,8375
2022-03-19T14:00:00.000Z,8279
2022-03-19T16:00:00.000Z,8844
2022-03-19T18:00:00.000Z,8975
2022-03-19T20:00:00.000Z,14116
2022-03-19T22:00:00.000Z,48370
2022-03-20T00:00:00.000Z,87953
2022-03-20T02:00:00.000Z,151696
2022-03-20T04:00:00.000Z,216908
2022-03-20T06:00:00.000Z,248052
2022-03-20T08:00:00.000Z,194112
2022-03-20T10:00:00.000Z,87002
2022-03-20T12:00:00.000Z,88878
2022-03-20T14:00:00.000Z,86930
2022-03-20T16:00:00.000Z,87606
2022-03-20T18:00:00.000Z,88536
2022-03-20T20:00:00.000Z,36913
2022-03-20T22:00:00.000Z,9495
2022-03-21T00:00:00.000Z,10949
2022-03-21T02:00:00.000Z,43487
2022-03-21T04:00:00.000Z,149206
2022-03-21T06:00:00.000Z,81405
2022-03-21T08:00:00.000Z,19621
2022-03-21T10:00:00.000Z,15250
2022-03-21T12:00:00.000Z,14841
2022-03-21T14:00:00.000Z,10080
2022-03-21T16:00:00.000Z,26269
2022-03-21T18:00:00.000Z,35106
2022-03-21T20:00:00.000Z,26997
2022-03-21T22:00:00.000Z,81204
2022-03-22T00:00:00.000Z,65774
2022-03-22T02:00:00.000Z,126051
2022-03-22T04:00:00.000Z,207594
2022-03-22T06:00:00.000Z,211410
2022-03-22T08:00:00.000Z,166149
2022-03-22T10:00:00.000Z,93912
2022-03-22T12:00:00.000Z,91427
2022-03-22T14:00:00.000Z,89370
2022-03-22T16:00:00.000Z,86808
2022-03-22T18:00:00.000Z,90221
2022-03-22T20:00:00.000Z,85665
2022-03-22T22:00:00.000Z,54783
2022-03-23T00:00:00.000Z,11178
2022-03-23T02:00:00.000Z,45448
2022-03-23T04:00:00.000Z,129674
2022-03-23T06:00:00.000Z,133295
2022-03-23T08:00:00.000Z,125010
2022-03-23T10:00:00.000Z,59301
2022-03-23T12:00:00.000Z,12115
2022-03-23T14:00:00.000Z,12849
2022-03-23T16:00:00.000Z,9597
2022-03-23T18:00:00.000Z,9474
2022-03-23T20:00:00.000Z,47757
2022-03-23T22:00:00.000Z,10823
2022-03-24T00:00:00.000Z,13664
2022-03-24T02:00:00.000Z,61143
2022-03-24T04:00:00.000Z,121564
2022-03-24T06:00:00.000Z,30070
2022-03-24T08:00:00.000Z,21674
2022-03-24T10:00:00.000Z,14425
2022-03-24T12:00:00.000Z,12800
2022-03-24T14:00:00.000Z,13011
2022-03-24T16:00:00.000Z,10415
2022-03-24T18:00:00.000Z,9379
2022-03-24T20:00:00.000Z,32390
2022-03-24T22:00:00.000Z,86632
2022-03-25T00:00:00.000Z,88903
2022-03-25T02:00:00.000Z,123661
2022-03-25T04:00:00.000Z,206882
2022-03-25T06:00:00.000Z,254924
2022-03-25T08:00:00.000Z,203709
2022-03-25T10:00:00.000Z,102945
2022-03-25T12:00:00.000Z,42956
2022-03-25T14:00:00.000Z,24792
2022-03-25T16:00:00.000Z,88633
2022-03-25T18:00:00.000Z,72121
2022-03-25T20:00:00.000Z,23704
2022-03-25T22:00:00.000Z,71430
2022-03-26T00:00:00.000Z,10098
2022-03-26T02:00:00.000Z,73375
2022-03-26T04:00:00.000Z,104376
2022-03-26T06:00:00.000Z,157127
2022-03-26T08:00:00.000Z,129268
2022-03-26T10:00:00.000Z,82682
2022-03-26T12:00:00.000Z,49636
