Time,Usage for R03_n3
2021-04-13T00:00:00.000Z,26100
2021-04-14T00:00:00.000Z,3651
2021-04-15T00:00:00.000Z,12464
2021-04-16T00:00:00.000Z,4159
2021-04-17T00:00:00.000Z,2294
2021-04-18T00:00:00.000Z,2085
2021-04-19T00:00:00.000Z,15761
2021-04-20T00:00:00.000Z,20762
2021-04-21T00:00:00.000Z,33400
2021-04-22T00:00:00.000Z,24382
2021-04-23T00:00:00.000Z,16371
2021-04-24T00:00:00.000Z,6962
2021-04-25T00:00:00.000Z,23593
2021-04-26T00:00:00.000Z,24764
2021-04-27T00:00:00.000Z,16478
2021-04-28T00:00:00.000Z,14228
2021-04-29T00:00:00.000Z,24805
2021-04-30T00:00:00.000Z,23184
2021-05-01T00:00:00.000Z,6870
2021-05-02T00:00:00.000Z,10047
2021-05-03T00:00:00.000Z,6989
2021-05-04T00:00:00.000Z,15607
2021-05-05T00:00:00.000Z,12414
2021-05-06T00:00:00.000Z,36365
2021-05-07T00:00:00.000Z,5257
2021-05-08T00:00:00.000Z,4879
2021-05-09T00:00:00.000Z,2096
2021-05-10T00:00:00.000Z,5482
2021-05-11T00:00:00.000Z,5554
2021-05-12T00:00:00.000Z,20857
2021-05-13T00:00:00.000Z,37442
2021-05-14T00:00:00.000Z,19104
2021-05-15T00:00:00.000Z,18825
2021-05-16T00:00:00.000Z,27789
2021-05-17T00:00:00.000Z,20044
2021-05-18T00:00:00.000Z,29340
2021-05-19T00:00:00.000Z,37648
2021-05-20T00:00:00.000Z,23154
2021-05-21T00:00:00.000Z,33904
2021-05-22T00:00:00.000Z,39685
2021-05-23T00:00:00.000Z,33880
2021-05-24T00:00:00.000Z,17134
2021-05-25T00:00:00.000Z,5612
2021-05-26T00:00:00.000Z,14021
2021-05-27T00:00:00.000Z,14864
2021-05-28T00:00:00.000Z,31220
2021-05-29T00:00:00.000Z,3287
2021-05-30T00:00:00.000Z,64757
2021-05-31T00:00:00.000Z,56989
2021-06-01T00:00:00.000Z,73825
2021-06-02T00:00:00.000Z,64526
2021-06-03T00:00:00.000Z,80042
2021-06-04T00:00:00.000Z,80487
2021-06-05T00:00:00.000Z,83196
2021-06-06T00:00:00.000Z,73699
2021-06-07T00:00:00.000Z,57603
2021-06-08T00:00:00.000Z,58476
2021-06-09T00:00:00.000Z,66459
2021-06-10T00:00:00.000Z,46926
2021-06-11T00:00:00.000Z,55922
2021-06-12T00:00:00.000Z,79621
2021-06-13T00:00:00.000Z,92216
2021-06-14T00:00:00.000Z,74515
2021-06-15T00:00:00.000Z,50046
2021-06-16T00:00:00.000Z,73546
2021-06-17T00:00:00.000Z,34068
2021-06-18T00:00:00.000Z,17915
2021-06-19T00:00:00.000Z,10494
2021-06-20T00:00:00.000Z,63431
2021-06-21T00:00:00.000Z,55782
2021-06-22T00:00:00.000Z,55100
2021-06-23T00:00:00.000Z,70247
2021-06-24T00:00:00.000Z,78720
2021-06-25T00:00:00.000Z,62961
2021-06-26T00:00:00.000Z,77716
2021-06-27T00:00:00.000Z,52470
2021-06-28T00:00:00.000Z,61263
2021-06-29T00:00:00.000Z,73675
2021-06-30T00:00:00.000Z,68036
2021-07-01T00:00:00.000Z,79154
2021-07-02T00:00:00.000Z,48628
2021-07-03T00:00:00.000Z,70577
2021-07-04T00:00:00.000Z,88452
2021-07-05T00:00:00.000Z,79808
2021-07-06T00:00:00.000Z,70688
2021-07-07T00:00:00.000Z,78911
2021-07-08T00:00:00.000Z,79085
2021-07-09T00:00:00.000Z,70814
2021-07-10T00:00:00.000Z,78826
2021-07-11T00:00:00.000Z,78557
2021-07-12T00:00:00.000Z,70469
2021-07-13T00:00:00.000Z,65588
2021-07-14T00:00:00.000Z,86735
2021-07-15T00:00:00.000Z,58847
2021-07-16T00:00:00.000Z,68479
2021-07-17T00:00:00.000Z,53200
2021-07-18T00:00:00.000Z,6263
2021-07-19T00:00:00.000Z,7182
2021-07-20T00:00:00.000Z,9635
2021-07-21T00:00:00.000Z,7952
2021-07-22T00:00:00.000Z,6879
2021-07-23T00:00:00.000Z,29053
2021-07-24T00:00:00.000Z,1208
2021-07-25T00:00:00.000Z,3127
2021-07-26T00:00:00.000Z,12531
2021-07-27T00:00:00.000Z,11580
2021-07-28T00:00:00.000Z,3231
2021-07-29T00:00:00.000Z,19284
2021-07-30T00:00:00.000Z,9649
2021-07-31T00:00:00.000Z,1871
2021-08-01T00:00:00.000Z,2583
2021-08-02T00:00:00.000Z,23856
2021-08-03T00:00:00.000Z,4736
2021-08-04T00:00:00.000Z,3602
2021-08-05T00:00:00.000Z,4966
2021-08-06T00:00:00.000Z,3649
2021-08-07T00:00:00.000Z,2006
2021-08-08T00:00:00.000Z,1931
2021-08-09T00:00:00.000Z,3511
2021-08-10T00:00:00.000Z,6440
2021-08-11T00:00:00.000Z,20069
2021-08-12T00:00:00.000Z,23805
2021-08-13T00:00:00.000Z,23050
2021-08-14T00:00:00.000Z,1591
2021-08-15T00:00:00.000Z,18183
2021-08-16T00:00:00.000Z,22073
2021-08-17T00:00:00.000Z,25824
2021-08-18T00:00:00.000Z,5837
2021-08-19T00:00:00.000Z,15399
2021-08-20T00:00:00.000Z,15250
2021-08-21T00:00:00.000Z,41660
2021-08-22T00:00:00.000Z,47163
2021-08-23T00:00:00.000Z,40215
2021-08-24T00:00:00.000Z,39771
2021-08-25T00:00:00.000Z,54227
2021-08-26T00:00:00.000Z,54757
2021-08-27T00:00:00.000Z,17075
2021-08-28T00:00:00.000Z,26352
2021-08-29T00:00:00.000Z,76902
2021-08-30T00:00:00.000Z,59582
2021-08-31T00:00:00.000Z,75995
2021-09-01T00:00:00.000Z,78258
2021-09-02T00:00:00.000Z,68275
2021-09-03T00:00:00.000Z,52091
2021-09-04T00:00:00.000Z,58463
2021-09-05T00:00:00.000Z,76597
2021-09-06T00:00:00.000Z,66766
2021-09-07T00:00:00.000Z,73721
2021-09-08T00:00:00.000Z,67741
2021-09-09T00:00:00.000Z,61141
2021-09-10T00:00:00.000Z,68589
2021-09-11T00:00:00.000Z,74375
2021-09-12T00:00:00.000Z,65225
2021-09-13T00:00:00.000Z,69264
2021-09-14T00:00:00.000Z,65656
2021-09-15T00:00:00.000Z,68753
2021-09-16T00:00:00.000Z,68791
2021-09-17T00:00:00.000Z,59695
2021-09-18T00:00:00.000Z,61070
2021-09-19T00:00:00.000Z,70575
2021-09-20T00:00:00.000Z,60280
2021-09-21T00:00:00.000Z,58759
2021-09-22T00:00:00.000Z,57779
2021-09-23T00:00:00.000Z,67579
2021-09-24T00:00:00.000Z,66285
2021-09-25T00:00:00.000Z,75095
2021-09-26T00:00:00.000Z,76616
2021-09-27T00:00:00.000Z,55044
2021-09-28T00:00:00.000Z,66743
2021-09-29T00:00:00.000Z,83721
2021-09-30T00:00:00.000Z,51848
