Time,Data receive rate for R04_n2,Data receive rate for R04_n2 v0,Data receive rate for R04_n2 v1,Data receive rate for R04_n2 v2,Data receive rate for R04_n2 v3,Data receive rate for R04_n2 v4,Data receive rate for R04_n2 v5,Data transmit rate for R04_n2,Data transmit rate for R04_n2 v0,Data transmit rate for R04_n2 v1,Data transmit rate for R04_n2 v2,Data transmit rate for R04_n2 v3,Data transmit rate for R04_n2 v4,Data transmit rate for R04_n2 v5,Usage for R04_n2,Usage for R04_n2 v0,Usage for R04_n2 v1,Usage for R04_n2 v2,Usage for R04_n2 v3,Usage for R04_n2 v4,Usage for R04_n2 v5
2021-04-14T00:00:00.000Z,6366,2288,2810,1263,0,0,2,4181,1277,2894,0,0,0,9,10548,3565,5705,1263,0,0,12
2021-04-15T00:00:00.000Z,7589,2739,3470,1368,0,7,2,5523,1597,3915,0,0,0,9,13113,4336,7386,1368,0,7,12
2021-04-16T00:00:00.000Z,5885,2018,2784,1078,0,0,2,25686,1415,24260,0,0,0,9,31572,3434,27045,1078,0,0,12
2021-04-17T00:00:00.000Z,2540,472,1830,232,0,0,2,6341,308,6022,0,0,0,9,8882,782,7853,232,0,1,12
2021-04-18T00:00:00.000Z,15508,575,14679,249,0,0,2,9737,299,9427,0,0,0,9,25246,874,24108,249,0,0,12
2021-04-19T00:00:00.000Z,7257,2391,3560,1301,0,0,2,3935,1321,2604,0,0,0,9,11193,3713,6165,1301,0,0,12
2021-04-20T00:00:00.000Z,6745,2719,2638,1382,0,0,2,3341,1322,2008,0,0,0,9,10086,4042,4647,1382,0,0,12
2021-04-21T00:00:00.000Z,6526,2357,2852,1271,0,0,43,3749,1346,2392,0,0,0,9,10276,3704,5246,1271,0,0,53
2021-04-22T00:00:00.000Z,7546,2870,2896,1775,0,0,2,3835,1348,2477,0,0,0,9,11382,4219,5374,1775,0,0,12
2021-04-23T00:00:00.000Z,11325,4689,2880,3728,0,0,25,3505,1168,2327,0,0,0,9,14832,5858,5208,3728,0,0,35
2021-04-24T00:00:00.000Z,2489,452,1796,236,0,0,2,1889,298,1580,0,0,0,9,4379,751,3377,236,0,0,12
2021-04-25T00:00:00.000Z,13498,547,12675,271,0,0,2,12215,318,11887,0,0,0,9,25715,867,24562,271,0,0,12
2021-04-26T00:00:00.000Z,7634,2499,3748,1366,0,0,19,4871,1468,3393,0,0,0,9,12506,3967,7142,1366,0,0,28
2021-04-27T00:00:00.000Z,7307,2585,3304,1409,0,2,3,14009,1547,12451,0,0,0,9,21317,4133,15756,1409,0,3,13
2021-04-28T00:00:00.000Z,7280,2484,3424,1366,0,0,2,7311,1457,5843,0,0,0,9,14591,3943,9268,1366,0,0,12
2021-04-29T00:00:00.000Z,8214,3276,3512,1421,0,0,2,6046,2124,3909,0,0,0,11,14261,5400,7421,1421,0,1,15
2021-04-30T00:00:00.000Z,8464,3294,3875,1290,0,0,2,8260,2229,6020,0,0,0,9,16725,5523,9896,1290,0,0,12
2021-05-01T00:00:00.000Z,4092,1068,2770,250,0,0,2,23885,675,23199,0,0,0,9,27977,1743,25970,250,0,0,12
2021-05-02T00:00:00.000Z,9099,1208,7652,235,0,0,2,5478,1197,4271,0,0,0,9,14578,2405,11923,235,0,0,12
2021-05-03T00:00:00.000Z,4095,1296,2467,327,0,0,3,2749,946,1792,0,0,0,9,6845,2243,4260,327,0,0,12
2021-05-04T00:00:00.000Z,9336,3463,4341,1527,0,0,2,6235,2295,3929,0,0,0,9,15572,5759,8271,1527,0,0,12
2021-05-05T00:00:00.000Z,9673,3852,4145,1670,0,0,2,8164,2653,5501,0,0,0,9,17838,6506,9647,1670,0,0,12
2021-05-06T00:00:00.000Z,8953,3839,3498,1609,0,2,2,6663,2673,3979,0,0,0,10,15616,6513,7478,1609,0,2,13
2021-05-07T00:00:00.000Z,8056,2892,3872,1278,0,0,12,5282,1963,3309,0,0,0,9,13339,4855,7182,1278,0,0,21
2021-05-08T00:00:00.000Z,2972,558,2168,214,0,0,30,2056,413,1632,0,0,0,9,5029,972,3800,214,0,0,40
2021-05-09T00:00:00.000Z,19191,595,18368,223,0,0,2,15404,385,15009,0,0,0,9,34596,981,33377,223,0,0,12
2021-05-10T00:00:00.000Z,8942,3269,4219,1449,0,0,2,6297,2127,4159,0,0,0,9,15240,5397,8378,1449,0,0,12
2021-05-11T00:00:00.000Z,8349,3401,3396,1547,0,0,2,4996,2016,2969,0,0,0,9,13346,5417,6366,1547,0,0,12
2021-05-12T00:00:00.000Z,6970,2684,3016,1245,0,2,20,4904,1799,3094,0,0,0,9,11875,4484,6110,1245,0,2,30
2021-05-13T00:00:00.000Z,7171,2858,3046,1262,0,0,2,4752,1886,2856,0,0,0,8,11923,4745,5902,1262,0,0,11
2021-05-14T00:00:00.000Z,11804,5201,2849,3749,0,0,2,3782,1628,2145,0,0,0,8,15587,6830,4994,3749,0,0,11
2021-05-15T00:00:00.000Z,3335,486,2662,181,0,0,2,3660,1432,2219,0,0,0,8,6996,1918,4882,181,0,0,11
2021-05-16T00:00:00.000Z,6116,819,5084,208,0,0,2,4456,516,3931,0,0,0,9,10573,1335,9015,208,0,0,11
2021-05-17T00:00:00.000Z,8412,2963,4148,1296,0,0,2,6045,2010,4026,0,0,0,8,14458,4974,8174,1296,0,0,11
2021-05-18T00:00:00.000Z,6838,2811,2734,1275,0,0,15,4654,1917,2727,0,0,0,8,11493,4729,5462,1275,0,0,24
2021-05-19T00:00:00.000Z,7005,2652,3082,1266,0,0,2,4621,1800,2811,0,0,0,8,11626,4452,5894,1266,0,0,11
2021-05-20T00:00:00.000Z,6840,2801,2841,1193,0,0,2,4735,1889,2837,0,0,0,8,11577,4690,5679,1193,0,0,11
2021-05-21T00:00:00.000Z,5960,2293,2651,1011,0,0,2,4141,1589,2542,0,0,0,8,10102,3883,5194,1011,0,0,11
2021-05-22T00:00:00.000Z,2834,512,2136,181,0,0,2,2228,394,1823,0,0,0,8,5062,907,3960,181,0,0,11
2021-05-23T00:00:00.000Z,7555,508,6829,194,0,0,21,3770,353,3407,0,0,0,8,11325,861,10237,194,0,0,30
2021-05-24T00:00:00.000Z,7939,2799,3841,1293,0,0,2,5601,1849,3742,0,0,0,8,13540,4649,7584,1293,0,0,11
2021-05-25T00:00:00.000Z,11394,2635,7503,1218,0,0,35,9998,1740,8248,0,0,0,9,21392,4375,15751,1218,0,0,45
2021-05-26T00:00:00.000Z,6893,2846,2793,1249,0,0,2,7569,1922,5637,0,0,0,8,14462,4768,8431,1249,0,0,11
2021-05-27T00:00:00.000Z,7476,2896,3239,1336,0,0,2,4909,1898,3001,0,0,0,8,12385,4795,6241,1336,0,0,11
2021-05-28T00:00:00.000Z,7536,2654,3708,1169,0,0,2,5364,2026,3328,0,0,0,8,12900,4681,7037,1169,0,0,11
