Time,Read rate for S_n1,Write rate for S_n1,Usage for S_n1
2022-03-14T12:00:00.000Z,1787,6382,8170
2022-03-14T14:00:00.000Z,47102,46453,93556
2022-03-14T16:00:00.000Z,9680,4340,14021
2022-03-14T18:00:00.000Z,21589,6192,27782
2022-03-14T20:00:00.000Z,34812,14005,48818
2022-03-14T22:00:00.000Z,24667,7539,32207
2022-03-15T00:00:00.000Z,96275,5235,101510
2022-03-15T02:00:00.000Z,10855,4089,14945
2022-03-15T04:00:00.000Z,1358,5403,6761
2022-03-15T06:00:00.000Z,2226,5989,8216
2022-03-15T08:00:00.000Z,1008,4485,5494
2022-03-15T10:00:00.000Z,1295,4899,6195
2022-03-15T12:00:00.000Z,1667,6503,8171
2022-03-15T14:00:00.000Z,15275,5677,20953
2022-03-15T16:00:00.000Z,2619,5813,8433
2022-03-15T18:00:00.000Z,17282,6166,23449
2022-03-15T20:00:00.000Z,33168,14928,48096
2022-03-15T22:00:00.000Z,19170,8027,27198
2022-03-16T00:00:00.000Z,28114,7421,35536
2022-03-16T02:00:00.000Z,3801,3659,7461
2022-03-16T04:00:00.000Z,3501,7321,10823
2022-03-16T06:00:00.000Z,4162,4666,8828
2022-03-16T08:00:00.000Z,7968,5788,13757
2022-03-16T10:00:00.000Z,4698,6040,10739
2022-03-16T12:00:00.000Z,1992,6622,8615
2022-03-16T14:00:00.000Z,5249,5698,10948
2022-03-16T16:00:00.000Z,13351,4518,17870
2022-03-16T18:00:00.000Z,18797,5976,24774
2022-03-16T20:00:00.000Z,35752,15210,50963
2022-03-16T22:00:00.000Z,15220,7782,23002
2022-03-17T00:00:00.000Z,8244,5327,13571
2022-03-17T02:00:00.000Z,3185,4220,7405
2022-03-17T04:00:00.000Z,2642,4148,6791
2022-03-17T06:00:00.000Z,5015,6210,11225
2022-03-17T08:00:00.000Z,11153,10467,21621
2022-03-17T10:00:00.000Z,2965,5838,8804
2022-03-17T12:00:00.000Z,1465,6276,7741
2022-03-17T14:00:00.000Z,22607,21745,44353
2022-03-17T16:00:00.000Z,22105,5464,27570
2022-03-17T18:00:00.000Z,18281,6175,24457
2022-03-17T20:00:00.000Z,32983,14056,47040
2022-03-17T22:00:00.000Z,16542,6421,22964
2022-03-18T00:00:00.000Z,25239,6460,31700
2022-03-18T02:00:00.000Z,6759,4665,11425
2022-03-18T04:00:00.000Z,2476,6194,8671
2022-03-18T06:00:00.000Z,4614,6333,10949
2022-03-18T08:00:00.000Z,1473,5487,6961
2022-03-18T10:00:00.000Z,1464,6410,7875
2022-03-18T12:00:00.000Z,1432,6370,7804
2022-03-18T14:00:00.000Z,11907,5224,17131
2022-03-18T16:00:00.000Z,17384,9001,26385
2022-03-18T18:00:00.000Z,17546,5272,22820
2022-03-18T20:00:00.000Z,32991,13375,46368
2022-03-18T22:00:00.000Z,27506,7230,34736
2022-03-19T00:00:00.000Z,13975,5232,19207
2022-03-19T02:00:00.000Z,4014,3558,7573
2022-03-19T04:00:00.000Z,776,4169,4945
2022-03-19T06:00:00.000Z,1110,3194,4304
2022-03-19T08:00:00.000Z,717,3244,3962
2022-03-19T10:00:00.000Z,838,3890,4729
2022-03-19T12:00:00.000Z,1003,3379,4383
2022-03-19T14:00:00.000Z,9387,4645,14032
2022-03-19T16:00:00.000Z,773,3347,4121
2022-03-19T18:00:00.000Z,4206,3127,7333
2022-03-19T20:00:00.000Z,35011,12819,47830
2022-03-19T22:00:00.000Z,8938,5748,14687
2022-03-20T00:00:00.000Z,21975,4969,26945
2022-03-20T02:00:00.000Z,6193,9492,15685
2022-03-20T04:00:00.000Z,13780,8779,22560
2022-03-20T06:00:00.000Z,954,3081,4035
2022-03-20T08:00:00.000Z,2489,3098,5588
2022-03-20T10:00:00.000Z,1338,3466,4804
2022-03-20T12:00:00.000Z,702,3347,4050
2022-03-20T14:00:00.000Z,18687,4237,22926
2022-03-20T16:00:00.000Z,1397,4325,5723
2022-03-20T18:00:00.000Z,18182,5469,23651
2022-03-20T20:00:00.000Z,8243,7911,16155
2022-03-20T22:00:00.000Z,14879,7220,22099
2022-03-21T00:00:00.000Z,15335,6587,21923
2022-03-21T02:00:00.000Z,2987,4380,7368
2022-03-21T04:00:00.000Z,1787,5505,7293
2022-03-21T06:00:00.000Z,2990,6009,9000
2022-03-21T08:00:00.000Z,3747,4878,8625
2022-03-21T10:00:00.000Z,1996,5367,7365
2022-03-21T12:00:00.000Z,3177,6215,9393
2022-03-21T14:00:00.000Z,14237,5075,19312
2022-03-21T16:00:00.000Z,1230,4826,6057
2022-03-21T18:00:00.000Z,20055,6276,26332
2022-03-21T20:00:00.000Z,11672,9418,21090
2022-03-21T22:00:00.000Z,20833,6530,27363
2022-03-22T00:00:00.000Z,12634,5333,17968
2022-03-22T02:00:00.000Z,1223,4186,5410
2022-03-22T04:00:00.000Z,1648,5254,6903
2022-03-22T06:00:00.000Z,9782,6187,15970
2022-03-22T08:00:00.000Z,16054,4662,20717
2022-03-22T10:00:00.000Z,1406,5460,6867
2022-03-22T12:00:00.000Z,2224,6706,8931
2022-03-22T14:00:00.000Z,15123,6724,21848
2022-03-22T16:00:00.000Z,1107,4348,5456
2022-03-22T18:00:00.000Z,16231,5999,22231
2022-03-22T20:00:00.000Z,27561,12446,40008
2022-03-22T22:00:00.000Z,33094,10653,43748
2022-03-23T00:00:00.000Z,21984,7993,29979
2022-03-23T02:00:00.000Z,7160,3892,11052
2022-03-23T04:00:00.000Z,3149,5566,8715
2022-03-23T06:00:00.000Z,7506,12060,19567
2022-03-23T08:00:00.000Z,4791,7859,12650
2022-03-23T10:00:00.000Z,3257,5891,9149
2022-03-23T12:00:00.000Z,1074,5548,6623
2022-03-23T14:00:00.000Z,15257,5215,20473
2022-03-23T16:00:00.000Z,6131,5960,12092
2022-03-23T18:00:00.000Z,17564,7168,24733
2022-03-23T20:00:00.000Z,21764,10417,32181
2022-03-23T22:00:00.000Z,51090,11279,62369
2022-03-24T00:00:00.000Z,24835,6308,31144
2022-03-24T02:00:00.000Z,8190,3333,11525
2022-03-24T04:00:00.000Z,884,4264,5148
2022-03-24T06:00:00.000Z,15543,9213,24756
2022-03-24T08:00:00.000Z,5025,4251,9278
2022-03-24T10:00:00.000Z,1474,4976,6451
2022-03-24T12:00:00.000Z,1037,4069,5106
2022-03-24T14:00:00.000Z,7696,5343,13039
2022-03-24T16:00:00.000Z,3166,5118,8284
2022-03-24T18:00:00.000Z,18753,6669,25422
2022-03-24T20:00:00.000Z,3313,8634,11948
2022-03-24T22:00:00.000Z,13365,6529,19894
2022-03-25T00:00:00.000Z,6477,5359,11837
2022-03-25T02:00:00.000Z,2781,3636,6417
2022-03-25T04:00:00.000Z,1128,3928,5056
2022-03-25T06:00:00.000Z,690,4829,5520
2022-03-25T08:00:00.000Z,1287,4904,6191
2022-03-25T10:00:00.000Z,1583,4660,6244
2022-03-25T12:00:00.000Z,6954,4176,11131
2022-03-25T14:00:00.000Z,8903,14893,23796
2022-03-25T16:00:00.000Z,15983,10206,26190
2022-03-25T18:00:00.000Z,17649,82225,99874
2022-03-25T20:00:00.000Z,5691,7461,13153
2022-03-25T22:00:00.000Z,2477,16202,18679
2022-03-26T00:00:00.000Z,10433,4891,15325
2022-03-26T02:00:00.000Z,5040,3336,8376
2022-03-26T04:00:00.000Z,1504,2990,4496
2022-03-26T06:00:00.000Z,636,3892,4529
2022-03-26T08:00:00.000Z,711,3258,3970
2022-03-26T10:00:00.000Z,689,3182,3872
2022-03-26T12:00:00.000Z,507,3056,3564
2022-03-26T14:00:00.000Z,1674,3600,5275
2022-03-26T16:00:00.000Z,585,2794,3381
2022-03-26T18:00:00.000Z,4184,3818,8003
2022-03-26T20:00:00.000Z,2126,3366,5492
2022-03-26T22:00:00.000Z,7649,5178,12828
2022-03-27T00:00:00.000Z,4300,4365,8665
2022-03-27T02:00:00.000Z,1045,3631,4676
2022-03-27T04:00:00.000Z,11129,5096,16225
2022-03-27T06:00:00.000Z,1142,3807,4950
2022-03-27T08:00:00.000Z,2567,3203,5771
2022-03-27T10:00:00.000Z,686,3061,3748
2022-03-27T12:00:00.000Z,605,3059,3665
2022-03-27T14:00:00.000Z,2123,3684,5808
2022-03-27T16:00:00.000Z,13759,5521,19281
2022-03-27T18:00:00.000Z,5109,3137,8247
2022-03-27T20:00:00.000Z,2619,3569,6189
2022-03-27T22:00:00.000Z,13351,6061,19412
2022-03-28T00:00:00.000Z,9210,38787,47997
2022-03-28T02:00:00.000Z,1425,3182,4607
2022-03-28T04:00:00.000Z,2158,5586,7745
2022-03-28T06:00:00.000Z,825,3762,4588
2022-03-28T08:00:00.000Z,1054,4010,5065
2022-03-28T10:00:00.000Z,1021,4056,5077
2022-03-28T12:00:00.000Z,2139,6293,8433
2022-03-28T14:00:00.000Z,36205,3824,40029
2022-03-28T16:00:00.000Z,13585,5038,18624
2022-03-28T18:00:00.000Z,6727,3627,10355
2022-03-28T20:00:00.000Z,3997,4772,8770
2022-03-28T22:00:00.000Z,20744,6111,26855
2022-03-29T00:00:00.000Z,4502,3144,7647
2022-03-29T02:00:00.000Z,669,3427,4096
2022-03-29T04:00:00.000Z,1283,4261,5543
2022-03-29T06:00:00.000Z,1924,4255,6180
2022-03-29T08:00:00.000Z,863,3329,4193
2022-03-29T10:00:00.000Z,1152,3685,4838
2022-03-29T12:00:00.000Z,1051,3725,4778
2022-03-29T14:00:00.000Z,5370,5148,10519
2022-03-29T16:00:00.000Z,13431,4912,18344
2022-03-29T18:00:00.000Z,2863,4067,6931
2022-03-29T20:00:00.000Z,3389,4021,7411
2022-03-29T22:00:00.000Z,26195,5714,31910
2022-03-30T00:00:00.000Z,5276,3817,9093
2022-03-30T02:00:00.000Z,529,2981,3510
2022-03-30T04:00:00.000Z,1743,4940,6684
2022-03-30T06:00:00.000Z,699,3285,3984
2022-03-30T08:00:00.000Z,1107,3696,4804
2022-03-30T10:00:00.000Z,940,3963,4904
2022-03-30T12:00:00.000Z,950,3865,4816
2022-03-30T14:00:00.000Z,2142,4183,6326
2022-03-30T16:00:00.000Z,13955,6146,20101
2022-03-30T18:00:00.000Z,4219,3352,7571
2022-03-30T20:00:00.000Z,3388,4674,8063
2022-03-30T22:00:00.000Z,18190,6350,24541
2022-03-31T00:00:00.000Z,4315,3441,7756
2022-03-31T02:00:00.000Z,803,3073,3876
2022-03-31T04:00:00.000Z,944,4085,5030
2022-03-31T06:00:00.000Z,1125,4381,5507
2022-03-31T08:00:00.000Z,1919,3982,5902
2022-03-31T10:00:00.000Z,919,3668,4588
2022-03-31T12:00:00.000Z,1373,3688,5062
2022-03-31T14:00:00.000Z,1807,4649,6457
2022-03-31T16:00:00.000Z,13384,5176,18561
2022-03-31T18:00:00.000Z,3120,5262,8383
2022-03-31T20:00:00.000Z,3403,4614,8018
2022-03-31T22:00:00.000Z,17766,5841,23608
2022-04-01T00:00:00.000Z,3819,3733,7552
2022-04-01T02:00:00.000Z,1204,3303,4508
2022-04-01T04:00:00.000Z,1501,5022,6524
