Time,Usage in MHz for V02,Usage for V02,
2021-04-14T00:00:00.000Z,35163,19,53
2021-04-15T00:00:00.000Z,36231,20,12
2021-04-16T00:00:00.000Z,34145,18,96
2021-04-17T00:00:00.000Z,35120,19,51
2021-04-18T00:00:00.000Z,31244,17,35
2021-04-19T00:00:00.000Z,36146,20,8
2021-04-20T00:00:00.000Z,38109,21,17
2021-04-21T00:00:00.000Z,37854,21,3
2021-04-22T00:00:00.000Z,37541,20,85
2021-04-23T00:00:00.000Z,36173,20,9
2021-04-24T00:00:00.000Z,33858,18,81
2021-04-25T00:00:00.000Z,29615,16,45
2021-04-26T00:00:00.000Z,34064,18,92
2021-04-27T00:00:00.000Z,36473,20,26
2021-04-28T00:00:00.000Z,38099,21,16
2021-04-29T00:00:00.000Z,40631,22,57
2021-04-30T00:00:00.000Z,35016,19,45
2021-05-01T00:00:00.000Z,31620,17,56
2021-05-02T00:00:00.000Z,28272,15,7
2021-05-03T00:00:00.000Z,29494,16,38
2021-05-04T00:00:00.000Z,34768,19,31
2021-05-05T00:00:00.000Z,35973,19,98
2021-05-06T00:00:00.000Z,37009,20,56
2021-05-07T00:00:00.000Z,33740,18,74
2021-05-08T00:00:00.000Z,29632,16,46
2021-05-09T00:00:00.000Z,27741,15,41
2021-05-10T00:00:00.000Z,35466,19,7
2021-05-11T00:00:00.000Z,33387,18,54
2021-05-12T00:00:00.000Z,35016,19,45
2021-05-13T00:00:00.000Z,34284,19,4
2021-05-14T00:00:00.000Z,36560,20,31
2021-05-15T00:00:00.000Z,,,
2021-05-16T00:00:00.000Z,,,
2021-05-17T00:00:00.000Z,43814,24,34
2021-05-18T00:00:00.000Z,52668,29,26
2021-05-19T00:00:00.000Z,47412,26,34
2021-05-20T00:00:00.000Z,37529,20,84
2021-05-21T00:00:00.000Z,35235,19,57
2021-05-22T00:00:00.000Z,31919,17,73
2021-05-23T00:00:00.000Z,27681,15,37
2021-05-24T00:00:00.000Z,35521,19,73
2021-05-25T00:00:00.000Z,36138,20,7
2021-05-26T00:00:00.000Z,35285,19,6
2021-05-27T00:00:00.000Z,35664,19,81
2021-05-28T00:00:00.000Z,37118,20,62
2021-05-29T00:00:00.000Z,30248,16,8
2021-05-30T00:00:00.000Z,26917,14,95
2021-05-31T00:00:00.000Z,38250,21,25
2021-06-01T00:00:00.000Z,36888,20,49
2021-06-02T00:00:00.000Z,36651,20,36
2021-06-03T00:00:00.000Z,30539,16,96
2021-06-04T00:00:00.000Z,32165,17,86
2021-06-05T00:00:00.000Z,29765,16,53
2021-06-06T00:00:00.000Z,28461,15,81
2021-06-07T00:00:00.000Z,35451,19,69
2021-06-08T00:00:00.000Z,35608,19,78
2021-06-09T00:00:00.000Z,33570,18,65
2021-06-10T00:00:00.000Z,33294,18,49
2021-06-11T00:00:00.000Z,33650,18,69
2021-06-12T00:00:00.000Z,26579,14,76
2021-06-13T00:00:00.000Z,24663,13,7
2021-06-14T00:00:00.000Z,33095,18,38
2021-06-15T00:00:00.000Z,34276,19,4
2021-06-16T00:00:00.000Z,34459,19,14
2021-06-17T00:00:00.000Z,34042,18,91
2021-06-18T00:00:00.000Z,35879,19,93
2021-06-19T00:00:00.000Z,29791,16,55
2021-06-20T00:00:00.000Z,28319,15,73
2021-06-21T00:00:00.000Z,34046,18,91
2021-06-22T00:00:00.000Z,34104,18,94
2021-06-23T00:00:00.000Z,34410,19,11
2021-06-24T00:00:00.000Z,33711,18,72
2021-06-25T00:00:00.000Z,35047,19,47
2021-06-26T00:00:00.000Z,30117,16,73
2021-06-27T00:00:00.000Z,27434,15,24
2021-06-28T00:00:00.000Z,33337,18,52
2021-06-29T00:00:00.000Z,32652,18,14
2021-06-30T00:00:00.000Z,34045,18,91
2021-07-01T00:00:00.000Z,33573,18,65
2021-07-02T00:00:00.000Z,35396,19,66
2021-07-03T00:00:00.000Z,28452,15,8
2021-07-04T00:00:00.000Z,26444,14,69
2021-07-05T00:00:00.000Z,33352,18,52
2021-07-06T00:00:00.000Z,35440,19,68
2021-07-07T00:00:00.000Z,33704,18,72
2021-07-08T00:00:00.000Z,32765,18,2
2021-07-09T00:00:00.000Z,33834,18,79
2021-07-10T00:00:00.000Z,29464,16,36
2021-07-11T00:00:00.000Z,28026,15,57
2021-07-12T00:00:00.000Z,34360,19,8
2021-07-13T00:00:00.000Z,34338,19,7
2021-07-14T00:00:00.000Z,36356,20,19
2021-07-15T00:00:00.000Z,42032,23,35
2021-07-16T00:00:00.000Z,40650,22,58
2021-07-17T00:00:00.000Z,39843,22,13
2021-07-18T00:00:00.000Z,32596,18,1
2021-07-19T00:00:00.000Z,36904,20,5
2021-07-20T00:00:00.000Z,43300,24,5
2021-07-21T00:00:00.000Z,33264,18,48
2021-07-22T00:00:00.000Z,35958,19,97
2021-07-23T00:00:00.000Z,35194,19,55
2021-07-24T00:00:00.000Z,28674,15,93
2021-07-25T00:00:00.000Z,33798,18,77
2021-07-26T00:00:00.000Z,33133,18,4
2021-07-27T00:00:00.000Z,34399,19,11
2021-07-28T00:00:00.000Z,34826,19,34
2021-07-29T00:00:00.000Z,34188,18,99
2021-07-30T00:00:00.000Z,35189,19,54
2021-07-31T00:00:00.000Z,32676,18,15
2021-08-01T00:00:00.000Z,30551,16,97
2021-08-02T00:00:00.000Z,35719,19,84
2021-08-03T00:00:00.000Z,36086,20,4
2021-08-04T00:00:00.000Z,37121,20,62
2021-08-05T00:00:00.000Z,37182,20,65
2021-08-06T00:00:00.000Z,38823,21,56
2021-08-07T00:00:00.000Z,32176,17,87
2021-08-08T00:00:00.000Z,31809,17,67
2021-08-09T00:00:00.000Z,36731,20,4
2021-08-10T00:00:00.000Z,36872,20,48
2021-08-11T00:00:00.000Z,36305,20,16
2021-08-12T00:00:00.000Z,35929,19,96
2021-08-13T00:00:00.000Z,38792,21,55
2021-08-14T00:00:00.000Z,33273,18,48
2021-08-15T00:00:00.000Z,30857,17,14
2021-08-16T00:00:00.000Z,35307,19,61
2021-08-17T00:00:00.000Z,36511,20,28
2021-08-18T00:00:00.000Z,36036,20,2
2021-08-19T00:00:00.000Z,35894,19,94
2021-08-20T00:00:00.000Z,38330,21,29
2021-08-21T00:00:00.000Z,34773,19,31
2021-08-22T00:00:00.000Z,31978,17,76
2021-08-23T00:00:00.000Z,39066,21,7
2021-08-24T00:00:00.000Z,36221,20,12
2021-08-25T00:00:00.000Z,37373,20,76
2021-08-26T00:00:00.000Z,35325,19,62
2021-08-27T00:00:00.000Z,36580,20,32
2021-08-28T00:00:00.000Z,31374,17,43
2021-08-29T00:00:00.000Z,28603,15,89
2021-08-30T00:00:00.000Z,34892,19,38
2021-08-31T00:00:00.000Z,34930,19,4
2021-09-01T00:00:00.000Z,39958,22,19
2021-09-02T00:00:00.000Z,40638,22,57
2021-09-03T00:00:00.000Z,39224,21,79
2021-09-04T00:00:00.000Z,34769,19,31
2021-09-05T00:00:00.000Z,31842,17,69
2021-09-06T00:00:00.000Z,38754,21,53
2021-09-07T00:00:00.000Z,39945,22,19
2021-09-08T00:00:00.000Z,41417,23,
2021-09-09T00:00:00.000Z,40597,22,55
2021-09-10T00:00:00.000Z,40337,22,4
2021-09-11T00:00:00.000Z,34987,19,43
2021-09-12T00:00:00.000Z,31104,17,28
2021-09-13T00:00:00.000Z,36938,20,52
2021-09-14T00:00:00.000Z,36776,20,43
2021-09-15T00:00:00.000Z,37527,20,84
2021-09-16T00:00:00.000Z,38617,21,45
2021-09-17T00:00:00.000Z,37468,20,81
2021-09-18T00:00:00.000Z,31664,17,59
2021-09-19T00:00:00.000Z,28214,15,67
2021-09-20T00:00:00.000Z,36478,20,26
2021-09-21T00:00:00.000Z,37769,20,98
2021-09-22T00:00:00.000Z,41962,23,31
2021-09-23T00:00:00.000Z,36918,20,51
2021-09-24T00:00:00.000Z,40827,22,68
2021-09-25T00:00:00.000Z,33579,18,65
2021-09-26T00:00:00.000Z,33723,18,73
2021-09-27T00:00:00.000Z,40303,22,39
2021-09-28T00:00:00.000Z,40674,22,59
2021-09-29T00:00:00.000Z,42771,23,76
2021-09-30T00:00:00.000Z,53041,29,46
2021-10-01T00:00:00.000Z,39042,21,69
2021-10-02T00:00:00.000Z,41479,23,4
2021-10-03T00:00:00.000Z,39794,22,1
2021-10-04T00:00:00.000Z,50159,27,86
2021-10-05T00:00:00.000Z,45752,25,41
2021-10-06T00:00:00.000Z,39355,21,86
2021-10-07T00:00:00.000Z,37981,21,1
2021-10-08T00:00:00.000Z,42839,23,79
2021-10-09T00:00:00.000Z,35499,19,72
2021-10-10T00:00:00.000Z,32435,18,1
2021-10-11T00:00:00.000Z,44190,24,55
2021-10-12T00:00:00.000Z,49323,27,4
2021-10-13T00:00:00.000Z,53974,29,98
2021-10-14T00:00:00.000Z,44857,24,92
2021-10-15T00:00:00.000Z,43768,24,31
2021-10-16T00:00:00.000Z,46700,25,94
2021-10-17T00:00:00.000Z,44703,24,83
2021-10-18T00:00:00.000Z,40472,22,48
2021-10-19T00:00:00.000Z,40589,22,54
2021-10-20T00:00:00.000Z,42811,23,78
2021-10-21T00:00:00.000Z,42540,23,63
2021-10-22T00:00:00.000Z,43121,23,95
