Time,Data receive rate for V03_n1,Data receive rate for V03_n1 v0,Data receive rate for V03_n1 v1,Data receive rate for V03_n1 v2,Data receive rate for V03_n1 v3,Data receive rate for V03_n1 v4,Data receive rate for V03_n1 v5,Data transmit rate for V03_n1,Data transmit rate for V03_n1 v0,Data transmit rate for V03_n1 v1,Data transmit rate for V03_n1 v2,Data transmit rate for V03_n1 v3,Data transmit rate for V03_n1 v4,Data transmit rate for V03_n1 v5,Usage for V03_n1,Usage for V03_n1 v0,Usage for V03_n1 v1,Usage for V03_n1 v2,Usage for V03_n1 v2,Usage for V03_n1 v4,Usage for V03_n1 v5
2021-04-14T00:00:00.000Z,2738,669,2065,0,0,0,2,2731,772,1949,0,0,0,9,5469,1441,4014,0,0,0,12
2021-04-15T00:00:00.000Z,2823,658,2160,0,0,0,2,3375,775,2589,0,0,0,10,6198,1434,4750,0,0,0,13
2021-04-16T00:00:00.000Z,3030,684,2340,1,0,0,2,2916,803,2102,0,0,0,9,5946,1488,4443,1,0,0,12
2021-04-17T00:00:00.000Z,1855,165,1682,4,0,0,2,3763,235,3516,0,0,0,9,5617,401,5199,4,0,0,12
2021-04-18T00:00:00.000Z,1075,120,949,1,0,0,2,33862,210,33641,0,0,0,10,34938,331,34591,1,0,0,13
2021-04-19T00:00:00.000Z,1962,754,1204,0,0,0,2,2645,876,1759,0,0,0,9,4608,1630,2964,0,0,0,12
2021-04-20T00:00:00.000Z,3120,745,2371,0,0,0,2,3940,1181,2749,0,0,0,9,7061,1926,5121,0,0,0,12
2021-04-21T00:00:00.000Z,3084,752,2328,0,0,0,2,2737,843,1884,0,0,0,9,5822,1595,4212,0,0,0,12
2021-04-22T00:00:00.000Z,3038,825,2209,0,0,0,2,3989,896,3082,0,0,0,9,7028,1721,5292,0,0,0,13
2021-04-23T00:00:00.000Z,2907,786,2116,0,0,1,2,6771,3746,3014,0,0,0,9,9679,4533,5131,0,0,1,12
2021-04-24T00:00:00.000Z,1844,198,1640,1,0,0,2,2922,252,2658,0,0,0,10,4766,451,4300,1,0,0,13
