Time,Usage for DM_n1
2021-04-14T00:00:00.000Z,1323
2021-04-15T00:00:00.000Z,1677
2021-04-16T00:00:00.000Z,4449
2021-04-17T00:00:00.000Z,3041
2021-04-18T00:00:00.000Z,3013
2021-04-19T00:00:00.000Z,3523
2021-04-20T00:00:00.000Z,3750
2021-04-21T00:00:00.000Z,3888
2021-04-22T00:00:00.000Z,4618
2021-04-23T00:00:00.000Z,1454
2021-04-24T00:00:00.000Z,920
2021-04-25T00:00:00.000Z,783
2021-04-26T00:00:00.000Z,1425
2021-04-27T00:00:00.000Z,1430
2021-04-28T00:00:00.000Z,1772
2021-04-29T00:00:00.000Z,1300
2021-04-30T00:00:00.000Z,2078
2021-05-01T00:00:00.000Z,973
2021-05-02T00:00:00.000Z,904
2021-05-03T00:00:00.000Z,788
2021-05-04T00:00:00.000Z,1530
2021-05-05T00:00:00.000Z,2049
2021-05-06T00:00:00.000Z,1528
2021-05-07T00:00:00.000Z,1700
2021-05-08T00:00:00.000Z,2770
2021-05-09T00:00:00.000Z,829
2021-05-10T00:00:00.000Z,2300
2021-05-11T00:00:00.000Z,1416
2021-05-12T00:00:00.000Z,1130
2021-05-13T00:00:00.000Z,1482
2021-05-14T00:00:00.000Z,1556
2021-05-15T00:00:00.000Z,838
2021-05-16T00:00:00.000Z,729
2021-05-17T00:00:00.000Z,1482
2021-05-18T00:00:00.000Z,1740
2021-05-19T00:00:00.000Z,1288
2021-05-20T00:00:00.000Z,1530
2021-05-21T00:00:00.000Z,1834
2021-05-22T00:00:00.000Z,853
2021-05-23T00:00:00.000Z,1359
2021-05-24T00:00:00.000Z,4570
2021-05-25T00:00:00.000Z,1434
2021-05-26T00:00:00.000Z,1799
2021-05-27T00:00:00.000Z,1128
2021-05-28T00:00:00.000Z,1675
2021-05-29T00:00:00.000Z,1319
2021-05-30T00:00:00.000Z,1203
2021-05-31T00:00:00.000Z,1619
2021-06-01T00:00:00.000Z,1634
2021-06-02T00:00:00.000Z,1238
2021-06-03T00:00:00.000Z,1064
2021-06-04T00:00:00.000Z,1175
2021-06-05T00:00:00.000Z,1150
2021-06-06T00:00:00.000Z,979
2021-06-07T00:00:00.000Z,1885
2021-06-08T00:00:00.000Z,1126
2021-06-09T00:00:00.000Z,3144
2021-06-10T00:00:00.000Z,1254
2021-06-11T00:00:00.000Z,1145
2021-06-12T00:00:00.000Z,925
2021-06-13T00:00:00.000Z,952
2021-06-14T00:00:00.000Z,1361
2021-06-15T00:00:00.000Z,1591
2021-06-16T00:00:00.000Z,1892
2021-06-17T00:00:00.000Z,1725
2021-06-18T00:00:00.000Z,1135
2021-06-19T00:00:00.000Z,913
2021-06-20T00:00:00.000Z,949
2021-06-21T00:00:00.000Z,1285
2021-06-22T00:00:00.000Z,1661
2021-06-23T00:00:00.000Z,1700
2021-06-24T00:00:00.000Z,1337
2021-06-25T00:00:00.000Z,1471
2021-06-26T00:00:00.000Z,1145
2021-06-27T00:00:00.000Z,1122
2021-06-28T00:00:00.000Z,1574
2021-06-29T00:00:00.000Z,1521
2021-06-30T00:00:00.000Z,1446
2021-07-01T00:00:00.000Z,1596
2021-07-02T00:00:00.000Z,2133
2021-07-03T00:00:00.000Z,1241
2021-07-04T00:00:00.000Z,1148
2021-07-05T00:00:00.000Z,1125
2021-07-06T00:00:00.000Z,1176
2021-07-07T00:00:00.000Z,1450
2021-07-08T00:00:00.000Z,3516
2021-07-09T00:00:00.000Z,1418
2021-07-10T00:00:00.000Z,3098
2021-07-11T00:00:00.000Z,1300
2021-07-12T00:00:00.000Z,1820
2021-07-13T00:00:00.000Z,2797
2021-07-14T00:00:00.000Z,2099
2021-07-15T00:00:00.000Z,3123
2021-07-16T00:00:00.000Z,2599
2021-07-17T00:00:00.000Z,2562
2021-07-18T00:00:00.000Z,1268
2021-07-19T00:00:00.000Z,1671
2021-07-20T00:00:00.000Z,1629
2021-07-21T00:00:00.000Z,1137
2021-07-22T00:00:00.000Z,1192
2021-07-23T00:00:00.000Z,1767
2021-07-24T00:00:00.000Z,907
2021-07-25T00:00:00.000Z,1758
2021-07-26T00:00:00.000Z,2361
2021-07-27T00:00:00.000Z,2499
2021-07-28T00:00:00.000Z,1991
2021-07-29T00:00:00.000Z,2868
2021-07-30T00:00:00.000Z,2290
2021-07-31T00:00:00.000Z,1222
2021-08-01T00:00:00.000Z,1235
2021-08-02T00:00:00.000Z,4074
2021-08-03T00:00:00.000Z,2330
2021-08-04T00:00:00.000Z,2047
2021-08-05T00:00:00.000Z,3466
2021-08-06T00:00:00.000Z,4034
2021-08-07T00:00:00.000Z,1802
2021-08-08T00:00:00.000Z,2034
2021-08-09T00:00:00.000Z,3123
2021-08-10T00:00:00.000Z,3059
2021-08-11T00:00:00.000Z,3757
2021-08-12T00:00:00.000Z,1727
2021-08-13T00:00:00.000Z,2016
2021-08-14T00:00:00.000Z,1314
2021-08-15T00:00:00.000Z,1230
2021-08-16T00:00:00.000Z,2191
2021-08-17T00:00:00.000Z,1965
2021-08-18T00:00:00.000Z,2019
2021-08-19T00:00:00.000Z,2039
2021-08-20T00:00:00.000Z,1941
2021-08-21T00:00:00.000Z,1490
2021-08-22T00:00:00.000Z,1204
2021-08-23T00:00:00.000Z,1885
2021-08-24T00:00:00.000Z,1927
2021-08-25T00:00:00.000Z,1832
2021-08-26T00:00:00.000Z,1782
2021-08-27T00:00:00.000Z,1758
2021-08-28T00:00:00.000Z,1170
2021-08-29T00:00:00.000Z,1306
2021-08-30T00:00:00.000Z,1716
2021-08-31T00:00:00.000Z,1776
2021-09-01T00:00:00.000Z,1832
2021-09-02T00:00:00.000Z,2304
2021-09-03T00:00:00.000Z,106
2021-09-04T00:00:00.000Z,102
2021-09-05T00:00:00.000Z,102
2021-09-06T00:00:00.000Z,104
2021-09-07T00:00:00.000Z,103
2021-09-08T00:00:00.000Z,102
2021-09-09T00:00:00.000Z,102
2021-09-10T00:00:00.000Z,102
2021-09-11T00:00:00.000Z,103
2021-09-12T00:00:00.000Z,102
2021-09-13T00:00:00.000Z,102
2021-09-14T00:00:00.000Z,103
2021-09-15T00:00:00.000Z,105
2021-09-16T00:00:00.000Z,105
2021-09-17T00:00:00.000Z,105
2021-09-18T00:00:00.000Z,104
2021-09-19T00:00:00.000Z,105
2021-09-20T00:00:00.000Z,104
2021-09-21T00:00:00.000Z,103
2021-09-22T00:00:00.000Z,102
2021-09-23T00:00:00.000Z,102
2021-09-24T00:00:00.000Z,12118
2021-09-25T00:00:00.000Z,112
2021-09-26T00:00:00.000Z,111
2021-09-27T00:00:00.000Z,3076
2021-09-28T00:00:00.000Z,328
2021-09-29T00:00:00.000Z,111
2021-09-30T00:00:00.000Z,111
2021-10-01T00:00:00.000Z,110
2021-10-02T00:00:00.000Z,111
2021-10-03T00:00:00.000Z,112
2021-10-04T00:00:00.000Z,111
2021-10-05T00:00:00.000Z,111
2021-10-06T00:00:00.000Z,112
2021-10-07T00:00:00.000Z,114
2021-10-08T00:00:00.000Z,114
2021-10-09T00:00:00.000Z,114
2021-10-10T00:00:00.000Z,115
2021-10-11T00:00:00.000Z,115
2021-10-12T00:00:00.000Z,116
2021-10-13T00:00:00.000Z,113
2021-10-14T00:00:00.000Z,115
2021-10-15T00:00:00.000Z,114
2021-10-16T00:00:00.000Z,112
2021-10-17T00:00:00.000Z,112
2021-10-18T00:00:00.000Z,112
2021-10-19T00:00:00.000Z,113
2021-10-20T00:00:00.000Z,114
2021-10-21T00:00:00.000Z,114
2021-10-22T00:00:00.000Z,115
2021-10-23T00:00:00.000Z,115
2021-10-24T00:00:00.000Z,115
2021-10-25T00:00:00.000Z,302
2021-10-26T00:00:00.000Z,1624
2021-10-27T00:00:00.000Z,146
2021-10-28T00:00:00.000Z,180
2021-10-29T00:00:00.000Z,112
2021-10-30T00:00:00.000Z,112
2021-10-31T00:00:00.000Z,112
2021-11-01T00:00:00.000Z,111
2021-11-02T00:00:00.000Z,112
2021-11-03T00:00:00.000Z,113
2021-11-04T00:00:00.000Z,110
2021-11-05T00:00:00.000Z,109
2021-11-06T00:00:00.000Z,109
2021-11-07T00:00:00.000Z,109
2021-11-08T00:00:00.000Z,113
2021-11-09T00:00:00.000Z,113
2021-11-10T00:00:00.000Z,138
2021-11-11T00:00:00.000Z,174
2021-11-12T00:00:00.000Z,174
2021-11-13T00:00:00.000Z,175
2021-11-14T00:00:00.000Z,176
2021-11-15T00:00:00.000Z,170
2021-11-16T00:00:00.000Z,
2021-11-17T00:00:00.000Z,176
2021-11-18T00:00:00.000Z,174
2021-11-19T00:00:00.000Z,173
2021-11-20T00:00:00.000Z,177
2021-11-21T00:00:00.000Z,177
2021-11-22T00:00:00.000Z,172
2021-11-23T00:00:00.000Z,176
2021-11-24T00:00:00.000Z,7159
2021-11-25T00:00:00.000Z,258
2021-11-26T00:00:00.000Z,212
2021-11-27T00:00:00.000Z,212
2021-11-28T00:00:00.000Z,215
2021-11-29T00:00:00.000Z,227
2021-11-30T00:00:00.000Z,210
2021-12-01T00:00:00.000Z,214
2021-12-02T00:00:00.000Z,239
2021-12-03T00:00:00.000Z,899
2021-12-04T00:00:00.000Z,871
2021-12-05T00:00:00.000Z,922
2021-12-06T00:00:00.000Z,908
2021-12-07T00:00:00.000Z,863
2021-12-08T00:00:00.000Z,908
2021-12-09T00:00:00.000Z,889
2021-12-10T00:00:00.000Z,869
2021-12-11T00:00:00.000Z,876
2021-12-12T00:00:00.000Z,906
2021-12-13T00:00:00.000Z,914
2021-12-14T00:00:00.000Z,904
2021-12-15T00:00:00.000Z,864
2021-12-16T00:00:00.000Z,871
2021-12-17T00:00:00.000Z,865
2021-12-18T00:00:00.000Z,906
2021-12-19T00:00:00.000Z,892
2021-12-20T00:00:00.000Z,906
2021-12-21T00:00:00.000Z,882
2021-12-22T00:00:00.000Z,871
2021-12-23T00:00:00.000Z,862
2021-12-24T00:00:00.000Z,865
2021-12-25T00:00:00.000Z,886
2021-12-26T00:00:00.000Z,907
2021-12-27T00:00:00.000Z,916
2021-12-28T00:00:00.000Z,903
2021-12-29T00:00:00.000Z,891
2021-12-30T00:00:00.000Z,893
2021-12-31T00:00:00.000Z,879
2022-01-01T00:00:00.000Z,927
2022-01-02T00:00:00.000Z,903
2022-01-03T00:00:00.000Z,938
2022-01-04T00:00:00.000Z,913
2022-01-05T00:00:00.000Z,180
2022-01-06T00:00:00.000Z,183
2022-01-07T00:00:00.000Z,183
2022-01-08T00:00:00.000Z,182
2022-01-09T00:00:00.000Z,181
2022-01-10T00:00:00.000Z,183
2022-01-11T00:00:00.000Z,181
2022-01-12T00:00:00.000Z,180
2022-01-13T00:00:00.000Z,182
2022-01-14T00:00:00.000Z,183
2022-01-15T00:00:00.000Z,180
2022-01-16T00:00:00.000Z,181
2022-01-17T00:00:00.000Z,181
2022-01-18T00:00:00.000Z,181
2022-01-19T00:00:00.000Z,181
2022-01-20T00:00:00.000Z,182
2022-01-21T00:00:00.000Z,180
2022-01-22T00:00:00.000Z,180
2022-01-23T00:00:00.000Z,180
2022-01-24T00:00:00.000Z,182
2022-01-25T00:00:00.000Z,180
2022-01-26T00:00:00.000Z,180
2022-01-27T00:00:00.000Z,182
2022-01-28T00:00:00.000Z,181
2022-01-29T00:00:00.000Z,182
2022-01-30T00:00:00.000Z,178
2022-01-31T00:00:00.000Z,184
2022-02-01T00:00:00.000Z,183
2022-02-02T00:00:00.000Z,182
2022-02-03T00:00:00.000Z,184
2022-02-04T00:00:00.000Z,181
2022-02-05T00:00:00.000Z,181
2022-02-06T00:00:00.000Z,181
2022-02-07T00:00:00.000Z,181
2022-02-08T00:00:00.000Z,180
2022-02-09T00:00:00.000Z,181
2022-02-10T00:00:00.000Z,182
2022-02-11T00:00:00.000Z,181
2022-02-12T00:00:00.000Z,181
2022-02-13T00:00:00.000Z,181
2022-02-14T00:00:00.000Z,181
2022-02-15T00:00:00.000Z,180
2022-02-16T00:00:00.000Z,180
2022-02-17T00:00:00.000Z,179
2022-02-18T00:00:00.000Z,174
2022-02-19T00:00:00.000Z,180
2022-02-20T00:00:00.000Z,180
2022-02-21T00:00:00.000Z,181
2022-02-22T00:00:00.000Z,180
2022-02-23T00:00:00.000Z,180
2022-02-24T00:00:00.000Z,181
2022-02-25T00:00:00.000Z,184
2022-02-26T00:00:00.000Z,184
2022-02-27T00:00:00.000Z,184
2022-02-28T00:00:00.000Z,184
2022-03-01T00:00:00.000Z,181
2022-03-02T00:00:00.000Z,181
2022-03-03T00:00:00.000Z,182
2022-03-04T00:00:00.000Z,181
2022-03-05T00:00:00.000Z,182
2022-03-06T00:00:00.000Z,181
2022-03-07T00:00:00.000Z,179
2022-03-08T00:00:00.000Z,180
2022-03-09T00:00:00.000Z,181
2022-03-10T00:00:00.000Z,173
2022-03-11T00:00:00.000Z,180
2022-03-12T00:00:00.000Z,181
2022-03-13T00:00:00.000Z,181
2022-03-14T00:00:00.000Z,181
2022-03-15T00:00:00.000Z,180
2022-03-16T00:00:00.000Z,181
2022-03-17T00:00:00.000Z,181
2022-03-18T00:00:00.000Z,181
2022-03-19T00:00:00.000Z,181
2022-03-20T00:00:00.000Z,175
2022-03-21T00:00:00.000Z,181
2022-03-22T00:00:00.000Z,183
2022-03-23T00:00:00.000Z,184
2022-03-24T00:00:00.000Z,183
2022-03-25T00:00:00.000Z,183
2022-03-26T00:00:00.000Z,183
2022-03-27T00:00:00.000Z,182
2022-03-28T00:00:00.000Z,182
2022-03-29T00:00:00.000Z,182
2022-03-30T00:00:00.000Z,182
2022-03-31T00:00:00.000Z,182
2022-04-01T00:00:00.000Z,184
2022-04-02T00:00:00.000Z,182
2022-04-03T00:00:00.000Z,180
2022-04-04T00:00:00.000Z,181
2022-04-05T00:00:00.000Z,181
2022-04-06T00:00:00.000Z,181
2022-04-07T00:00:00.000Z,179
2022-04-08T00:00:00.000Z,179
2022-04-09T00:00:00.000Z,179
2022-04-10T00:00:00.000Z,181
2022-04-11T00:00:00.000Z,181
2022-04-12T00:00:00.000Z,180
2022-04-13T00:00:00.000Z,
