Time,Ballooned memory for R02,Consumed for R02,Overhead consumed for R02,Host consumed % for R02,
2022-03-13T14:00:00.000Z,0,2526256380,11405185,52,52
2022-03-13T16:00:00.000Z,0,2526454270,11404885,52,52
2022-03-13T18:00:00.000Z,0,2526509060,11403898,52,52
2022-03-13T20:00:00.000Z,0,2526516740,11403189,52,52
2022-03-13T22:00:00.000Z,0,2526512640,11404142,52,52
2022-03-14T00:00:00.000Z,0,2526598660,11404332,52,53
2022-03-14T02:00:00.000Z,0,2526631420,11403370,52,53
2022-03-14T04:00:00.000Z,0,2526732290,11402387,52,53
2022-03-14T06:00:00.000Z,0,2527392510,11408021,52,54
2022-03-14T08:00:00.000Z,0,2527991810,11414903,52,55
2022-03-14T10:00:00.000Z,0,2528221180,11423625,52,56
2022-03-14T12:00:00.000Z,0,2528217600,11422651,52,56
2022-03-14T14:00:00.000Z,0,2528282620,11428504,52,56
2022-03-14T16:00:00.000Z,0,2528173310,11424688,52,56
2022-03-14T18:00:00.000Z,0,2528130300,11422787,52,56
2022-03-14T20:00:00.000Z,0,2528250880,11416251,52,56
2022-03-14T22:00:00.000Z,0,2528354050,11417473,52,56
2022-03-15T00:00:00.000Z,0,2528138750,11416271,52,56
2022-03-15T02:00:00.000Z,0,2528195070,11415213,52,56
2022-03-15T04:00:00.000Z,0,2528342780,11413485,52,56
2022-03-15T06:00:00.000Z,0,2528622080,11408874,52,57
2022-03-15T08:00:00.000Z,0,2528838910,11413882,52,57
2022-03-15T10:00:00.000Z,0,2528886780,11414787,52,57
2022-03-15T12:00:00.000Z,0,2528903170,11415985,52,57
2022-03-15T14:00:00.000Z,0,2528636670,11419676,52,57
2022-03-15T16:00:00.000Z,0,2528456190,11418973,52,56
2022-03-15T18:00:00.000Z,0,2528418820,11414634,52,56
2022-03-15T20:00:00.000Z,0,2528382210,11410913,52,56
2022-03-15T22:00:00.000Z,0,2528588800,11410466,52,57
2022-03-16T00:00:00.000Z,0,2528729340,11410049,52,57
2022-03-16T02:00:00.000Z,0,2528662270,11408564,52,57
2022-03-16T04:00:00.000Z,0,2528687870,11408767,52,57
2022-03-16T06:00:00.000Z,0,2528832000,11404984,52,57
2022-03-16T08:00:00.000Z,0,2529030910,11412747,52,58
2022-03-16T10:00:00.000Z,0,2529131520,11414036,52,58
2022-03-16T12:00:00.000Z,0,2529104900,11414208,52,58
2022-03-16T14:00:00.000Z,0,2528786430,11413046,52,57
2022-03-16T16:00:00.000Z,0,2528567040,11410342,52,57
2022-03-16T18:00:00.000Z,0,2528486400,11408495,52,56
2022-03-16T20:00:00.000Z,0,2528516100,11407933,52,57
2022-03-16T22:00:00.000Z,0,2528605440,11409384,52,57
2022-03-17T00:00:00.000Z,0,2528603390,11403971,52,57
2022-03-17T02:00:00.000Z,0,2528750590,11402800,52,57
2022-03-17T04:00:00.000Z,0,2528815360,11401357,52,57
2022-03-17T06:00:00.000Z,0,2528986110,11402679,52,57
2022-03-17T08:00:00.000Z,0,2529222140,11414088,52,58
2022-03-17T10:00:00.000Z,0,2529273860,11413365,52,58
2022-03-17T12:00:00.000Z,0,2529198850,11415115,52,58
2022-03-17T14:00:00.000Z,523838,2491452930,11694090,56,52
2022-03-17T16:00:00.000Z,0,2492496130,11463131,51,82
2022-03-17T18:00:00.000Z,0,2483723010,11433769,51,64
2022-03-17T20:00:00.000Z,0,2493196030,11417457,51,84
2022-03-17T22:00:00.000Z,0,2504079870,11417899,52,6
2022-03-18T00:00:00.000Z,0,2503788030,11408701,52,5
2022-03-18T02:00:00.000Z,0,2504059390,11406754,52,6
2022-03-18T04:00:00.000Z,0,2504588290,11407015,52,7
2022-03-18T06:00:00.000Z,0,2506114820,11406561,52,1
2022-03-18T08:00:00.000Z,0,2506997250,11444841,52,12
2022-03-18T10:00:00.000Z,0,2502295550,11474094,52,2
2022-03-18T12:00:00.000Z,0,2493276930,11506980,51,84
2022-03-18T14:00:00.000Z,0,2492998400,11534588,51,83
2022-03-18T16:00:00.000Z,0,2492616960,11524450,51,82
2022-03-18T18:00:00.000Z,0,2492541700,11530112,51,82
2022-03-18T20:00:00.000Z,0,2492585470,11541465,51,82
2022-03-18T22:00:00.000Z,0,2492487940,11541048,51,82
2022-03-19T00:00:00.000Z,0,2492322050,11570566,51,82
2022-03-19T02:00:00.000Z,0,2492340480,11551890,51,82
2022-03-19T04:00:00.000Z,0,2492459260,11538986,51,82
2022-03-19T06:00:00.000Z,0,2492630530,11535396,51,83
2022-03-19T08:00:00.000Z,0,2492810240,11537502,51,83
2022-03-19T10:00:00.000Z,0,2493016830,11567870,51,83
