Time,Ballooned memory for R02,Consumed for R02,Overhead consumed for R02,Host consumed % for R02,
2021-04-13T00:00:00.000Z,0,2344934140,6330358,48,66
2021-04-14T00:00:00.000Z,0,2344931070,6329637,48,66
2021-04-15T00:00:00.000Z,0,2344933120,6329652,48,66
2021-04-16T00:00:00.000Z,0,2344935940,6332617,48,66
2021-04-17T00:00:00.000Z,0,2346047230,6382085,48,68
2021-04-18T00:00:00.000Z,0,2346361600,6383502,48,69
2021-04-19T00:00:00.000Z,0,2346683650,6384705,48,7
2021-04-20T00:00:00.000Z,0,2347818500,6415316,48,72
2021-04-21T00:00:00.000Z,0,2348259070,6414009,48,73
2021-04-22T00:00:00.000Z,0,2348331260,6414816,48,73
2021-04-23T00:00:00.000Z,0,2348401410,6415417,48,73
2021-04-24T00:00:00.000Z,0,2342966780,6405616,48,62
2021-04-25T00:00:00.000Z,0,2343670270,6407147,48,64
2021-04-26T00:00:00.000Z,0,2343770110,6407126,48,64
2021-04-27T00:00:00.000Z,0,2343968510,6403601,48,64
2021-04-28T00:00:00.000Z,0,2344274180,6400897,48,65
2021-04-29T00:00:00.000Z,0,2344341760,6402067,48,65
2021-04-30T00:00:00.000Z,0,2344423680,6402790,48,65
2021-05-01T00:00:00.000Z,0,2344492030,6402048,48,65
2021-05-02T00:00:00.000Z,0,2344506880,6401133,48,65
2021-05-03T00:00:00.000Z,0,2342481410,6371274,48,61
2021-05-04T00:00:00.000Z,0,2342668030,6372186,48,61
2021-05-05T00:00:00.000Z,0,2342702080,6373311,48,62
2021-05-06T00:00:00.000Z,0,2342724610,6372349,48,62
2021-05-07T00:00:00.000Z,0,2352170750,6390226,48,81
2021-05-08T00:00:00.000Z,0,2352185860,6393158,48,81
2021-05-09T00:00:00.000Z,0,2352270850,6392958,48,81
2021-05-10T00:00:00.000Z,0,2352378110,6393606,48,82
2021-05-11T00:00:00.000Z,0,2352502530,6394231,48,82
2021-05-12T00:00:00.000Z,0,2352349700,6397657,48,82
2021-05-13T00:00:00.000Z,0,2342518780,6378061,48,61
2021-05-14T00:00:00.000Z,0,2342675970,6376547,48,61
2021-05-15T00:00:00.000Z,0,2342682880,6377850,48,61
2021-05-16T00:00:00.000Z,0,2342714620,6379981,48,62
2021-05-17T00:00:00.000Z,0,2342755330,6376653,48,62
2021-05-18T00:00:00.000Z,0,2344464900,6379488,48,65
2021-05-19T00:00:00.000Z,0,2348185340,6388642,48,73
2021-05-20T00:00:00.000Z,0,2348313090,6385841,48,73
2021-05-21T00:00:00.000Z,0,2348568830,6387864,48,74
2021-05-22T00:00:00.000Z,0,2347447040,6383916,48,71
2021-05-23T00:00:00.000Z,0,2348579580,6387988,48,74
2021-05-24T00:00:00.000Z,0,2348601860,6392256,48,74
2021-05-25T00:00:00.000Z,0,2348660740,6387546,48,74
2021-05-26T00:00:00.000Z,0,2349148160,6387489,48,75
2021-05-27T00:00:00.000Z,0,2349161470,6388279,48,75
2021-05-28T00:00:00.000Z,0,2349206270,6387478,48,75
2021-05-29T00:00:00.000Z,0,2352680190,6435572,48,82
2021-05-30T00:00:00.000Z,0,2353004290,6436797,48,83
2021-05-31T00:00:00.000Z,0,2353143550,6438715,48,83
2021-06-01T00:00:00.000Z,0,2354239740,6441453,48,86
2021-06-02T00:00:00.000Z,0,2354268930,6437140,48,86
2021-06-03T00:00:00.000Z,0,2354571260,6438140,48,86
2021-06-04T00:00:00.000Z,0,2354816770,6438627,48,87
2021-06-05T00:00:00.000Z,0,2032424960,7485721,42,22
2021-06-06T00:00:00.000Z,0,2082095740,7592842,43,25
2021-06-07T00:00:00.000Z,0,2091856130,7612005,43,45
2021-06-08T00:00:00.000Z,0,2383453700,8184759,49,5
2021-06-09T00:00:00.000Z,0,2383753980,8184428,49,5
2021-06-10T00:00:00.000Z,0,2384010500,8185722,49,51
2021-06-11T00:00:00.000Z,0,2384305150,8186453,49,51
2021-06-12T00:00:00.000Z,0,2384542720,8184589,49,52
2021-06-13T00:00:00.000Z,0,2384882180,8187197,49,53
2021-06-14T00:00:00.000Z,0,2385628930,8187928,49,54
2021-06-15T00:00:00.000Z,0,2385622780,8188006,49,54
2021-06-16T00:00:00.000Z,0,2394113280,8187200,49,72
2021-06-17T00:00:00.000Z,0,2396780290,8188614,49,77
2021-06-18T00:00:00.000Z,0,2396789760,8189443,49,77
2021-06-19T00:00:00.000Z,0,2394932480,8189532,49,73
2021-06-20T00:00:00.000Z,0,2374858500,8144664,49,31
2021-06-21T00:00:00.000Z,0,2366716930,8129544,49,15
