Time,Usage for R02_n3
2022-03-13T14:00:00.000Z,3435
2022-03-13T16:00:00.000Z,5033
2022-03-13T18:00:00.000Z,6973
2022-03-13T20:00:00.000Z,6880
2022-03-13T22:00:00.000Z,4394
2022-03-14T00:00:00.000Z,3944
2022-03-14T02:00:00.000Z,4816
2022-03-14T04:00:00.000Z,6124
2022-03-14T06:00:00.000Z,6688
2022-03-14T08:00:00.000Z,8131
2022-03-14T10:00:00.000Z,8086
2022-03-14T12:00:00.000Z,5767
2022-03-14T14:00:00.000Z,5115
2022-03-14T16:00:00.000Z,4767
2022-03-14T18:00:00.000Z,56423
2022-03-14T20:00:00.000Z,66726
2022-03-14T22:00:00.000Z,5249
2022-03-15T00:00:00.000Z,4038
2022-03-15T02:00:00.000Z,5007
2022-03-15T04:00:00.000Z,4920
2022-03-15T06:00:00.000Z,5313
2022-03-15T08:00:00.000Z,5939
2022-03-15T10:00:00.000Z,7523
2022-03-15T12:00:00.000Z,5581
2022-03-15T14:00:00.000Z,5646
2022-03-15T16:00:00.000Z,4243
2022-03-15T18:00:00.000Z,52826
2022-03-15T20:00:00.000Z,26273
2022-03-15T22:00:00.000Z,7515
2022-03-16T00:00:00.000Z,4364
2022-03-16T02:00:00.000Z,5946
2022-03-16T04:00:00.000Z,4766
2022-03-16T06:00:00.000Z,5040
2022-03-16T08:00:00.000Z,7098
2022-03-16T10:00:00.000Z,5991
2022-03-16T12:00:00.000Z,6725
2022-03-16T14:00:00.000Z,8050
2022-03-16T16:00:00.000Z,5911
2022-03-16T18:00:00.000Z,50365
2022-03-16T20:00:00.000Z,59887
2022-03-16T22:00:00.000Z,14665
2022-03-17T00:00:00.000Z,4596
2022-03-17T02:00:00.000Z,6700
2022-03-17T04:00:00.000Z,7525
2022-03-17T06:00:00.000Z,8557
2022-03-17T08:00:00.000Z,8315
2022-03-17T10:00:00.000Z,7066
2022-03-17T12:00:00.000Z,6540
2022-03-17T14:00:00.000Z,16037
2022-03-17T16:00:00.000Z,20750
2022-03-17T18:00:00.000Z,90931
2022-03-17T20:00:00.000Z,58387
2022-03-17T22:00:00.000Z,44288
2022-03-18T00:00:00.000Z,30485
2022-03-18T02:00:00.000Z,24324
2022-03-18T04:00:00.000Z,19039
2022-03-18T06:00:00.000Z,24760
2022-03-18T08:00:00.000Z,27275
2022-03-18T10:00:00.000Z,26268
2022-03-18T12:00:00.000Z,27693
2022-03-18T14:00:00.000Z,22013
2022-03-18T16:00:00.000Z,18988
2022-03-18T18:00:00.000Z,87616
2022-03-18T20:00:00.000Z,82537
2022-03-18T22:00:00.000Z,43422
2022-03-19T00:00:00.000Z,24106
