Time,Usage for R03_n3
2021-04-13T00:00:00.000Z,1912
2021-04-14T00:00:00.000Z,1562
2021-04-15T00:00:00.000Z,1505
2021-04-16T00:00:00.000Z,1438
2021-04-17T00:00:00.000Z,1439
2021-04-18T00:00:00.000Z,1464
2021-04-19T00:00:00.000Z,2932
2021-04-20T00:00:00.000Z,1403
2021-04-21T00:00:00.000Z,1427
2021-04-22T00:00:00.000Z,1418
2021-04-23T00:00:00.000Z,1387
2021-04-24T00:00:00.000Z,1431
2021-04-25T00:00:00.000Z,1412
2021-04-26T00:00:00.000Z,1401
2021-04-27T00:00:00.000Z,1412
2021-04-28T00:00:00.000Z,1490
2021-04-29T00:00:00.000Z,1411
2021-04-30T00:00:00.000Z,1652
2021-05-01T00:00:00.000Z,1340
2021-05-02T00:00:00.000Z,1487
2021-05-03T00:00:00.000Z,1438
2021-05-04T00:00:00.000Z,1437
2021-05-05T00:00:00.000Z,1448
2021-05-06T00:00:00.000Z,1495
2021-05-07T00:00:00.000Z,1496
2021-05-08T00:00:00.000Z,1470
2021-05-09T00:00:00.000Z,1501
2021-05-10T00:00:00.000Z,1720
2021-05-11T00:00:00.000Z,1428
2021-05-12T00:00:00.000Z,1536
2021-05-13T00:00:00.000Z,2453
2021-05-14T00:00:00.000Z,1449
2021-05-15T00:00:00.000Z,1440
2021-05-16T00:00:00.000Z,1477
2021-05-17T00:00:00.000Z,1470
2021-05-18T00:00:00.000Z,1457
2021-05-19T00:00:00.000Z,1464
2021-05-20T00:00:00.000Z,1437
2021-05-21T00:00:00.000Z,1439
2021-05-22T00:00:00.000Z,1408
2021-05-23T00:00:00.000Z,2039
2021-05-24T00:00:00.000Z,1403
2021-05-25T00:00:00.000Z,1348
2021-05-26T00:00:00.000Z,1652
2021-05-27T00:00:00.000Z,1324
2021-05-28T00:00:00.000Z,1394
2021-05-29T00:00:00.000Z,1985
2021-05-30T00:00:00.000Z,1413
2021-05-31T00:00:00.000Z,1388
2021-06-01T00:00:00.000Z,1407
2021-06-02T00:00:00.000Z,1600
2021-06-03T00:00:00.000Z,1407
2021-06-04T00:00:00.000Z,1452
2021-06-05T00:00:00.000Z,1432
2021-06-06T00:00:00.000Z,1442
2021-06-07T00:00:00.000Z,1420
2021-06-08T00:00:00.000Z,1422
2021-06-09T00:00:00.000Z,1586
2021-06-10T00:00:00.000Z,1389
2021-06-11T00:00:00.000Z,1433
2021-06-12T00:00:00.000Z,1447
2021-06-13T00:00:00.000Z,5318
2021-06-14T00:00:00.000Z,1469
2021-06-15T00:00:00.000Z,1458
2021-06-16T00:00:00.000Z,1606
2021-06-17T00:00:00.000Z,2180
2021-06-18T00:00:00.000Z,1508
2021-06-19T00:00:00.000Z,1437
2021-06-20T00:00:00.000Z,1378
2021-06-21T00:00:00.000Z,1352
2021-06-22T00:00:00.000Z,1333
2021-06-23T00:00:00.000Z,1521
2021-06-24T00:00:00.000Z,1327
2021-06-25T00:00:00.000Z,1327
2021-06-26T00:00:00.000Z,1324
2021-06-27T00:00:00.000Z,1353
2021-06-28T00:00:00.000Z,1329
2021-06-29T00:00:00.000Z,1319
2021-06-30T00:00:00.000Z,1517
2021-07-01T00:00:00.000Z,1307
2021-07-02T00:00:00.000Z,1325
2021-07-03T00:00:00.000Z,1301
2021-07-04T00:00:00.000Z,1311
2021-07-05T00:00:00.000Z,1302
2021-07-06T00:00:00.000Z,1328
2021-07-07T00:00:00.000Z,5727
2021-07-08T00:00:00.000Z,1364
2021-07-09T00:00:00.000Z,1370
2021-07-10T00:00:00.000Z,1377
2021-07-11T00:00:00.000Z,1395
2021-07-12T00:00:00.000Z,1344
2021-07-13T00:00:00.000Z,1522
2021-07-14T00:00:00.000Z,1765
2021-07-15T00:00:00.000Z,2644
2021-07-16T00:00:00.000Z,1558
2021-07-17T00:00:00.000Z,1545
2021-07-18T00:00:00.000Z,1583
2021-07-19T00:00:00.000Z,1558
2021-07-20T00:00:00.000Z,1847
2021-07-21T00:00:00.000Z,1911
2021-07-22T00:00:00.000Z,1537
2021-07-23T00:00:00.000Z,1547
2021-07-24T00:00:00.000Z,1500
2021-07-25T00:00:00.000Z,1529
2021-07-26T00:00:00.000Z,1539
2021-07-27T00:00:00.000Z,1520
2021-07-28T00:00:00.000Z,1559
2021-07-29T00:00:00.000Z,1347
2021-07-30T00:00:00.000Z,1381
2021-07-31T00:00:00.000Z,1361
2021-08-01T00:00:00.000Z,1367
2021-08-02T00:00:00.000Z,1390
2021-08-03T00:00:00.000Z,1405
2021-08-04T00:00:00.000Z,10270
2021-08-05T00:00:00.000Z,59391
2021-08-06T00:00:00.000Z,9230
2021-08-07T00:00:00.000Z,1641
2021-08-08T00:00:00.000Z,1573
2021-08-09T00:00:00.000Z,18769
2021-08-10T00:00:00.000Z,11771
2021-08-11T00:00:00.000Z,3557
2021-08-12T00:00:00.000Z,12341
2021-08-13T00:00:00.000Z,5554
2021-08-14T00:00:00.000Z,1700
2021-08-15T00:00:00.000Z,1387
2021-08-16T00:00:00.000Z,3910
2021-08-17T00:00:00.000Z,3541
2021-08-18T00:00:00.000Z,1540
2021-08-19T00:00:00.000Z,1347
2021-08-20T00:00:00.000Z,1378
2021-08-21T00:00:00.000Z,1386
2021-08-22T00:00:00.000Z,1383
2021-08-23T00:00:00.000Z,1366
2021-08-24T00:00:00.000Z,1378
2021-08-25T00:00:00.000Z,1573
2021-08-26T00:00:00.000Z,1355
2021-08-27T00:00:00.000Z,1378
2021-08-28T00:00:00.000Z,1350
2021-08-29T00:00:00.000Z,1385
2021-08-30T00:00:00.000Z,1413
2021-08-31T00:00:00.000Z,1368
2021-09-01T00:00:00.000Z,1576
2021-09-02T00:00:00.000Z,1385
2021-09-03T00:00:00.000Z,1395
2021-09-04T00:00:00.000Z,1384
2021-09-05T00:00:00.000Z,1376
2021-09-06T00:00:00.000Z,1399
2021-09-07T00:00:00.000Z,1401
2021-09-08T00:00:00.000Z,1573
2021-09-09T00:00:00.000Z,1356
2021-09-10T00:00:00.000Z,1374
2021-09-11T00:00:00.000Z,1375
2021-09-12T00:00:00.000Z,1366
2021-09-13T00:00:00.000Z,1368
2021-09-14T00:00:00.000Z,2812
2021-09-15T00:00:00.000Z,1543
2021-09-16T00:00:00.000Z,3077
2021-09-17T00:00:00.000Z,1386
