Time,Read rate for S_n1,Write rate for S_n1,Usage for S_n1
2021-04-14T00:00:00.000Z,14857,23239,38098
2021-04-15T00:00:00.000Z,16791,24503,41295
2021-04-16T00:00:00.000Z,9974,18106,28081
2021-04-17T00:00:00.000Z,7896,46937,54833
2021-04-18T00:00:00.000Z,32489,24805,57295
2021-04-19T00:00:00.000Z,137193,24822,162015
2021-04-20T00:00:00.000Z,13094,23792,36886
2021-04-21T00:00:00.000Z,52134,29966,82101
2021-04-22T00:00:00.000Z,12811,33359,46170
2021-04-23T00:00:00.000Z,3451,25599,29051
2021-04-24T00:00:00.000Z,6630,24828,31459
2021-04-25T00:00:00.000Z,2818,26092,28910
2021-04-26T00:00:00.000Z,2844,30230,33075
2021-04-27T00:00:00.000Z,2940,26010,28950
2021-04-28T00:00:00.000Z,2964,24337,27302
2021-04-29T00:00:00.000Z,2862,27694,30557
2021-04-30T00:00:00.000Z,2782,25921,28703
2021-05-01T00:00:00.000Z,5440,30899,36340
2021-05-02T00:00:00.000Z,2876,31440,34316
2021-05-03T00:00:00.000Z,3333,31674,35008
2021-05-04T00:00:00.000Z,5009,33343,38352
2021-05-05T00:00:00.000Z,3615,26763,30379
2021-05-06T00:00:00.000Z,2895,27220,30117
2021-05-07T00:00:00.000Z,2591,22313,24904
2021-05-08T00:00:00.000Z,6274,26821,33096
2021-05-09T00:00:00.000Z,2845,29799,32646
2021-05-10T00:00:00.000Z,5907,52031,57938
2021-05-11T00:00:00.000Z,24846,24526,49373
2021-05-12T00:00:00.000Z,3438,20365,23804
2021-05-13T00:00:00.000Z,3930,24385,28316
2021-05-14T00:00:00.000Z,3801,26164,29966
2021-05-15T00:00:00.000Z,8524,29344,37869
2021-05-16T00:00:00.000Z,6027,28901,34929
2021-05-17T00:00:00.000Z,5469,27415,32885
2021-05-18T00:00:00.000Z,7404,28155,35560
2021-05-19T00:00:00.000Z,5034,25399,30434
2021-05-20T00:00:00.000Z,4488,27045,31534
2021-05-21T00:00:00.000Z,5504,28278,33782
2021-05-22T00:00:00.000Z,6143,25998,32142
2021-05-23T00:00:00.000Z,4597,27351,31949
2021-05-24T00:00:00.000Z,2544,27759,30303
2021-05-25T00:00:00.000Z,7319,25036,32356
2021-05-26T00:00:00.000Z,28561,32604,61165
2021-05-27T00:00:00.000Z,4063,25839,29903
2021-05-28T00:00:00.000Z,5604,28855,34459
2021-05-29T00:00:00.000Z,5937,27175,33112
2021-05-30T00:00:00.000Z,32591,26687,59279
2021-05-31T00:00:00.000Z,2822,25214,28037
2021-06-01T00:00:00.000Z,5655,34351,40006
2021-06-02T00:00:00.000Z,31982,38407,70390
2021-06-03T00:00:00.000Z,4265,31894,36160
2021-06-04T00:00:00.000Z,5696,24762,30459
2021-06-05T00:00:00.000Z,5456,27667,33123
2021-06-06T00:00:00.000Z,3744,26569,30314
2021-06-07T00:00:00.000Z,8593,30589,39183
2021-06-08T00:00:00.000Z,41270,50138,91408
2021-06-09T00:00:00.000Z,8478,43774,52252
2021-06-10T00:00:00.000Z,4844,43867,48711
2021-06-11T00:00:00.000Z,7749,30915,38665
2021-06-12T00:00:00.000Z,4656,26299,30955
2021-06-13T00:00:00.000Z,2255,25131,27386
2021-06-14T00:00:00.000Z,3259,27134,30394
2021-06-15T00:00:00.000Z,3510,38029,41539
2021-06-16T00:00:00.000Z,9033,43559,52592
2021-06-17T00:00:00.000Z,2948,27759,30708
2021-06-18T00:00:00.000Z,4351,52301,56653
2021-06-19T00:00:00.000Z,28227,30121,58350
2021-06-20T00:00:00.000Z,4805,28331,33137
2021-06-21T00:00:00.000Z,2632,27178,29811
2021-06-22T00:00:00.000Z,2788,26541,29330
2021-06-23T00:00:00.000Z,3540,27762,31303
2021-06-24T00:00:00.000Z,3126,28800,31927
2021-06-25T00:00:00.000Z,3879,27312,31193
2021-06-26T00:00:00.000Z,4933,26769,31702
2021-06-27T00:00:00.000Z,2817,31166,33984
2021-06-28T00:00:00.000Z,13921,27864,41786
2021-06-29T00:00:00.000Z,31038,25754,56793
2021-06-30T00:00:00.000Z,22397,22028,44425
2021-07-01T00:00:00.000Z,3361,29772,33134
2021-07-02T00:00:00.000Z,4367,24146,28514
2021-07-03T00:00:00.000Z,5141,33461,38603
2021-07-04T00:00:00.000Z,2495,26465,28960
2021-07-05T00:00:00.000Z,2947,25839,28786
2021-07-06T00:00:00.000Z,6604,26983,33588
2021-07-07T00:00:00.000Z,5856,29400,35256
2021-07-08T00:00:00.000Z,5738,26186,31925
2021-07-09T00:00:00.000Z,5806,27281,33088
2021-07-10T00:00:00.000Z,4853,24611,29465
2021-07-11T00:00:00.000Z,31874,24276,56151
2021-07-12T00:00:00.000Z,9343,34669,44013
2021-07-13T00:00:00.000Z,3684,27970,31655
2021-07-14T00:00:00.000Z,8202,31571,39775
2021-07-15T00:00:00.000Z,10707,30773,41481
2021-07-16T00:00:00.000Z,6515,22584,29100
2021-07-17T00:00:00.000Z,4848,27900,32749
2021-07-18T00:00:00.000Z,2364,26857,29222
2021-07-19T00:00:00.000Z,5601,26985,32586
2021-07-20T00:00:00.000Z,5943,24265,30209
2021-07-21T00:00:00.000Z,9812,25475,35287
2021-07-22T00:00:00.000Z,9174,24033,33208
