Time,Read rate for S_n3,Write rate for S_n3,Usage for S_n3
2022-03-14T12:00:00.000Z,166,2214,2380
2022-03-14T14:00:00.000Z,158,1697,1856
2022-03-14T16:00:00.000Z,172,2159,2332
2022-03-14T18:00:00.000Z,69758,17452,87211
2022-03-14T20:00:00.000Z,4710,12270,16981
2022-03-14T22:00:00.000Z,1752,3935,5687
2022-03-15T00:00:00.000Z,22852,1664,24518
2022-03-15T02:00:00.000Z,5887,1665,7552
2022-03-15T04:00:00.000Z,120,1479,1600
2022-03-15T06:00:00.000Z,182,1730,1913
2022-03-15T08:00:00.000Z,135,1922,2057
2022-03-15T10:00:00.000Z,197,2245,2443
2022-03-15T12:00:00.000Z,148,2308,2457
2022-03-15T14:00:00.000Z,271,1963,2235
2022-03-15T16:00:00.000Z,218,1871,2090
2022-03-15T18:00:00.000Z,70312,17679,87993
2022-03-15T20:00:00.000Z,8223,14644,22868
2022-03-15T22:00:00.000Z,1716,25777,27494
2022-03-16T00:00:00.000Z,917,4033,4951
2022-03-16T02:00:00.000Z,13960,1551,15512
2022-03-16T04:00:00.000Z,14503,1582,16085
2022-03-16T06:00:00.000Z,185,2186,2372
2022-03-16T08:00:00.000Z,168,3272,3440
2022-03-16T10:00:00.000Z,256,4006,4262
2022-03-16T12:00:00.000Z,167,2594,2762
2022-03-16T14:00:00.000Z,580,2169,2750
2022-03-16T16:00:00.000Z,212,1937,2150
2022-03-16T18:00:00.000Z,69930,17502,87432
2022-03-16T20:00:00.000Z,4713,12377,17091
2022-03-16T22:00:00.000Z,1392,3345,4738
2022-03-17T00:00:00.000Z,2906,1722,4629
2022-03-17T02:00:00.000Z,28573,1634,30209
2022-03-17T04:00:00.000Z,2836,1526,4362
2022-03-17T06:00:00.000Z,1717,1805,3522
2022-03-17T08:00:00.000Z,165,2061,2227
2022-03-17T10:00:00.000Z,228,2403,2632
2022-03-17T12:00:00.000Z,194,1711,1905
2022-03-17T14:00:00.000Z,174,1675,1850
2022-03-17T16:00:00.000Z,193,2041,2235
2022-03-17T18:00:00.000Z,69655,17728,87384
2022-03-17T20:00:00.000Z,8032,12683,20716
2022-03-17T22:00:00.000Z,1735,3416,5152
