Time,Usage for V02_n1
2022-03-14T12:00:00.000Z,7329
2022-03-14T14:00:00.000Z,5255
2022-03-14T16:00:00.000Z,3875
2022-03-14T18:00:00.000Z,21141
2022-03-14T20:00:00.000Z,14654
2022-03-14T22:00:00.000Z,3463
2022-03-15T00:00:00.000Z,53091
2022-03-15T02:00:00.000Z,66585
2022-03-15T04:00:00.000Z,69149
2022-03-15T06:00:00.000Z,67471
2022-03-15T08:00:00.000Z,69514
2022-03-15T10:00:00.000Z,59005
2022-03-15T12:00:00.000Z,60933
2022-03-15T14:00:00.000Z,63862
2022-03-15T16:00:00.000Z,67248
2022-03-15T18:00:00.000Z,65492
2022-03-15T20:00:00.000Z,64647
2022-03-15T22:00:00.000Z,73528
2022-03-16T00:00:00.000Z,68268
2022-03-16T02:00:00.000Z,10023
2022-03-16T04:00:00.000Z,7975
2022-03-16T06:00:00.000Z,9504
2022-03-16T08:00:00.000Z,11898
2022-03-16T10:00:00.000Z,10176
2022-03-16T12:00:00.000Z,10666
2022-03-16T14:00:00.000Z,6911
2022-03-16T16:00:00.000Z,2362
2022-03-16T18:00:00.000Z,1897
2022-03-16T20:00:00.000Z,2094
2022-03-16T22:00:00.000Z,3487
2022-03-17T00:00:00.000Z,2284
2022-03-17T02:00:00.000Z,2228
2022-03-17T04:00:00.000Z,2265
2022-03-17T06:00:00.000Z,7936
2022-03-17T08:00:00.000Z,6260
2022-03-17T10:00:00.000Z,4993
2022-03-17T12:00:00.000Z,5314
2022-03-17T14:00:00.000Z,4421
2022-03-17T16:00:00.000Z,3485
2022-03-17T18:00:00.000Z,2723
2022-03-17T20:00:00.000Z,1904
2022-03-17T22:00:00.000Z,2542
2022-03-18T00:00:00.000Z,2330
2022-03-18T02:00:00.000Z,2939
2022-03-18T04:00:00.000Z,2916
2022-03-18T06:00:00.000Z,5144
2022-03-18T08:00:00.000Z,5035
2022-03-18T10:00:00.000Z,14843
2022-03-18T12:00:00.000Z,36790
2022-03-18T14:00:00.000Z,82090
2022-03-18T16:00:00.000Z,98981
2022-03-18T18:00:00.000Z,30618
2022-03-18T20:00:00.000Z,2235
2022-03-18T22:00:00.000Z,2997
2022-03-19T00:00:00.000Z,3853
2022-03-19T02:00:00.000Z,3713
2022-03-19T04:00:00.000Z,2922
2022-03-19T06:00:00.000Z,4237
2022-03-19T08:00:00.000Z,3452
2022-03-19T10:00:00.000Z,2666
2022-03-19T12:00:00.000Z,2239
2022-03-19T14:00:00.000Z,2848
2022-03-19T16:00:00.000Z,2864
2022-03-19T18:00:00.000Z,1513
2022-03-19T20:00:00.000Z,2773
2022-03-19T22:00:00.000Z,27723
2022-03-20T00:00:00.000Z,3197
2022-03-20T02:00:00.000Z,3168
2022-03-20T04:00:00.000Z,2463
2022-03-20T06:00:00.000Z,30783
2022-03-20T08:00:00.000Z,41227
2022-03-20T10:00:00.000Z,47289
2022-03-20T12:00:00.000Z,45324
2022-03-20T14:00:00.000Z,51676
2022-03-20T16:00:00.000Z,48783
2022-03-20T18:00:00.000Z,13793
2022-03-20T20:00:00.000Z,1706
2022-03-20T22:00:00.000Z,4400
2022-03-21T00:00:00.000Z,4557
2022-03-21T02:00:00.000Z,4178
2022-03-21T04:00:00.000Z,4269
2022-03-21T06:00:00.000Z,7130
2022-03-21T08:00:00.000Z,9646
2022-03-21T10:00:00.000Z,5536
