Time,Usage for V02_n3
2022-03-14T12:00:00.000Z,37370
2022-03-14T14:00:00.000Z,36529
2022-03-14T16:00:00.000Z,200800
2022-03-14T18:00:00.000Z,129210
2022-03-14T20:00:00.000Z,148141
2022-03-14T22:00:00.000Z,39779
2022-03-15T00:00:00.000Z,48186
2022-03-15T02:00:00.000Z,50125
2022-03-15T04:00:00.000Z,50116
2022-03-15T06:00:00.000Z,49828
2022-03-15T08:00:00.000Z,51095
2022-03-15T10:00:00.000Z,50902
2022-03-15T12:00:00.000Z,49735
2022-03-15T14:00:00.000Z,50031
2022-03-15T16:00:00.000Z,213965
2022-03-15T18:00:00.000Z,139729
2022-03-15T20:00:00.000Z,154587
2022-03-15T22:00:00.000Z,38093
2022-03-16T00:00:00.000Z,45327
2022-03-16T02:00:00.000Z,50552
2022-03-16T04:00:00.000Z,50519
2022-03-16T06:00:00.000Z,50204
2022-03-16T08:00:00.000Z,48988
2022-03-16T10:00:00.000Z,50543
2022-03-16T12:00:00.000Z,49469
2022-03-16T14:00:00.000Z,50982
2022-03-16T16:00:00.000Z,192212
2022-03-16T18:00:00.000Z,107174
2022-03-16T20:00:00.000Z,156703
2022-03-16T22:00:00.000Z,41634
2022-03-17T00:00:00.000Z,46175
2022-03-17T02:00:00.000Z,50464
2022-03-17T04:00:00.000Z,50050
2022-03-17T06:00:00.000Z,50026
2022-03-17T08:00:00.000Z,50660
2022-03-17T10:00:00.000Z,50953
2022-03-17T12:00:00.000Z,49402
2022-03-17T14:00:00.000Z,49867
2022-03-17T16:00:00.000Z,211827
2022-03-17T18:00:00.000Z,65766
2022-03-17T20:00:00.000Z,161688
2022-03-17T22:00:00.000Z,49054
2022-03-18T00:00:00.000Z,48970
2022-03-18T02:00:00.000Z,50270
2022-03-18T04:00:00.000Z,50573
2022-03-18T06:00:00.000Z,47641
2022-03-18T08:00:00.000Z,50971
2022-03-18T10:00:00.000Z,50919
2022-03-18T12:00:00.000Z,49052
2022-03-18T14:00:00.000Z,51196
2022-03-18T16:00:00.000Z,122729
2022-03-18T18:00:00.000Z,98205
2022-03-18T20:00:00.000Z,199677
2022-03-18T22:00:00.000Z,82055
2022-03-19T00:00:00.000Z,50175
2022-03-19T02:00:00.000Z,48500
2022-03-19T04:00:00.000Z,50042
2022-03-19T06:00:00.000Z,43391
2022-03-19T08:00:00.000Z,51721
2022-03-19T10:00:00.000Z,40999
2022-03-19T12:00:00.000Z,56168
2022-03-19T14:00:00.000Z,35437
2022-03-19T16:00:00.000Z,197121
2022-03-19T18:00:00.000Z,102053
2022-03-19T20:00:00.000Z,60503
2022-03-19T22:00:00.000Z,59784
2022-03-20T00:00:00.000Z,65998
2022-03-20T02:00:00.000Z,72975
2022-03-20T04:00:00.000Z,58531
2022-03-20T06:00:00.000Z,87979
2022-03-20T08:00:00.000Z,110640
2022-03-20T10:00:00.000Z,49261
2022-03-20T12:00:00.000Z,35190
2022-03-20T14:00:00.000Z,35050
2022-03-20T16:00:00.000Z,197226
2022-03-20T18:00:00.000Z,51993
2022-03-20T20:00:00.000Z,140742
2022-03-20T22:00:00.000Z,41254
2022-03-21T00:00:00.000Z,44509
2022-03-21T02:00:00.000Z,35563
2022-03-21T04:00:00.000Z,37724
2022-03-21T06:00:00.000Z,31065
2022-03-21T08:00:00.000Z,40043
2022-03-21T10:00:00.000Z,39661
2022-03-21T12:00:00.000Z,36060
2022-03-21T14:00:00.000Z,35541
2022-03-21T16:00:00.000Z,200070
2022-03-21T18:00:00.000Z,49047
2022-03-21T20:00:00.000Z,148945
2022-03-21T22:00:00.000Z,40516
2022-03-22T00:00:00.000Z,41517
2022-03-22T02:00:00.000Z,35011
2022-03-22T04:00:00.000Z,36527
2022-03-22T06:00:00.000Z,35958
2022-03-22T08:00:00.000Z,36375
2022-03-22T10:00:00.000Z,36037
2022-03-22T12:00:00.000Z,34364
2022-03-22T14:00:00.000Z,35488
2022-03-22T16:00:00.000Z,215526
2022-03-22T18:00:00.000Z,48703
2022-03-22T20:00:00.000Z,155479
2022-03-22T22:00:00.000Z,38149
2022-03-23T00:00:00.000Z,38495
2022-03-23T02:00:00.000Z,36041
2022-03-23T04:00:00.000Z,34368
2022-03-23T06:00:00.000Z,36325
2022-03-23T08:00:00.000Z,38339
2022-03-23T10:00:00.000Z,35239
2022-03-23T12:00:00.000Z,35559
2022-03-23T14:00:00.000Z,36522
2022-03-23T16:00:00.000Z,195735
2022-03-23T18:00:00.000Z,86736
2022-03-23T20:00:00.000Z,147966
2022-03-23T22:00:00.000Z,37724
