Time,Active for V03,Ballooned memory for V03,Consumed for V03,Granted for V03,Shared for V03,Compressed for V03
2021-04-14T00:00:00.000Z,63370308,0,906040700,883434300,3462502,0
2021-04-15T00:00:00.000Z,65053072,0,906073470,883447740,3462596,0
2021-04-16T00:00:00.000Z,64688216,0,906139140,883480510,3436135,0
2021-04-17T00:00:00.000Z,49249944,0,906156290,883507650,3426856,0
2021-04-18T00:00:00.000Z,57652944,0,906187650,883507140,3399073,0
2021-04-19T00:00:00.000Z,61854392,0,906209340,883518460,3396954,0
2021-04-20T00:00:00.000Z,61616732,0,906244860,883525120,3388701,0
2021-04-21T00:00:00.000Z,61403248,0,906252860,883529410,3374083,0
2021-04-22T00:00:00.000Z,66354656,0,906248380,883530110,3374131,0
2021-04-23T00:00:00.000Z,70372392,0,906252160,883533700,3374296,0
2021-04-24T00:00:00.000Z,48576664,0,906220670,883526850,3374112,0
2021-04-25T00:00:00.000Z,56459616,0,906241090,883526850,3357932,0
2021-04-26T00:00:00.000Z,60886276,0,906250110,883527360,3358109,0
2021-04-27T00:00:00.000Z,63243296,0,906259840,883529540,3357787,0
2021-04-28T00:00:00.000Z,70063600,0,906250180,883528700,3347879,0
2021-04-29T00:00:00.000Z,71118360,0,906504060,883523390,3343046,0
2021-04-30T00:00:00.000Z,79367048,0,906289600,883524930,3343082,0
2021-05-01T00:00:00.000Z,73416560,0,906655940,883524480,3322837,0
2021-05-02T00:00:00.000Z,84326800,0,906344130,883527940,3310747,0
2021-05-03T00:00:00.000Z,74684616,0,910084930,887266690,3310935,0
2021-05-04T00:00:00.000Z,66251008,0,913524420,890727740,3310916,0
2021-05-05T00:00:00.000Z,72633688,0,914655360,891837700,3310351,0
2021-05-06T00:00:00.000Z,74686528,0,914683330,891839170,3285832,0
2021-05-07T00:00:00.000Z,79000744,0,914691710,891839420,3277609,0
2021-05-08T00:00:00.000Z,58871420,0,914708290,891839100,3277690,0
2021-05-09T00:00:00.000Z,69320944,0,914714690,891840000,3271802,0
2021-05-10T00:00:00.000Z,66835000,0,914789630,891840640,3244933,0
2021-05-11T00:00:00.000Z,64189840,0,915143550,892230590,3244274,0
2021-05-12T00:00:00.000Z,65561688,0,915137660,892233790,3244467,0
2021-05-13T00:00:00.000Z,72697704,0,915160640,892235580,3228261,0
2021-05-14T00:00:00.000Z,71065440,0,915159680,892235330,3223837,0
2021-05-15T00:00:00.000Z,54317768,0,915166780,892238530,3223703,0
2021-05-16T00:00:00.000Z,56086948,0,915181820,892242940,3223902,0
2021-05-17T00:00:00.000Z,68832816,0,915192000,892244800,3223859,0
2021-05-18T00:00:00.000Z,59525372,0,915188930,892243520,3223632,0
2021-05-19T00:00:00.000Z,62253456,0,915191170,892243580,3223700,0
2021-05-20T00:00:00.000Z,64720260,0,915200450,892247940,3221503,0
2021-05-21T00:00:00.000Z,65520252,0,915211650,892248830,3211228,0
2021-05-22T00:00:00.000Z,60467292,0,915225470,892250820,3203254,0
2021-05-23T00:00:00.000Z,62310400,0,915239680,892260100,3200277,0
2021-05-24T00:00:00.000Z,66840776,0,915274750,892300540,3194528,0
2021-05-25T00:00:00.000Z,67271328,0,915304960,892309760,3143341,0
2021-05-26T00:00:00.000Z,58507072,0,647728190,624707140,3144253,0
2021-05-27T00:00:00.000Z,66936720,0,784179650,761173760,3144046,0
2021-05-28T00:00:00.000Z,69369888,0,839373310,816372670,3144100,0
2021-05-29T00:00:00.000Z,56875808,0,898824640,875843070,3144190,0
2021-05-30T00:00:00.000Z,64068352,0,914177020,891187710,3143876,0
2021-05-31T00:00:00.000Z,68824856,0,914381500,891377410,3124205,0
2021-06-01T00:00:00.000Z,84817768,0,914410110,891378880,3118665,0
2021-06-02T00:00:00.000Z,81549216,0,914442370,891386370,3113148,0
2021-06-03T00:00:00.000Z,69282360,0,914411330,891388220,3112583,0
2021-06-04T00:00:00.000Z,74879032,0,914384320,891387900,3112718,0
2021-06-05T00:00:00.000Z,58379468,0,914408450,891389060,3112774,0
2021-06-06T00:00:00.000Z,59488172,0,915281020,892242500,3079643,0
2021-06-07T00:00:00.000Z,71832864,0,915472380,892421820,3081716,0
2021-06-08T00:00:00.000Z,80500880,0,912426430,886495040,239894,0
