Time,Data receive rate for V03_n1,Data receive rate for V03_n1 v0,Data receive rate for V03_n1 v1,Data receive rate for V03_n1 v2,Data receive rate for V03_n1 v3,Data receive rate for V03_n1 v4,Data receive rate for V03_n1 v5,Data transmit rate for V03_n1,Data transmit rate for V03_n1 v0,Data transmit rate for V03_n1 v1,Data transmit rate for V03_n1 v2,Data transmit rate for V03_n1 v3,Data transmit rate for V03_n1 v4,Data transmit rate for V03_n1 v5,Usage for V03_n1,Usage for V03_n1 v0,Usage for V03_n1 v1,Usage for V03_n1 v2,Usage for V03_n1 v3,Usage for V03_n1 v4,Usage for V03_n1 v5
2022-03-14T10:00:00.000Z,5778,3058,2716,0,0,0,2,8749,2544,6194,0,0,0,9,14528,5603,8911,0,0,0,13
2022-03-14T12:00:00.000Z,5043,2827,2213,0,0,0,2,6995,2208,4775,0,0,0,10,12040,5036,6989,0,0,0,13
2022-03-14T14:00:00.000Z,3907,1608,2295,0,0,0,2,11739,1306,10421,0,0,0,10,15647,2915,12717,0,0,0,13
2022-03-14T16:00:00.000Z,2255,888,1364,0,0,0,2,3435,962,2461,0,0,0,10,5691,1850,3825,0,0,0,14
2022-03-14T18:00:00.000Z,2065,760,1300,0,0,0,2,3090,801,2276,0,0,0,11,5155,1562,3577,0,0,0,14
2022-03-14T20:00:00.000Z,1990,659,1328,0,0,0,2,3258,803,2443,0,0,0,10,5249,1462,3772,0,0,0,13
2022-03-14T22:00:00.000Z,2377,466,1907,0,0,0,2,3687,448,3226,0,0,0,11,6065,915,5134,0,0,0,14
2022-03-15T00:00:00.000Z,1534,245,1285,0,0,0,2,2499,291,2196,0,0,0,10,4034,537,3482,0,0,0,13
2022-03-15T02:00:00.000Z,1888,353,1532,0,0,0,2,2110,321,1777,0,0,0,10,3999,674,3310,0,0,0,13
2022-03-15T04:00:00.000Z,12329,282,12043,0,0,0,2,8138,292,7835,0,0,0,10,20468,574,19879,0,0,0,13
2022-03-15T06:00:00.000Z,6615,1483,5127,0,0,0,2,7534,1537,5985,0,0,0,10,14149,3021,11113,0,0,0,13
2022-03-15T08:00:00.000Z,4918,2716,2198,0,0,0,2,6741,2155,4574,0,0,0,11,11661,4872,6773,0,0,0,14
2022-03-15T10:00:00.000Z,5010,2833,2172,0,0,0,2,6592,2609,3971,0,0,0,11,11602,5442,6144,0,0,0,14
2022-03-15T12:00:00.000Z,10232,2724,7504,0,0,0,2,7392,2329,5051,0,0,0,10,17625,5053,12556,0,0,0,13
2022-03-15T14:00:00.000Z,11684,1549,10130,0,0,0,2,4565,1190,3363,0,0,0,10,16249,2740,13494,0,0,0,13
2022-03-15T16:00:00.000Z,2840,808,2028,0,0,0,2,3814,677,3125,0,0,0,10,6655,1486,5154,0,0,0,13
2022-03-15T18:00:00.000Z,2301,741,1556,0,0,0,2,2585,794,1779,0,0,0,10,4886,1535,3336,0,0,0,13
2022-03-15T20:00:00.000Z,2081,628,1448,0,0,0,2,2672,616,2043,0,0,0,10,4753,1245,3492,0,0,0,13
2022-03-15T22:00:00.000Z,2168,405,1759,0,0,0,2,2973,328,2633,0,0,0,10,5142,734,4393,0,0,0,13
2022-03-16T00:00:00.000Z,1855,218,1633,0,0,0,2,2280,222,2047,0,0,0,10,4136,440,3681,0,0,0,13
2022-03-16T02:00:00.000Z,1783,312,1466,0,0,0,2,1884,261,1611,0,0,0,10,3667,573,3079,0,0,0,13
2022-03-16T04:00:00.000Z,10124,254,9866,0,0,0,2,8730,253,8466,0,0,0,9,18855,508,18332,0,0,0,13
2022-03-16T06:00:00.000Z,5481,1403,4075,0,0,0,2,7187,1212,5964,0,0,0,10,12669,2616,10039,0,0,0,13
2022-03-16T08:00:00.000Z,4541,2546,1990,0,0,0,2,5821,1903,3906,0,0,0,9,10362,4450,5897,0,0,0,13
2022-03-16T10:00:00.000Z,19830,2810,17016,0,0,0,2,16769,2181,14576,0,0,0,11,36600,4992,31593,0,0,0,14
