Time,Read rate for V03_n2,Usage for V03_n2,Write rate for V03_n2
2021-04-14T00:00:00.000Z,1292,2755,1461
2021-04-15T00:00:00.000Z,1913,4165,2251
2021-04-16T00:00:00.000Z,1873,3282,1409
2021-04-17T00:00:00.000Z,1089,2029,940
2021-04-18T00:00:00.000Z,1195,2151,955
2021-04-19T00:00:00.000Z,1331,2708,1377
2021-04-20T00:00:00.000Z,2310,5171,2860
2021-04-21T00:00:00.000Z,1472,3027,1554
2021-04-22T00:00:00.000Z,1936,4319,2383
2021-04-23T00:00:00.000Z,2152,4861,2708
2021-04-24T00:00:00.000Z,1212,2425,1212
2021-04-25T00:00:00.000Z,1369,2721,1351
2021-04-26T00:00:00.000Z,1780,3786,2006
2021-04-27T00:00:00.000Z,1179,2631,1451
2021-04-28T00:00:00.000Z,2257,5566,3309
2021-04-29T00:00:00.000Z,65839,67680,1841
2021-04-30T00:00:00.000Z,1646,3774,2128
2021-05-01T00:00:00.000Z,1500,3500,2000
2021-05-02T00:00:00.000Z,2862,7693,4830
2021-05-03T00:00:00.000Z,1948,5030,3081
2021-05-04T00:00:00.000Z,1761,3731,1969
2021-05-05T00:00:00.000Z,1470,3185,1715
2021-05-06T00:00:00.000Z,1642,4354,2711
2021-05-07T00:00:00.000Z,2260,4900,2639
2021-05-08T00:00:00.000Z,1636,3533,1896
2021-05-09T00:00:00.000Z,1489,2870,1381
2021-05-10T00:00:00.000Z,1880,4280,2399
2021-05-11T00:00:00.000Z,2195,5201,3006
2021-05-12T00:00:00.000Z,1671,3833,2161
2021-05-13T00:00:00.000Z,1743,4217,2474
2021-05-14T00:00:00.000Z,1725,3555,1830
2021-05-15T00:00:00.000Z,1420,2932,1512
2021-05-16T00:00:00.000Z,1329,2744,1415
2021-05-17T00:00:00.000Z,1371,2875,1502
2021-05-18T00:00:00.000Z,1067,2538,1470
2021-05-19T00:00:00.000Z,1855,4447,2591
2021-05-20T00:00:00.000Z,1797,4117,2319
2021-05-21T00:00:00.000Z,1515,2920,1404
2021-05-22T00:00:00.000Z,1509,3002,1492
2021-05-23T00:00:00.000Z,1528,2961,1432
2021-05-24T00:00:00.000Z,2291,4759,2466
2021-05-25T00:00:00.000Z,1489,3575,2085
2021-05-26T00:00:00.000Z,1691,3934,2243
2021-05-27T00:00:00.000Z,2988,7602,4614
2021-05-28T00:00:00.000Z,1828,3732,1903
2021-05-29T00:00:00.000Z,1814,3916,2101
2021-05-30T00:00:00.000Z,1611,3668,2057
2021-05-31T00:00:00.000Z,1778,3900,2121
2021-06-01T00:00:00.000Z,1974,4552,2577
2021-06-02T00:00:00.000Z,3228,9078,5849
2021-06-03T00:00:00.000Z,2088,4605,2516
2021-06-04T00:00:00.000Z,1844,3784,1939
2021-06-05T00:00:00.000Z,1568,3170,1601
2021-06-06T00:00:00.000Z,1443,3088,1644
2021-06-07T00:00:00.000Z,2003,4551,2547
2021-06-08T00:00:00.000Z,1815,4187,2372
2021-06-09T00:00:00.000Z,2495,6178,3683
2021-06-10T00:00:00.000Z,1671,3789,2117
2021-06-11T00:00:00.000Z,2514,5995,3480
2021-06-12T00:00:00.000Z,2258,5339,3082
2021-06-13T00:00:00.000Z,1476,3286,1809
2021-06-14T00:00:00.000Z,1977,4230,2252
2021-06-15T00:00:00.000Z,3026,7553,4525
2021-06-16T00:00:00.000Z,1677,3533,1855
2021-06-17T00:00:00.000Z,1724,4381,2656
2021-06-18T00:00:00.000Z,2400,5456,3056
2021-06-19T00:00:00.000Z,1854,4375,2520
2021-06-20T00:00:00.000Z,1320,2863,1543
2021-06-21T00:00:00.000Z,1220,2576,1356
2021-06-22T00:00:00.000Z,1725,4054,2328
2021-06-23T00:00:00.000Z,1378,3205,1826
2021-06-24T00:00:00.000Z,1702,3949,2246
2021-06-25T00:00:00.000Z,1770,3835,2064
2021-06-26T00:00:00.000Z,2135,4978,2842
2021-06-27T00:00:00.000Z,1837,4023,2186
2021-06-28T00:00:00.000Z,1614,3159,1544
2021-06-29T00:00:00.000Z,2279,5612,3333
2021-06-30T00:00:00.000Z,1651,4047,2395
2021-07-01T00:00:00.000Z,3777,9687,5909
2021-07-02T00:00:00.000Z,5226,13285,8058
2021-07-03T00:00:00.000Z,2214,4865,2650
2021-07-04T00:00:00.000Z,1344,2563,1218
2021-07-05T00:00:00.000Z,1645,3595,1950
2021-07-06T00:00:00.000Z,1767,3936,2168
2021-07-07T00:00:00.000Z,2328,5347,3019
